L	rómv. taltekn fyri 50
lyklareyga	eyga (hol) í lykli(á handfanginum)
lyklarhol	lyklahol
lyklaringur	ringur at heingja lyklar í
lyklaskegg	naddar á lykli, skegg (4)
lyklatal	tal ið gevur góðar ábendingar um støðuna á e-m økit.d.úrslit hjá fyritøku,prísir, lønir og onnur lyklatøl
lyklateyggja	lyklatyssi
lyklatyssi	tyssi av lyklum, lyklakippa, lyklateyggja
-lykt	síenda-
lykt	útbúnaður ið gevur ljós(við olju, ravmagni o.tíl.),føroysk lyktlykt við kertiljósi, trælykt;sms. t.d.grinda-,lumma-,seiða-,stav-,tálgar-,træ-
lykta	koma til niðurløgu, slútta,av hesum lyktaði eg tað, at hevði eldurin verið bráðari, svitaðist ikki, at ...
lyktakanning	ljóskanning
lyktarboya	(sjóm.)boya við lykt á stong
lyktarljós	ljós frá lykt
lyktarpeli	lyktarsteyri
lyktarsteyri	steyri við (gøtu)lykt á
lyktarsteyrur	lyktarsteyri
lynda	s30:lata sær e-t lyndalata e-t um seg ganga, lata sær e-t siga, sættast við e-t,tað fara vit ikki at lata okkum lynda
lyndabragd	lyndabragð
lyndabragð	(gl.,stb.)(arvað) lyndiseyðkenni
lyndi	1sinni, sinnalag, skaplyndi, huglyndi,styggur av lyndi;góðsligur av lyndi2hugur (til), helling (3),hava lyndi til e-t;roðklæði hava ofta lyndi til at verða rábleyt;sms. t.d.dapur-,fólka-,fræls-,góð-,harð-,hug-,ljós-,rein-,spak-,tol-,træla-,tung-,tví-,uppgávu-
lyndisbrek	sinnisbrek
lyndisdrag	(sálfr.)lyndiseyðkenni, drag (4)
lyndiseyðkenni	tað ið eyðkennir lyndi, skaplyndi, drag (4)
lyndisfastur	fastur íel.av lyndi, støðufastur
lyndisháttur	tað hvussu lyndið er háttað, lyndi, lyndiseyðkenni
lyndislag	lyndisháttur
lyndislættur	lættur í lyndi, ljóslyntur
lyndismerki	lyndiseyðkenni
lyndistæri	lyndiseyðkenni, mura,her er um lyndistæri at røða, sum veruliga kann verða kallað norskt
lyndska	1(ring, svikafull) mura, lyndi,lyndskan í honum;at hann skuldi hava lyndsku til at gera tað2lystur, hugur (til e-t), brell,eg havi ikki lyndsku til hatta(t.e.mat);hann hevði hvørki hug ella lyndsku til tað;brotini høvdu lyndsku til at taka seg uppaftur aftan fyri bátin(høvdu lyndi til)
lyndski	(sj.)lyndska (2),hann hevur lyndski til at smakka sær á
-lyndur	-lyntur
lyngbressa	(dj.)slag av blómuflugu(Sphaerophoria fatarum)
lyngeygnagras	(plfr.)slag av eygnagrasi(Euphrasia micrantha)
lynghagi	lyngvaksin hagi,lynghagi gevur gott seyðakjøt
lyngheiði	heiði (1)
lynghøsn	(fugl.,bíbl.)vaktil
lyngjavni	(plfr.)slag av javna (4)(Lycopodium annotinum)
lyngklógv	(plfr.)grein av lyngi
lyngnalvasoppur	(plfr.)slag av nalvasoppi(Omphalina ericetorum)
lyngur	(plfr.)lágir krókutur smárunnar av slektunumEmpetrum, Calluna, Erica;sms. t.d.berja-,heiða-,klokku-
lyngvaksin	avvaksin við lyngi,lyngvaksnar heiðar
lyngætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Ericaceae)
lynlás	dragulás
lynna	leggja lunnar(undir bát ið verður drigin),lynna fyri báti;(flutt m.)lynna undir e-mlætta um hjá e-m
lynning	1tað at lynna2røð av lunnum, bátadráttur (1),niðast á lynningini;á lynning mátti báturin standa súðskorðaður
lynsum	í osb.í teimum lynsumí tí lagnum, hýrinum
-lyntur	sí t.d.bleyt-,bráð-,frí-,góð-,harð-,hvass-,ljós-,lætt-,mis-,mjúk-,spak-,tung-
lynur	(plfr.)ahorn
lyst	1(sj.)lystur2gleði, frøi,við leik og lystvið stórari frøi;tað er mín stóra lyst at vera saman við abbasoninum;sms. t.d.matar-
lysta	s9í osb. sume-nel.e-m lystirein hevur hug til, e-nel.e-m fýsir;megel.mær lystir;(kvæð.)nú lystir meg í dansin at gá;meg lystir á sjógvin út;gera tað, e-m lystir;meg lystir at fara;alt tað, lívið lystiralt ið ein hevur hug til;sum tað lystirsama ger,eg eri móður og illa svøvntur, men sum tað lystir, eg haldi á fjøllini
lystarsterkur	sum hevur góðan hug til (at gera) e-t,teir vóru reiðiliga ikki lystarsterkir(at rógva út)(FFÆ142)
lystigur	1glaður, fróur, kátur, ljóðkátur,teir lystigir og glaðir fóru at dansa2girndarfullur
lystiligur	góður, gleðiligur, hugaligur,svarið, hann fekk, var lítið lystiligt;ikki var hvør dagur so lystiligur hjá honum;hj-liga,dansa lystiliga
lystimeti	1góðgæti(etið meira av brelli enn til mettu),hvonnin var nýtt til lystimeti2(flutt m.)ítriv,íel.til lystimetitil stuttleika,mangur hevur hund einans til lystimeti
lystugur	lystigur
lystur	1hugur (eftir e-m), brell, girnd, trá, tráan, lyst2kæti, gleði,lívið var ikki lystur og leikur;sms. t.d.matar-
lý	(stb.)glotti, ljóski,nú er ein lý í havsbrúnni, tað man fara at klára í
lýa	sbr.lý
lýbelti	(landafr.)øki norðan fyri flóbeltið, temprað belti
lýddur	sbr.líddur
lýdni	tað at vera lýðin;sms. t.d.ó-,trúar-
lýða	1lýða álurta eftir,viljið tær nú lýða á2akta, vera lýðin, virða,lýða faðir og móður;lýða boð3tosa spakuliga, teska,lýða e-m e-t í oyrað;lýðastteska sínámillum
lýðin	sum aktarel.ger eftir boðum, hoyriligur,lýðin móti e-m;sms. t.d.gud-,ó-
-lýður	síborgar-,undir-
lýðveldi	(stjm.)ríki við beinleiðisel.óbeinleiðis valdum forseta at stjórna avmarkað tíðarskeið, tjóðveldi(eis.um stýrisskipanina),móts.kongsveldi,Ísland er lýðveldi[da.republik]
lýggjur	flógvur, flóligur, fjálgur,tað er lýtt í veðrinum;lýtt veður
lýgur	sílúgva 2
lýkka1	lýtt veður, varmi;sms. t.d.vár-
lýkka2	1(um veður)gerast lýggjari, lýna (1),tað lýkkar2hita, fløva (t.d.vatn, mjólko.tíl.), lýna (2)
lýkkumjørki	mjørki í lýkku
lýlendi	lívlendi
lýlendur	lívlendur
lýligur	heldur lýggjur
lýna	1gerast lýggjari, lýkka 2(1),fyrst í februar lýnaði veðrið aftur;hann lýnaði veðrið2hita (eitt sindur), lýkka 2(2),mjólkin verður lýnað
lýni	(ein) lítil hiti, fløvi, lunki, lýkka,nú er ein lítil lýni í veðrinum(heldur lýggjari);ein lítil lýni er í ovninum
lýra	(tónl.)ljóðføri líkt hørpu
lýregn	regn í lýveðri
lýrikkur	(bókm.)skaldskapur í bundnum máli(ið sýnir huglag, kensluro.tíl.),lýrikur
lýrikur	(bókm.)lýrikkur
lýriskur	(bókm.)viðv. lýrikki,lýrisk yrking
lýrur	(fisk.)fiskur av toskaslag(til støddar sum stórseiður),lini 2, hvítseiður(Pollachius pollachius)
lýs	sílús
lýsa1	(stb.)lýsi (1)
lýsa2	1geva ljós frá sær, skína,vakurleikin lýsti av henni2gerast dagur, degna,lýsa avel.fyri degi3klára í, tynna í,straks lýsti í mjørkanum;tað tók at lýsa í mjørkan;nú lýsti aftur í ælið4vísa (e-m) veg við ljósi,sólin, mánin og stjørnurnar lýsa okkum5kunngera alment, kunngera við lýsing, opinbera,lýsa til fundar;lýsa dóm;lýsa frið;lýsa ein í bann;lýsa víggi,sívíggj 1;starvið er lýst leyst;lýsa eftir e-m(t.d. ið horvin er);lýsa í bløðunum;(kirkj.)lýsa til hjúnalags (fyri tveimum)kunngera (í kirkju) at tvey skulu giftast,tað varð lýst fyri teimum sunnudagin;(gl.)út var lýst í kirkjunilýst varð(til hjúnalags)triðju og síðstu ferð í kirkjuni6geva lýsing av, greiða frá,lýsa fólkini í søgu;lýsa gongdina í einum máliviðfs/hjlýsa avlætta (4),(kvæð.)tá tók tokan at lýsa av;lýsa íklára í,tá lýsti í;lýsa ígjøgnum(lækn.)kanna (t.d. lungu) við at senda røntgengeislar ígjøgnum;lýsa uppboða alment frá(t.d. kunna almenning um e-t),hesin peningur er ikki tín, tú mást lýsa hann upp;lýsa útlýsa (5) brúðarvígslu triðju og seinastu ferð;sms. t.d.bann-,eyg-,upp-
lýsari	ein ið lýsir (t.d.í bløðum)
lýshús	lýsihús
lýsi	1ljós,arbeiðslýsi;dagslýsi;mánalýsi2flótandi fiti úr fiski (t.d.sild)el.úr livurel.spiki av dýrum (t.d.hvali)(áður nýtt t.d. í kolu),taka lýsi;havhestur sprænir lýsi;sms. t.d.bakka-,brosmu-,døglings-,glám-,hvala-,ill-,kúlu-,kvøld-,livrar-,miða-,stjørnu-,undir-
lýsiblika	blika 1(1) á sjónum av lýsi
lýsidálkaður	(um fugl)dálkaður av lýsi (2),lýsidálkaður fuglur
lýsifløska	fløska viðel.til lýsi
lýsifuglur	lýsilomvigi
lýsigrugg	grugg av lýsi ið legst á botn í lýsitunnu
lýsigull	(bíbl.)ljóst gull, hvítagull,móts.reyðargull
lýsihús	hús til at smelta lýsi í
lýsikerald	træílat til at goyma lýsi í
lýsikíkur	grindarkíkur til at goyma lýsi í,lýsið varð fylt í lýsikíkar
lýsikola	kola 1
lýsikrota	krota 1(1) av smeltaðum lýsi
lýsilampa	lampa ið brennir lýsi
lýsilomvigi	lomvigi sum havhestur hevur spýð lýsi á, lýsifuglur,sita og kúra sum ein lýsilomvigi(um e-n ið er illa heitin)
lýsimikil	við nógvum lýsi (2),sild er lýsimikil fiskur
lýsing	1tað at tað lýsir av degi, degningur, bláning, dagbretting,í lýsingini2tað at lýsa 2(5), almenn kunngerð(t.d. um e-t ið er til sølu)3(kirkj.)tað at lýsa 2(5) í kirkju(at tvey skulu giftast)4frágreiðing, frásøgn, greinargerð (um e-t);sms. t.d.eyg-,hálva-,sølu-,yvir-
lýsingablað	blað við lýsingum,lýsingabløð verða borin út í húsini
lýsingarháttur	(málfr.)bent sagnorðssnið við lýsingarorðsgildi,tátíðar (el.annar) lýsingarháttur;nútíðar (el.fyrri) lýsingarháttur;"tikin" er annar lýsingarháttur av "taka";"takandi" er fyrri lýsingarháttur av "taka"
lýsingarhjáorð	(málfr.)hjáorð sum sigur hvussu e-t verður gjørt, hvussu e-t er háttaðo.tíl.,"fagurliga", "varliga", "illa" eru lýsingarhjáorð
lýsingarorð	(málfr.)orð ið lýsir eginleika hjá navnorði(adjectivum),"reyður", "stórur" eru lýsingarorð
lýsingarseta	seta 2(2)(t.e. lína ið verður sett)í lýsingini,vit róðu um dimmið út á havið at seta lýsingarsetu
lýsingaræl	æl í lýsingini (1), degningsæl,móts.skýmingaræl
lýsingastova	skrivstova ið ger lýsingar (2)[da.reklamebureau]
lýsingur	(fisk.)fiskur av toskaætt(Merluccius merluccius)
lýsiposi	(sjóm.)posi við lýsi(hongdur niður við borðinum til at slætta sjógv)
lýsipottur	pottur til at smelta lýsi í
lýsiprilla	prilla (1) til at goyma lýsi í
lýsiræni	(skemt.,gl.)lýsitakari(segðist stjala til egna nýtslu)
lýsismeltari	maður ið hevur til arbeiðis at smelta lýsi
lýsismelting	tað at smelta lýsi
lýsitakari	(søg.)maður ið tók ímóti lýsi við einahandilin í Havn
lýsitrekt	trekt at lata lýsi ígjøgnum (í tunnur),lýsi varð latið í tunnur gjøgnum eina lýsitrekt;húgvan var sum ein lýsitrekt(skitin og snykut)
lýsitrygil	avlangur trygil við túti í endanum at klára lýsi í og stoyta tað á koluna við
lýsitunna	tunna við lýsi
lýsna	gerast ljósurel.ljósari,hagin lýsnar(fær vetrarlit)
lýsutur	(um fugl)dálkaður av lýsi, lýsidálkaður,lýsutur nátaungi
lýta1	(sj.)lýti,ein lýta var við honum
lýta2	vera (e-m) til lýtis, gera ljótan, skemma, misprýða,hon hevði eina kambfjøður, sum lýtti hana;(tilt.)gekkur lýtir hálvgjørt verk(lastar);hann vildi svølta stjúkdóttrina, at hon skuldi lýtast nakað;hon er so burturlýtt(ljótkað, afturfarin);lýttursektaður fyri brotsverk,sbr.ljótka
lýtagerð	skarnsgerð, skemdargerð
lýtaleysur	uttan lýtiel.brek, vammaleysur,lýtaleyst verk(væl úr hondum greitt)
lýti	e-t ið lýtirel.skemmir, brek, misprýði,hon var fødd við einum lýti: einum vanskeplaðum fóti
lýtt	sílýggjur
lýtta	lýða,lýtta e-m e-t í oyrað;teir hava staðið og lýttast(teskað saman)
lýttur	sílýta 2
lýtur	síljóta
lýveður	(liggjandi) lýtt veður
lývæta	sirm, surk í lýveðri
lývæti	lývæta
læ	pláss har ið lívir, lívd fyri vindi,í læ;finna sær læ aftur undir e-m
læa1	flenna 2,læa at e-m;hann fær steinarnar at læa(fær øll at læa);tað lær hvør kjøtbiti, á henni erhon er ovurfegin;hann læði viðhann fór at flenna(av e-m ið sagt el. gjørt verður),læa eftirlátur á seg,síeftirlátur;(tilt.)býtt er tað, at ongum lær, og so er tað, at øllum lær,sbr.gekkur;(orðt.)lán(ið) skal koma læandi aftur(í góðum skili);alt lygnir og lær,sílygna 2;sms. t.d.háð-,spott-
læa2	geva, gera lívd,hann var landnyrðingur, so tað læaði
læborð	(sjóm.)(á skipi el. báti)borðið í læ, lívborð,móts.gulborð
læga	1(kvæð.)gera lægri, lækka,læga segl;sólin tekur at læga(fara niður)2(um vind)minka,hann er farin at læga vindin;nú lægar vindurin
lægd	1lækki í lendi, lág, kassur, keka2bugur, hjóling niðurí(t.d. á borðskeyta av árini)3(veðurfr.,sj.)lágtrýst
lægdutur	(um lendi)við lægdum,tað er so heyggjut og lægdut
lægri	avlágur
lægstbjóðandi	tann ið býður lægst á uppboði;sbr.hægstbjóðandi
lægstur	avlágur
læk	síleika 2
lækja	lítil fossur(gjørdurel.natúrligur)í løki(at taka vatn úr og at vaska undir),fara út undir lækjuna;hon lá úti undir lækju og vaskaði karmar
lækjubein	bein (t.d.kjálkabein av grindahvalio.tíl.) til vatnið í lækjuni at renna útav
lækka	1gera lægri, læga (1),lækka um e-t;lækka seglini2fara (hóvliga) niður, dala,sólin lækkar;barometrið lækkar3(um vind)ganga niður í ættir millum útsynning og landsynning,hann lækkar;sbr.hækka4lækka segfara omaneftirel.niðureftir,seyðafylgið hevði lækkað seg omaneftir í hagan5lækkast ápína, plága(sagt tá ið óhapp el. sjúka ofta var í e-m húsi),har lækkast so mangt á
lækkan	lækking
lækki	lægd,ryggjarskapilsi er báðumegin henda lækka
lækking	1tað at lækkael.gera lægri,talan er um smærri hækkingar og lækkingar fyri tey størru akførini2tað at lækka (2), dala,barometrið var í lækking3tað at hann kemur lágt
lækkingarská	(stb.)skái tá ið hann skiftir frá høgætt til lágætt
læknaávísing	(lækn.)1ávísing frá lækna um heilivág, resept,heilivágurin fæst bara við læknaávísing2ávísing frá lækna tilt.d.serlækna
læknabládepla	(plfr.)slag av bládeplu(Veronica officinalis)
læknabók	(lækn.)bók um sjúkur og sjúkuviðgerð
læknadagbók	(lækn.)sjúkradagbók
læknadømi	umdømi (1) ið lækni hevur at røkja
læknaeirisgras	(plfr.)slag av eirisgrasi(Cochlearia officinalis)
læknafelag	yrkisfelag hjá læknum
læknaferð	ferð eftirel.við lækna,læknaferðirnar hava ikki altíð verið mjúkar
læknafrøði	(lækn.)frøðigrein um mannalikamið og sjúkur tess og lekidóm, læknavísindi
læknafrøðiligur	(lækn.)viðv. læknafrøði,læknafrøðilig lærubók
læknahjálp	hjálp sum lækni veitir sjúklingi(fyri sjúku)
læknahond	doktarahond,koma undir læknahond
læknahús	embætishús hjá lækna
læknakanning	kanning ið lækni ger (av fólki)
læknaknívur	(lækn.)knívur til skurðviðgerð
læknakynstur	kynstur í læknaligum arbeiði, læknaligt kynstur
læknakønur	(um ólært fólk)kønur at grøða sjúkur
læknaligur	viðv. læknastarvi,læknaligt arbeiði
læknaloysi	tað at læknaembæti er ósett(t.d. á sjúkrahúsi el. í ávísum læknadømi)
læknalurt	(lækn.)lurt (2)
læknalyfti	(lækn.)lyfti ið nýútlærdir læknar geva eftir lokið embætisprógv um at fremja læknayrkið við samvitskusemi
læknalærdur	útbúgvin sum lækni
læknamál	læknalig málel.viðurskifti, læknaviðurskifti
læknaráð	ráð frá læknael.læknakønum fyri sjúku, heilsuráð
læknaskrivari	(lækn.)skrivari hjá lækna
læknastjóri	(lækn.)stjóri fyri læknastarvslið(át.d.sjúkrahúsi),landssjúkrahúsið hevur eina tríbýtta leiðslu við sjúkrahússtjóra, sjúkrarøktarstjóra og læknastjóra
læknastova	viðtalsrúm hjá lækna
læknastudentur	studentur ið lesur læknafrøði
læknavakt	vaktarskipan ið tryggjar sjúklingum læknahjálp á nátt og halgidagar
læknaváttan	váttan frá lækna um heilsustøðuna hjá ávísum fólki
læknaviðgerð	viðgerð hjá lækna
læknavísindi	(lækn.)læknafrøði
læknaørindi(r)	ørindi til lækna, tað at fara til lækna
lækni	(lækn.)ein ið er lærdur í læknafrøði(við almennum loyvi at gera læknaligt arbeiði),doktari (2);sms. t.d.djóra-,eygna-,háls-,hjálpar-,húð-,lands-,nerva-,oyrna-,ser-,skurð-,skúla-,tann-,yvir-
lækning	lekidómur, grøðing,evni, sum tey gomlu nýttu til lækningar
læknisdømi	(gl.)heilivágur
læligur	(um veður)sum er í lívd fyri vindi,her, sum vit eru, er so læligt, men úti á fjørðinum er fitt av vindi;hj-liga,hesi eplini standa so læliga(væl vard fyri vindi);sbr.lagligur 2
læmingi	(dj.)slag av útl. gnagdýri(Lemmus)
læna	1fáa til láns (í avmarkaða tíð),læna pengar;læna bøkur á bókasavninum2veita til láns (í avmarkaða tíð),læna e-m e-t3(støddfr.)økja talið longst til høgru við 10 samstundis minka talið vinstrumegin við 1,7 frá 5 ber ikki til, so vit mugu læna frá talinum frammanfyri
lær	1partur av beini (2) millum mjødn og knæ,leggja e-n á lærið(fleingja);(tilt.,bjarg.)fara (niður) undan læritaka línuna millum beinini og seta seg á hana og aka spakuliga niðureftir meðan hildið verður við vinstru hond um línuna omanfyri og givið út við høgru undan høgra læri;(tilt.)sita lærið av e-mvera ov nærgeingin (t.d. við vin);(orðt.)sit vini tínum nær, men sit ikki av hans lær2(stb.)tjógv av seyði,taka burtur úr læriskera sinabitan burtur úr tjónum(RJ Vambk.98)3(bát.,skip.)aftasti partur á skips-el.bátssíðu, loring,sita á lærinum(á lærbekki);sms. t.d.bakborðs-,stýriborðs-
læra1	1tað ið boðað verður, boðskapur,Jesu læra2tað ið ein nemur sær av vitan, royndumo.tíl., lærdómur3yrkislig útbúgving(serst. í handverki, ídnaði og handli);sms. t.d.bendingar-,heimstaðar-,kirkju-,landa-,ljóð-,mál-,orðalags-,orða-,plantu-,siða-,teldu-,trúar-
læra2	1veita (e-m) kunnleika, lærdóm, undirvísa, kenna (4),læra e-n e-t;hann lærdi hana at svimja;læra frá særgeva frálæru;læra e-n tilgeva e-m eina ábreiðslu;læra e-n uppgeva e-m (fullan) lærdóm;læra upp á e-nrætta 3 upp á ein(ið ger e-t skeivt)2ogna sær kunnleika, lærdóm,læra til e-t (timburmann, bakarao.tíl.);her lærdi hann at lesa og at sita friðarligur í lestri;hann lærist ikkihann tekur ikki við lærdómi(t.d.um ein sum ger mistak um aftur)
læraband	1(bjarg.)lærabondullarbond um lørini á sigmanni2(á klyvjarossi)band úr aftaru leypsstuðlunum aftur um løriniel.gumpin, lærfetil,onkur brúkti lærabond, har ið bratt var;sbr.sperruband
lærarafelag	yrkisfelag hjá lærarum,Føroya lærarafelag
lærarafólk	lærarar
lærarahús	tænastubústaður hjá lærara
læraralærdur	útbúgvin sum lærari
læraraprógv	prógv ið gevur førleika at virka sum lærari
lærararáð	(skúl.)ráð (2) sum skúlastjóri og allir lærarar (í føstum starvi) á einum skúla eru limir í
læraraskúli	(skúl.)skúli ið veitir læraraútbúgving(til fólkaskúlan)
lærarastova	(skúl.)stova hjá lærarum(at sita í millum tímarnar)
lærari	(skúl.)ein sum gevur frálæru (í skúla);sms. t.d.ferða-,heima-,hús-
lærarinna	kvinna ið er lærari
lærasótt	sjúka hjá seyði(ger at lørini svinna)(Sv Indb.738)
lærár	(bát.)ár 1 ið róð verður við á lærbekki,árarnar vórðu lagdar eftir bekkjunum, toftuárin uttast, síðan bógvárin, rúmárin og innast lá lærárin
lærband	(sj.,bjarg.)læraband,lærbond og herðabond
lærbekkur	(bát.)aftasti bekkur í báti
lærbrot	brot á lærleggi
lærbrotin	við brotnum læri
lærbøllur	(í tátti)reyvarbøllur
lærdómsmaður	lærdur maður
lærdómssetur	miðdepil fyri vísindaliga gransking
lærdómsstovnur	lærustovnur
