H	rómv. taltekn fyri 200
hvítur	1sum kavi á liti, heilt ljósur,móts.svartur,hvítur hvalur;hvít ær;hvítt hold;hvítur sum fonsnjóhvítur;(kvæð.)kinnur var hvítur sum hermalín;tað sást ikki hvítt nakrastaðni við landið(runaði ikki);har sat hvítt av ritu um sumrini(avtakið);skuldi nakar hvítur biti vera á jólum, so var at fara í handilin og aftur á kvørnina(av hveiti);úti á hvítumuttan fyri reyðfiskaleið;(tilt.)læa við hvítum tonnum:tú lært ikki við hvítum tonnum, fært tú tvøstsnert(tá verður tú ikki fegin);(tilt.)er lambið hvítt, verður árið blítt(um fyrsta lamb ein sær á árinum);(tilt.)nú er hin hvíti komin fyri dyrnar(um tað fyrsta kavafølvið í túninum);(orðt.)ilt er svart skinn hvítt at tváael.tvá;gerael.vísa hvítt1hyggja upp til yvirmenninar á brúnni (á trolara)(at gera seg til fyri teimum)2hyggja uppeftir av erpinskapi,tú vart so erpin, tú komst framvið, tú gjørdi hvítt(sagt t.d. við hálvvaksna gentu, ið hevði fingið nýtt plagg)2við hvítum holdi,hvíti maðurin hevur gjørt nógv um seg í heiminum3hvíthærdur,hann er vorðin púra hvítur4(talv)hvíta talvfólkiðel.ella tann ið leikar tað,hvítur eigur leik5reinur, ósekur,hvít lygnneyðlygn6(stjm.)andkollveltingarligur(aftan á russisku kollveltingina:),andkommunistiskur,móts.reyður (3);sms. t.d.bein-,blá-,elli-,fann-,fon-,fót-,hjóm-,huppa-,kava-,krit(a)-,miðju-,ná-,rá-,silvur-,skinn-,skúm-,snjó-,vong-
hvítusunna	(átr.)hátíð til minnis um komu heilaga andans(49 dagar eftir páskir)
hvítusunnuaftan	dagurin fyri hvítusunnudag
hvítusunnudagur	sunnudagur í hvítusunnuhalguni,annar hvítusunnudagurmánadagur í hvítusunnuhalguni
hvítusunnukvøld	hvítusunnudags kvøld
hvítusunnulilja	(plfr.)urtagarðsplanta við hvítari blómu(sprettur vanl. á hvítusunnu)(Narcissus poëticus)
hvítusunnumorgun	hvítusunnudags morgun
hvítusunnusamkoma	(átr.)kristilig samkoma sum leggur dent á dóp heilaga andans og náðigávur sum tungutalu, grøðingo.a.
hvítvín	borðvín av ljósum vínberjum
hvítvæðingur	barn ið doyr nýføðingur(og sum eingin ivi er um sæluna hjá)(Sv)
hvítøl	dimt veikt øl bryggað við yvirgeri
hvokkin	síhvøkka
hvonn	(plfr.)slekt í skjólurtarætt(serst. blaðstelkurin á hesi plantu)(Angelica);sbr.bjargahvonn,heimahvonn;hvonn skuldi ikki verða etin í vátveðri, tí tað kundi geva herviligt munnsár;á jóansøku var hvonnin staðin;(skaldsk.)á landsbygd har eta tey sýrulegg og hvonn;(tilt.)brellast sum trøllbørn eftir hvonnum á jólanáttvilja hava e-t (í ótíð), trákkast eftir e-m ið ikki fæst(Sv);sum hvonn(in)sera beinur(t.d. um beinviðað træ);báturin rann sum hvonninel.fór beinur sum ein hvonn(rann sera beint);sms. t.d.bakka-,eiris-,kirkjugarðs-,sløkju-,svína-,trølla-
hvoppin	síhveppa
hvorvin	síhvørva
hvukku	síhvøkka
hvuppu	síhveppa
hvurvu	síhvørva
hvussu	1(spyrjandi)á hvønn hátt, hvat,hvussu liva tygum?;hvussu veit við?;hvussu gongst?;hvussu eitur tú?;spyr hvussu hann eitur!;hvussu gamal ert tú?;hvussu er ættin?;hann spurdi, hvussu rak(hvat rák var);vita hvussu leikur fór!(hvussu av tornaði);hvussu var og ikkihvussuleiðis hesi viðurskifti mundu vera,men hvussu var og ikki, so hevði fólk balst her á plássinum í øldir;íel.ið hvussu (so) erundir øllum umstøðum,eg verði ið hvussu er á fótum aftur í næstu viku;hvussu teir so leitaðu, funnu teir einki;hvussu hann toyggir seg, sær hann ongan fyri uttan2(áherðandi)á, hvussu tað er stuttligt(nei, sum ...);á, hvussu tú ert vøkur;nei, hvussu búnin ber tygum væl3(afturbeint)eg veit ikki, hvussu eg skal gera;hann veit ikki, hvussu fer(hvat fer at henda);tey vistu ikki, hvussu tey skuldu fara at við honum;teir sóu væl, hvussu sorgarfull tey gomlu vóru;sig mær, hvussu brøðurnir eru farnir fram móti tær
hvussuleiðis	hvussu
hvæl	(kvæð.)hjól,borgin tekur á hvælum ríða
hvæs	hást ljóð, hosti,hann fekk ikki orðið upp, men bara eitt knappligt hvæs;forbiðið hvæs, eg havi ikki blundað á náttini(fyri e-m ið lá og hostaði)
hvæsa	geva hvæs frá sær(t.d. av hostael.illsinni),græla, ríkja,"tín spilliklútur," eydnaðist kokkinum at hvæsa inn í eyguni á honum;veðurlambið setti kleyvarnar ímóti, treiskaðist, hvæsti og vildi kvalast;eg hoyrdi hann hvæsa(hosta ríkjandi)(um mann við bróstmøði);hvirlurnar froystu hyljar og áarløkir upp og komu so hvæsandi við einari vatnflóð framman undan sær
hvæsan	tað at hvæsa,hoyrdi hann knappliga sterka og áhaldandi hvæsan;tað fór sum ein ill hvæsan út eftir firðinum(hvirlur og glaðurok)
hvæsi	(sj.,stb.)bróstmøði,eg havi eitt sovorðið óreint hvæsi
hvøkka	1gerast kløkkurel.skakkur, støkka (1)(av bilsni, ræðslu),eg hvakk við;hann hvøkk við, tá ið steinbíturin fór at brestast;hvøkka uppstøkkael.leypa upp(av knappligari pínu, stingio.tíl.),kettan hvakk upp og gløddi eins og í ørviti uttan um seg2fara aftur, svinna, minka,stirðilin man fara at hvøkka, sum árini líða(vikna);tað hvøkkur ikki í tí (t.d.ílatinum)(minkar ikki);(kvæð.)hvokkin er hann Grímur á skóg(vanl. sagt tá ið ein er afturfarin til reystleika el. dirvi, viknaður)3tódna4vaksa (eitt sindur) brádliga,børnini eru ikki hvokkin úr stilli hesa seinnu tíðina(eru ikki vaksin eitt petti, standa í stað)5(um torv)torna nakað,torvið er hvokkið(so mikið at tað er uppsetandi)6(um rák)reka spakuliga, gnaga (2),tað er ikki meira enn tað hvøkkur;tað er farið at hvøkka norður
hvøkkin	ið lættliga hvøkkur við, støkkin, hveppin,viðhvørt eru sjúkueyðkennini, at sjúklingurin er móður, hvøkkin og ongan frið hevur á sær
hvøkkja	loypa hvøkk á, kløkka
hvøkkur	1tað at hvøkka (1), kløkkur 1,loypa hvøkk á (e-n)gera skakkan, hvøkkja;hvøkkur kom á teirteir gjørdust skakkir;fáa ein hvøkk:neytini fingu ein hvøkk og gjørdust ólátað2skelkur,tað var skilligt, at hann hevði fingið ein hvøkk av dreyminum;ein mentanarligur hvøkkur3eitt vet,tú hevur flutt tað fram ein hvøkk4tað at hvøkka (2), svinn, minking,tá var hvøkkur í vøttitá gjørdist peningapungurin nærum tómur(Sv)
hvølja	húð á hvali(svørt á liti),svartur sum hvølja(n);teir gomlu søgdu, at rognkelsi hevði hvølju;sms. t.d.grinda-
hvøljuál	ál av hvølju(til t.d. homluband)
hvøljulopin	1(um hval)við losnaðari hvølju,døglingurin var hvøljulopin2ógvuliga skitin(av gomlum skitti),hvøljulopið fólk;hvøljulopnar buksur(blankar av skarni)
hvøllur	snjallur, gellandi,hvøllur brestur(harður);hvøllur lúður;hvøll floyta;eitt hvølt skot;vera hvøllur á málinum;hann hoyrdi hvølt málageip heiman fyri seg(harðmælt);lógvin er so hvølltað brestur í lónni;tað hoyrist so hvølt(týðiliga);hann segði tað bæði hart og hvølt;(kvæð.)rópa hvølt og hátt;hann var so hvøllur á børnunum(deildi)
hvølpafiti	fiti hjá smábørnum (sum fer av teimum so hvørt sum tey vaksa)
hvølpakvið	hvølpakviður,missa hvølpakviðið
hvølpakviður	k12í osb.kasta hvølpakviðinumel.missa hvølpakviðin(um børn)vaksa frá barnaskapilsinum, missa hvølpafitina,tú brúkar teg, sum ikki hevur mist hvølpakviðin
hvølpalás	trælás við hvølpum (4)(t.d. á hjalli)(Sv Indb.Tab. XVII)
hvølpalótir	kv flt2í osb. sumhann er fullur av hvølpalótum(um unglinga ið ger ónáðir í spølni og ovfarakæti)
hvølpatenn	(dj.)tenn á hunda- og kópahvølpum,kasta hvølpatenninar
hvølpatík	kviðin tík
hvølpaull	ull á kópahvølpi,missael.kasta hvølpaullina;3 - 4 vikur gamlir kasta teir hvølpaullina og fáa hin rætta litin(um láturkóp)
hvølpur	1(dj.)avkom hjá hundi, kópi, hvalio.ø.,Giljabóndin hevði flýtt Jenisi ein hvølp at venja til seyðahund fyri hann;(kvæð.)ofta hevur vaksið ungum hvølpi hvassar tenn í góma (el.munni)(tann ungi kann eisini vera raskur og djarvur);ungarnir hjá láturkópi vórðu kallaðir hvølpar og teir smæstu nósar ella svidningar;skjótt kemur hon norður aftur við hvølpi sínum(kúlubøka);(tilt.)kasta hvølparhava ringt áralag2lítil tarabrúk, brúkarhvølpur3lítil tubbakskistil,hvølpur við blákardús4lítil avlangur trælutur í hvølpalási,hvølparnir eru tey smátrøini, sum falla niður í skurðirnar í lokuni, og sum naddarnir á lyklinum lyfta uppúr;blindur hvølpureykahvølpur undir lokuni(loypur upp í skoru í lokuni og læsir um onkur vil fáa lásið upp við at sláa upp undir tað)5(niðr.)nalvungi,hasin hvølpurin!(um unglinga ið heldur seg vera)6(stb.)veðrur (3);sms. t.d.bóg-,brúkar-,grinda-,hunda-,hýsu-,kópa-,lær-,músa-,steinbíta-,tíkar-
hvølt	síhvøllur
hvølv	hválv
hvølva	1fáa at venda botnin upp, holva (2),ein hvalur mundi hvølvt bátin;báturin hvølvdist2koyra um koll(so at rennur úr),stoyta,hann hvølvdi ílatið (glasiðo.s.fr.);eitt vaskifat, sum stóð við pultin, var hvølvt undir drápinum;hon treiv eftir eini strippu við fiskasoð og hvølvdi niður yvir hann(stoytti);potturin hvølvdist eftir gólvinum3(sj.)holva (1),(gáta)fult, tá ið hvølvir, tómt, tá ið stendur(húgva)4(um aldu)bróta eitt sindur,tað hvølvir á flúrinum5hvølvdur(um bát)við kjølinum upp,báturin flýtur hvølvdur
-hvølvdur	sítví-
hvølving	(á aldu)hjóling (2), holing (3), holving, skalving (1),báturin kom undir eina hvølving;vit komu undir hvølvingina, so brotið holvdi niður yvir bátin;hvølvingarnar vóru øgiligar at síggja;sms.mønu-
hvøngan	(gl.)hvnfsíhvørgin
hvønn	síhvør
hvønndags-	ið nýttur verður gerandisdagar, gerandis-,sms. t.d.-drekka
hvønndagsgestur	k15í osb.ikki hvønndagsgesturein ið ikki kemur vanliga á gátt, sjáldsamur gestur
hvønndagskendur	gerandisligur
hvønndagsklæddur	gerandisklæddur
hvønndagsklæði(r)	gerandisklæði
hvønndagskostur	hvønndagsmatur
hvønndagsligur	gerandisligur,slíkt fólk var ikki hvønndagsligt her;hann er so hvønndagsligur maður(ikki stoltur, gemeinur, óuppgjørdur)
hvønndagslív	gerandislív
hvønndagsmaður	k41í osb.ikki hvønndagsmaðurikki hvønndagsgestur,tú ert ikki ørindaleysur her í kvøld, tí tú er ikki hvønndagsmaður her til húsa
hvønndagsmatur	k12eí osb.ikki hvønndagsmaturmatur ið sjáldan verður etin, forkunnigur matur
hvønndagsskrúðir	kv flt2(orðt.)hvønndagsskrúðir eru ikki hátíðisprúðar,síhátíðisprúður
hvønndagsstarv	gerandisstarv
hvønndagsstríð	dagligt stríð, gerandissjagg
hvønndagsyrki	dagligt yrki, hvønndagsstarv
hvønndagsøgn	kv7í osb.drúgv er hvønndagsøgnel.hvønndagsøgnin er hin drúgvatað sindrið ið verður gjørt hvønn dag ger mun tá ið samanum kemur
hvønnfall	(málfr.)fall (8) stýrt av ymsum sagnorðum og fyrisetingum(accusativus),hvønnfall av "bátur" er "bát";hvønnfall av "fjørður" er "fjørð";sbr.hvørfall,hvørjumfall,hvørsfall
hvøns	síhvør
hvønsmansligur	l3:ikki hvønsmansligtikki fyri hvønn mann, ikki lætt,tað var ikki hvønsmansligt at taka tann grepp av garði
hvøpp	síhvappur
hvøppa	hveppa(Sv)
hvør1	1(spyrjandi)hvør ræður?;hvør er hasin (handa, hatta)?;hvør er har?;hvønn sást tú?;hvørjum býr hann hjá?;hvør tykkara?hvør av tykkum?;hvør er í mánaðinum í dag?hvat dagur?;hon segði, hvør hon var;tú veitst, hvørji ørindini eru;kúgvin skal verða avsnarað, hvør hana so eigur(sama hvør eigur hana);hvør ið ...:tað er ikki gott at vita, hvør ið fer at vinna dystin;enn ivaðust menn í, hvør ið mundi fara at vera við yvirlutan;hvør ið kvik var at seta bytturnar frá sær, var hon(tann ið ...);hvør, ið livirum eg livi (so leingi)2(ávísandi)allir,hvønn dagallar dagar;hvør einel.ein og hvørallir (allar, øll);tað er ikki á hvørjum sinniel.bragði, at ...(um e-t ið ikki hendir ofta);hvør teirrahvør einstakur av teimum(av tveimumel.fleiri);hvør okkaratann einstaki av okkum,hvør okkara, sum vinnur;gingu tveir menn, ein fyri hvønn partin, saman at glímast;tær settust hvør í sín stól;teir fingu hvør sína rót;teir vóru góðir við hvør sína gentu;hvør systirin setti seg á sína ognina;100 m hvønn vegin(í ferhyrning);tá ið várið kemur, økist afturat hvønn dagin(eitt vet dag frá degi);teir kunnu vera her hvørja løtu(nær tað skal vera);tað er fyri hvønn manntað vita øll;teir stóðu har hvør sínumegin(ein á hvørji síðu);hvørt Guds skapta kvøld(hvørt einasta);seyðurin hevði gingið seg fastan og bitið hvørja grasrót;maðurin rakti við ternurnar og tók hvørt eitt egg(hvørt einasta eitt);hvør særein og ein, hvør einsæris;tað var ikki hvørs (el.hvøns) mans føriikki ein og hvør ið megnaði tað, tað var torført;annar (triði, fjórðio.s.fr.) hvørvið einum (tveimum, trimumo.s.fr.) ímillum;hvør ... annan:hvør legði annan eftirallir royndust av tí besta;lossimenn og keypmenn runnu hvør um annan;teir vóru eftir henda dag oftast góðir hvør við annan;íbúgvarnir liggja allastaðni í stríð hvør við annan;hvør ... øðrum:nú ganga vit á fjall hvør við øðrum(saman);teir lærdu hvør av øðrumel.av hvørjum øðrum;teir róptu í holið hvør á øðrumel.á hvørjum øðrum;Hans og Petur bygdu báðir hús føst í hvørjum øðrum;... hvønn annanhvør ... annan,teir vóru óðir við hvønn annan(hvør við annan);hvørt um annaðhurl um burl, í blandi;tað kann vera hvørt sum annað(eingin munur á);tað er hvørt sítttað er ikki tað sama;og hvørt av sínumog ymist tílíkt;(vera) hvørt eftir øðrumhóska væl saman;í hvørjumalsamt,tað versnar í hvørjum;vindurin vaks í hvørjum;so hvørtso við og við, sum frá líður,til tess at tenninar skulu ikki verða ov langar, mugu tær máast niður so hvørt;so hvørt sumso líðandi, stig fyri stig sum,hann mentist, so hvørt sum hann vaks;hvørt við øðrumso framvegis;við hvørtav og á, stundum;sms.annar-,ein-
hvør2	1hj(kvæð.)hvussu (1),hann mátti eftir bókini, hvør treyðugt hann vildi;hvør søtur er ikki tann uggi, ið tú hevur lovað tí troystarleysa;(kvæð.)hvør leingi vilt tú, mín sæla dóttir, elva mær tann vanda2hvussuleiðis,í osb.hvør skal siga ...tað er so at skilja ...,hvør skuldi siga, hatta var bara skemt;hundurin stóð har og goyði sum, hvør skal siga: "kom higar og set teg."
hvørfall	(málfr.)fall (8) ið grundliður og umsagnarliður til grundlið standa í(nominativus),navnheildirnar "ein sjógóður bátur", "ein ung genta" og "eitt lítið barn" standa í hvørfalli;sbr.hvønnfall,hvørjumfall,hvørsfall
hvørgastaðni	á hvørgum stað,tey vóru hvørgastaðni at finna
hvørgin	eingin av tveimum,hvørgin vildi hava hana;(kvæð.)hvørgin vildi víkja;(kvæð.)hvørgum vildi hann høvdinginum bukka ella lúta;(kvæð.)vit lata nú hvøngan gjalda(hvørgan);(tilt.)tað er hvørgum høgt,síhøgur (2);sbr.hvørki
hvørgumegin	á hvørgari síðu
hvørjumegin	1á báðumel.øllum síðum,hjá summum døglingum breddar ein tonn fram hvørjumegin í undirkjaftinum;(kvæð.)hvørjumegin stavnarnar tað brá so fagur litur2(spyrjandi)á hvørjari síðu?
hvørjumfall	(málfr.)fall (8) stýrt av ymsum sagnorðum og fyrisetingum(dativus),hvørjumfall av "bátur" er "[á] báti";hvørjumfall av "fjørður" er "[á] firði";sbr.hvørfall,hvønnfall,hvørsfall
hvørki	1einki av tveimum,hvørki í himni ella á jørð;um tey komu at læna, fingu tey hvørki lítt ei stórt frá henni;sbr.hvørgin2í osb.hvørki soikki (nóg) gott;tað var hvørki so(keðiligt);"hvussu hevur tú tað?" -"hvørki so!"(livi ikki væl);hatta var hvørki so(einki at rósa av);bóndahús við ongari konu mundi vera hvørki so3sb:hvørki ... ella:hon hevði hvørki hoyrt orð ella eið frá honum í 5 ár;hvørki ... eihvørki ... ella,kaffi var hvørki brent ei malið;hvørki .. ei heldur:hann var ikki nakar dugnamaður hvørki á landi ei heldur á sjógvi;hann sær hvørki mann ei heldur seyð
hvørkikyn	(málfr.)tað eyðkenni við orði at fornavniðtaðsigst um tað(neutrum),orðið "hús" er hvørkikyn;sbr.kallkyn,kvennkyn
hvørkikynsorð	(málfr.)navnorð í hvørkikyni,"barn" og "eyga" eru hvørkikynsorð
hvørkisgera	(evnafr.)gera árinsleysan,hvørkisgera eiturevniel.sýru[da.neutralisere]
hvørkisgerð	(evnafr.)tað at hvørkisgera
hvørkisligur	sum hvørki er fyri ella ímóti, lutleysur, uttanveltaður, partleysur[da.neutral]
hvørsdagsligur	hvønndagsligur, gerandisligur
hvørsfall	(málfr.)fall (8) ið lýsir ognarviðurskifti og tilhoyringel.kann verða stýrt av ymsum fyrisetingum sum "til" og "millum"(serst. í føstum sambondum)(genitivus),hvørsfall av "bátur" er "[til] báts";hvørsfall av "fjørður" er í sms. "fjarðarbátur";"til Dals", "til Havnar", "millum fjals og fjøru" og "Meginfelag føroyskra studenta";sbr.hvørfall,hvønnfall,hvørjumfall
hvørt	1sb(kvæð.)um,spurdi Tórur, hvørt hann mundi hava fingið stóran skaða;hvørt ... ellaum ... ella,hvørt hann vil ella ei;hvørt her búgva trøll ella fólk;hvørt heldur ... ellaannaðhvørt ... ella,hvørt heldur er hann tann kappin reysti, ella er hann í gandi treystur?2hj(kvæð.)hvagar,hvørt skalt tú ríða, Ólavur mín?;sbr.hvør
hvørv	(fólktr.)hvørvi,kasta hvørv yvir seg
hvørva1	(fólktr.,sj.)hvørvsjón, hvørvi,kasta hvørvu yvir seg;søgn er, at hann, sum finnur ryssuhjálma kann, tá hann ber hann uppi á sær, kasta hvørvu yvir seg, at eingin sær hann, men sjálvur sær hann øll
hvørva2	1fara úr eygsjón, verða burtur,hon hvarv á dyr;brævið er horvið(ikki at finna);(tilt.)hvørva sum matur av borði(um e-t ið verður skjótt uppi)svinna sum blágumma fyri sól;hvørva burtur1fara undir heilt,eina ferð sum smábørn vóru úti og spældu síðla á degi, hvarv ein genta burtur;tað var farið at hvørva burtur mangt og hvat í hjallinum hjá Jákupi(verða stolið)2(bíbl.)týnast, glatast,tí hann skal hvørva burtur eins og blóma á grasi;hvørva burtur í einkitýnast, farast;hvørva seg burtur1rýma (úr eygsjón),mamman rópti aftan á honum og bað hann ikki hvørva seg burtur, men vera við húsini2gloyma seg burtur,nú hvarv eg meg heilt burtur;hvørva sær burturhalda seg burtur frá fólki, vera trølskur,eg havi altíð mest sum viljað hvorvið mær burtur;endin er tann, at hin gamli hvørvur sær út(smýgur sær út)2(stjfr.)hvørvandi sólmánin í minking, skerjandi sól,sbr.sól (3);sms. t.d.bráð-,sjálv-
hvørva3	lata hvørva,kettan hevur hvørvt seg burtur
hvørvi	(fólktr.)hvørvsjón, hvørva 1,kasta hvørvi yvir seggera seg ósjónligan
-hvørvi	síum-
hvørvin	1sum hevur lyndi til at krógva seg burtur, fólkaræddur, innitokin, trølskur,hon var so hvørvin og undanførlig;hon vísti seg at vera eitt sindur hvørvin fyri mær, tá ið eg møtti henni(smæðin);onkur kráka at síggja, undarliga hvørvin og hulislig;vera hvørvin í orðum og lyndivera eitt kvørkviski (1)2(um tógv o.tíl.)fínari enn sýnist,tógvið er so hvørvið;onkur brúkti tvist, men hann var so hvørvin, at hann smeyg millum fingrarnar
hvørving	tað at hvørva;sms. t.d.sansa-,sjón-,sólar-
-hvørvis	síum-
hvørvisjón	1sjónhvørving, sjónarvilling,ein hvørvisjón var farin at mala fyri honum;(bíbl.)eg hati teir, ið fara eftir hvørvisjónum lygnarinnar2(fólktr.)kasta hvørvisjón yvir seggera seg ósjónliganel.ókenniligan,hann skuldi hava eina fýrsmæru og skuldi kunna kasta hvørvisjón á seg;sbr.hvørv,hvørva 1,hvørvi
hvørviskilja1	tól at skilja evni (ymisk til tyngdar) við bráðum snúningum(tyngsta evnið fer longst út orsakað av miðflóttamáttinum),skilvinda, sentrifuga,hvørviskiljan, sum skilur róman úr mjólkini
hvørviskilja2	skilja við hvørviskilju
hvørvisteinur	stórur klingrutur brýnisteinur ið gongur á ási, senda 1,grevið er nýtt og óbrýnt, so tað má á hvørvisteinin;sbr.brigda 2
hvørvni	tað at vera hvørvin, smædni
hvørvsjón	1hvørvisjón (1),stuttar vóru allar hesar hvørvsjónir2(fólktr.)hvørvisjón (2),kasta hvørvsjón yvir seg
