S	rómv. taltekn fyri 70
stúka	síð vovin (ullint) undirtroyggja,tey eru sum stúka og rekkjuváð(um tvey sum eru sera góð);teir eru sum stúkan og rekkjuváðin(um tveir sum ikki skiljast);munur er millum menn og tómar stúkur(rættar menn og ómenni);sms. t.d.beina-,bryn-,roð-,sjó-,skinn-,ullar-,undir-,yvir-
stúkállur	(stb.)íspegil, skálkur 1(1), gekkur (2),ein sovorðin stúkállurein ónytta, eitt spjað;hatta situr bara og ger stúkállar(ber seg fjákut at)
stúkk	(kortsp.)(í grevjassi)kongur og frúgv í trumfi á somu hond, stikk (2),stúkk telur 20 eygu
stúkubak	bak á stúku
stúkubulur	ermaleys stúka,hann var í berum stúkubuli, sum hekk niður á hálvar leggirnar
stúkudagur	(stb.)stríggin dagur,hetta var ein stúkudagur(t.d.tá ið menn koma at kroppi aftur av fjalli);sbr.øskudagur (2)
stúkuklæddur	í berari stúku (oman belti),menn vóru hvítklæddir ella stúkuklæddir, tá ið teir flettu
stúkulepi	vánalig stúka(Sv)
stúkuleysur	í ongari stúku
stúkusiglari	(niðr.,stb.)ein ið er veikur og lítið mentur, bloyta 1(2), ónytta (3), ódugnakroppur,tú ert ein verri stúkusiglari
stúkuskifti	(skemt.)tíð ið gingið verður í somu stúku(uttan at skifta),stutt tíð,eingin skuldi liggja longur inni á fólki enn tvey stúkuskifti
stúkuskorin	skorin sum stúka, við stúkusniði el. -skapi,stúkuskorið kot
stúkuvadmal	vadmal til stúku,ein húskallur fekk vanliga annaðhvørt ár ellivu stikkur av stúkuvadmali
stúkuvátur	í vátari stúku,(skaldsk.)undiroystir, stúkuvátir, einki virða sjómenn kátir
stúkuveftur	veftur til stúku,spinna stúkuveft
stúkuvel	vel (4) á stúku,seyma gamalt stúkuvel fyri tað nakna á seyðinum(tá ið hann hevði etið av sær [ullina])
stúkuvovin	vovin sum stúkuvadmal, einskeftaður,stúkuvovið segl
stúlta	stylta, stigstong
stúpa	(stb.)koyra varliga undir, hava undir (e-n), stumpa,stúpa undir e-n(t.d.sum ávaring, illneitingo.tíl.)
stúr	stúran,(skaldsk.)føgur natúr rekur út úr slittyngdum manni hans møði og stúr
stúra	vera banginel.trongur, vera mótfallin, kvíða, óttast,stúra fyri e-m;(bíbl.)hvør tykkara kann við at stúra leggja eina alin aftur at ævi síni?
stúran	stúring
stúrin	ið stúrir, mótfallin, hugbrotin, óttafullur,er sorgfult og stúrið sinni mítt
stúring	tað at stúra, stúran, ekki (2), órógv, stúrni,vit gera okkum so mangar stúringar og sorgir
stúrinleiki	(sj.)stúrni
stúrni	tað at vera stúrin, stúring
stúrs	hjí osb.sita stúrsdrýpa høvur niður, lúta framyvir(Sv)
stúrsa	gerast bilsinel.ovfarin,hann stúrsar við
stúrsil	(sj.)stúring,Maria græt av gleði, tí allur stúrsil var horvin
stúrsin	stúrin, álvarsamur (1),hin gamli hyggur stúrsin fram fyri seg;sms. t.d.undir-
stúrtna	sturtna,stúrtna fyri borð
stúrtningur	(stb.)tað at stúrtna,ansa eftir ikki at fáa stúrtning(ríða yvir)(tí sita íbundin á fleyg)
stúta1	eitt múlatrútið, lúnuskøltur, ríggjuskøltur,hatta er tann stútan, ið er
stúta2	1(serst. um seyð)renna undir (við høvdiel.hornum),ærin stútar lambið burtur;veðrarnir stútast(stoytast);seyður stútast upp undir stórkava2hyggja niður, lúta,situr altíð og stútar niður í hasi bløðini;fer stútandi eftir vegnum(hyggur ikki uppúr)3(ítr.)(í fótbólti)seta høvdið undir, senda við høvdinum, skalla, høvda 3,stúta bóltin í málið
stútingur	(stb.)fiskur millum smáfisk og tosk, lakur málfiskur,bátur hevði fingið nógvan smáfisk, bert onkur stútingur sløddist uppií
stútt	javnt og samt, uttan íhald, støðugt, í heilum
stúttur	stinnur, tryggur, fastur,stúttur hann framá man stíga;sms. t.d.ó-
stútutur	snubbutur, óblíður (1), grískur (1),hon er altíð so stútut
stúva	1stúgva2(um mat)kókael.heita í javningi, gera stúving
stúvandi	l óbí osb.stúvandi byruróføra góður byrur;tað er ikki altíð, at tú siglir við stúvandi byri;vit fingu stúvandi byr
stúvingur	stúvaður matur(t.d.ertrar og gularøtur),tað hóskar væl at hava stúving og kókað epli afturvið
stúvstappaður	stappandi fullur, heilt fullur, rokaður, á tremur,gørnini stóðu stúvstappað av toski
stúvstappandi	dýrandi, stappandi,har var so stúvstappandi fult av fólki
stúvur	1stúgvur (3),grasið hitt síða av stúvnum man skríða í líggjaskógv;akurin er leysur á stúvnum(tá ið hann fellur niður)2pípa 1(2),fáa sær upp í stúvin;so stappaði hann sær upp í stúvin;ver so góður, fá tær upp í stúvin3(seyðamark)rivað stúvstývt og riva niðurí;framman av stúvistývt og skorið burturúr framman;mitt úr stúvimiðjulutað úr stúgv;sbr.stúgvur (4)
stybbingur	(fisk.)kubbingur (1), spragga, spjaldur (2), sprøka
styðiljóð	(málfr.)sjálvljóð skotið inn ímillum hjáljóð til at lætta um framburð(svarabhakti)
styðja	1halda uppi (so at ikki dettur), verja fyri falli(t.d.við hondunum),styðja e-n;strangi varð nýttur til at styðja fuglamann upp í berg;styðja segel.styðjast;styðja seg framviðganga framvið;so veikir, teir koma uppaftur úr seingini, at teir noyðast at styðja seg framvið;hon styðjaði seg niður á hakan;hann styðjar seg við veggin;hon tók undir armarnar og studdi hann inn í stovuna(leiddi);(kvæð.)hann studdist við saðilboga;styðja húkarseta (egndan) húk við húk (á línutrog)(arbeiði hjá børnumel.gomlum monnum),styðja nú so væl!2veita stuðul, hjálpa,Jesus styði meg;styðja fátæk;styðið tey, ið lýsa í Tingakrossiviðfs/hjstyðja áhalta, stika 3;hann styðjar á(løgi tá ið aldan hevur brotið triðju ferð);styðja upp undirskunda undir, stuðla,brimið stóð so høgt, at ikki var vágandi at fara oman á lághelluna at styðja upp undir hann;ovmeta vit virðið í teimum góðu gerðunum hjá hesum fólkum, styðja vit beinleiðis og í stórum upp undir tað, ið ilt er;styðja uppundirvera til hjálpar, hjálpa til, hjálpa (e-m);styðja seg tilhalda seg til, fylgja,styðja seg til lógina
stygd	(Suð.)styggleiki,tað er sovorðin stygd í seyðinum
-stygd	síand-,viður-
styggja	gera stygganel.villan, ræða, firra 2(1),styggja (fólk) frá særvísael.skjóta frá sær;styggja burturreka burtur;har kundi tað illa, sum skotini skuldu styggja burtur, einki gera teimum;tjaldrið styggir rovfuglarnar burtur;styggja seyðin av haga;hevur tú stygt hann av húsinum
styggleiki	tað at vera styggur, stygd
styggligur	1heldur styggur,styggligur og brasin og harðrendur seyður2ilskur (1), grískur (1),styggligur í orðum3(um bát)kvilkin undir seglinum(helst í undangongu),leikin, livandi
styggont	(óregl.)->stikkont
styggur	1smæðin, smoykin, skjarrligur,hann er altíð so styggur2ótamdur, villur,styggur seyður;styggur tarvur;sms. t.d.and-,byrsu-,flog-,fólka-,høvuð-,mann-
stykki	1partur av størri heild, eitt sindur av e-m2ein av tjúgu pørtum sum seyðakrov verður tikið sundur í3ein av trimum pørtum sum fiskur verður skorin sundur í(til kókingar),stykkini í fiski eru uggastykki, miðstykki og sporl4jarðarstykki5grundstykki6(sjóm.)stykki vatnávíst dýpi í sjógv, snørislongd(o.u. 60 favnar)7í osb.tá ið til stykkis komtá ið samanum kom, tá ið av fjaraði8(í handilsmáli)eind av e-m,so og so nógv stykki9eind av vørusendingel.farmi;sms. t.d.andróðurs-,arva-,eygna-,fiska-,gotur-,gyllini-,lív-,mið-,rokni-,ryggjar-,snøris-,spik-,stevnis-,sveina-,traðar-,ugga-
Stykkið	(stn.)bygd í Norðstreymoy,á/av Stykkinum,til Stykkið
stykkja	s30:stykkja sundurskerael.taka sundur,stykkja sundur krov
stykkjafarmur	farmur fluttur í smáumel.leysur, stykkjagóðs
stykkjagóðs	stykkjafarmur
stykkjamaður	maður áel.av Stykkinum
stykkjatal	tal á eindum í stykkjafarmi
stykni	(upprfr.)->stikni
stylta	stong (tvær í tali) við kubba at stíga á, stigstong, stúlta
stynj	tað at stynja, stynjan, stun,suffini og stynjini
stynja	eymka seg, geva seg, stuna,hann stundi tungliga
stynjan	tað at stynja, stun, stuni, venan, eymk,tung stynjan hoyrdist frá trongum hjørtum
styrja	(fisk.)stórur útl. bróskfiskur(Acipenser sturio);sms. t.d.laksa-
styrkhavi	ein ið fær styrk (2)(t.d.til útbúgving, verkætlano.tíl.)
styrki	tað at vera sterkur(likamligael.sálarliga),máttur, megi 1, makt (1),hann var óførur til styrki;sonur hansara var ein sannur yvirgangskroppur til styrki(kropsstyrki);sms. t.d.arm-,avbragds-,handa-,hest-,krops-,sálar-,streym-,vilja-
styrkibiti	1seinasti biti, vakstrarbiti, trivningsbiti,tú mást eta styrkibitan(sagt við barn til at fáa tað at eta upp)2biti at styrkja seg við,konan fór at fáa sær ein styrkibita, áðrenn hon fór at vaska upp og niður(t.d.av einum góðum tjógvi)
styrking	1tað at styrkja2(handv.)e-t ið styrkir(t.d.áslag)
styrkiroynd	(ítr.)roynd í styrki,endaspælið er veruliga styrkiroyndin millum liðini
styrkismeta	seta í ávísan flokk til førleikat.d.í talvi,hann var styrkismettur millum teir fremstu[en.rate]
styrkital	(ítr.)tal fyri styrkiel.dugnaskap í talvi, dartio.tíl.
styrkja	gera sterkanel.sterkari, menna, magna (1), stimbra,styrkja samanhald millum føroyingar;styrkja e-n í at gera e-t(stuðla e-m til)
styrkjari	1tól ið styrkir ljóð(t.d.í útvarpstóli, telefon, ljóðførio.tíl.)2(ravm.)tól at styrkjat.d.spenning ella streym, magnari
styrkleiki	styrki,hann hevur ei yndi til styrkleika hestsins
styrkna	gerast sterkurel.sterkari, fáa kreftir, ernast,skjótt styrknar tað, ið ungt er
styrkur	1hjálp (1), stuðul (2),(gl.)biðja sær styrkbiðja olmussu;tá sat ein blindur maður har við vegin og bað sær styrk2peningaupphædd(frá hinum almenna el. úr grunni)veitt til ávíst endamál(t.d.útbúgving, verkætlano.s.fr.),styrkur til tveir næmingar[da.stipendium];sms. t.d.aldurs-,barna-,hjarta-,lestrar-,náms-,peninga-,ríkis-
styrkveiting	1almannahjálp2tað at veita styrk (2)
stytstur	avstuttur
stytta1	1e-t ið styðjarel.veitir studning, skorða, stólpi (1),skiparin stóð aftur at eini styttu;hon stóð sum styttan(stinn)2(á fiskiskipi)tann partur av stórmastrini ið er undir dekki;sms. t.d.pal-
stytta2	gera stuttanel.styttri,stytta e-tel.stytta um e-t;stytta sær stundirel.løtur;stytta sær tíðina;tað styttir so væl um tíðina, at onkur støkkur inn á gólvið;stytta sær um vegin;eg hugsaði um at stytta mær um leiðina, fara gjøgnum bøin;stytta samansavna (2),eg fari at stytta tað saman eina løtu(várveikan seyð inni á bønum);stytta um arbeiðstíðina;stytta upp nøssnerkja;stytta upp um seg1seta skjúrtið upp,hon letur seg úr skóm og sokkum og styttir upp um seg;Barba stytti upp um seg2(um seyð)kasta ullina av búkinum og frá oyrunum;stytta seg saman1knýta seg saman, kreppa seg saman(t.d.um ránsdjór ið ger seg til at leypa)2leggja doyðin á, kýta seg;styttastgerast styttri;nú styttist til jóla(stutt eftir)
stytting	1tað at stytta2e-t ið stytt er,"t.d." er stytting fyri "til dømis";sms. t.d.tíðar-
styttingartekn	(málfr.)tekn sett í staðin fyri (fleiri) skrifttekn(t.d.í gomlum handritum)(abbreviatur)
styttingur	(sjóm.)ostur
styttri	avstuttur
stýra	1førael.beina ávísa kós, standa til róðurs,stýra báti;stýra skipi;(kvæð.)hann kann væl knørri stýra;stýra uppstýra meðant.d.lína verður drigin;stýra útstýra meðant.d.lína verður sett;stýra við ár1stýra báti við ár;sbr.stýrisár2(skemt.)hava stíva kenning, vingla;fara stýrandiganga beina leið,norður eftir túninum fór ein genta stýrandi2standa á odda fyri, leiða 2(2), stjórna (1),stýra húsi3hava tamarhald á, temja,stýra særhalda sær, bara sær, temja seg,tá kundi hann ikki longur stýra sær, hann skar í grát4stýra ískjóta á, kyrra á,summir taka á, men aðrir stýra í ella leggja inn5(málfr.)taka ávíst fall,"um" stýrir hvønnfalli6ritstýra, ritstjórna,stýra einum blað;sms. t.d.fjar-
stýrari	(sj.)ein ið stýrirel.stjórnar;sms. t.d.blað-,fjar-,fundar-,hala-,orð-,sjálv-
stýri	1útbúnaður aftan á (sjó)fari til at stýra tí við, róður 2(1),(tilt.)standa fyri aftan stýrivera minni maður;(tilt.)sita við stavn og stýrivera høvuðsmaður (bæði á sjógv og landi)2hjólel.tíl.at snara(við hond)til at stýra fari, róður 2(2), ratt,stýrið og stýrisvølur er til at stýra við;(kvæð.)stavnur og stýri av reyðargulli3stjórn (1), leiðsla (2)4stjórn (2),danska stýrið;sms. t.d.blað-,fasta-,haga-,harð-,heima-,innan-,kommunu-,lands-,leysa-,ríkis-,sjálv-,sóknar-,val-,van-
stýriborð	(sjóm.)høgra borð á skipiel.báti,móts.bakborð,báturin gekk á stýriborð
stýriborðsbógvur	(bát.)bógvur (2) í stýriborð
stýriborðsljós	(skip.)grønt ljós í stýriborð
stýriborðslær	(bát.)lær (3) í stýriborð
stýriborðsmegin	(sjóm.)tímegin ið stýriborð er
stýriborðsrúm	(bát.)rættarúm
stýriborðsstokkur	(bát.)stokkur (4) í stýriborð
stýriborðsvakt	(sjóm.)skiparavakt,skiparin hevði stýriborðsvakt og bestimaðurin bakborðsvakt
stýrifjøður	1uppføtt velfjøður á dunnusteggja2(skemt.)(á fólki)hártrevsa ið stendur upp í rógv(oftast í hvirlinum)
stýrihús	1(skip.)(á lítlum sjófari)húsel.skýli har ið stýrt verður2(á t.d. lastbili)rúm har stýrt verður
stýrikervi	(teld.)ritbúnaður sum stýrirt.d.forritum og inning teirra[en.operating system]
stýrilsi	(gl.,tlm.)stýri,býarins stýrilsi
stýrimaður	(sjóm.)1maður við rættindum til at føra skip(næsti maður skiparans)2(kvæð.)formaður á skipi, skipari 2;sms. t.d.yvir-
stýrimannaskúli	(skúl.)skúli ið veitir stýrimansútbúgving
stýrimansmynstur	h13:stýrimansmynstriðbindingarmynstur(HMD Bindm.37)
stýrimansprógv	prógv ið gevur førleika at vera stýrimaður
stýrimaskina	(skip.)maskina ið lættir um stýring
stýring	1tað at stýra, stjórnan,í staðin fyri helt arbeiðið fram uttan kostnaðarætlan, uttan nakra fíggjarliga stýring og uttan fyrilit fyri, hvussu nógvur peningur var játtaður til endamálið2(málfr.)orð knýtt at fyrisetingini í einum fyrisetingarliði,"hjallurin" í t.d. "undir hjallinum" er stýring
stýripinnur	lítið handfang til at stýra fari við(serst.flogfari)
stýrisarmur	(bát.,stb.)stýrisvølur, sveingil (3)
stýrisár	(bát.)ár 1 at stýra við, leysastýri
stýrisblað	(skip.)flatur niðurpartur á stýri
stýrisbólkur	bólkur (av fólki) ið stendur á odda fyri verkætlan,fyrst verður farið undir at skipa ein stýrisbólk, sum skal fyrireika verkætlanina
stýrisdeild	(gl.)stjórnardeild
stýrisferð	(í sigling)so mikil ferð at stýrandi er,báturin hevur ikki stýrisferð, tí røðararnir halda ikki áralag
stýrisfjøður	stýrifjøður
stýrishjól	(skip.)stýri (2) á skipi
stýrisjørn	(bát.)jarnútbúnaður til at festa stýrið at bakstevni, róðurjørn, bátsjørn,fastastýrið var fest at bakreisingini við stýrisjørnum
stýrislag	(stjm.)stjórnarskipan, stjórnarlag
stýrislimur	limur í stýri (3), stjórnarlimur
stýrislykkja	(bát.)róðurlykkja
stýrismaður	1oddamaður (1), fyristøðumaður, leiðari (1)2(á báti)róðursmaður,sum teir sigldu, sá stýrismaðurin ein hval3(kvæð.)stýrimaður (2),nevndur er teirra stýrismaður
stýrismál	(stjm.)stjórnmál, politikkur (1)
stýrisskipan	(stjm.)stjórnarskipan
stýrisskipanarlóg	(stjm.)lóg um stýrisskipan,stýrisskipanarlóg Føroya
stýristong	(teld.)lítið handfang til at stýra ymsum atgerðum við(t.d.í telduspølum)[en.joy stick]
stýrisvald	(stjm.)stjórnarvald, ríkisvald
stýrisvølur	(bát.)(bogin) træstong føst í erva á stýri(til at stýra við),sveingil (3),teir gomlu stýrisvølirnir vóru altíð bognir;sbr.róðurarmur
stýrivolt	(kortsp.)slag av kortspæli
stýtilsbyrsa	(Suð.)fjaðurbyrsa
stýva1	(fisk.,Suð.)stývingur
stýva2	1gera kubbutan, skera tvørturav, stubba, snøgga2klippa(seyði í klipping);sbr.brýnska3(seyðamark)stývtskorið tvørturav í erva,stývt og bragd aftanundan
stývari	(sj.)stýva 1
stývingskalvi	(sj.)stývingur
stývingur	(fisk.)miðalstórur kalvi(størri enn klovningur, minni enn flundra),stývingur var kalvi, sum roknaðist at vera hálvvaksin
stývt	sístýva
stækin	stakin
stæla	herða at stáli,høvd og hendur stælast;eg mátt mín skal stæla, har svørðini syngja;stældurgjørdur sterkur, herdur,stældur verður seggur, stendur hann eina
stældur	l7reystur,stælt bergsteyrrætt berg;í hugsjónum sínum stældur og treiskur
stætt	1(gl.)slag av stiga (1) (upp um garð)(ivasamt),Maria, gakk til stættar og tváa tínar flættur(í skjaldri)2(ným.)samfelagsstætt, stættur (3);sms. t.d.borgara-,há-,mið-,samfelags-,undir-,yvir-
stættaleysur	við ongari stætt (2), uttan stættir,stættaleyst samfelag
stættamunur	munur millum samfelagsstættir(t.d.viðv. ognum, lønum, umstøðum, rættindumo.tíl.),stórur stættamunur
stættarmál	(málfr.)avbrigdi í tungumáli ið er treytað av samfelagsligum og stættarligum viðurskiftum(og ikki staðbundnum)[da.sociolekt];sbr.bygdarmál
stættasamfelag	samfelag við (stórum) stættamuni
stættastríð	stríð millum stættirel.samfelagsbólkar við skyldumel.mótsettum fíggjarligum áhugamálum
stættating	(søg.)(um donsk viðurskifti)eitt av fýra landspartatingum við ráðgevandi ávirkan á lóggávuna(sett á stovn í 1830-árunum)
stættleysur	við ongum stætti (1)el.fóti,stættleys gløs
stættur	1fótur (4) á bikari, lampuo.tíl., undirpartur át.d.glasiel.ljósastaka,jólaljósið var brent heilt niður í stættin;høgur stættur var undir gløsunum2afturpartur (2), setur (5), reyv (1),seta seg aftur á stættin3stætt (2)4lítil pinnur niður úr pípuheysi
stødd	1tað hvussu stórt e-t er(t.d.hædd, longd, breidd, ummálo.tíl.),til støddar;á stødd2(støddfr.)e-t (t.d.linja, flati, rúm) ið til ber at máta og/ella seta fram í tølum
støddarlutfall	(støddfr.)lutfall í stødd
støddarmunur	munur í stødd
støddarskilja	skilja sundur í støddir, skilja sundur eftir stødd,støddarskildur fiskur
støddarskiljing	tað at støddarskilja
støddfrøði	(støddfr.)vísindi um tøl og skap, matematikk
støddfrøðiligur	(støddfr.)viðv. støddfrøði
