M	rómv. taltekn fyri 1000
myldingardrýlur	drýlur bakaður av sáðnum ið leyp av tá ið liðugt var at sáa,myldingarkonan fekk myldingardrýlin
myldingarkona	kona sum myldar
myldingstorv	torv úr myldingi
myldingur	1turrligur brúnligur mógvur við lítlari tág í2myldingstorv
mylgra	mola sundur, berja í mjøl, mjølva sundur, morla,nú fóru tær undir at mylgra øksini sundur
-mylja	síhvít-
mylja	1bróta smátt sundur, berja í mjøl, morla, mylgra,mylja niðurmola niður;riparin mylur(sorar øksini sundur);torvrossið mylur fretirnar úr sær2kava tætt og fínt,hann mylur kavan niður;tað mylur úr honum
mylkin	(um kvinnu)sum hevur (nóg mikið av) mjólk at geva barni sínum;sbr.opin
mylkjast	1fáa mjólk í júgrið, fara at mjólka (2)2mjólka (2) meir,kúgvin mylkist(t.d.á góðum heimabeiti);gamalt er, at geldkúgv mylkist til jóla;enn hava ærnar í fáum støðum gróður til at mylkjast av
mylla	mylna,(ítr.)gera myllusnara sær runt eftir lið á hondum og fótum;hann melur sum myllan(tosar nógv, tegir ikki);sms. t.d.áar-,kaffi-,pipar-,vind-
myllari	mylnari,vatnið rennur, meðan myllarin svevurarbeiðið verður avrikað meðan onkur annar(ið átti at verið uppií)ikki veit av
myllugátt	gátt (2), grundslóð
mylluhús	hús við myllu
myllusteinur	mylnusteinur
myllustokkur	mylnustokkur
myllustreymur	meldurstreymur, streymsnara
mylluvatn	vatn sum fær myllu at mala,í dag er mylluvatn(so mikið vatn í ánni at mylla melur)
mylna	útbúnaður at mala(serst. korn)við(gekk við vatni),mylla, áarmylna;sbr.kvørn
mylnari	maður ið eigur mylnuel.sum arbeiðir har, myllari
mylnublað	blað á áarmylnu
mylnuspæl	mylnustokkur
mylnusteinur	(annar) steinur í mylnu, myllusteinur
mylnustokkur	stokkur upp í (yvir)steinin á mylnu(við bløðum á niðara enda sum vatnið fær at mala),kvarnkallur, mylnuspæl
mylnusvín	svín (3)
mynd	1sjónlig lýsing av fólki, luti, landslagio.ø.á flatael.í rúmtøkum líki(sumt.d.tekning, málningur, ljósmynd, høggmynd, skurðmynd),bílæt2sjón í huganum(skapt av orðum);sms. t.d.andlits-,av-,bak-,bringu-,brota-,býar-,dreyma-,eftir-,fyri-,glær-,hug-,í-,kápu-,kyk-,lit-,náttúru-,permu-,stand-,striku-,søgu-,val-,vanga-
mynda	1gera, skapa, evna (til), virka, geva ávíst skap,mynda e-t2(sj.)taka mynd (av e-m), avmynda,mynda seg;sms. t.d.av-,hug-,í-,kyk-,ljós-,um-
myndablað	(viku)blað við myndum(og teksti)
myndabók	bók við (nógvum) myndum(t.d.barnabók)
myndabragð	(Suð.)hábrøgd,hava e-t til myndabragð
myndabrá	(sj.)myndabragð
myndagáta	gáta við myndum, bókstøvum og tølum[da.rebus]
myndahús	kykmyndahús
myndahøggari	listamaður sum ger (stand)myndir úr gróti, viðiel.leiri
myndalist	listin at gera myndir
myndamaður	maður ið tekur myndir(t.d. fyri blað),ljósmyndari, myndatakari
myndamál	málslig orðing eyðkend av (nógvum) myndum (2), samanburðum og myndberingum(t.d.úr náttúruni),í bókmentagreining merkir myndamál teir hættir, sum listin brúkar til at lýsa eitt fyribrigdi við at bera tað saman við eitt annað fyribrigdi
myndaríkur	við nógvum myndum
myndarligur	lýstur við myndum, myndligur, ímyndarligur
myndarlíki	myndlíki
myndartekstur	tekstur ið greiðir frá mynd(í bók, blaði, tíðarriti o.s.fr.)
myndarør	(tøkni)lutur í sjónvarpstóli har ið myndin gerst
myndasavn	(alment) savn av myndlist
myndaskeri	ein sum ger myndaskurðir
myndaskurður	tað at gera útskurðir
myndaspæl	spæl við plátum við myndum á sum kort við samsvarandi myndum verða løgd á(tann sum fyrst hevur fulla(r) plátu(r) hevur vunnið),spæla myndaspæl
myndastílur	(skúl.)stílur skrivaður við støði í (røð av) mynd(um)
myndasøga	søga søgd í røð av myndum(vanl. við teksti afturvið),teknisøga
myndatakari	ein ið tekur myndir, ljósmyndari
myndatala	tala við ímyndarligari merking(t.e.t.d.luturel.mynd ið sum tekin umboðar e-t annað),hetta er sum so ofta, tá ið Jesus tekur orðið, ein myndatala um himmiríkið
myndatalva	serstøk bókarsíða við myndum[da.planche]
myndatilfar	myndir nýttart.d.í bók
myndatjald	listarliga vovið klæði við litum og myndum,stórsalurin var prýddur við myndatjøldum[da.gobelin]
myndatól	tól at taka myndir við
myndatøka	tað at taka myndir við myndatóli
myndbering	(bókm.)orðel.máliska nýtt í myndligari merking, myndburður[da.metafor]
myndborin	lýstur við myndbering,tygum leita ov lítið eftir hini hugbæru og myndbornu meiningini
myndburður	(bókm.)myndbering,"dagsins eyga" er myndburður fyri sólina
myndevni	tað sum avmyndað verður, evni fyri listaverki[da.motiv]
myndigur	1(løgfr.)komin til lógaldurs, myndugur, við løgræði2við myndugleika, strangur, avgjørdur;hj-liga;sms.ó-
myndil	endurgeving avt.d.luti í minni líki,myndil av býlingi[da.model]
myndligur	í myndum,myndlig tala;teir hava tikið tað bókstavliga, sum meint er at skilja myndliga
myndlist	myndalist
myndlíki	e-t sum er gjørt í líki e-s, eftirmynd,kortini er heimurin bert fatandi sum myndlíki
myndlykil	(sjv.)tól sum broytir kotubákn til tað upprunaliga báknið
myndprýða	prýða við myndum(t.d.bók)
myndrond	tvørrondel.tvørbelti við myndum(át.d.húsiel.bókarsíðu)
myndskrýða	skrýða við myndum,inn í veggin er settur ein myndskrýddur steinur
myndtøkur	góður at taka mynd av,hon er so myndtøk[da.fotogen]
myndugleikatrúgv	ov stór virðing fyri myndugleikum
myndugleiki	1vald, makt, ræði2heimild, rættindi3mekt, tign, sómi, virðing,við myndugleikavið mekt og mæti, ræðimikil4myndugleikarniryvirvaldið, teir ráðandi
myndugur	myndigur
myndveving	(handarb.)tað at veva mynd(ir), myndvevnaður (1)
myndvevnaður	(handarb.)1myndveving2vovin mynd,høllin var tjaldað við føgrum myndvevnaði
mynna	kyssa, mussa, munna,mynnastkyssast;mynnast við e-n
mynstra	1skráseta um borð á skip,sýslumenn mynstra skipsmenn;hann er mynstraður2fáa hýru um borð á skipi,mynstrael.mynstra uppá;mynstra sum kokkur;mynstra av1fara av (skipi)2(slang)doyggja3kanna4(sj.)prýða við mynstrum
mynstraður	við mynstrum,hon dugdi væl á at skyna, hvussu ein troyggja skuldi vera mynstrað
mynstri	(stb.)(í binding)tólv umfør,ein mynstri er eftir av bulinum at binda
mynstring	(sjóm.)tað at mynstra
mynstrutur	við mynstri,mynstrut troyggja;sms. t.d.stór-
mynstur	1tekning at arbeiðael.gera e-t eftir, fyrimynd (1)2prýði, skreyt(t.d.bundið, voviðel.seymað);sms. t.d.bendingar-,loppu-,páfugla-,sjeystjørnu-,skipstroyggju-,stýrimans-
mynsturbundin	(handarb.)bundin við mynstrum,mynsturbundin troyggja
mynsturgarður	(bún.)(bónda)garður havdur sum fyrimynd
mynt	myntur
mynta	(plfr.)slekt í varrablómuætt(Mentha);sms. t.d.aks-,hesta-
myntasavn	savn av myntum(peningum)
mynteind	(búsk.)høvuðsmynt í peningaskipan,mynteindin í Niðurlondum er gyllin
myntfrøði	frøðigrein um myntir(numismatica)
mynttelefon	telefon har ið rindað verður fyri samtalurnar við myntum;sbr.korttelefon
myntur1	lítið runt metalstykki við áteknaðum virði nýtt sum gjaldoyra, peningur (2), pengi,nýsligin myntur
myntur2	sms. t.d.breið-,haru-,inn-,rund-,skeiv-,stór-,út-
myrða	drepa (í loyndum), morða
myrðari	(sj.)mordari
myrðiliga	miriliga
-myrðiligur	síó-
myrðing	tað at myrða
myrðingarhugur	hugur at myrða, drápshugur, blóðtosti
myrifípa	(stb.)mýrifípa
myrisnípa	(stb.)mýrisnípa
myrivongur	(stb.)mýrivongur
myrja1	(jarðfr.)kantaðir grótmolar og grýtingar(meira og minni samfestir),skilaveggirnir millum tær einstøku rivurnar í rivulagnum gnadda hvør móti øðrum, morlast sundur og verða myrja, rivumyrja[da.breccie];sms. t.d.gos-
myrja2	(sj.)myrða
myrkabláur	dimt bláur, dimmbláur, døkkbláur, kolbláur,myrkabláur kjóli
myrkabrúnur	dimt brúnur, dimmbrúnur, kolbrúnur
myrkadumba	grovari dumba 1 ið skilst frá fyrst í tíningini;sbr.ljósadumba
myrkagráur	dimt gráur, dimmgráur
myrkagrønur	dimmgrønur
myrkajarpur	dimt jarpur, dimmjarpur,myrkajarpt hár
myrkakamar	myrkt rúm til at framkallael.avrita film í
myrkakoyring	tað at (læra at) koyra í myrkri,venjingar í myrkakoyring tykjast at minka um ferðsluvanlukkurnar
myrkalegging	tað at myrkaleggja, avmyrking
myrkaleggja	myrkja
myrkamorreyður	dimmmorreyður
myrkareyður	dimmreyður
myrkaræddur	ræddur í myrkri
myrkaræðsla	tað at vera myrkaræddur
myrkasetur	h13í osb.sita í myrkasetrisita við ongum ljósi(Sv)
myrkaskot	skýmaskot,har í húsinum vóru myrkaskot(stuttligt at spæla í)
myrkaspæl	(spæl)blindabukkur(í myrkri, ikki bundið fyri eyguni),spæla myrkaspæl
myrkastova	(gl.)fongsul, fangahús,sita í myrkastovu
myrkhærdur	dimmhærdur
myrking	1tað at myrkja,ein sovorðin myrking á lívsgøtuni2(stjfr.)tað at sólin skuggar fyri mánalýsinumel.at mánin skuggar fyri sólarljósinum, mánamyrking, sólmyrking(eclipsis);sms. t.d.al-,av-
myrkingartjald	ljóstætt tjald at myrkja vindeyguo.a.við
myrkja	1gera myrkan,myrkja (fyri) e-mstanda e-m (uppi) í ljósinum;tú mást ikki standa og myrkja mær;myrkja fyri einum æli;myrkja avmyrkaleggja;vánalig heilsa hevði myrkt henni um tey seinastu árini2dagseta, skýma,nú myrkir;nú fer at myrkja;tað myrkir av nátt(gerst náttarmyrkt)3(um luft, veður)tjúkna, fúlna,tað myrkir fyri æli(dregur æl á luftina);tað myrkir av í mjørka(gerst kavsvart);tað myrkti á fleiri ferðir gjøgnum dagin(av heglingsælum)
myrkklæddur	í myrkum klæðum
myrkleittur	heldur myrkur, myrkligur,tað er myrkleitt
myrkligur	myrkleittur
myrkna	1gerast myrkurel.myrkari, dimma 2(2), døkkast, sortna (1)2myrkja (2)3blána (4), sortna (2),tað myrknaði fyri honum
myrkoygdur	við myrkum eygnaliti, dimmoygdur,myrkoygd genta
myrkur1	1tað at myrkt er (t.d.av nátt), vantandi ljós, niða (1),frá morgni til myrkurs;børnini spældu inn í myrkrið;nú sat eg myrkur á meg(sat til myrkt varð);(skemt.)norðri í myrkrinumnorðanfyri í Føroyum(sagt fyri sunnan);tað seinna myrkrið er tað verra, plagdu menn at taka til, tá ið heystfjøllini skuldu gangast(kvøldmyrkrið)2tjúkkur mjørki, mjørkakógv;sms. t.d.al-,bika-,bøl(a)-,depils-,deyða-,hálv-,kav-,kol(a)-,kvøld-,køl-,nátt(ar)-,niða-,sorgar-,trølla-
myrkur2	1við ongum ljósi, bláur (2), døkkur, svartur,móts.ljósur,myrkt av nátt;skipini sigldu myrk(við sløktum ljósum);(tilt.)tað er myrkt sum í Depli(bølamyrkt),sbr.depilsmyrkur2(um lit)dimmur3(í mjørka)myrkt í dyrkavsvart;ýtini eru myrk(fjald í mjørka)4tunglyndur, hugtungur,alt sá myrkt út(dapurt);sms. t.d.al-,bika-,bøl(a)-,hálv-,ill-,kav-,kol(a)-,køl-
myrkursgerð	gerð ið ikki tolir dagsins ljós
myrkurstíð	tíð á árinum tá ið dagarnir eru stuttir,komið út í oktober, verða dagarnir styttri, myrkurstíðin stendur fyri durum;sorgartilburðir gera ta nívandi myrkurstíðina tvífalt nívandi
-myrl	síbreyð-
myrla	bróta smátt, morla, knúsa,hann skuldi so myrla hann til(knúska)
myrra1	(bíbl.)evni vunnið úr vælangandi harpeisi,gull, roykilsi og myrra
myrra2	1óreinska, skittur, marra 2(1),andlitið var grómut av myrru2leyst lív, skræpa 1(1)
myrra3	1hava myrru 2(2),gjólingurin er farin at myrra;(stb.)fressurin myrrar(pirrar)(av at hava etið døglingsspik)2stroyggja,tað myrrar inná(av æli ið fer framvið)
myrrupiss	veikt tevatn, skarnvatn (2), mýripiss, dragvatn (2)
myrrusnípa	(fugl.,stb.)mýrisnípa
myrta	(plfr.)slag av veturgrønum útl. runni(Myrtus communis)
mysa	(mjólk.)klárur løgur ið setur úr ketilosti, dralva og ystingi;sbr.blak 2,blonda 1
mysing	harðasti streymur um tendring og fulla sól;sms. t.d.ólavsøku-,páska-,øsku-
mysingardagur	dagur við mysing(Sv)
mysingarfjøra	háfjøra í mysing
mysingarflóð	háflóð í mysing
mysutur	(stb.)(um sjógv)ljósur, hvítligur(vanl. eftir mysing),sjógvurin var so mysutur(fiskurin sá tí ikki so væl at taka)
mý	(kvæð.)mýggj,har býr maðkur og mý
mýggj	(sj.)mýggjabiti;sms. t.d.marra-,matar-
mýggjabit	1(merki eftir) biti elvt av mýggjabita2mýggjabiti
mýggjabitaflokkur	flokkur (1) av mýggjabitum, mýggjabitatorva
mýggjabitatorva	torva 2(2) av mýggjabitum, mýggjabitaflokkur
mýggjabiti	(dj.)flogkykt við tveimum mjáum veingjum og longum klønum beinum, mý(ggj), mýggjabit (2)(Culex);(spæl,stb.)skera mýggjabitarskera loynibitar
mýggjagras	(plfr.)slekt í børkubóndaætt(Hammarbya);sms.vátlendis-
mýkindi(r)	hóvligur atburður, varsemi, hógv,við mýkindumvið eirindum, varliga;ikki við mýkindumikki við eirindum, harðliga
mýking	tað at mýkja
mýkja	1gera mjúkan, bloyta,mýkja roð(tenja (1), níva (4), fríðka (4))2gera eyðmjúkan, eyðmýkja,mýkja sinnið;hon var vorðin mýkt3(lækn.)gníggja,mýkja vøddar[da.massere]4(stb.)mýkja seg,nú hevur hann tað at mýkja um(meyla)5mýkja segbrúka seg, skræða seg;mýkja seg um e-nel.e-t;mýkja geilatíkina(brúka seg)6í osb. summýkja eystfallið(demma 2(2))
mýkjari	(lækn.)vøddamýkjari
-mýkt	síeyd-,eyð-
mýl	(alisfr.)minsti partur av evni ið kann vera til í sjálvstøðugum líki[da.molekyle]
mýla	1(um knív)brýna eggina runda2tyggja seint (og leingi), mulpa, jagla, tanla,kokkurin hevði ringar tenn, og hann sat tí og mýldi burtur av sínari keks;hann hevði fingið sær eina stóra skrá á morgni, stóð nú og mýldi3eta ofta men lítið,gongur og mýlir;nú hevur hatta mýlt so, at einki er eftir4ongantíð tiga, brúka seg, mýkja (seg), meyla,sita og mýla um e-t;mýla kjaftbeiniðmýkja geilatíkina5(um bát)ikki vinna streymin,liggja og mýla (um ein streymtanga)6mýlastganga við gron, vera súrur (4) og tvørur (6),hann gongur altíð og mýlist;sms. t.d.smá-,tvør-
mýlskur	(alisfr.)viðv. mýlum,mýlsk evnafrøði[da.molekylær];sms.há-,lág-
-mýltur	síblá-,mjá-
mýra	mýri
mýri	bleytt og vátligt lendi, bleytlendi, bloti (2), keksi (3),(orðt.)einaferð lúgvast kúgv í mýriein møðist sum frá líður;(gáta)liggur í mýri og ikki rotnar, fer fyri bjørg og ikki brotnar(sólin);sms. t.d.frost-,mó-
mýribikarsoppur	(plfr.)slag av bikarsoppi(Peziza limnaea)
mýribjølluvísa	(plfr.)slag av bjølluvísu(Equisetum fluiatile)
mýriblað	(plfr.)avlangt tjarnaks
mýribládepla	(plfr.)slag av bládeplu(Veronica serphyllifolia)
mýriblátt	(plfr.)eingjardúnurt
mýribressa	(dj.)slag av blómuflugu(Eristalis abusivus)
mýrifípa	(plfr.)planta av mýrigrasætt, akurull, ullardukka, ullarkona (3), illamansull, mýrigras, mýrileggur(Eriophorum angustifolium)
mýrigass	(evnafr.)lit- og luktleyst kolvetni, metan 2(teknCH4)
mýrigras	(plfr.)mýrifípa
mýrigrasætt	(plfr.)ætt av hulfræingum ið eru einnælingar(Cyperaceae)
mýrihagi	mýrikendur hagi
mýrihoylús	(plfr.)slag av hoylús, gloymmegei(Myosotis scorpioides)
mýrikendur	ið líkist mýri,mýrikent lendi
mýrileggur	(plfr.)mýrigras
mýrilendi	bleytt og vátligt lendi, lendi við mýri
mýrimálmur	(jarðfr.)jarnmálmur í mýrum og vatni
mýrimosatorv	reyðbrúnt torv
mýrimosi	(plfr.)slag av mosa ið veksur á vátlendi(Sphagnum)
mýrimyldingur	slag av dimmbrúnum mógvi(Sv Indb.481)
mýrinispa	(plfr.,sj.)mýrifípa
mýripinnur	lítið fólk, dvørgur (2), minkur (2), knipur (2),tað, sum eg helt vera eitt trøll, var ikki mætari enn ein mýripinnur
mýripiss	(stb.)myrrupiss
mýriseyðaleykur	(plfr.)slag av seyðaleyki(Triglochin palustris)
mýrisnípa	(fugl.)morreyður vaðfuglur við longum beinum nevi, snípa, myrisnípa, myrrusnípa, vætuskøltur(Gallinago gallinago),tá ið mýrisnípa fer at murra, verður toka ella vátt veður;at vera sum mýrisnípaaltíð vera har sum ein verður vátur
mýrisnípugras	(plfr.)slekt í børkubóndaætt(Orchis),reytt mýrisnípugrastjaldursgras(O. mascula)
mýrisólja	(plfr.)slag av sólju, heimasólja(Caltha palustris)
mýristeinbrá	(plfr.)slag av steinbrá(Galium palustre)
mýristrá	(plfr.)slekt í mýrigrasætt(Eleocharis),margleggjað mýristrá(E. multicaulis),fáblømt mýristrá(E. quinqueflora),einagnað mýristrá(E. uniglumis);sms.eingjar-
mýritistil	(plfr.)slag av tistli, tyrilsrót(Cirsium palustra)
mýrivongur	meiðvongur
mýrutur	bleytlendur, vátlendur,mýrut lendi
mýs	símús
mýslingur	ungi hjá mús
mýsutur	(seyðal.)músutur;sms. t.d.grá-,mor-
mýta	søgn um gamlar gudarel.hetjur og teirra lív og brøgd, frumsøgn, gudasøgn, hetjusøgn
mæ1	(barn.)lamb, seyður,(skaldsk.)tey lítlu mæ eru nú so glað;sbr.mass;sms. t.d.lamba-,pikku-,sirru-
mæ2	(um ljóð hjá seyði)lambið sigur mæ
mæki	1(kvæð.)svørð2(skemt.)hvast eggjarn(t.d.knívur, líggi, øks),hatta er ein mæki, ið tú hevur;sms.slíðra-
mækja	(plfr.)slekt í mækjuætt(Iris),gul mækjakýsaband(I. pseudacorus)
mækjubátur	(Suð.)leikabátur av mækjublað;sbr.breiðagrasabátur
mækjugestur	(plfr.)blóman á mækju
mækjuætt	(plfr.)ætt av hulfræingum ið eru einnælingar(Iridaceae)
mæla	siga, halda fyri, hava fyri munni, fella orð, tala,ikki mæla eitt orðeinki siga;mæla fyri munnihava á orði, lata av tungu falla;ikki mæla málvera tigandi, ikki fáa orðið upp;(tilt.)mangt er satt, sum fornir hava mælt;(orðt.)ofta mælir muður, og fylgir ikki eftir hugurikki fylgir hond altíð munni(ofta fremur ein ikki tað ið ein sjálvur mælir til);mæla fráráða frá, mæla undan;mæla ímótisiga (hava, muta, andøva) ímóti, mótmæla, mótsiga;mæla tilráða til, skjóta upp, eggja til;(sj.)mæla undanráða frá, mæla frá;sms. t.d.á-,mót-,trá-,um-,við-
mæli	(stb.)rødd 1, reyst, mál 1(4),tað er eitt øgiligt mæli íel.á honum;sms. t.d.á-,blíð-,eftir-,eygs-,fals-,fjøl-,for-,frá-,ill-,mis-,mót-,munn-,til-,tví-,um-,úr-,við-
mæling	1(mát)fýra gyllin,fýra mælingar í eini mørk2mjáur teigur, smalt jarðarstykki,eg kundi loyst eina mæling afturat(eina longd oman við veltuni)
mælingur	mæling,tað kennist lættari at taka ein mæling fyri í senn(við akurskurð);sms. t.d.tví-,úr-,út-
mælskur	sum sigur nógv, munnkátur, orðførur, málskur,hon er so mælsk og orðkring;sms. t.d.blíð-,fá-,søt-
mæltur	við máliel.rødd,undarliga mæltur;teir vóru annarleiðis mæltir enn hitt fólkið;úr mæltum máli(talaðum);sms. t.d.av-,blíð-,dansk-,djarv-,djúp-,ein-,fast-,fá-,fleir-,grov-,harð-,há-,hás-,hvass-,hvat-,hvin-,ill-,klár-,klæn-,kurr-,kvik-,lág-,marg-,mis-,mjúk-,nas-,ó-,rein-,reyst-,rist-,sam-,smá-,snøgg-,sorg-,spak-,spei-,søt-,títt-,tjúkk-,tóm-,treyst-,tung-,tví-,tvør-,úr-,veik-,væl-
mær	síeg
-mæri	síav-
