n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
nývil	(sjónavn)hvalur,ikki mátti orðið hvalur nevnast innanborða á báti, men nývil
nývørrur	tað at e-t nýtt vinnur fram, frambrot (1) av e-m nýggjum, nýtt frambrot (1),nývørrur í málaralistini;sbr.nýbrot
nýyrði	nýggjyrði
nýøld	(jarðfr.)nýggjasta tíðarskeiðið í jarðarsøguni(fyri 70-2 milliónum árum síðan),jarðarsøgan verður býtt sundur í upphavsøld, fornøld, miðøld og nýøld
næla	1(um vøkstur)vaksa upp (úr moldini) og seta nálir, spíra 2, grógva, spretta 1,tað nældi skjótt, av tí at har var ikki so djúplent;seteplini eru farin at næla(renna út);veltan er farin at næla;tað nældi á høku(um byrjandi skeggvøkstur);nælir ikki upp úr rossaspori,sírossaspor2(um sveitta)koma til sjóndar, spríkja útum,ómagasveittin nælir um kroppin;pínan fekk sveittan at næla fram;ein nýggjur dropi tók at næla undir nasaoddinum á honum3seyma, stikka 3,næla buksur, koto.tíl.4(sj.)seyma knapphol
næling	1tað at næla (1), spíring2(handarb.)tað at næla (3), seyming, stingur (2),tað var ótrúligt, at nælingin kundi vera so tøtt3(handarb.)kantur á knappholi;sms. t.d.klássu-,sjóstúku-
nælingartráður	1fínur tráður2tráður til at seyma knapphol við, knappholstráður
næmi	(sj.)1tað at vera næmur,hann hevur eitt flúgvandi næmi2varhugi, ánæmi (5),eg eri á næminum(havi varhuga(n));sms. t.d.mál-
næminga-	viðv. næmingum,sms. t.d.-arbeiði,-blað,-fundur,-fyrilestur,-grundarlag,-heim,-íbúð,-samrøða,-umboð,-veitsla
næmingabústaður	bústaður har ið næmingar búgva meðan teir ganga í skúla,næmingabústaður hjá Føroya studentaskúla
næmingafelag	felag hjá næmingum í einum skúla(ið røkir áhugamál næminganna),næmingafelag læraraskúlans
næmingagjald	gjald ið næmingur rindar fyri at ganga í skúla, skúlagjald
næmingaráð	(skúl.)ráð (2) sum skúlanæmingar velja til at verja áhugamál síni
næmingatal	tal av næmingum
næmingi	næmingur(Sv)
næmingsverk	verkel.avrik hjá næmingi,hetta er eitt næmingsverk
næmingur	ein sum gongur í skúlael.er í lærut.d.á skrivstovu
næmur	ið hevur lætt við at læra, skjótur at læra,børnini eru so nom;hatta slagið er næmt sum dvørgurinel.dvørgarnir;sms. t.d.eyð-,flog-,heil-,kenslu-,skjót-,song-
nær1	1ikki langt burtur (frá), í nánd við, tætt við, nærindis,nær viðtætt hjá;nær landiel.nær við land;hann býr nær ánniel.nær við ánna;nær bygdiniel.nær við bygdina;fuglurin torgar ikki nær húsunum;hann var hestinum so nær, at hann treiv um halafaksið á honum;eingin fiskur er at fáa hvørki nærri ella fjarri(ongastaðni);standa e-m nærvera tætt knýttur at e-m;tey, ið standa e-m nærnæstingar, næstrafólk;báturin var komin nær at okkum;vit komu nærri og nærri;nær umnærum, at kalla, næstan,hann átti nær um hálva Suðuroynna;nær námindis,sínámindis;leggja sær nærkýta seg, gera sær stóran ómak;hesin drykkjuskapur gekk mammuni so nær(tók henni so fast);hesin tilburður gekk honum sera nær;taka sær e-t nærlata seg (lættliga) ávirkaserst.av e-m ringum, gerast keddur av e-m;tú veitst ikki, hvussu nær hann tekur sær hetta2nær sumnærum, næstan, at kalla,her er einki fleygað, nær sum einki
nær2	um hvat bil, hvørja tíð, hvussu skjótt,nær fer bussurin?;nær kemur tú?;hann spurdi, nær (ið) eg kom
nær3	sínáa
nærafólk	(stb.)hampafólk(í atburði, arbeiði o.s.fr.),dygdarfólk,hon er eitt satt nærafólk
nærband	tætt samband,hansara nærbond at jørð, havi og veðurlag
nærbundin	nærel.tætt knýttur at, í tøttum sambandi við,hann var so nærbundin at henni
nærbúgvin	væl filaður,tá ið tað er so nærbúgvið, skalt tú ikki klippa, men royta seyðin
nærbýlt	sbr.tættbygdur
nærdystur	(ítr.)dystur har ið mótstøðuleikarar bresta saman(fyri at vinna bóltin)
nærfrøði	(lækn.)vísindi um føðing og føðingarhjálp[da.obstetrik]
nærgeingin	ið gongur e-m (ov) nær, ið kemur tætt at e-m, sum nálgast uppi í e-m, naskur, frekur (4), ósmæðin, nærgingin, nærgongdur,stórhvalirnir kundu vera sera nærgongnir;hann er so nærgeingin at sláa(slær langt inn um mark);hann er so nærgeingin við konufólk;tú heldur meg vera ov nærgongnan;søgurnar vóru ikki nærgongnar móti fólki
nærgingin	nærgeingin,tær varnaðust hini dýrini og fístu, tá ið onkur var teimum ov nærgingin
nærgongdur	nærgeingin
nærhendis	nærindis
nærhugaður	ið ikki gloymir seg burtur, vakin (2), gáin,móts.burturhugaður
nærhyrntur	(um veðr)við hornum bendum inn at høvdinum(at eygunum og kjálkunum),móts.gleivhyrntur,víðhyrntur;sbr.nakkhyrntur
-næriligur	síó-
nærind	(sj.)nánd,hann er ikki í nærindini;har í nærindini
nærindis	1hjí nánd, tætt við, ikki langt burtur (frá), har um leið(ir), nærhendis,nærindis hoyrdist fuglaljóð;í Havn tosa tey ikki nærindis sum í Tjørnuvík(nógv øðrvísi)2fstætt við, í nánd við,nærindis húsunum
nærindisbygd	bygd ið er nærindis, grannabygd
nærindisbøur	bøur nærindis húsunum
nærindislundi	(stb.)lundi ið eigur í nánd við bygd,nærindislundin er nógv minkaður
nærindismaður	maður úr grannabygd,tað vóru nærindismenn, ið høvdu sæð grindaglaðuna
-nærisligur	síó-
nærka	førkael.flyta nærri,nærka skriftmálið at talumálinum;nærka segel.nærkastkoma nærri;jólini nærkast;nærka segel.nærkast e-mkoma e-m nærri;hann nærkaðist bygdini;nærkast at e-m;vit nærkaðust niðan at vatninum;nú nærkast at tíni deyðastund
nærkan	tað at nærkast, tað at koma nærri
nærkomin	komin heilt tætt at,nærkomin deyðanumdeyðkomin;nærkomin at kálvakálvfallin
nærkona	(gl.)kona ið hjálpir til við føðing, (ólærd) ljósmóðir,jarðarmóðir var eingin, og plagdi hon tessvegna at vera nærkona
nærkvæmi	tað at vera nærkvæmurel.leggja sær nær(at gera e-t til lítar),nákvæmi
nærkvæmsliga	væl og virðiliga,hann reinskaði alt so nærkvæmsliga;skógvurin er so nærkvæmsliga slitin(slitin á hol);tókst tú alt? ja, so nærkvæmsliga(einki var eftir)
nærkvæmsligur	nágreiniligur, gjølligur, neyvur (1),hann legði sær eina við at fáa uppgerðina um støðuna so nærkvæmsliga sum gjørligt
nærkvæmur	1nærkvæmsligur,nærkvæmar lýsingar av ástarlívi2(stb.)tjóvskur
nærlagdur	ið leggur sær nær, ið leggur sær eina við, íðin, ágrýtin, vandin,drongurin var nærlagdur og var brátt millum teir bestu í skúlanum;hann var altíð nærlagdur í øllum starvi sínum
nærlagni	tað at vera nærlagdur, ídni, ágrýtni, vandni, ómakur,lesa við nærlagni
nærleiki	tað at vera e-m nær, tað at vera í nánd (av e-m),hennara nærleiki uggaði meg
nærlendis	(sj.)í nánd,allastaðni nærlendis, sum nakað høgligt er
nærlíkur	l1í osb. sumá nærlíkan háttá næstan sama hátt
nærlív	tað at liva nærel.tætt at e-m,tað nærlív, tey høvdu livað saman við einum, ið burtur var
nærljós	(á akfari)ljós framman ið røkka stutt,móts.fjarljós
nærlækni	(lækn.)lækni ið hjálpir til við føðing;sbr.nærkona
nærmentan	mentan hjá ávísum bólkiel.bólkum[da.subkultur]
nærmið	mið 1(1) nær landi
nærmynd	mynd tikin tætt hjá
nærnet	(teld.)samskiftisnet ið bindur saman teldur á stovni (3)el.millum stovnar á avmarkaðum øki,móts.fjarnet,nærnet á bókasavni[en.local area network, LAN]
nærri	l/hj miðst:nærri frágreiðing;nærri upplýsingar(neyvari, nágreiniligari);nærri landi(tættari at);teir komu nærri og nærri(nærkaðust alsamt),sínær,næstur
nærrógvin	(um bát)nærvorðin (2)
nærsamfelag	(lítil) býur, bygdel.annað avmarkað øki(har ið íbúgvarnir mynda ein felagsskap),enn vita vit ikki, hvussu oljuvinnan fer at ávirka nærsamfelagið
nærskygdur	(lækn.,lívfr.)ið bert sær væl stutt frá sær, ið sær illa frá sær, nærsýntur,móts.langskygdur
nærskygni	(lækn.,lívfr.)tað at vera nærskygdur
nærskyldur	nær í ætt, nær skyldur,vit eru nærskyldir;eg eri nærskyldur við hann
nærspurin	ið spyr nær, við nærgongnum spurningum, ið spyr lunguni burtur úr fólki,vera ov nærspurin;sum tú ert nærspurin
nærstaddur	staddur í nándel.nærindis, sum er í nánd(ini), ið er tætt við,teir fóru illa við honum, tá ið hann ikki var nærstaddur(tá ið hann var frástaddur)
nærsýntur	1nærskygdur2(stb.,sj.)lættur at síggja, ið tykist vera nær,tá ið fuglur var á rókini, var hon so nærsýnt
nærsøkin	1íðin at leggja inn undir seg, søkin2nærgeingin, naskur,tjaldrið er meira nærsøkið móti ravninum enn móti nøkrum øðrum rovfugli;so nærsøkin var huldumaðurin, at konan noyddist at hugsa um ráð, hvussu hon skuldi fáa vart seg fyri honum(hann gekk eftir giftari konu)
nærtakin	(stb.)nærtøkin
nærtøkin	sum tekur sær nær, ið tolir lítið av, smásárur (1),gentan var ógvuliga nærtøkin, sjúkliga sár
nærum	at kalla, næstan, hálvavegna,kavarokið gjørdi ein nærum blindan;hann vá nærum 100 pund
nærumhvørvi	umhvørvi í nánd av e-m,barnagarðsbørnini ferðast í nærumhvørvinum;tað er umráðandi at skapa arbeiðspláss í nærumhvørvinum
nærvarp	(útv.)útvarp ætlað avmarkaðum økiel.landsparti
nærvegis	nærindis,teir bátar, ið vóru nærvegis
nærvera	tað at vera nær e-m, tað at vera til staðarel.hjástaddur, hjástøða
nærvinur	góður vinur, alvinur
nærvorðin	1nærgeingin, frekur (4),hann er so nærvorðin í brennivíni2(um bát)sum rørel.siglir heldur nær landi3(stb.)(ov) gávumildur,ver ikki nærvorðin(hon helt seg fáa ov mikið)4nærsøkin (1)(t.d. við býti)
nærøgn	kv7(plfr.)næragnartvær agnar tætt undir sáðberum og sáðfangi á grasi
næst-	annar í røð (3)(í mun til seinna orðlið),sms. t.d.-elstur,-fyrstur,-innastur,-mestur,-ovastur,-ringastur,-seinastur,-síðstur,-størstur,-yngstur
næst	avnær;hvar veit eingin at siga, men tað liggur næst at halda ...:næst eftir fiskiskapinum er jørðin tann vinnuvegur ...;næst við kistuna gingu hini gomlu;sms. t.d.har-,tí-
næsta1	kv1eí osb.í næstunium stutta tíð, fyrsta dagin
næsta2	sbr.næstu,næstum 1
næstaftastur	nummar tvey roknað aftanífrá, annar roknaður aftanífrá,næstaftasti fingurlekifingur
næstakærleiki	tað at elska næsta sín
næstan	tætt við(men ikki heilt),at kalla, um tað lagið (at vera),næstan 100 kr.(slakar);hann er næstan tíggju ára gamal(sløk);hon er næstan líka stór sum tú;hann er næstan ongantíð til arbeiðis(sjáldan);ljósið er næstan útbrent(um at vera);(kvæð.)so reið keisarin Karlamagnus, næstan jørðin brast(jørðin mundi brostið);eg haldi næstan, eg komi við(eg fari at halda);tú mundi næstan komið og tikið hondina í við okkum(hevði tú viljað gjørt so væl)
næstbestur	1nummar tvey í dygd,hann var næstbestur av næmingunum2(skemt.)ikki nóg góður, ikki av tí besta,tað er ikki meira enn næstbest(um e-t ið ikki er nóg gott);líkindini at lenda eru ikki meira enn næstbest
næstformaður	varamaður hjá formanni, varaformaður
næsti	(bíbl.)medmenniskja,tú skalt elska næsta tín sum sjálvan teg
næstimaður	maður ið tekur við eftir annan, varamaður,hann ætlar at leggja frá sær og lata næstamann sín sleppa framat
næstingur	ein ið er nærskyldur (við e-n), nærskylt fólk, næsta skyldfólk, ættfólk, næstrafólk,skyldfólk og næstingar;okkara næstingar, íslendingar og norðmenn
næstrafólk	næstingar
næstringur	(sj.)næstingur
næstu	sbr.næsta 2
næstum1	1um stutta tíð, heilt skjótt,teir fara avstað í næstum2(gl.)ta síðstu tíðina, í seinastuni,eysturætt hevur verið nú í næstum
næstum2	(sj.)næstan
næstur	avnærriið er tættast viðel.stytst burturfrá,hon sat næst vindeyganum;tann hagin, ið er næstur bygdini;í næstu viku, í næsta mánaði, næsta ár(komandi viku, mánað, ár);næsta leygardagleygardagin komandi;næstu ferð;næsti maður stjórans(ið er beint undir stjóranum);hann var sagdur at vera næsti maður frá húsfrúnni(ein av næstu eftirkomarunum);Pætur skuldi fáa garðin, tí hann var næstur til hansara;tú skuldi verið næstur til at gjørt tað;í næstum,sínæstum 1
nætur	sínátt
næturfriður	(stb.)náttarfriður
nævur	børkur (1) av bjørk(áður nýtt til at tekja við undir flagnum),nævurin, sum føroyingar í mong hundrað ár hava nýtt til tekjur, er børkurin av bjørkini
nævurhúgva	(kvæð.)húgva av nævur
nævursegl	nævurskrukka nýtt sum seglt.d.á borðbáti,borðbátur við nævursegli
nævurskrukka	(bogið) petti av nævur,krýkin sum ein nævurskrukka
nævurtaktur	taktur við nævur
nævurtekja	tekja við nævur undir flagnum;sbr.hálmatekja
nøgast	vera nøgdur (við),nøgast við (e-t)
-nøgd	símis-,ó-,væl-
nøgd	tað hvussu nógvel.tað ið til er av e-m, tilfeingi í stórum tali, mongd, rúgva 1(2), meingi,stór/lítil nøgd;stórar nøgdir av fiski koma upp á land;nøgd av seyði, fiski, fuglio.tíl.;tað vóru vøksturlig lomb uppií, men nøgdin var vánalig;nøgdin av livrini varð avreidd til handils(tað nógva, meginparturin);sms. t.d.evnis-,ovur-,yvir-
nøgdaravsláttur	(búsk.)avsláttur (í prísi) fyri keyp í stórum
nøgdsamur	nøgdur við lítið, kravlítil, sparin,foreldrini vóru nøgdsom og gudrøkin fólk
nøgdsemi	tað at vera nøgdurel.nøgdsamur
nøgdur	ið er glaður um tað sum hann hevur (fingið), ið hevur (fingið) tað hann tráar eftir, (væl) eintur, tilfriðs,væl/illa nøgdur;vera nøgdur við úrslitið;glaður og væl nøgdur;sms. t.d.full-,ó-,sjálv-
nøgga	slíta (burtur av e-m), minkael.stytta, máa(sum frá líður),nøgga burtur av e-m;brimið hevði nøggað kneysan burtur;ullin nøggast av ærini(slítst);hatta sær so avnøggað út um hálsin(um seyð);bakkin nøggast burtur
nøggur	1snotiligur, snákaður2við ongum afturat, berur,hann arvaði tvær merkur í jørð nøggar og snøggar (el.hjnøgt og snøgt)
nøggutur	(stb.)(um seyð)við ongum broddi um hálsin av elli og bara við rótini av ullini eftir, berur um hálsin, brendur,veðrurin er so nøggutur um hálsin;hatta sær so nøggut út(um klæði)(nógv slitið);sbr.bervandaður
nøgisemi	nøgdsemi
nøgl	(sj.)naglur,í osb.náttskorin nøgl og norðtvigið hár verður ófeigum manni at bana,sínáttskorin
nøgla	(bát.)avgangandi trætøppur at seta í nøgluholið á opnum báti,nøglan var altíð tikin úr og sett millum bakrong og æsing;(tilt.)gera nøgluna, áðrenn tú gert bátinhava øvuta arbeiðsgongd;(orðt.)ikki eigur at smíða nøgluna fyrr enn bátin
nøgluhol	(bát.)hol í kjalarborðinum afturi í skut við kjalarskoytið(til kjalarvatnið at renna út ígjøgnum)
nøglusteinur	lítil steinur til at sláa nøgluna fasta í nøgluholið
nøgta	nøkta 1
nøkta1	gevael.veita (e-m) nóg mikið(so at ein verður nøgdur),hann er ikki til at nøkta(fær aldri nóg mikið);mjólkarvirkið nøktar tørvin á mjólk(er ført fyri at lata alla ta mjólk ið tørvur er á);ikki nøktastongantíð fáa nóg mikið;hann nøktast ikki við ríkidømi;hann nøktast ikki við mat(mettast ikki);nøktast kynsliga
nøkta2	(gl.)nekta,nøkta e-n úr klæðunum(lata úr)
nøktan	tað at nøkta 1, tað at verða nøktaður, fulnaður,kynslig nøktan
nøkulunda	1um tað lagið, okkurt um, umleið, á leið, at kalla, næstan,veiðan varð býtt nøkulunda í helvt;tað kann metast nøkulunda javnt;teir eru nøkulunda javngamlir;nøkulunda sonakað soleiðis2toluliga, hampiliga,ferðin gekk so nøkulunda
nøkur	sínakar
nøla	(sj.)biðja bønliga, bøna og biðja, trábiðja,hann hevði nølað hann at koma við
nøra	1(um dýr)seta við, lata liva,tú nørir ikki við avdeyðaseyði;lítið fóður var, so lítið varð nørt2(um fólk)nøra børnfáa børn,tey gera ikki annað enn nøra børnviðfs/hjnøra afturat(um eld)leggja afturat,skjótt logar, og hann nørir afturat við sneisapettum;nøra at særleggjael.skava inn undir seg, kradda til sín, ala at sær,vera raskur at nøra at sær sjálvum;óvanar hava altíð havt lætt við at nøra at sær;nøra umfáa at økjastel.vaksa, økja,tey fyrstu árini gekst honum væl at nøra um gonguna, men enn hevði hann ikki fingið talið fult;hann hevði nørt um ríkidømið;nøra um inntøkurnar;nøra uppnøra (1)nøra segnørast,teistin hevur nørt seg væl aftur;nørastvaksa í tali, fáa avkom, fjølgast,teir ynskja heldur at ritan minkar enn nørist;Gud segði: nørist á jørðini og leggið hana undir tykkum;tað nørist út á sjógv (el.á bláman)tað nørist væl undan(hjá manni við góðari seyðaeydnu);kópurin er nakað afturnørdur;tey seinastu árini hava húsini nørst so nógv;sms. t.d.innan-
nøring	1tað at nørastel.fjølgast, tað at slagiðel.ættin 1 verður endurnýggjað2(skúl.)lærugrein um nøring (1);sms. t.d.innan-
nøringarevni	seyðurel.neyt ið ein vil hava slag undan(Sv);sbr.sleppingarlamb,viðsetingarkálvur
nøringarlag	(lívfr.)kynsgøgno.a.við týdningi fyri nøringina
Nøríki	(kvæð.)Noreg
nørtur	1lítið vánaligt lamb, neisti (2)(ikki vert at drepa);sbr.nuggur2eitt vet (av e-m), nartl (1)
Nørvasund	(stn.)Gibraltarsund(millum Spania og Afrika)
nøs	1(lívfr.)partur av andliti ið stingur framúr(har ið m.a. tevgøgnini eru),hava stóra nøs;nasarnøs,blóðið dreiv um nasar og munn;beiskur kjararoykur kemur í nasarnar á honum;hava góða nøslættliga merkja lukt;(tilt.)kattur og ongar nasar(um eitt sum ger seg óført men roynist illa);hann sat og hongdi nøsina niður(sat og bíndi);tað er sum nøsin vendir(um e-n ið sigur eitt nú og annað tá);nøsin vendir skeivt á henni, gev henni friðhon er illa hýrd;tað verður, sum nøsin á honum stendur(hvussu lagið er);hann gav honum á nasarnar(sló hann á nøsina);beint fyri nøsinitætt frammanfyri;bróta nasar fyri e-nel.e-tgeva seg í stríð fyri e-nel.e-t, herja á;snarurel.skjótur fyri nøsinisnarsintur, bráðsintur;tað er ilt í nøsini á honumhann er illa hýrdur, illur;reka e-t aftur í nasarnar á e-mkasta e-t aftur á e-n;fáa e-t stungið í nasarnarel.upp í nøsinafáa e-t sagt beint upp í eyguni;hon hevði stungið honum upp í nøsina tað, ið gekk á fólkamunni(sagt tað bart út);renna upp í nøsina á e-mbrigsla e-m e-t;tað sást ikki fram um nøsina(púrt einkit.d.fyri mjørkael.myrkri);hann var ikki sørur at duga fram um nøsina(duga meira enn at mata seg, duga gand);rýða e-m um nasargeva e-m eina nasareið, brigda2e-t ið stendur fram úr kletti, lendi, bergio.tíl., nasi, kneysi, snøs,(stn.)Úti á Nøsini;sbr.nøv3(bát.)tað ið stingur fram úr tolli(beint oman fyri skakkið),nev (3),oman fyri skakkið er nøsin4(flogm.)nev (5);sbr.nasahjól5eitt lítið sindur, dism (2), dust (2),hon bað hana læna sær eina nøs av te;sms. t.d.arnar-,grunn-,kellingar-,kettu-,krók-,rakdropa-,stutt-,te-,tøð-,vatn-,veðra-
