R	rómv. taltekn fyri 80
ryggnet	(teld.)net (við stórari orku) sum bindur telduútgerð, nærnet o.a. saman[en.backbone (network)]
ryggpartur	(á flaktum fugli)parturin sum ryggurin er í, krikapartur,móts.vongbrigðupartur
ryggrava	ryggravi
ryggravi	ravi skorin frá rygginum øðrumegin, heysaravi
ryggsekkur	taska til at bera millum herðarnar, herðaskjátta
ryggseymur	(plfr.)staður á hylkisfrukt har ið miðrivið á fruktblaðnum er
ryggskaði	skaði í rygginum,hann hevði fingið ryggskaða av tungum burði
ryggsneið	sneið 2(1) skorin tvørtur av ryggi[da.kotelet]
ryggsterkur	við sterkum ryggi(sterkur at bera)
ryggstirvin	(lækn.)stirvin í rygginum
ryggsvimjing	(ítr.)baksvimjing
ryggtak	tak ið veldur slysni (í rygginum),tak nú ikki ryggtak á teg;sbr.ryggverkur
ryggteigur	(í reinavelting)høgur og breiður teigur(rein tikin av báðumegin og áskotið kastað á teigin)
ryggur	1rað av geislum (1) gjøgnum bakið á ryggdýrum og fólki(dorsum),ryggdýr hava rygg úr geislum;í ryggi av seyði eru fýra stykki: hálsur, háryggur, mjóryggur og hárógvael.drunnur;(hálvt) krov øðrumegin ryggja(r)el.rygghálvt krov við ongum ryggjarstykki;taka ryggin úr(tá ið fiskur verður flaktur),Ísakur tók ryggin úr, meðan eg spretti;ryggurin var ikki úrtakandi nøkrum sterti, so smátt var slagið;(flutt m.)ryggurin var ikki úrtakandi nøkrum av teimumteir vóru allir ómenni;missa rygginfáa skaða í ryggin, taka ryggverk á seg(av overvan),rætta seg í rygginumfetta sær;tað kiknaði í rygginum,síkikna;ganga til ryggjarnoyðast at geva seg undir;hon formár sær einki, hon verður drivin til ryggjar;dettael.fara um rygg(umt.d.kúgv)detta víðopin, við beinunum upp;(flutt m.)renna e-n um rygg(um koll);eta seg yvir rygg(in)oveta seg(um neyt, eis. flutt m. um fólk),Marin hevði etið seg yvir ryggin av hesi vælsignaðu grind2avlong hædd, ásur 2(6), kambur (4),fannir liggja í giljum, men ryggirnir eru berir;undir rygginum millum vøtnini;uttan fyri Tjørnunes er ein brattur ryggur;skarðsmenn áttu eystasta rygg í Seyðbergi;(stn.)á Ryggi3langur grunnur,Hetlandsryggurin4alduryggur,á krossmessu er ryggurin brotin á havalduni5(í eplaveltu)leingja av mold hyppað upp um seteplini, hyppa 1(2),moldin verður løgd upp í breiðar ryggir;enn vóru fýra ryggir eftir at taka upp6hoyggj lagt upp í leingjur(í staðin fyri klúkar),leggja upp í ryggir7(bát.,stb.)kjølur saman við undirsløgum, miðskoytum og støvnum,ryggurin er farin úr bátinum(fatnaður)8(stb.)(fiski)línan sjálv, teymarnir frároknaðir9í osb.leggja upp á ryggleggja (reip, snøri, teymaro.tíl.) av fýra táttum á teymaspjøldrum,herðabond vórðu altíð løgd upp á rygg(svart og hvítt);sbr.teymaspjaldur;sms. t.d.aldu-,blóð-,epla-,fjall(a)-,há-,hunds-,kettu-,mjó-,nasa-,sand-,svína-,vall-
ryggverkur	hald (8) í rygginum,takael.bera ryggverk á seg
rygna	(um fisk)kasta rogn, gýta,rygnastfáa rogn,nú fer fiskurin at rygnast
-rygna	síhvít-,reyð-
rygndur	(um fisk)við rogni,fiskurin er vælel.illa rygndur
rygning	tað at rygna, gýting
rykk	tað at rykkja,hann gjørdi eitt rykk á seg
rykkiband	rykkingarband
rykking	1tað at rykkja2(á plaggi)e-t samandrigið so at smáar rukkur verða úr,tá var í brúki at hava rykkingina (á føroyskari húgvu) liggjandi fram á ennið3(veðurmerki)rípa,rykkingar á luftini(fyri liggjandi góðveðri)
rykkingarband	band til at rykkja (3) saman við(t.d.á buksum, undirtroyggju, gluggatjaldiogsvøvnposa)
rykkja	1toga knappliga, rippa, skrykkja, kippa 2(2),hann tók hvørja hondina um sín stólpan og rykti teir undan;í somu stund varð hurðin rykt upp;(skaldsk.)løgtingið rykt er frá stýri aftan úr rong;(kvæð.)rykti hann Álv nú fram yvir stein;rykkja og skrykkja,eg vaknaði við, at eitt rykti og skrykti í fingurin;(bíbl.)hin óreini andin rykti og skrykti í hann;rykkjastberjast, togast, glímast;(kvæð.)tær ryktust bæði hart og snart;ryktust teir um tóna inni2(búsk.)krevja, minna á,rykkja eftir gamlari skuld;sbr.rykkjari3(um klæðio.tíl.)draga saman (við tráði) so at rukkur koma á, rylkja,rykkja (føroyska) húgvu;ryktar buksur og kvarðaðar;rykkja brýrseta rukkur í brýr
rykkjarabræv	bræv við rykkjara,senda út rykkjarabrøv
rykkjari	(búsk.)tað at rykkja (2), áminning, krav (eftir skuld)
ryktast	(tlm.)frættast, spyrjast
rykti	(tlm.)tíðindi, giti, graml, orð (7)
rylkja	rukka, rykkja (3),rylkja gákin saman;(kvæð.)rognkelsi kom rylkt um bak
rym	1slím, ryður(í hálsinum)(Sv)2hæsi(Sv)
rymja	geva frá sær djúpt, hást ljóð, hvæsa, ríkja,tað rymur fyri bróstinumel.bringuni(av krími);tað rymur í barkanum(av hæsi)(Sv);tað rumdi í búkinum(rumlaði);(kvæð.)skarvur...rymur og rópar í høll;(stb.)ketta rymur(murrar, urnar)
ryski	(plfr.)slekt í sevætt(Luzula),margblømt ryski(R. multiflora),tættblømt ryski(R. campestris);sms. t.d.aksa-,fjalla-,stór-
-ryski	síill-
ryskur	(plfr.,stb.)ryski
ryssa	1(dj.)ross av kvennkyni, mer 1(1),tað er gomul søgn, at ryssa gongur aftur í árið(gongur kviðin eitt heilt ár);(tilt.)hatta er sum ein kviðin ryssa(klombrut, óskotligt);(tilt.)stendur (og nípirel.bínir) sum ryssa uppi yvir deyðum fyli(ráðaleysur)2plógryssa, plógbonkur(Sv)3bukkur (3) undir borði4í osb. sumríða ryssuni skjarru(spæl)danda 2(2), ríða grimilsi5(kortsp.)hjartar- og rútarníggjur í stýrivolti;sms. t.d.fylja-,hoygarðs-,plóg-,tøð-
ryssufyl	(dj.)fyl sum verður ryssa,móts.hestfyl
ryssuhjálmi	hjálmi (2) úr ryssu,tann ið fann ryssuhjálma, kundi kasta hvørvu yvir seg
rystka	(upprfr.)->riska
ryta	(upprfr.)->rita 1
rytma	ljóðfall
rytmiskur	(tónl.)ið viðvíkirel.er eyðkendur av rytmu(serst. um djass, popp og rokk iðoftaverður spældur undir minni formligum umstøðum),rytmiskur tónleikur
rytta	(kvæð.)vesalakelling,hoyr tað, gomul rytta
ryttari	reiðmaður(Sv)
ryvja	rivja 1
rýða	smyrja, klína,rýða smyrsl á;(bíbl.)rýða blóð upp á durastavirnar;(kvæð.)rýða húð í mannablóði;rýða á skinnkoyra flótt vatn á seyðaskinn(til at fáa ullina at losna),rýða e-m e-t um nasar(brigða, kasta fyri)
rýkur	sírúka
rýma	fara avstað, taka seg burtur, flýggja,alt livandi er rýmt av húsum;(kvæð.)rýma burt av landi;rýma úr landi;hann rýmdi í fjøllini
rýming	tað at rýma,sleppa (sær) til rýmingar;taka til rýmingar;sms.undan-
rýmingarleið	rýmingarvegur
rýmingarroynd	flóttaroynd
rýmingarvegur	leið at rýma eftir(í smb. viðeldsbruna),rýmingarleið
rýmingur	ein ið rýmir úr heri[da.desertør]
rýpa	(fugl.)høsnafuglur við lodnum tóm(Lagopus)
rýta	(sj.)rjóta
rýtma	rytma, ljóðfall
rýtur	sírjóta
ræ	deyður kroppur, lík,(kvæð.)ravnar rivu hans ræ;sum piðað rædeyðarak;skipið lá sum eitt piðað ræ í fjøruni;sms. t.d.bein(a)-,hor-,rossa-,ritu-
ræast	óhvessast,knívurin ræist(Sv);sbr.rá (3)
ræddhugi	ótti, bangni, bangilsi,ein, sum av býttskapi og ræddhuga varð hildin fyri spott
ræddoygdur	við ræddum eygnabrá
ræddur	ið ræðist, óttafullur, bangin,ræddur fyri e-m;hann var ræddur við bakka(bergræddur);(kvæð.)teir vóru fyri ongum ræddir;(orðt.)hann (el.mangur) er ikki so ræddur sum illa klæddur,síklæddur;(orðt.)rødd er hond í annans fati,síhond;(orðt.)hann er ikki ræddur, ið ilt ræðist,sbr.óður (2);sms. t.d.bebba-,deyð(a)-,flog-,fólka-,hund-,kvenn-,mann-,ó-,stang-,ør-
rædduskítur	ræðuskítur
rædjór	(dj.)rædýr
rædýr	(dj.)dýr sum livir av ræ
ræð	síráða
ræða1	1e-t at ræða við, ræðumynd2serst.stong við e-m plaggi á til at styggja fuglar burtur úr veltu, fuglaræða, fuglastyggja
ræða2	gera ræddan, loypa ræðslu á, skremja,ræðastvera ræddur,ræða e-n;ræðast fyri e-m;ræðst ikki;ræðast blóð;ræðast vatnikki troysta sær útí
ræði	tað at ráða (6), vald, makt,hava ræði;taka ræði;taka e-n av ræði;sita við ræði;sms. t.d.á-,dag-,ein(a)-,fólka-,full-,gel-,harð-,javn-,sam-,sjálv-,snar-,ting-,vand-,yvir-
ræðil	(Suð.,sj.)ræða 1(2), fuglaræða
ræðiligur	ræðandi, ræðuligur
ræðimikil	við myndugleika, strangur,ræðimiklar møður koma eftir teimum yngstu
ræðing	tað at ræða
-ræðisligur	sífólka-
ræðisregla	ræðisreglurreglur fyri hvør hevur ræðiel.evstu ábyrgd(fyrit.d.kontu),játtanirnar á fíggjarlógini kunnu skipast í nøkur játtanarsløg, sum serligar ræðisreglur galda fyri
ræðisrættindi	(løgfr.)ræðisrættur,vit lata ikki ræðisrættindi til ognir Føroya fólks fara á privatar hendur
ræðisrættur	(løgfr.)tað at hava evstu løgfrøðiligu ábyrgd og avgerðarrætt(í einum máli),ræðisrættindi,kommunufelagið sigur, at allur ræðisrættur á eldraøkinum liggur hjá landsmyndugleikunum
ræðsla	tað at ræðastel.vera ræddur, ótti, bangni, bangilsi,ræðsla kom á hann;har var ræðsla og grátur á fólki;ófriðarskip, ið loyptu ræðslu á fólk;sms. t.d.deyða-,mann-,myrka-,sjúku-,trølla-
ræðslubundin	ógvuliga ræddur, óttasligin, ræðslutikin
ræðslukendur	merktur av ræðslu,við ræðslukendum høvuðburði(um seyð)
ræðslumikil	ið elvir ræðslu, ræðandi, ræðuligur,bygdin nam tann ræðslumikla sannleika(at bátarnir vóru burturgingnir)
ræðslusjón	ræðandi sjón
ræðslusligin	ógvuliga ræddur, frá sær sjálvum av ræðslu, ræðslutikin
ræðslutikin	ræðslusligin
ræðubílæti	ræðumynd
ræðuleiki	e-t ræðuligt,trúboðarin málaði upp helvitis ræðuleika og pínu
ræðuligleiki	ræðuleiki
ræðuligur	1ið vekur ræðslu, ræðandi, ógvuligur,ein ræðuligur gangur2(tlm.)sera stórur, ógvuliga nógvur,ein ræðulig fólkarúgva var samankomin;øll skip fingu ræðuligan fisk;hj-liga
ræðumikil	(sj.)ræðuligur (1),rødd hennara tváaði alt ræðumikið burtur
ræðumynd	e-t ræðandi, skrímsl
ræður	síráða
ræðusjón	ræðandi sjón
ræðuskítur	ein ið ræðist alt, rædduskítur, bloyta, ómenni
ræfuglur	(fugl.)fuglur sum legst á ræ
rægammur	(bíbl.)stórur ræfuglur
rækja	(dj.)lítið krabbadýr skylt hummara(Pandalus);sms. t.d.glær-,rossa-
rækjubland	(lítil) rættur 2 av rækju, grønmeti og salatsós(vanl. havt niðurundir)
rækjurist	(sjóm.)rist fyri munnanum á rækjutroli til at sleppa frá hjáveiðu
ræklukka	(dj.)klukka av ættiniSilphidae
ræla1	1reka spakuliga og lagaliga,ræla seyð;ræla gæs2(um veðragjóling)leita eftir óm, amast upp á ærseyð, bjóða sær til, brunda,seyðurin er farin at ræla;(flutt m.)renna eftir konufólki,hatta gongur og rælir allastaðni
ræla2	(í klíggjavevi)greiða garnið við ræli
rælari	(niðr.)ein ið rennur eftir konufólki, konufólkarevur,hann varð sagdur at vera tølari og rælari
ræling	(stb.)tað at ræla 1(2), brunding,ræling er íkominbrundtíðin er komin
rælingur	(dj.,stb.)veðragjólingur(ið er farin at ræla 1(2))
rælur	(í klíggjavevi)lítil sprita úr viðiel.beini til at greiða garnið við(Varð. 8189)
ræma	s1í osb.ræma barkaharka(Sv)
ræna	1fremja rán, stjala, taka (við valdi),herja og ræna;turkarnir rændu og drópu í bygdini;írar vóru komnir ... til at ræna seyð og hvat annað, teir kundu fáa;(kvæð.)teir vilja ræna skála tín2(bjarg.)taka egg í bjørgum(serst. lomvigaregg),teir rændu fuglin á Hálvrókini(tóku eggini frá honum);seinast, ið Lúsarókin varð rænd3(í seyðabýti)leggja fleiri vánalig lomb móti einum góðum,nú rændi tú handa partin illa;hann varð rændur í býtinum4fjala seg til at síggja hvar fuglur setst til tess at finna reiður hansara,ræna skúgv;ræna dunnu;skjótt er at avoyða ternu, tí hon er so góð at ræna;søgn er, at tann ið kann ræna lógv, skal ikki ganga av árinum;(flutt m.)ræna fríggjaraparlúra eftir tí;sms. t.d.blóð-,oyð-
rænari	ránsmaður;sms. t.d.flog-,sjó-
ræning	1tað at ræna (2),ræningin sveik illa í ár, ikki var meir enn hálvvorpið2tíðin tá ið rænt verður(fyrst í junimánaði),eggjatíð (1),í ræning
ræningardagur	(bjarg.)dagur tá ið rænt (2) verður,seinasti ræningardagur
ræningarkyrra	(Skú.,bjarg.)so góð kyrra at farandi er við bát undir oynna at ræna
ræningarsig	(bjarg.)sig til ræningar
ræningartíð	(bjarg.)ræning (2)
rænir	(stb.)høvi, møguleiki, ránir,hann hevðiel.fekk ikki rænir til tað;sbr.ránir
ræplanta	(plfr.)planta ið veiðir sær skordýr til føði,undirløgugras er ræplanta
ræplantuætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Lentibulariaceae)
ræs	(stb.)ræsing,seyðaføturnir vórðu lagdir í ræs(at ræsa)
ræsa1	lata ræstna,ræsa fisk;ræsa grunningshøvd
ræsa2	ræsa seyð1reka seyð eftir rásunum2reka seyð harðliga (aftur og fram),hann ræsti tað fyri sær at vita, hvat tað toldi
ræsa3	(um fiskisnøri)lata renna niður á botn,hann ræsir og heintar;(í tátti)kastar síðani út fyri borð og niður til botns at ræsa
ræsi	1vatnræsi (1),eitt ræsi rennur omanfyri og eitt niðanfyri2(lívfr.)vatnræsi (2), landræsi,í sjálvum ræsinum;sms. t.d.mjólk-
-ræsi	síbráð-
-ræsin	síá-,bráð-
ræsing	tað at ræsa,krov hanga til ræsingar í hjallinum
ræsna	ræstna
ræstna	gerast ræstur (1),fiskurin er ræstnaður
ræsttornaður	(um fisk)tornaður eftir at vera (nógv) ræstnaður(ræstur (1) smakkur gongur at)
ræstur	1(um t.d. kjøt og fisk)farin at loysast sundur av ymsum kveikum áleiðis til at torna(við eyðkendum sterkum smakki),ræstur fiskur;ræst kjøt;ræstur tari2(slang,No.)giggutur, gimmutur,tónleikurin, tit spæla, er ræðuliga ræstur3(slang)(um mann)samkyndur;sms. t.d.bleyt-,skarp-
ræsur	sírás
rætla	1rætta eitt lítið, bøta eitt sindur um;rætla segel.rætlastkoma í rættlag, batna;hann hevði verið sjúkur, men tað hevur rætlað seg aftur;kúgvin vil ikki rætlast aftur(batna)2hava at, tekstra,tú kanst tola, at ein rætlar teg eitt sindur;(gl.,bíbl.)Pætur fekk hann til síðis og begynti at rætla hann(Matt.16,22)
rætna	1verða rætturel.beinur (aftur),ein rætnaður stórongul;hann er eitt sindur rætnaður í rygginum2batna (aftur), verða frískur aftur,tað vardi minst tríggjar dagar, áðrenn eg rætnaði aftur;rætna við (aftur)koma fyri seg (aftur);hann rætnar beinan vegin við aftur(úr óviti)
rætt1	(trong) girðing (1) til at rekaserst.seyð í,í rættinn(i) í rætt;reka seyð í rætt;gongan kom í rætt;sum seyður í rætt(um har ið sera trongt er av fólki),á rætt1í rætt,teir fingu ikki seyðin á rætt;alt var vargur, lítið kom á rætt bæði vár og heyst2(niðan) til rættina,hann slapp á rætt við mati, tá ið fjallmenninir komu við gonguni;tá ið gongan kom í rætt, sluppu børnini á rætt;hann plagar at vera á rættini;sms. t.d.grót-,heyst-,seyða-,smálamba-,vár-,villinga-
rætt2	sírættur 3
-rætta	síløg-
rætta1	síða ið eigur at venda útel.fram, útsíða,móts.ranga,troyggjan er á rættuni(vendir rættuna út)
rætta2	reka í rætt 1,rætta seyð;rætta ross;tá ið teir høvdu rættað, fór seyðamaðurin í rættina at hagreiða;vit fóru út at renna eftir manninum fyri at rætta hann millum húsini(fanga hann)
rætta3	gera rættanel.beinan(sum hevur verið galinel.skeivur),rætta mistak;rætta stíl;rætta kumpass;rætta avgera beinan, avrætta 2,rætta eitt gólv av;rætta segtaka betri partar fyri
rætta4	1gera beinan (aftur) ið hevur verið skeivurel.bogin, beina (1),rætta út;rætta tong,sítong;rætta seg upp, rætta seg í rygginumfetta sær á;hann rætti seg í sæti2toyggja, strekkja,rætta hondina fram (út, upp);(kvæð.)frúgvin Sissala rættir sína hondina fram;rætta (e-m) eina (hjálpandi) hondgera (e-m) ein beina;hann rættir ikki hondina frá sær(er ikki gávumildur);rætta fingrarnar frá særvera tjóvskur, stjala;rætta seg eftir e-mtoyggja seg til at fáa fatur á e-m3handa 1(1), fáa (3),rætta e-m e-t;ger so væl at rætta mær sukrið;sum at rætta hundi brand,síbrandur
rættaborð	(bát.,sj.)stýriborð,móts.rangaborð,í rættaborð
rættaeystur	(bát.)rættarúm,móts.rangaeystur
rættamanni	hj(sj.)(serst. speiliga)í osb. sumtað er rættamannitað er tað rætta at gera
rættamannin	rættamanni(Sv)
rættar-	sms. t.d.-avgerð,-formaður,-forseti,-høli,-úrskurður
rættarbak	bak 1(4) á rætt(uttan)
rættarbotnur	galvur á rætt 1,rættarbotnur er innast í rættini
rættarbók	(løgfr.)gerðabók hjá rætti 1(2)
rættarbót	(søg.)umbótel.ískoyti til lóg,Seyðabrævið er rættarbót fyri Føroyar
rættarbrot	(løgfr.)brot móti lóg og rætti
rættardyr	rættarkjaftur,tá ið seyðurin kemur fram við viðtøkugarðinum og at rættini, kemur hann í ein tronga, sum er rættardyrnar
rættardømi	(løgfr.)umdømi (1) hjá rætti 1(2)
rættarfundur	(løgfr.)fundur í rætti til at viðgera sakarmál
rættarførur	(um seyð)førur fyri at verða rikin í rætt,hatta krovið er nóg frægt, tí ærin var at kalla ikki rættarfør í heyst
rættargangslóg	(løgfr.)lóg um rættargang (1)
rættargangur	(løgfr.)1skipan sum mál verða viðgjørd fyri rættinum eftir2rættarmál,onkuntíð var ósemja og eisini rættargangur millum teirra
rættargarður	1garður um rætt2(stb.)viðtøkugarður, frágarður
rættargildi	(løgfr.)gildi (2) sambært lóg og rætti
rættargonga	(løgfr.)rættargangur (2)
rættargongd	(løgfr.)rættargangur (2)
rættarhjálp	(løgfr.)hjálp í løgfrøðiligum vandamálum(serst. ætlað fólki ið hevur ring ráð)
rættarhjáseti	(løgfr.)fulltrúi hjá dómara[da.retsassessor]
rættarkálvi	innasta rúm í rætt(har sum seyðurin stendur),tøka (6), hending 1(3)
rættarkjaftur	op í rætt sum seyðurin verður rikin inn ígjøgnum, rættarmunni, rættardyr
rættarkrav	krav grundað á rættarreglur,norðmenn settu fram rættarkrav um oyggjarnar
rættarlag	støði eftir eini rætt
rættarleysur	(løgfr.)sum ikki hevur rættarvernd, sum hevur lítið og einki av løgligum rættindum,teir vóru rættarleysir eins og vill djór
rættarligur	(løgfr.)viðv. dómsvaldi, dómstólumel.rættarskipan,ein rættarligur úrskurður;hj-liga;sbr.løgfrøðiligur
rættarloka	loka 1(2) sett fyri rættarkjaftin(tá ið seyðurin er komin inn í rættina)
rættarloysi	(løgfr.)løgloysi,ótrygd og rættarloysi valdaðu
rættarlæknafrøði	(lækn.)grein av læknafrøðini um spurningar í sambandi við (illgruna um) lógarbrot og sakarmál(t.d. við líkskurð)
rættarlækni	(lækn.)lækni ið ger kanningar í sambandi við rættarmál
rættarlæring	(løgfr.)(í nevningamáli)tað at dómari lýsir teir løgfrøðiligu spurningarnar í rættarmáli og tekur samanum í málinum nevningunum til leiðbeiningar
rættarmál1	tungumál sum nýtt verður í rættinum,lóg um føroyskt rættarmál
rættarmál2	(løgfr.)sakarmál
rættarmálaráðharri	(gl.,løgfr.)løgmálaráðharri
rættarmunni	rættarkjaftur
rættarnevnd	(stjm.)løgtingsnevnd ið viðger løgfrøðiligar spurningar, lógarmálo.tíl.
rættarregla	(løgfr.)regla 1(3) í lóg, fyriskipano.tíl.,eftir somu rættarreglum sum fyri 5-600 árum síðan
rættarsalur	(løgfr.)salur har ið rættarmál verða viðgjørd
rættarsamfelag	samfelag við støði í lóg og rætti, samfelag skipað við lógum og fyriskipanum
