U,u1	1málljóð2bókstavur
upagineret	ótalmerktur(t.d.um blaðsíður í bók)
uparlamentarisk	1sum ikki hevur tingræði;en u. regeringsformstjórnarskipan við ongum tingræði2ósamsvarandiel.ikki samsvarandi góðum tingsiði, ótingligur;et u. udtrykikki tingbærur málburður
uparret	stakur, ómakaður;u. finne(á fiski) stakfjøður
upartisk	óvildarligur, uttanveltaður, uttanparta, óvildar-, óheftur, lutleysur,(tlm.)ópartískur, sum heldur við hvørgum parti;en u. dommeróvildardómari
upasselig	(gl.) illa til passar, illa fyri, illa útborin, illhirsin;hunblev u. af den stærke varmehon bleiv illa til passar av tí øgiliga hitanum
upassende	ósømiligur, óhóskandi, ólíkligur, ósámiligur, óhøviligur, illavorðin, ónæri(s)ligur;en u.munterhedóhóskandi stuttleiki;u. ordógagnsorð;u. opførselóhóskandi(el.ósømiligur) atburður
upastræ	(plfr.) upastræ(Antiaris toxicaria)(børkurin er eiturhavin, og tey innføddu í Maleisia nýta sevjuna sum ørvaeitur)
uperforeret	við ongum holum, ógataður
uperiodisk	(stfr.) u. decimaltal óskeiðbundið desimáltal
upersonlig	ópersónligur, persónleysur;(málfr.) upersonligtverbumpersónleyst sagnorð;et koldt ogupersonligt brevkalt og ópersónligt bræv
uplaceret	(í kappleiki) sum ikki hevur fingið pláss(t.e.1. 2.el.3. pláss)
uplejet	órøktur, ófantaligur;have u. hårsítt, skitið hár
uplettet	1reinur, lýtaleysur, ómerktur, við ongum blettumel.plettum2(fl.m.)lýtaleysur, ómerktur;et u. rygtetað at hava gott orð á sær
upload	(teld) uppsending
uploade	(teld) uppsenda, senda upp
uplukket	(um ull) ónappaður, (um fugl) óroyttur
upolitisk	ópolitiskur;en u. foreningópolitiskt felag
upopulær	illa dámdur, lítið umhildinel.avhildin, illa lýddur, illa umtóktur, illa kendur, óvinsælur, sum fólk hava ilt eyga til;blive u.verða illa umtóktur, verða lítið umhildin;dette forslag har gjort hamu.hetta uppskotið hevur gjørt hann illa lýddan;være u.standa illa í fólkaeygum, vera illa lýddur;han er u. derhann er ikki væl(el.illa) kendur har;du gør dig upopulær (på højestested), hvis du gør dettú verður ikki keisarans vinur, um tú gert hatta
uppercut	(í nevaleiki) høkuslag (høggel.slag undir høkuna)
upraktisk	lítið verkligur, óverkligur, óhandiligur; óhóskandi, óhegnigur, uttanhanda
upriviligeret	sum er fíggjarliga illa fyri, sum eingi framíhjárættindini hevur
uproblematisk	ófløktur, greiður, sum er lættur at skilja, sum ikki er tvørligurel.trupul
uproduktiv	sum einki gevurel.kastar av sær, sum einki fæst burturúr, úrtøkulítil; sum fær lítið á skaftið(el. tlm.av skafti), óvirkin, gagnleysur
uprofessionel	óyrkisligur, óprofessionellur, sum ikki er yrkislærdurel.faklærdur
uprovokeret	av ongari orsøk, ógrundaður;u. angrebógrundað álop
upræcis	leysligur, óbeinur, ónettur, óneyvur, ónákvæmur
uprøvet	óroyndur;en ung og u. politikerungur og óroyndur politikari;intet må lades u.alt má roynast
up to date	tíðarhóskandi, nýggjur, nýmótans, nýtíðar-, dagførdur
upyntet	óprýddur, óskrýddur, ópyntaður
upåagtet	óansaður, ógáaður, ógoymsaður, sum eingin hevur givið sær far um, lítið mettur;et hidtil u.moment i sagenein táttur í málinum, ið eingin enn hevur givið sær far um;lade u.ikki geva sær far um, látast ikki at síggja
upåkald	óbiðin;han blandede sig u. i sagenhann legði seg upp í(el.út í) málið óbiðin
upåklagelig	sum einki er at siga til, sum ikki er at lasta, óatfinnandi, ólastandi;en u. opførselólastandi(el.lýtaleys) framferð
upåklædt	ikki ílatin, óílatin, nakin
upåkrævet	sum ikki er fyri neyðini, óneyðugur
upålidelig	óálítandi, falskur, hálur, lítarleysur, óreiðiligur, óærligur, sløðaligur, ódyggur, svikaligur, smeðin sum állurin
upåliderlighed	lítarloysi
upåskønnet	takkarleysur, sum ikki fær ta tøkk, ið ein eigur uppiborið;u. arbejdetakkarleyst arbeiði, lítið virt arbeiði
upåtalt	óátalaður, ósnikkaður;lade gå u.lata fara óátalað;det får de ikke lov til u.teir sleppa ikki hatta ósnikkaðir;(løgfr.)ákæruleysur
upåvirkelig	sum letur ikki við seg koma, sum ikki letur seg ávirka, sum ikki rínur á, óávirkandi, óvikandi, kaldur
upåvirket	óávirkaður, sum letur ikki við seg koma, sum ikki letst um vón;u. af sin successum er óávirkaður av framgongdini;han er u., hvad derend skerhann letst ikki um vón, hvat ið so hendir
ur-	1frum-, uppruna-, upphavs-;urbefolkning, urnordiskfrumfólk, frumstadd fólk, upprunafólk, frumnorrønur2(sum herðing) fyrndar-, er-, elli-, deyð-, ovur-, av-, eld-, stein-osfr; urgammel, urkomiskfyrndargamal (ergamal, deyðgamal, elligamal), ovurstuttligur
ur1	(jarðfr.) urð
ur2	lág rond (randar, rendur) av smásteinum (á strond)
ur3	ur, klokka;uret står, jeg har glemt at trække detopklokkan stendur, eg havi gloymt at trekkja hana upp;mit u. går forkertklokka mín er(el.gongur) ikki beint, ur mítt er(el.gongur) ikki beint;vil du stille uret nøjagtigt?vilt tú seta klokkuna beina;uret går for stærkt (sagte)klokkan er ov skjót (ov sein), klokkan gongur ov skjótt (ov seint);uret går rigtigtklokkan er bein;uret vinder, taberklokkan fortar, saktar
urafstemning	atkvøðugreiðsla, har sum allir limirnir atkvøða; frumatkvøðing, frumatkvøða
uraftale	grund(ar)sáttmáli
Uralbjergene	(sern.) Uralfjøll
uran	uran (frumevni)
uranbegblende	uranbikgrýti
urancylinder	urankelvi
uranenergi	uranorka
uranforbindelse	uranevnabinding
uranholdig	uranhavin
uranmalm	uranmálmur, uranhavin málmur
Uranos	(gudal.) Uranos (grikskur frumgudur; hann var giftur við Gaiu; tey áttu hjúnini Kronos og Raiu, sum aftur áttu hjúnini Zeus og Heru)
uransagelig	sum rannsakast ikki, órannsakandi, gátuførur, loyndarfullur
uranstav	uranstavur
urationel	óvittøkur, óskynsamur, skilaleysur, órationellur
urban	1býi viðvíkjandi, býar-, býarligur2blídligur, bæriligur, fólkaligur, høviskligur, høviskur, mentaður, siðuligur, kurteisligur
urbanisere	geva býardám
urbanisering	býargerð
urbanisme	býarmentan, lívsháttur í býum
urbanitet	tað at hava bæriliga framferð
urbefolkning	frumfólk, upprunafólk
urbetydning	upprunamerking, frummerking, frumtýdningur, upprunaligur týdningur
urdu	(sern.) urdu (ríkismálið í Pakistan, mál í India)
urdyr	frumdýr(Protozoa)
urealisabel	ógjørligur, ógerandi, sum ikki gerst, sum ikki ber til, sum ikki kann setast í verk;det er urealisabelttað er ógerandi, tað ber ikki til;(bú.)óseljandi
urealiserbar	ógjørligur, sum ikki ber til
urealistisk	óveruleikakendur, sum í royndum ikki ber til, ógjørligur, órealistiskur
urede	fløkja, føsil, ógreiða, ógreiði, ólag, óskil;i u.fløktur, ógreiðsamur /ógraissa-/;jeg havdevundet garnet, men nu er det kommet i u.eg hevði vundið tógvið, men nú er alt ein fløkja(el.fløkt);bringe i u.fløkja, fjatla;komme i u.fløkjast, koma upp í nokka, koma upp í ein vasa, fáa(el.koma) í ein strúgva;bringe håret i u.frísa;medhåret i u.frísutur
uredelig	óreiðiligur, órættiligur, óálítandi, óærligur;være u. i pengesagervera óreiðiligur í pengamálum;føre en u. politikføra óreiðiligan politikk
uredt	ógreiddur, óuppreiddur;u. hårógreitt(el.frísut) hár;en u. sengóuppreidd song
ureel	ikki til at líta á, óálítandi; vánaligur, sum hilnast illa;han er u. som forretningsmandhann er óálítandi handilsmaður;et stykke ureelt kødkjøt við beini og sinum(t.d.nýtt sum bótarbein; móts.reelt kød)
ureflekteret	grunnskygdur, sum ikki hugsar nógv;han er en u. naturhann hugsar ikki nógv um tilveruna(el.lívið)
uregelmæssig	óregluligur, óreglusamur, regluleysur;føre et uregelmæssigt livliva óregluligt lív;(málfr.) uregelmæssigt verbumóregluliga bent sagnorð, sterkt bent sagnorð;(jarðfr.) uregelmæssigt brudóregluligt brot;uregelmæssig intrusiv dannelseóregluligt innskot
uregelmæssighed	óreglusemi, óregla, ólag, avvik, vanskil;uregelmæssigheder i toggangenólag á tokferðsluni
uregerlig	óstýriligur, gæsutur, balstýrin, ólátaður, ólátin, rokmikil, villur;være u.leika í, garta, gartera;han er så u.hann er so balstýrin;mit hår er er ganske uregerligt i daghárið á mær stendur (uppi) í andarisi í dag, hárið á mær er so frísut í dag, eg eri so frísutur í dag, hárið fæst ikki at liggja í dag;være u.leika í, tíggja sær;u. drengribbaldur, ribbaldi
ureglementeret	ikki sambært reglugerðel.fyriskipan, óregluligur
uren	1ikki reinur, skitin, (um lit) skubbutur;en u. farveskubbutur litur;u. hudring húð;såret er urentsárið er vágskotið2(fl.m.) en u. tonefalskur tóni;en u. åndillur andi, óreinur andi;hinduerne mener, at de kasteløse er urenehinduar halda, at tey kastuleysu eru ikki rein
urenhed	óreinska
urenlig	skitførur, skitligur, óreinligur;u. kvindesúgv, skitsúgv, skitpurka;u. persongrísur, skitligt fólk, ein sarpur, skitsarpur
urenlighed	skitføri
urenset	óreinsaður, óvaskaður, ótvigin, (um fisk) ósløgdur /-dd-/
urentabel	sum ikki loysir seg, sum kastar ov lítið av sær, sum gevur hall
uret1	órættur, svik;kæmpe mod vold og u.stríðast ímóti harðskapi(el.yvirgangi) og órætti;have u.hava órætt, fara skeivur;lide u.vera fyri órætti;gøre én u.gera einum órætt;man kan også gøreet skarn u.rætt skal vera rætt;der begås megenu. i verdennógvur órættur er í heiminum;meduretteav órættum (av órøttumel.við svikum);man beskylder ham med urette for at væredrankertey leggja hann (av órættum) undir at vera drankara (drykkimannel.drykkjumann)
uret2	órættur, óbeinur, skeivur;hvis du tror, at jeg vilhøre på dine beklagelser, så er du kommet tilden uretteheldur tú, at eg tími at lurta eftir tínum grenji, so fert tú skeivur
uretfærdig	órættvísur;behandle én uretfærdigtvera órættvísur við ein, gera synd við ein;det eruretfærdigthatta er ikki rímiligt, hatta er órættvíst, hatta er ikki fyri mark, hatta líkist ongum
uretfærdighed	órættvísi, ranglæti
uretmæssig	órættiligur, viðel.av órøttum, ólógligur, óløgligur;tilegne(el.tilvende) sig uretmæssigttaka við ongum rætti, taka(el.ogna) sær óregluliga,u. tilbageholdelse af ejendomóløgligt hald á ogn,u. tilegnelsepeningasvik, óreglulig tøka
uretskaffenhed	órættiligur atburður
urfjeder	urfjøður
urfjeld	(jarðfr.) upphavsaldargrót (eldri enn 1 milliard ár)
urfolk	upprunafólk, frumfólk
urfugl	(dý.) orri(Tetrao tetrix)
urgammel	fyrndargamal, ergamal, deyðgamal eldgamal, elligamal, avgamal /agg-/
urgere	leggja serligan dent á, leggja áherðslu á, taka fram; noyða fram;hun urgerede, at sagenskulle genoptageshon noyddi teir at taka málið uppaftur;urgerende grundeátrokandi orsakir
urgermansk1	(í bundnum sniði)-enfrumgermanskt mál, felagsgermanskt mál
urgermansk2	frumgermanskur
urglas	urglas (glas á uri)
urhane	(dý.) orrasteggi(Tetrao tetrix)
urhøne	(dý.) orrabøga(Tetrao tetrix)
urhøns	(dý.) orrahøsn, orrar
uriaspost	uriasstøða, uriasstarv;stå på en u.standa í andgletti;det er en u. at være minister i krisetidtað er ikki gamansleikur at vera ráðharri í krepputíðum
urigtig	óbeinur, ósannur, órættur, skeivur, rangur;(løgfr.) urigtige erklæringerósannar váttanir;(løgfr.) urigtige oplysningeróbeinar upplýsingar
urimelig	1órímiligur, høpisleysur, skilaleysur, sum er burturvið;det er aldeles urimeligttað er burtur úr vón og viti, tað líkist ongum;en u. beskyldningskilaleys skuldseting;en u. masse menneskerómetaliga nógv fólk2grenjutur, knarrutur, ólagaligur, sum er ringur at fáast við, sum ikki flættast við;hun ermeget u.hon er ring at fáast við, hon er eitt grenj
urimet	sum ikki ber upp á rím, órímaður
urin	land, vatn, piss, (til vaskingar) tvag;ufrivilligafgang af u.ikki at kunna halda vatninum;æggehvide i urineneggjahvíti í landinum;stank afu.landdeymur, landroykur
urinal	1pisshús2standikumma3(lækn.)urinal (nýtt ísamb. við óviljað vatnlát)
urinblære	(likam.) landbløðra
urindbygger	frumíbúgvi, upprunaíbúgvi
urindrivende	landdrívandi, vatndrívandi
urinere	kasta sær av vatninum, pissa, míga
uringlas	landglas
urininkontinens	(lækn.) tað ikki at kunna halda vatninum
urinkolbe	landfløska
urinleder	(likam.) landræsi
urinorgan	(likam.) landgagn
urinprøve	landroynd
urinrør	(likam.) vatnræsi
urinrørsbetændelse	(lækn.) vatnræsisbruni
urinsekt	frumskordýr
urinstof	(evnafr.) landevni
urinsyre	landevnissýra, landsýra, urinsýra
urinvejene	land- og vatnræsi, landgøgn
urinvejssygdom	(lækn.) sjúka í landgøgnunum
urinåbning	bløðrumunni
urkok	síurhane
urkomisk	ovurstuttligur, sera stuttligur; láturligur
urkraft	frummáttur, frumkraft
urkristendom	frumkristindómur
urkæde	urketa
urlomme	lítil lummi, urlummi
urmager	ursmiður,(tlm.)urmakari
urmagerkunst	ursmíð
urmenneske	frumfólk, upprunamenniskja
urne	1øskukrukka (við øsku av brendum líki)2atkvøðuseðlakassi
urnegravplads	krukkuhvíldarstaður
urnehal	krukkuhvíldarhøll (hinna deyðu)
urneniche	krukkustaður
urneplads	øskukrukkustaður
urnested	øskukrukkustaður
urnordisk1	(í bundnum sniði)-nordisken,einkifltfrumnorrønt (mál), felagsnorrønt (mál) (fráuml. 200 tiluml. 800)
urnordisk2	frumnorrønur, frumnorðurlendskur, felagsnorrønur, felagsnorðurlendskur
uro1	1órógv, rumbul, røringur, rok, rokilsi, tumbul, ófriður, fjáltur, vøs, vøsa, ampi, bangilsi, ekki, vas, rus, øsing, rembing;der blev u. i salen, dafilmen gik i stykkerófriður gjørdist í salinum, tá ið filmurin slitnaði;der er u. i luften, vi får noktordenhann slímar luftina, toran fer helst at ganga;der er u. i søensjóvarilska, uppstig, slups(el.rupl) í sjónum;have u. i benenehava kreppingar í beinunum2(um barn)din lille u.títt lítla spektakkul
uro2	1órógv, dartari (prýðislutur, ið melur í luftráki)2(lítið svinghjól (sum stýrir gongdini hjá uri)
urobetjent	ófriðarløgreglumaður, ólætisløgreglumaður
urocenter	ófriðar(mið)depil,(veðurfr.)storm(mið)depil, illveðurs(mið) depil;det Nære Østen er et u.Miðeystur er ein ófriðardepil(el.eitt ófriðarøki)
urohærget	ófriðar-;et u. områdeófriðarøki
urokkelig	óvikandi, óvikaligur, óvikiligur, stinnur, avgjørdur, støðufastur, rimmarfastur, óbendiligur, fastur sum í berginum, sum ikki slakar, sum ikki fer frá sínum, áráðin;stå fast ogu.standa stinnur og óvikandi(el.rimmarfastur);en u. belutningavgerð, ið ikki verður vikið frá;holde u. fast ved sit standpunktikki vera at vika, ikki vilja ganga frá sínum, ikki vilja slaka; tvíhalda um ta støðu, ein hevur tikið; seta siggið fyri seg
urokse	(dý.) frumneyt(Bos primigenius)
urolig	1(um fólk) ófriðarligur, óróligur, fjáltrutur, fjálturstungin, bangin, rusutur, óttafullur, skoputur;et uroligt hovedein, ið ikki dugir at binda frið; ein, ið ikki hevur bindindi;hun er så u.hon hevur ikki frið á sær;ligge u.kastast, rassast;sidde u.rassast;være u. for énvera bangin um ein;være u.hava ampa á sær;hun gik uroligt frem og tilbagehon dartaði aftur og fram2(um veður) ófridligur(t.d.ófridligt veður);vejretbegynder at blive uroligthann ruskar veðrið;værelidt u.baldrut3(um sjógv) óslættur, ókyrrur, aldumikil, aldutur, gjálvutur, jaggutur, slafsutur, ruplutur, skrubbutur, drabbutur, slupsutur, saldutur, kraklutur, kjøkrutur;der er u. sø.tað er rullut í sjónum;noget u.drabbutur, kjøkrutur, gjálvutur, jaggutur;være lidt u.drabba, rísin4(um bát) leikin, kvilkin, leysur5(fl.m.)Balkan har ofte været Europasurolige hjørneBalkan hevur ofta verið ófriðarliga økið(el.krúttunnan) í Evropa;en u. tidófriðartíð;den urolige gangdeild við nervasjúkum fólkum (á sjúkrahúsi)
urolighed	ófriður;urolighederófriður, rumbul;der eropstået uroligheder i Sydafrikaófriður hevur tikið seg upp í Suðurafrika; sí eis.urolig
urologi	landgagnafrøði (læran um sjúkur í landrásunum)
urologisk	landgagnafrøðiligur, landgagnafrøði-
uromager	ófriðarkroppur
uromoment	eitt, ið elvir til til órógv, rumbul, røringel.rok
uropatrulje	ófriðardeildel.ólætisdeild løgreglunnar
uropføre	(sjónl.) frumsýna, vísa (sýnael.føra) fram á fyrsta sinni
uropførelse	(sjónl.) frumsýning, fyrsta framførsla, frumframførsla;stykket har premiere her imorgen, men uropførelsen fandt sted i Oslosidste årleikurin verður sýndur her í morgin á fyrsta sinni, men frumsýningin var í Oslo í fjør
uropoliti	ófriðarløgregla, ólætisløgregla
urosignal	1illveðursmerki, illveðurstekin2(fl.m.)eitt, ið boðar frá illum(el.eitt, ið ikki boðar frá góðum); ófriðartekin
uroskabende	sum elvir til ófrið, sum hevur ófrið við sær
urostifter	upphavsfólk til ófrið, ófriðarfólk, ófriðarkroppur, ófriðardýr, friðarspillari;optøjerneiværksattes af ungdommelige urostifteregøtuófriðurin varð settur í verk av ungum ófriðarkroppum
urovarsel	illveðursávaring, óveðursávaringder er udsendtu. for Nordsøenillveðursávaring er fyri Norðsjógvin
urovækkende	hættisligur, hóttandi, ørkymlandi
urpremiere	síuropførelse
urrem	urreim
urskive	urskiva
urskov	1frumskógur;en tropisk u.tropiskur frumskógur2(fl.m.) der var en u. af stikkelsbærbuske ihavengarðurin var undirgrógvin(el.avtakin) í stikkulsberjaunnm
