V,v1	1málljóð2bókstavur
vælte	1fara um koll, bólta, hvølvast, koppa;bilenvæltede i svingetbilurin bóltaði(el.fór) runt í svinginum;de rejsende væltede ud af togetferðafólkið tusti út úr tokinum;børnene komvæltende ind i stuenbørnini komu turnandi(el.brestandi) inn(ar) í stovuna;det væltede ind medbreveverða undirdíktur í brøvum, ganga undir í brøvum2koyra (ein) um koll, bólta (ein), hvølva (eitt), koppa (einum), fella (ein), velta (einum);v. enbestyrelsefella stjórn (stýriel.nevnd);v. heleskylden på éngeva einum alla skuldina;v. énomkuldkoyra ein um koll;v. arbejdet over på enandensleppa(el.skulka) sær undan arbeiði, so at annar má taka sær av tí;v. en byrde af sineskuldreseta (byrði) av sær;v. det helegera, at einki kemur burturúr; gera, at eitt verður av ongum;v. sig i skarnetveltast (velta særel.roða sær) í skarninum;(fl.m.)liva rukkulív;lammenevælter sig i mudderetlombini roða sær í móruni;v.sig ind på éntroka (otael.gera) seg inn á ein;enliden t. kan v. et stort læssítue
vælten	(bara ísamb.við)være i v.vera(el.verða) væl fagnaður, umhildin, avhildin, umtóktur, dámdurel.væl lýddur, tað at nógv (hávasták) verður gjørt burtur úr einum, verða fagnaðurel.umtalaður
væltepeter	(gl.) súkkla við stórum framhjóli
væmmelig	andstyggiligur, ótespiligur, fúlur, ótýdligur, vamlisligur, spýggiligur, ræðuligur, herviligur, óreinur, ódámligur, forbankaður, forargiligur, argiligur, forbiðin;en v. fyróreinur stavnur;en v.lugtfúlur roykur;en v. sygdomhervilig sjúka;maden smager væmmeligtmaturin smakkar illa
væmmelse	vaml, andstygd, stikni, mótboð;føle v. forel.vednogetvamlast við eitt, hava stikni fyri einum;svineriet på gaden er mig en v.eg fái ilt av øllum óruddinum, ið sløðist á gøtunum
væmmes	hava andstygdel.vaml fyri, vamlast við, fáa ilt fyri hjartað av einum, einum stendst við eitt;v. vedlugten af rådden tangvamlast við roykin av rotnaðum(el.bruknaðum) tara;jeg v. ved hanspralerimær stendst við at hoyra hansara reyp;v.ved sig selvhava andstygd fyri sær sjálvum, vamlast við seg sjálvan
vænge	bøur, trøð, viðurbyrgi
vænne	venja;v. børn af med at skrigevenja børnini frá at rópa (halda gang);v. sig af medleggja (eitt) burtur, leggja av, gevast við;v. sig af med atrygeleggja av at roykja;barnet blev vænnet frabarnið varð lagt avel.vant av brósti;v. tilvenja við;v. sig tilvenja seg(el.venjast) við;man kan v. sig til alttú venist við alt;v. sig til søensleppa av við sjóverkin
vær.	(st.)værelse el.-værelse(r)s; 2 vær. lejlighedíbúð við tveimum rúmum;stor 3 -vær. lejl.stór íbúð við trimum rúmum
værd1	(forml.) virði(h, staðb. kv); ikke v. at tale omikki loysir seg at taka tað upp á tungu, ikki at láta við vørrini um;vurdere et menneske efter detssande v.virðismeta fólk, sum tað eigur(el.hevur) uppiborið;lade noget stå ved sit v.lata okkurt vera tað, tað er;tillægge et udsagn ringe v.leggja lítlan dent á eitt, ið sagt er
værd2	verdur, verðigur;ejendommen er sine 900.000kr. v.húsini hava eitt virði, ið er einar 900.000 kr.;han er guld v.hann er gull verdur;det er etforsøg v.vit kunnu altíð royna, tað er vert at royna, tað er royndina vert;det er v. at læggemærke tilein eigur at geva sær far um tað, ein eigur at geva tí gætur;hvor meget er den v.mellem brødre?síbroder;vognen er rigeligpengene v.tú hevur gjørt eitt óført kvett(i) at keypa handa bilin;det er ikke umagen v.tað er tað ikki vert, tað loysir seg ikki;den ene tjenesteer den anden v.endurgerð og viðurgerð eru longstir vinir; hjálpir tú mær, hjálpi eg tær;det eral ære v.tað er einum til heiðurs
værdi	virði;penges, skibes v.penings-, skipavirði;pålydende v.navnvirði, áljóðandi virði;nedskrevet værdiniðurskrivað virði;opskrevet værdiuppskrivað virði;primo/ultimo værdi inkl. rentervirði við byrjan/virði við endan, rentur taldar við;tabe i v.minka í virði;sende en pakke med angiven v.senda pakka, har virðið er tilskilað;smykker fortoldes efter værdiensmúkkur verða tollaðar eftir virði;indsætte en v. i en ligningseta virði fyri(t.d.x) í líkning;der gik store værdier tabt ved brandenstór virði(r) fóru fyri skeytið(el.fórust) í eldinum;et hus til en v. af 800.000 kr.hús, ið hava virði av 800.000 kr;jeg har ikke tillid til værdien af hans ordeg líti ikki á tað, ið hann sigur; eg havi einki álit á tí, ið hann sigur;åndelige værdierandlig virði(r);tabe i v.minka í virði,(staðb)missa virðina;tilnærmet v.nærkað virði;som er af samme v.ígildis
værdiangivelse	virðistilskilan
værdiansættelse	virðismeting
værdibaseret	virðisgrundaður;v. ledelsevirðisgrundað leiðsla
værdibrev	(postm.) virðisbræv
værdienhed	virðiseind
værdifast	sum heldur virði, sum ikki lækkarel.minkar í virði;v. opsparingsamansparing, ið ikki minkar í virði
værdifattig	virðislítil
værdiforringelse	(bú.) virðisfall, virðislækking, virðisminking
værdiforøgelse	virðishækking, virðisvøkstur
værdifri	lutleysur, fordómsleysur, objektivur;v. videnskablutleys vísindi (vísindi, sum við ongum fordómum royna at finna sannleikan, sum hann er)
værdifuld	virðismikil, dýrabarur, dýrmettur, dýrur, mikilsverdur;værdifuldt materialevirðismikið(eis.gott) tilfar;v. genstandgóður(el.virðismikil) lutur, góðgripur, dýrgripur, dýrdargripur
værdig	1verdur, verðigur;den ære er jeg slet ikke v. tileg havi ikki uppiborið slíkan heiður;en v.modstanderverðigur mótstøðumaður;støtte tilværdigt trængendestudningur (styrkurel.stuðul) til teirra, ið veruliga hava hjálp fyri neyðini2hábærsligur, virðiligur, bæriligur, bærligur, andbráður, tignarligur, gøvigur, gøvugur, siðiligur;indtage en v. holdningbera seg væl;have en v. optrædenvera hábærsligur í atferð, hava høvdingabragd á sær
værdige	virða, hirða, svara til(t.d.eg svari ikki til tín);hanværdigede mig ikke et svarhann virdi mær ikki svar; (tað var so eiðasørt, at) hann hirdi at svara mær;hun værdigede ham ikke et bliktað var ikki so frægt, at hon hirdi at kveita yvir á hann;han ville ikke v. sagen sinopmærksomhedhann hirdi ikki at taka sær av málinum;(spei) han værdigedes at høre påmin klagehann fekk seg til at lurta eftir mínum klagum
værdigenstand	dýrgripur, virðislutur, virðisgripur
værdighed1	tign, sómi, tignarlæti, virðileiki, manslæti;holde påværdighedenbera sín skjøldur væl;have travltmed at holde værdighedenaltíð royna at taka seg væl út; vilja hava, at fólk hava virðing fyri sær;tabe værdighedengera okkurt, ið ger ein minni (verdan) í eygunum á øðrum;det var underhans v. at svarehann hirdi ikki at svara; hann virdi meg ikki so frægt, at hann tímdi at svara mær
værdighed2	(høgt) starv, høg støða, tign, mæti, tað at vera millum teir fremstu í samfelagnum;opnå dehøjeste værdighederhava hægstu støðu í samfelagnum
værdighedstegn	tignarmerki, veldissproti
værdikonfiskation	(løgfr.) virðisinndráttur
værdikupon	virðismerki (sum handilsfyritøkur geva viðskiftafólkunum, tá ið tey keypa)
værdiladet	virðisløddur;`studehandel' om politiskkompromis er et v. udtryktað, at kalla politiska neyðsemju fyri rossahandil, er virðislødd framsøgn
værdiløs	virðisleysur, einkisverdur, lítilsverdur, ringur, sum einki virði er í;noget, der er småt ogværdiløstgrams, fras;en v. gaveeinkisverd gáva;værdiløse papirervirðisleys pappír;værdiløst stadsstakkalastás;værdiløse småtingfras;v. tingslyðri
værdimængde	(stfr.) virðismongd
værdimål	virðismál
værdimåler	virðismálari
værdineutral	lutleysur, uttanveltaður, partleysur;det ervidenskabens mål at være v.málið hjá vísindunum er onga virðisstøðu at hava
værdinihilisme	virðisnihilisma(heimspmoralskar og estetiskar framsagnir hava einki sannleikavirði, men geva bara boð um kensluligan hugburð)
værdipakke	(postm.) virðispakki
værdipapir	virðisbræv, virðisskjal;aktier, obligationer og andre værdipapirerpartabrøv, lánsbrøv og onnur virðisbrøv
værdipapirbeholdning	virðisbrævagoymsla
værdipapircentral	virðisbrævaskrásetingarstova
værdipapiromkostninger	(handilsm.) virðisbrævakostnaður;samlede værdipapiromkostningervirðisbrævakostnaður til samans;øvrige værdipapiromkostningerannar virðissbrævakostnaður
værdiregulering	(handilsm.) virðisstilling
værdirelativisme	virðisrelativisma (tann áskoðan, at ein hissini virðismeting er einki frægari enn onkur onnur)
værdisammenbrud	virðisskrædl
værdisikre	virðistryggja;en værdisikret pensionvirðistryggjað eftirløn
værdisikret	virðistryggjaður
værdistigning	(bú.) virðisøking, virðishækkan, virðisvøkstur
værdistigningsafgift	virðisøkingarskattur, skattur av virðisøking
værdisæt	virðissett
værditab	virðistap, virðismissur
værditold	virðistollur
værdiændring	(handilsm.) virðisbroyting;samlet værdiændring i %virðisbroyting í % til samans
værdsætte	virðismeta, halda nógv um (ein), hámeta, viðurkenna, hávirða, virða, dáma væl, meta høgt, vera nøgdu við, vera takksamur fyri;jegværdsætter ham højteg haldi nógv um hann, eg haldi nógv av honum, eg meti hann høgt
værdsættelse	virðismeting
være	1vera (sum høvuðssagnorð)af en begynder atv., er han ikke så tossethann er ikki so galin, tá ið hugsað verður um, at hann er óroyndur;bogener at betragte som en gavebókin er ein gáva;derer mange indbyggere i byenbýurin er stórur;derkan v. 2 liter i kedelen2litrar fáa verið í ketlinum(el.ganga í ketilin);det er senttað er (bliviðel.vorðið) seint;det kan v. til i morgentað kann bíða til í morgin, í morgin er aftur ein dagur;det er dyrtat køre i bildýrt er at koyra í bili;det er koldttað er kalt, kalt er;det får v. for denne ganglat tað so vera hesa ferð;det får v. til en anden gangtað má steðga til eina aðru ferð;det gælder ikke om atsynes, men om at v.tað ræður ikki um at látast, men um at vera;det kan (gerne) v., du har retkann væl vera, at(el.eg hevði ikki verið kløkkur, um) tú hevur rætt;det kan nok v., han fik fart påtað skal eg siga, hann skundaði sær;det var isøndags, han rejstehann fór sunnudagin;du erden(í spæli) tú hevur pikkið,(fl.m., tlm.)nú hongur tú upp á tað;han er ikke merehann er ikki longur okkara millum;han er og bliver enslyngelhann er og verður ein lúsakjálki;han harlige været herhann var her fyri lítlari løtu síðani;hun vil v. læge, når hun bliver storhon vil verða lækni, tá ið hon verður vaksin(el.stór);hvad erdet, du siger?hvat er tað, tú sigur?;hvad skal detv.?hvat vilja tygum hava?;hvornår skal festenv.?nær verður veitslan?;hvordan kan det v., atdu er her?hvussu ber tað til, at tú ert her?;ingen,det v. sig rig eller fattig, må lukkes udeeingin, hann veri ríkur ella fátækur, skal verða útistongdur(el.útihýstur);lad (så) v., han harpenge, men forstand har han ikkepengar hevur hann, rætt er tað, men vit og skil tað hevur(el.eigur) hann, (ið hvussu er) ikki;lad det v.lat hatta fara, lat tað(el.hatta) fáa frið;lad mig v. (i fred)lat meg fáa frið;lad v. (med det)gevst við hasum, gevst nú, lat vera (við hasum);lad v.!lat vera!, ikki!, egg ikki í!;man kan ikke v. herher er ikki (inni)verandi;er der noget om det?er nakað í tí?;må vi nu v. her!legg ikki í at koma við hasum tvætlinum;nu må det være enten detene eller det andetnú skal antin vera egg ella ungi;nu skal jeg v. dereg komi beinanvegin;ogdet skal v. nu!og tað skjótt eisini!;så, nu er vi herso, nú eru vit her;vil De v. så venlighøvdu tygum viljað gjørt so væl;vær så god at kommeindenfor!ger(ið) so væl at koma inn(el.innum);vær så godver(el.verið) so góður, ger(el.gerið) so væl gerðsøgn,serst.ísamb.við rørslusagnorð, og í tolsøgn];han er rejst til Englandhann er farin til Onglands;han er faldet i søvnhann er sovnaður(el.farin yvirum);han er vågnethann er vaknaður;hun må v. gåethon man vera farin;ræven er blevet skudtrevurin er skotin3[ísamb.viðhjogfs]aflåget er aflokið er av;hvad er den afhvat er hatta- efterhan eraltid efter mighann liggur altíð eftir mær, hann er altíð eftir mær, hann høggur altíð í meg- forsagen har været for (i retten)málið hevur verið fyri (í rættinum);han var for den nye lovhann var fyri(el.tók undir við) teirri(el.tí) nýggju lógini;deter jeg ikke meget fortað havi eg lítlan hug til, eg eri ikki hugaður fyri tí, hatta dámar mær lítið;huner som en moder for hamhon er sum ein mamma fyri hann;havde det ikke været forhendes hjælp, havde det aldrig gåethevði hon ikki hjálpt til, so hevði tað ikki gingið- fraslåen erfrahurðin er ikki læst;v. fra det(el.fra sig selv)vera frá sær sjálvum- ider kan være noget i,hvad han sigerhann hevur grein í sínum máli;huner ansat i butikkenhon hevur starv(el.hon arbeiðir) í handlinum;v. med i nogetvera uppi í einum- igender er 3 timer igen3 tímar eru eftir-imellemder er noget imellem demteir hava okkurt saman(t.d.vinnufelag);der er kommetnoget imellem demel.der er (kommet) demnoget imellemvátt er komið í reiðrið teirra millum­ imodhun var (stærkt) imod planenhon vildi ikki vita av ætlanini, hon var (nógv) ímóti ætlanini, henni dámdi einki ætlanina- indeafskedens time er indeskilnaðarstundin er komin- medhan er med på turenhann er við á túrinum(el.í ferðini);jeg er medeg skilji, eg veit;hun er med oshon heldur(el.er) við okkum;dettekan jeg ikke v. med tileg vil ikki vera við í hesum- omv. længe om nogetbrúka drúgva tíð um eitt, vera leingi um eitt;han var alene omarbejdethann gjørdi arbeiðið einsamallur;v. omsigaltíð liggja framvið- overman må altid v.over håndværkernetú mást altíð halda handverkarunum til, tú mást altíð liggja á handverkarunum- pålåget er på pladslokið liggur á;det er nu hans måde at v. påsoleiðis er hann;han havde en underlig måde at v. påhann hevði løgnan atburð- såom så erí tí føri at, um so er- tilv. tilvera til;du skal betale og væreglad tiltú skalt gjalda og vera fegin við;nu er dertil hamnú fær hann toyggið;det er ingen nytte tilat fortsættetað er einki høpi í (tað er høpisleyst(el.tað nyttar einki) at halda fram;den eringenting tiltað nyttar einki, tað er høpisleyst;bordet er til at skille adborðið kann takast sundur;hvad skal det v. tilhvat nyttar tað, tað dugir einki;han er ikke til at tale medhann er ringur at fáast við, tað flættast ikki við hann;det eringen nytte til at ...einki nyttar at ...­ tilbagederer intet andet tilbageikki vita sær onnur ráð, einasti útvegur;jeg er tilbage i morgeneg komi(el.verði) aftur í morgin;han er noget tilbage iskolenhann er aftarlaga í skúlanum;nu er derintet andet tilbage end at ...nú er einki eftir uttan at ...- udehun er ofte ude om aftenenhon er ofta úti um kvøldarnar, hon rekst altíð úti;v. ude afdetel.sig selvsív. fra det; i et sæt var hun udeaf dørení einum lopi var hon uttandura;han varude for et uheldhann var fyri óhappi;det er udemed hamhann er fokin- vedder er ikke megetved den boghenda bókin hevur lítið upp á seg;han var ved at gåhann stóð klárur at fara, hann var í holt við at fara;hun er ved handelenhon starvast í handilsvinnuni;han var ved godt modhann hevði gott mót, hann var væl hýrdur;v. vedpengeeiga (nógvar) pengar(el.nógvan pening);mens vi er ved at tale om rejser, så ...nú vit tosa um at ferðast, so ...;hun vil ikke v. ved, at huner syghon vil ikki vera við, at hon er sjúk
værelse	kamar, rúm, verilsi;værelse med morgenmadbit og ból, gist og vist;et hyggeligt v. til lejehugnaligt kamar til leigu;en treværelsers(el.treværelses) lejlighedíbúð við trimum rúmum;lille(el.uordentligt) værelsekurpali, hurpali
væremåde	atferð, atburður, medferð, ferð(t.d.hann hevur ferðina eftir abbanum);han har en tiltalende v.hann hevur dámliga atferð
væren	(heimsp.) tilvera, vera
værested	tilhaldsstað, frítíðarheim (tilhaldsstað í býlingi, har sum sjálvboðin fólk gera sosialt arbeiði, og har sumt.d.børn, ung, heimleys, narkomanar og sálarliga sjúk kunnu fara uttan at verða skrásett)
værft	skipasmiðja;skibet blev bygget på et dansk v.skipið varð smíðað á danskari skipasmiðju
værftsarbejder	skipasmiðjuarbeiðsmaður, arbeiðsmaður á skipasmiðju
værftsindustri	skipasmiðjuídnaður
værftsledelse	skipasmiðjuleiðsla
værge1	verji;(løgfr.) blive indsat som v. for en umyndigverða settur sum verji hjá ómyndingi;(løgfr.) ad hoc v.settur(el.bráðfeingis) verji;(løgfr.) testamentarisk v.testamentverji, avleiddur verji
værge2	(gl.)varðveitsla, tað at hava okkurt í hondum fyri ein;have noget i sit v.hava okkurt í varðveitslu
værge3	(gl.)svørð, brandur, mæki, vápn(serst.um høgg- og stunguvápn)
værge4	verja;v. sit livverja lív sítt;v. sig mod et angreb, beskyldningverja seg fyri álopi, skuldseting;han kunne ikke v. sig mod den tanke, at...hann kundi ikki lata vera við(el.noyddist) at hugsa, at...;v. for sighava hendurnar upp fyri seg
værgebestyrelse	(løgfr.) fyristøða verjans
værgeløs	verjuleysur, óvardur;hun var v. over for det brutale angrebhon fekk ikki vart seg fyri harðrenda álopinum
værgemål	(løgfr. viðv.ómyndingi) verjamál
væring	1(sø.)væringi (norðurlendskurel.heldur svenskur maður í Garðaríki, sum sviar stovnaðu í Russlandi í 9. øld)2(sø.)væringi (norrøn hirð í tænastu hjá keisarunum í Miklagarðiel.Býsans í 11. og 12. øld)
-værk	síleitorðini
værk1	verk, virksemi, arbeiði;lysten driver værketgera eitt av huga;lægge sidste hånd på værketseta rekspónin í (eitt), leggja koll í (eitt), gera koll á (eitt)(móts.seta sjøtul á);gå forsigtigt til værksfara varliga til verka, fara varisliga fram;gå hurtigttil værksbera skjótt at
værk2	1verk, ritverk, bókaverk, bók;digterens samledeværkerritsavn skaldsins;sætte kronen påværketseta krúnuna á verkið2(verk, gonguverk)uret har et fint v.klokkan hevur óføra gott gonguverk
værk3	(sigl.)síggj (upptrevjað togverk at tetta notir við);revnerne er tættet med v.rivurnar eru tettar við síggi
værk4	verkur, pína, stingur, flog, virkingar;have v. ilemmernehava flog, stingir og virkingar í hvørjum liði
værkbruden	giktsjúkur, lamin
værke	virkja, verkja, pína;det værker i alle lemmertað virkir í hvørjum liði
værkfører	verkformaður, verkførari, verk(staðar)stjóri, arbeiðsformaður
værkmester	síværkfører
værkplukning	tað at rekja verk, síværk2
værksted	verkstaður, verkstað, smiðja;det v., hvor jegsender min bil til servicebilverkstaðið, har bilurin hjá mær verður umvældur
værkstedsarbejder	verkstaðsmaður, arbeiðsfólk á verkstaði
værkstedsbygning	verkstaðarhús, verkstaðarbygningur
værkstedslokale	verkstaðarhøli
værkstedslære	verkstaðarlæra
værkstedsskole	verkstaðarskúli
værkstedsteater	royndarleikhús
værktøj	1amboð, tól, smíðitól, smiðtól, smíðareiðskapur, reiðskapur;holde sit v. i finstandfara væl við amboðunum2(fl.m.)amboð;han er et villigt v. i diktatorenshænderhann er villigt amboð í hondunum á einræðisharranum
