h. a.	el.hujus annií hesum ári
hægte2	1hekta; krøkja, kneppa, festa;h. ophekta upp, krøkja upp;h. en kjole op i ryggenhekta kjóla upp á bakinum, aftan;h. sammenhekta saman, krøkja saman, køkja (saman), greipa2(fl.m.) han hægtede sig fast i mig og var ikketil at ryste afhann krøkti seg upp í meg, og ikki slapst av við hann aftur
hægtning	krøking
hæk1	1kjarrgirðing, runnagirðing, runnarað, rimagirðing, viðargarður2búr, meis, fuglameis;ligge i h.liggja á eggjum; klekja3(ítr.)rim
hæk2	1krubba(t.d.tá ið lagt verður fyri seyð)2(sigl.)afturendi, afturstevni, hekka;eis.afturendi á bili
hækbjælke	(sigl.) hekkubjálki (sum liggur runt hekkuna uppi undir dekkinum)
hækbølge	(sigl.) kjølfar, kjølrák
hækjolle	(sigl.) lítlibátur (ið hongur uttanborða afturi á hekkuni)
hække	(dý., avelt) troðast, yngla
hækkeløb	(ítr.)rimarenning;deltager i h.rimarennari
hækkeløber	(ítr.)rimarennari
hæk(ke)saks	runnasaksur
hækle	hekkla;h. en blondehekkla ein borda, hekkla um okkurt
hæklenål	hekklinál
hækletøj	(klæði) hekkliarbeiði
hækling	hekling
hækmotor	(tøkn.) hekkumotorur, páhengari
hæktrawler	(sigl.) hekkutrolari
hæl	1hælur;kjolen når til hælenekjólin kemur niður á hæl, kjólin er fótsíður, fótsíður kjóli, kjólin kemur niður á skógv;skoene har høje hæleskógvarnir hava høgar hælir;slå hælenesammenbresta, (sláa) hælirnar saman;sættenye hæle påseta nýggjar hælar undir;dreje om på hælensnúgva sær á, snara runt á hælinum2(fl.m.) jeg ville hellere se hans h. end hanståhevði heldur sæð hann farið enn komið;huggeen h. og klippe en tåhøgga av hæli og skera av tá (fáa eitt at passa saman hvat tað kostar);følge ihælene på envera í hølunum á einum;rende ihælene på énelta ein, ganga og mala aftana á einum;de løb som om fanden var i hælene pådemtey runnu sum um hin grábeinti var í hølunum á teimum
hælben	(lækn.) hælbein(calcaneus);(dý.)vaðhorn
hæld	ísamb.halli, brekka, skrái;på h.hallandi; á skák;gå på h.fara at halla; nærkast endanum;dagen går på h.dagurin er farin at halla;vinterengik på h.veturin fór at halla;livet går på h.lívið er farið at styttast
hælde1	1stoyta, hella;(bíbl.) han har ikke det hvortilhan kan h. sit hovedhann(t.e.menniskjusonurin) eigur ikki tað, sum hann kann halla høvur sítt at (Matt. 8, 20);h. sig udover kanten af nogethella seg útavel.út av tromini2halla, hella, standa á halli, kala, skráa, standa eftir øðrum kjafti, fara eftir øðrum kjafti;h.modhalla móti, halla at;h. med hovedethalla høvur;(fl.m.) h. med ørernelátast góður, hava halgalótir;bakken hælder ned mod vandetbakkin hellir oman móti sjónum, bakkin er omanhallur móti sjónum3sumlhældendehallur, hallandi, skráur, skráandi;(fl.m.) skubbe til den hældende vognsparka ein ið liggur niðri4han hælder til den anskuelse athann hevur lyndi til at halda at, hann hellir tann vegin at, hann tekur undir við teirri áskoðan at, hann hevur hug at halda, at tann áskoðanin..,5dagen hælderdagurin er farin at halla;året hælderárið er farið at halla, árið er á halli
hælde2	1h. pålata á, fylla;h. vand på teenfylla vatn á teið;h. kaffen omstoyta kaffi um;h. vin omstoyta vín um;h. vandet udstoyta vatnið út;h.vandet ud i vaskenstoyta vatnið í vaskið;h. i sigkulka í seg, renna í seg, elgja í seg, kelka, kulka, slúka;h. en snaps i sigelgja ein snaps í seg;(fl.m.) h. vand ud af ørernespælael.látast góður góður(t.d.prædika siðalæru)2han blev hældt ud af kroenhann var tveittur út úr krónni, ølstovuni;h. ham udkoyra hann, renna hann, geva honum fótin, siga hann úr starvi, reka hann úr starvi;h. dråbevislata drýpa, lata inn í dropum
hældning	1hall, halli, skrái, brekka, skreiðing2(sigl.)hall, halli (á stevniel.mastur); hallstig;skibet har en h. på 20 graderskipið hellir 20 stig3(byggl. viðv.taki) reising;taget har en stejl h.takið hevur reysta reising; hallvinkul; stigil4helling, lyndi, rák, hugsanarháttur, støða5(al, stfr.)hall
hældningsgrad	fall; hall; halli; hallstig
hældningskoefficient	(stfr.) halltal
hældningsmåler	(tøkn.) hallmátari
hældningsnål	hallnál, hellingarnál
hældningstal	(stfr.) halltal
hældningsvinkel	ogstfr.)hallvinkul, stigil
hældøre	tvíhamingur, tvískinningur
hældøret	falskur og tvíhamaður, falskur og tvískinnaður, tvíhamsaður, sum tykir fjarurel.frómur
hæle	hylja, krógva, tjóvsloyna, loyna
hæler	hyljari, loynari, tjóvsloynari, folabrotsmaður;hæleren er lige så god som stjælerenhyljarin og tjóvsvættið, tað er hvørt sum annað;hælersgemmestedhyljarabøli
hæleri	folabrotsverk, tjóvsloyning, (løgfr.) fæloynd ;begå hælerifæloyna, hylja, tjóvsloyna
hælflik	hælbót (bót á skógvahæli)
hæmal	(likam.) blóð-
hæmatin	(likam.) hematin (ikki-eggjahvítaevni, óloysiligt, jarnprotoporphyrin, hemoglobinpartur í blóðkornunum)
hæmatit	(jarðfr.) blóðsteinur, reyðbrúnur málmsteinur, jarnoksid
hæmatom	(lækn.) blóðkýli
hæmme1	(málfr.) treingi (í munninum)
hæmme2	1darva, tarna, tálma, forða, hindra, seinka, halda eftir, hefta(ein);h. én i hendes arbejdetarna einari í arbeiðinum;det hæmmede hamtað darvaði honum;h. i vækstentarna í vøkstrinum;h.i udviklingentálma í menningini2sumlvære fysisk hæmmetvera kropsliga tálmaður;hæmmetsmæðin, ikki koma sær fram, stívur;han virker lidt hæmmethann tykist eitt sindur smæðin
hæmmelyd	(málfr.) trongaljóð, ts. s.frikativ, spirant,gnidelyd;mjúkt hjáljóð(t.d.f, s, z, c, j, g)
hæmmethed	darv, tarn, forðing, hindur, skerjing, ófrælsi, avmarking, haft
hæmning	smædni, afturhald, tálmi;lide af hæmningervera smæðin, halda seg aftur;han har ingenhæmningerhann er púra ósmæðin; hann dugir sær ikki afturhald;hæmningerne svigtedehann fekk ikki tamt seg sjálvan, hann misti tamarhaldið á sær
hæmnings-	darvandi, tarnandi
hæmningsløs	eirindaleysur, óflættiligur, sum ikki fer fram við mýkindum, óstýriligur, óspektur, ótamdur, ólátaður, sum ikki hevur fyrilit, fyrilitsleysur, ansaleysur, ógvisligur, rokmikil, harðligur, óstiltur, ósmæðin, framligur, sum letur seg ikki órógva avel.sum leggur líka lag í, hvat onnur halda
hæmofil	(lækn.) bløðarasjúku-
hæmofili	(lækn.) bløðarasjúka
hæmofobi	(sálfr.) blóðræðsla
hæmoglobin	(lækn.) blóðreyði
hæmoride	(lækn.) gylliniæðr, taggur
hæmotologi	blóðlæra, blóðfrøði
hæmsko	1(tøkn.)kubbi (undir hjóli)2(fl.m.)kleppur(t.d.maðurin er mær ein kleppur), darv, tarn, forðan, hindur, eitt kors (at dragast við);hans stammen er lidt af en h.for hamtað er honum ein kleppur at hann stamar
hænde1	få i h.fáa sær til handar;glide en af h.gleppa einum av hondum
hænde2	henda, berast á, viðurfarast, koma fyri, vilja til, fara fram, stinga seg upp;det hænder sigtað berst á, tað hendir, tað kemur fyri;der er hændtmig en ulykkeeitt óhapp hevur hent mær, verið mær fyri;det er aldrig hændt migtað hevur aldri verið mær fyri, fyrifarist;det kan h.kundi hent, kundi verið, kundi borist á;det kan h. for denbedstetað kann koma fyri hjá tí besta, vera tí besta fyri
hændelig	sum kann henda, sum kann bera á;et hændeligt uheldóhapp, ið kann henda
hændelse	1hending, tilburður, viðburður, atvik;en ulykkelig h.vanlukkuligur tilburður;romantisk h.romantiskur tilburður2standur; tilvild, tilvilja;ved en h. opdagede jeg sammenhængenav tilvild varnaðist eg, hvussu tað hekk saman3(støddfr.) gunstig hændelseheppin hending (í líkindarokning)
hændelsesforløb	hendingargongd, tilburðargongd
hændelsesvis	av tilvild
hændervridende	handavríggjandi
-hændet	ísmst (t.d.) hårdhændet, tomhændet
-hændig	ísmst (t.d.) egenhændig(t); firhændig(t)
-hæng	el.-eísmst (t.d.) påhæng, vedhæng
hænge1	1ymisksamb.billedet hænger på væggenmyndin hongur á bróstinum;frakken hangel.hængte på knagenfrakkin hekk á knagganum;kødet har hængt for længekjøtið hevur hingið ov leingi;stå og h. i barenstanda sum ein skorða í barrini;h. fastikki sleppa takinum, vera fastur;h.folderigtbylgjast(t.d.hennara síða hár; gardinurnar);h. slaptlava, hanga, slúta, halla, signa;træet hænger fuldt af frugttræið er avtakið við fruktumn lhsumlhængende; hængendehavehangandi havi;(jarðfr.) hængende dalhvammur, ovari dalur (dalurel.botnur, sum munnar út í ein megindal í erva);han harhængende kinderhann hevur síðar kjálkar2(fl.m.) der hænger et uvejr i luftenhann veit illveður í;lærken hænger i luftenlerkurin sveimar í luftini;myggene hænger stille i luftenmýggjabitarnir hanga stillir í luftini;sidde og h. itimevissita og gena [ge-] í tímar;gå og h.ganga og letast, ganga hendur í lumma;stå og h.standa og gena;blomsterne hængerblómurnar hanga;kjolen hang på hendekjólin hekk uppi á (uttan á) henni;(sk.) du har ret, du skal hængesav tí at tú hevur rætt, fært tú ikki rætt;dendrukner ej som h. skalikki verður tann søktur, sum skal verða hongdur3ísamb.viðfs- bagefterh. bagefterkoma darlandiel.tvassandi aftaná- efterh. efterhanga uppi í, elta, gangael.vera í hølunum- itobakslugten hænger i tøjettubbaksroykurin hongur í klæðunum, tubbaksroykurin gongur at teimum;kjolen hang ikjólin var fastur;h. flittigtivera íðin;hæng i!drív á!, gevst ikki!, spenn teg út!;h. i klokkenhanga í klokkuni;h. i skørternepå hendehanga uppi í henni- medh. medhovedetlúta við høvdinum, drýpa høvur, einki vera um ein, nípa;h. med næbbetvera stúrin, vera tunglyntur;gå og h. med næbbetganga og vera stúrin;h. med vingernelava við veingjunum, veingirnir hanga niður;h. medørernevera lotur- oph. ham op på dethong hann upp á tað(t.e.gev honum skyldina)- overh. over bøgernedríva á at lesa, hanga uppi yvir bókunum, sita skerfastur í bókunum;h. overhovedet på éndíkja á ein, koyra undir ein, vera á kroppinum á einum, hanga yvir høvdinum á;h.truende overhanga hóttandi uppi yvir- pånuhænger du på dennú ert tú krøktur, nú stendur tú penur;det var mig, der kom til at h. på denhar stóð eg so nakkalangur;lade ham h. på detlata hann sleppa at eiga tað;det var på ethængende hårtað var um reppið;på ethængende hårvið neyð og deyð;h. bag på en bilhanga uppi í bili;(fl.m.) din tale kan give hamnoget at h. sin hat pårøðan hjá tær kann geva honum onkra undanførslu;det hænger ikke påtræerneslíkt liggur(el.finnur tú) ikki undur hvørjum steini;hæng påbíða mær eitt bil (í telefon)- sammenfortælle én hvordan dethænger sammengreiða einum frá hvussu alt hongur samanel.leikur í royndum fór;hvordanhænger det sammen med den saghvat hevur tað við hetta málið at gera;han er så træt, at hanikke kan h. sammenhann er um at signa av møði;de hænger sammen som ærtehalmtey eru sum eitt- ud afdet hænger mig ud af halseneg havi fingið nóg mikið av hesum- ud overh. udoverhanga út av, hanga útyvir- vedh. ved sithjemvera heimsælur, ligga inni og akast;h. vedhalda fast við, krøkja seg í; liggja í, vera viðføddur;(bíbl.)loða við,t.d.óreinleiki hansara loðar enn við hann (4. Mós. 19, 13), rína við, rína á
hænge2	(áv.)1heingja (upp);h. et billede på væggenheingja mynd á vegginel.bróstið;hun hænger mangesmykker på sighon heingir nógv prýði á seg;forbryderen blev hængtbrotsmaðurin varð hongdur;h. sig i bagatellerhefta seg við smámunir, gera nógv burtur úr lítlum og ongum;h. sig i uvæsentlige detaljervera putlutur, vera eitt putl, vera langrøkjutur;h. sig ileggja ov stóra áherðslu á;h. udákæra, leggja undir;h. sig om ens halsheingja seg um hálsin á einum;h. ud offentligtákæra alment, alment leggja ein undir;blive hængt ud for nogetfáa skyldina fyri eitthvørt;h. skilt udheingja eitt skelti út;blive hængt ud for nogetvera lagdur undir nakað;h. sigheingja seg2(fl.m.) jeg vil hellere lade mig h.fyrr skal eg liggja eftirá;jeg vil se ham hængtbið hann ríða og renna;jeg vil lade mig h. hvis det ikke ersandtGud skal vera mítt vitni at eg sigi satt;jeg villade mig h. hvisfyrr so vildi eg doyð
hængeask	(plfr.) lavaskur(Fraxinus escelsior `Pendula')
hængebirk	(plfr.) lavbjørk(Betula pendula `Tristes')
hængebro	(byggl.) heingibrúgv
hængedynd	flotkelda, hoppikelda
hængeflab	(dý.) (á hundi) síðkjaftur(eis.um fólk), síðlippa
hængehoved	deyda, deydaleika, turkatræ
hængejern	krókur;h. til slagtekroppekrókur til krov
hængekøje	heingikoyggja
hængelampe	heingilampa
hængeleje	(tøkn.) heingilega
hængelås	(tøkn.) heingilás, nýralás;lukke med h.steingja við heingilási
hængemose	flotkelda, hoppikelda, dandakelda, dandisvullur, smokkukelda
hængen	1ukritisk h. sig i ordtað at ein óvandin trýr øllum ið sagt verður2h. istrev, knoss
hængeparti	(í talvi) niðurlagt talv
hængepil	(plfr.) lavpílur(Salix x blanda)
hængeplante	(plfr.) heingiplanta, planta at heingja upp
hængerøv	reyvarsíður maður;med h.laggarsíður, dreivlorkutur
hængeskuldret	herðasneiddur, slútakslaður, akslasneiddur, lavakslaður, sneiddur
hængesmykke	heingiprýði;(sk.)darl
hængestolpe	(byggl.) dvørgur (stútta sum gongur úr bjálka upp í mønu)
hængesæk	ts. s.hængedynd
hængetræ	1(plfr.)heingitræ2(fl.m.) flyt dig, jeg kan lide træer, men ikkehængetræer!flyt teg, mær dámar granar flestar, men ikki fýligranar
hængevom	(likam.) heingibúkur,(sk.)skiparabúkur
hængning	heinging;henrette ved h.heingja, festa upp
hængsel	1hongsl;sætte en dør på hængslerneheingja hurð á hongsl; (úr træ) leikindi;døren hang på et hængselhurðin slavraði á einum hongsli2(flt)geipa; (á skrínum og kistum) bakjørn;(tøkn.)spong; áslag
hængselled	(likam.) hongslaliður
hængsle	seta hongsl á
hær	1(herm,um donsk viðurskifti) herur(in)2(herm,um ikki-donsk viðurskifti) herur (ein herur fevnir um fleiri herlið,armékorps,sum aftur fevnir um tvey til trý fylki,divisioner;síregiment)3(fl.m.)fjøld, herskari, skari, ørgrynni;en hel h.af menneskerørgrynni av fólki, riðil av fólki4(átr.)Frelsens H.Frelsunarherurin
hærafdeling	(herm.) hereind
hærde	1herða, stæla (styrkja við stáli);hærdet gummihert gummi2(fl.m.) hærdetherdur, beinharður;hærdesharðna, herðast, verða herdur;sindet hærdesgennem modgangsinnið verður hert við mótgangi3(herm.) hærdede tropperherdir hermenn;h. sigmod forkølelse ved kolde badeherða seg ímóti krími við køldum bað
hærdebred	(skaldsk.) l herðabreiður, akslabreiður, breiður um herðarnar, breiður um bróstið
hærdelig	sum herðist
hærdelse	herðing, herðsla
hærderi	(tøkn.) herðingarvirki
hærdne	harðna;sandet hærdner til sandstensandur harðnar til sandstein (at sandsteini)
hærdning	(um glasosfr.)herðing
hæresi	(átr.) trúvilla, falstrúgv
hæretiker	(átr.) trúvillingur
hæretisk	(átr.) trúvilstur, rangtrúgvin
hærfugl	(dý.) herfuglur(Upupa epops)
hærfører	herovasti, her(s)høvdingi
hærge	herja, leggja í oyði, oyða, týna, ræna;fjendenhærger landetfíggindin herjar landið;brandenhærgede hele kvartereteldurin oyddi allan býarpartin;sygdom men hærgede landetsjúka gekk í øllum landinum;hun har et hærget ansigthon hevur eitt herjað andlitsbragd, andlit hennara er rukkut/foyrut
hærgen	herjan, oyðilegging, oyðing, týning
hærkommando	(herm.) herleiðsla
hærorm	(dý.) herormur, larva av lítlum mýggjabita(Sciaramilitaris)
hærskare	1(hátíð, átr.)herskari, fjøld, ørgrynni;(bíbl.) enhimmelsk hærskares mangfoldighedein fjøld av himmalskum herskarum (Luk. 2, 13)2(fl.m.) der er kommet en hærskaresmangfoldighed af billigbøgerørgrynni av ymiskum bíligbókum er komin;en h. af tilskuerefjøld av áskoðarum
hærværk	herverk, yvirgangur;øve h.gera herverk, oyðileggja
hæs1	(landb.) des, skrúgv, stakkur, hólgaskrúgvi, bundi, hólgi, sáta;kornet står i h.kornið stendur í skrúgvi, hólgarnir standa í skrúgvi;sætte kornet ih.seta kornið í skrúgvsamsvarargera des(el.sátu), laða, skrýva, stakka
hæs2	(um rødd) hásur, hásmæltur, avmæltur, kyrktur;blive h.gerast hásur, fara av málinum;meget h.hásur sum ein gásasteggi;h. som enravnhásur sum ravnurin;skrige hæstgorra;skrige sig h.rópa seg hásan
hæsblæsende	1pøstur, algoystur, tiva, tivandi sum vagaseyður2ódligur, turnandi, rúkandi;(fl.m.) i h. fartvið rúkandi ferð
hæshed	(lækn.) hæsi
hæslig	ljótur, skitin, misháttur, grimur, ódámligur, andstyggiligur, vamlisligur, ótespiligur, avskræmiligur, fúlur, ófríður, illavorðin, herviligur, ónossligur;et hæsligt vejrótespiligt veður;et hæsligt dyreitt andstyggiligt dýr;en h.lastskitin óvani;h. talesvínsk tala;et hæsligttapeteitt avskramiligt tapet;h. mandslingandstyggiligurel.fúlur minkur
hæslighed	óhumska, ljótleiki, avskræmi
hætte	hetta(eis.til fyllipennosfr.); frakke med h.frakki við hettu;tætsluttende h.trong hetta
hætteformet	hettuskapaður
hættemåge	(dý.) fransaterna(Larus ridibundus)
hævd	1hevd;(løgfr.) påstå h.krevja hevd;(løgfr.) afbrydelse af hævdhevdarslit, at bróta hevd;få, have, vinde h. på en ejendomfáa, hava, vinna hevd í einari ogn;(fl.m.) talemåden har vundet h.máliskan hevur vunnið sær hevd2hald; varðveitsla;(fl.m.) holde i h.varðveita;holde traditioner i h.varðveita siðir
hævde	1halda uppá, standa fast uppá, ikki geva eftir, ikki víkja, ikki slaka;h. sin stillingstanda upp á sítt, standa stinnur, halda ímóti, standa ímóti;somhævdes at væresum sigst vera;det kan mednogen ret hævdes attað kann við ávísum rætti verða sagt at;jeg vil tillade mig at h.eg fari at loyva mær at halda uppá2hevda;h. sighevda seg, gera seg, erpa sær; vera stinnari enn, hava munin á; standa seg, ikki víkja;han hævder den modsatte opfattelsehann stendur fast upp á hina øvutu áskoðanina
hævdelse	hevd, uppáhald
hævdsafbrydelse	hevdarslit
hævdstid	(løgfr.) hevdarskeið
hævdvunden	1(løgfr.)hevdvunnin, hevdbundin, vunnin við hevd, viðtikin;h. regelregla vunnin við hevd2eftir gomlum siði, siðvenjubundin, vanabundin, aldagamal, hevdarhelgaður
hæve	1hevja, lyfta; hækka(t.d.prís, leigu, løn); upphevja, yppa, vega, taka seg upp, hava upp, rísa, slíta;h. blikket mod himlenhevja eyguni móti himni;h. forbudetseta forboð út gildi;h. glasset forskála fyri;h. en prisskrúva prís upp;h. stemmentosa harðari;h. skatternehækka skatt;ikke en medlidende stemme hævede sigikki ein tók orðið í samkenslu;h. ham til skyernehevja til skýggja, gíggja hann, lovprísa honum, makta hann, rósa honum;h. sit modtaka dik á seg, herða hugan;h. sig overhevja seg upp um, ikki leggja í, vera ov góður til;h. sig over gennemsnittethevja seg upp um miðal;h. sig højthevja seg upp; kneysa; rísa høgt upp;h. det åndelige niveauhevja andaliga stigið;den sag er hævet over enhver tvivlhatta málið er hevjað upp um allan iva;bjerget hæver sig over omgivelsernefjallið kneysar yvir landslagnum;hævet over al kritikhevjaður upp um atfinning, vera lýtaleysur;hævet vej over fugtig bundvegur lyftur upp um vátlendi2(ísamb.við banka) taka út; innloysa(t.d.kekk);h. penge i bankentaka pening út, taka pening úr banka;h. sin løntaka lønina út;h. understøttelsetaka út stuðul3gerael.koma til einkis;h. en forlovelsegera trúlovilsi til einkis, narra; ógilda, slíta;h. en kontraktslíta/ógilda sáttmála, ganga frá sáttmála; gevast við, enda, strika;h. en belejringenda kringseting;fortryllelsen var hævetgyklið var farið;h. bordetenda máltíðina, fara frá borði; slíta;hæve købetslíta keypið, ganga frá keypinum;hæve sagentaka málið aftur, leggja málið niður;parlamentsmødet hævedes kl. 9tingfundurin varð slitinel.lokin kl. 94(lækn.)trútna, hovna, bólgna, túsna, týsna;hævethovin, trútin, trútnaður, upptúsnaður, bólgnaður;benet er hævetbeinið er hovnað5h.(um deiggj) ganga;h. sigganga; (um aldu) rísa upp, geva upp; (um flogfar) fara á flog; (um mjørka) lætta6(løgfr.) sagen er hævetmálið er niðurlagt
