n	(málfr.)consonant
nýtendraður	(stjfr.)there' a new moon; nýtendraðurmáninew moon
nýtestamentligur	(of the) New Testament
-nýti	síbú-,hús-
nýtikin	recently taken;hon hevur nýtikið pottin niðuravshe has just (recently) taken the pot off the fire
nýtiligur	fit for use, serviceable, useful, usable; in working order; suitable;ikki nýtiligur (eis.)useless;tað er nýtiligt (eis.)it can be used;handa mannagongdin er ikki nýtilig her (eis.)the method is not applicable here, the method is useless here;teimum longdist eftir at fáa ein nýtiligan døgurðathey longed for a solid dinner;ein nýtiligur bilura car in working order
nýting	utilization, exploitation; development
nýtíð	present, present time;nýtíðinmodern times, the modern age;knappliga møttust miðøld og nýtíðsuddenly medi(a)eval times were confronted with modern age
nýtíðar-	-býur; -kendur
nýtíðarbýur	modern cityel.town
nýtíðarbærur	sínútíðarbærur
nýtíðarkendur	modern
nýtjøraður	sínýbræddur
nýtsla	consumption; (av orkuo.tíl. eis.)expenditure; employment, application;dekka nýtslunacover one's requirements;økja nýtslunaincrease consumption;innlendska nýtslanhome consumption;tá ið nýtslan vindur upp á segas soon as a demand arises;skerja nýtslunareduce consumption;persónlig nýtslapersonal consumption;stór oljunýtslaa heavy consumption of oil;Bretland hevur ómetaliga stóra oljunýtsluBritain has an enormous consumption of oil, Britain consumes enormous quantities of oil;ársnýtsla av oljua year's consumption of oil;danskar skúlabøkur eru enn í nýtslu í FøroyumDanish school books are still in use in the Faroes
nýtsluavgjald	sínýtslugjald
nýtsluavmarkandi	consumption restrictive(t.d.measures)
nýtsludømi	(teld)use case
nýtsluforrit	(teld)application program; nýtsluforrittil bókhaldan application program for bookkeeping
nýtslugjald	excise (duty; tax), consumption tax
nýtslugransking	applied research
nýtsluleiðbeining	consumer guidance
nýtslulutur	article of consumption; commodity;nýtslulutir (eis.)consumer goods
nýtslumarkamót	(teld)user interface
nýtslumálfrøði	applied linguistics; eis.nýtslumálvísindi
nýtslumálvísindi	applied linguistics; eis.nýtslumálfrøði
nýtslumót	(teld)user interface
nýtsluplanta	utility plant
nýtsluritbúnaður	(teld)application software (eis.application,app)
nýtslurættur	(løgfr.)(right of) use;nýtslurætturin til heimrustinathe use of/the right to use the commons
nýtslusemi	(teld)usability
nýtsluskattur	(bú.)consumption tax
nýtsluskipan	(teld)application
nýtsluskipanarstilling	application settings
nýtsluskipanarvilla	application error
nýtslustig	1(flogm.) load factor(t.d.an average load factor of 40%)2(um rúm) use intensity3(skúlastova) number of pupils per class4(á sjúkrahúsi) bed occupancy rate, number of occupied beds5(plássnýtslat.d.í flogfari) effective utilization (of seating capacity)
nýtslustilling	application settings
nýtslutal	sínýtslustig
nýtsluvirði	use-value, utility value;hestavognurin hevur einki nýtsluvirði í daga (horse-drawn) carriage has no use-value today
nýtsluvísindi	applied science
nýtsluvørur	consumer goods;ódrúgv nýtsluvøraquickly consumed consumer goods
nýtt	sínýggjur
nýtulka	give a new interpretationel.new presentationel.new representationel.new rendering
nýtulking	new interpretation, new presentation, new representation, new rendering(t.d.his new rendering of the story); new version
nýtur1	1useful, serviceable, fit for use;nýt vápnuseful weapons2good, appropiate, to the point;hann takkaði kongi við nýtum og blíðum orðumhe thanked the King kindly using the right words3(kvæð.)brave, bold, spirited, proficient;tann hin nýti drongurthe brave young man
nýtur2	sínjóta
nýturkaður	newly dried
nýturrur	(of wind-dried fish, mutton) newly-el.recently dried,nýturt kjøtnewly-dried mutton
nýtvigin	(um fólk) newly washed, clean; (um pløgg) freshly laundered
nýtýðing	new translation; retranslation
nýumseting	new translation; retranslation
nýumvendur	newly converted
nýuppdaging	new discovery
nýuppfunnin	newlyel.recently invented
nýuppúrlagdur	(of cooked food) just taken out of the pot
nýur	(kvæð.)new
nýútbúgvin	newly qualified, newly hatched, newly fledged(t.d.clergymen);nýútbúgvin kandidaturyoung man//woman fresh from university
nývaknaður	just wokenel.just awake
nýval	síval2
nývaldur	elected for the first time;nývaldir tingmennmembers of the Løgting who have been elected for the first time
nývaskaður	(um fólk) newly washed, clean; (um pløgg) freshly laundered
nýveiddur	newly caught(t.d.fish)
nývelting	breakingel.cultivation of new ground
nýveltur	recently brought under cultivation
nývil	(sjónavn)whale;ikki mátti orðið hvalur nevnast innanborða á báti, men nývilwhile at sea one must not use the word `whale' but refer to it as nývil
nývirði	(trygg.)replacement value
nývirðistrygging	(trygg.)replacement value insurance
nývorpin	new-laid(t.d.eggs)
nývørrur	turning-point; nývørrurí málaralistinia turning point of the art of painting
nýyrði	sínýggjyrði
nýøld	(jarðfr.;tíðarskeiðið 66 - 0 mill. ár síðan)nýøld jarðarCenozoic/Caenozoic/Cæno-zoic/Cainozoic Era;jarðarsøgan verður býtt sundur í upphavsøld, fornøld, miðøld og nýøldearth's geological epochs are: Palaeozoic (Era); the Mesozoic (Era), and the Cenozoic (Era)
næla	1germinate, sprout, bud;seteplini eru farin at nælathe seed potatoes have begun to sprout;tað nældi á høkuthere was the beginning of a beard on his chin;nælir ikki upp úr rossaspori,sírossaspor2(um sveitta, of sweat) break out;ómagasveittin nælir um kroppincold sweat is breaking out all over (my) body;pínan fekk sveittan at næla framhe//she was in a sweat because of the pain3(handarb.)sew, stitch; nælabuksur//kotmake trousers//a frieze coat4(sj.)sew on a buttonhole
næling	1germination, sprouting, budding2(handarb.)stitching, seam;tað var ótrúligt, at nælingin kundi vera so tøttit was amazing to see how closely set the stitches were3(handarb.)the edge of a buttonhole
nælingarkar	(á bryggjaríi) steep(ing) tank, steep
nælingartráður	1fine sewing thread2buttonhole thread
næmi	1aptitude, quickness, apprehension, perception;hann hevur eitt flúgvandi næmihe is unusually apt2feeling, sense, impression;eg eri á næminumI have an impression that, I feel that, I have a feeling/an idea/a hunch that
næmingaarbeiði	pupil's work;hatta er næmingaarbeiðiit is the work of a pupil
næmingablað	school magazine
næmingabústaður	dormitory; næmingabústaðurhjá Føroya studentaskúlathe dormitory ofFøroya Studentaskúli
næmingafelag	pupils' organization
næmingafundur	pupils' organization meeting
næmingafyrilestur	pupil lecture
næmingagrundarlag	pupilel.student population; ratio of pupilsel.students
næmingaheim	hostel
næmingaíbúð	digs(flt)
næmingamiðaður	(skúlam.)learner-centred, pupil-centred, student-centred
næmingaráð	(skúlam.)school council, pupils' council
næmingaráðsfundur	pupils' council meeting
næmingasamræði	pupil participation, pupil democracy
næmingasamrøða	pupil interview
næmingastýrdur	directed by the pupils
næmingatal	number of pupils;lækkandi næmingatalfalling number of pupils, falling rolls
næmingaumboð	pupil representative
næmingaundirstøði	pupilel.student population; ratio of pupilsel.students
næmingaveitsla	school festivalel.function
næmingi	sínæmingur
næmingsverk	(handv.)apprentice's work;hetta er næmingsverkthis is an apprentice's work
næmingur	(serst.um børn, í fólkaskúlumo.tíl.)pupil;(am.)student; (vaksin á lærustovnum, tíðum) student(t.d.a student of the Royal Academy); (meðan verkligi parturin av lestrinum fer fram) trainee; (í handli) apprentice; (á skrivstovu) junior clerk; (landbúnaðarnæmingur) farm apprentice, agricultural apprentice; (sjúkrasystranæmingur) student nurse; (framvegis verður stundum sagt) probationer;hann var næmingur hjá X (eis.)he studied under/with X
næmur	apt, quick, who learns quickly;børnini eru so nomthe children are very apt
nær1	1near, close, in the neighbourhoodel.vicinity; nærviðclose by, close at hand, near by, nearby; close to it (him//them//the churcho.tíl.); nær landi/nær við landclose to land (the shore);hann býr nær ánni/nær við ánnahe lives close to the river;nær bygdini/nær við bygdinanear the village;fuglurin torgar ikki nær húsunumthe bird doesn't like to come too close to the houses;hann var hestinum so nær, at hann treiv um halafaksið á honumhe was so near the horse that he grabbed its tail;eingin fiskur er at fáa hvørki nærri ella fjarri(ongastaðni) there's no fish to catch anywhere;standa e-m nærbe closely attached to sby;tey, ið standa e-m nærthose nearest and dearest to sby;báturin var komin nær at okkumthe boat had come close to us;vit komu nærri og nærriwe came closer and closer;nær umalmost, nearly;hann átti nær um hálva Suðuroynnahe owned almost half the island of Suðuroy;nær námindis,sínámindis;leggja sær nærtake/be at pains to, take trouble to;hesin drykkjuskapur gekk mammuni so nærhis boozing took the mother greatly to the heart;hesin tilburður gekk honum sera nærhe was very much upset by the event;taka sær e-t nærtake sth (greatly) to heart, take sth very hard;tú veitst ikki, hvussu nær hann tekur sær hettayou have no idea of as to how much it upsets him2nær sumalmost, nearly, hardly;her er einki fleygað, nær sum einkithe bird-catching has been poor, we have hardly caught any birds
nær2	when; nærfer bussurin?when does the bus leave?;nær kemur tú?when do you come?;hann spurdi, nær (ið) eg komhe asked me when I would come
nær3	sínáa
nærafólk	(stb.)decent person, steady person, person of regular habits, reliable, dependableel.trustworthy person;hon er eitt satt nærafólkshe is a dependable woman
nærband	close ties;hansara nærbond at jørð, havi og veðurlaghis close ties to the soil, the sea and the climate
nærbardagalið	(herm.)close-quarters fighting force, hand-to-hand fighting force
nærbardagi	(herm.)hand-to-hand fighting, fighting at close quarters;(sigl.)close action, action at close range;(flogm.)dogfight
nærbundin	intimately connected;hann var so nærbundin at hennihe was intimately connected to her
nærbýlt	íosb. har er so nærbýltthe distance between the houses is short; densely built-up(t.d.area)
nærdeyðauppliving	near-death experience, out-of-body experience
nærferðsla	localel.suburban traffic
nærfrøði	(lækn.)obstetrics
nærfrøðingur	obstetrician
nærgeingin	1(nasvísur) impertinent, rude (to)(t.d.he regarded her with a rude stare);søgurnar vóru ikki nærgongnar móti fólkithe stories about people were not impertinent2(ov bonskur) tactless, indiscreet(t.d.questions//remarks);tú heldur meg vera ov nærgongnanyou find me too tactless3(frekur) impertinent; fresh(t.d.don't get fresh with me!); come (too) close;nærgeingin samrøðaa grilling;vera nærgeingin (eis.)make offensive/personal remarks,(tlm.)get personal;hann er so nærgeingin við konufólkhe annoys women;(tlm.)he makes passes at women; (ógvisliga) he assaults women;stórhvalir kunnu vera sera nærgangnirlarge whales sometimes come so close that they rub themselves against (the boat)
nærgingin	sínærgeingin3;gæsnar varnaðust hini dýrini og fístu tá ið onkur var teimum ov nærginginthe geese kept a wary eye on the other animals and hissed when they came too close
nærgongdur	sínærgeingin
nærhendis	sínærindis
nærhugaður	careful, watchful, alert
nærhyrntur	(um veðr, of rams) [with horns growing close to the cheeks]© Absalon Hansen
-næriligur	síó-
nærind	(sj.)nearness, proximity; neighbourhood, vicinity;hann er ikki í nærindinihe is not in the neighbourhood;har í nærindinithere in the vicinity
nærindis	1[sumhj] near, in the neighbourhoodel.vicinity; nærindishoyrdist fuglaljóðnear by bird song could be heard;í Havn tosa tey ikki nærindis sum í Tjørnuvíkin Tórshavn people speak quite differently from what they do at (the village of) Tjørnuvík2[sumfs] close by, close at hand, near by, nearby; close to it (him, them, the church,o.tíl.);nærindishúsunumclose to the house
nærindisbygd	neigbouring village
nærindisbøur	infield lying close to the houses
nærindismaður	man from a neighbouring village;tað vóru nærindismenn, ið høvdu sæð grindaglaðunamen from a neighbouring village had first detected the smoke beacon which gave the alarm that a school of pilot whales had been spotted
-nærisligur	síó-
nærka	bringel.move nearer to; nærkaskriftmálið at talumálinumbring the written language nearer to the spoken language;nærka seg/nærkastapproachelmake(t.d.land), come nearer;jólini nærkastChristmas is approaching;nærka seg/nærkast e-mapproach sby, come nearer to sby;hann nærkaðist bygdinihe approached the village;nú nærkast at tíni deyðastundyour hour of death is approaching
nærkan	approach, proximity
nærkomin	near, close, drawn near, approaching, coming, imminent; nærkomindeyðanumbe at death's door, be near death, be dying;nærkomin at kálvanear to calving
nærkona	doula;(gl.)midwife;jarðarmóðir var eingin, og plagdi hon tessvegna at vera nærkonaas there was no certified midwife she used to be a stand-in
nærkvæmi	exactness, accuracy, precision
nærkvæmisarbeiði	precision work
nærkvæmsliga	thoroughly; exhaustively, completely, profoundly;hann reinskaði alt so nærkvæmsligahe took pains to give it a thorough cleaning;skógvurin er so nærkvæmsliga slitinthere is nothing left of the shoe;tókst tú alt? ja, so nærkvæmsligadid you take everything? yes, there was nothing left (over)
nærkvæmsligur	exact(t.d.an exact description); precise(t.d.a precise statement); distinct, accurate; thorough; exhaustive, complete, profound;hann legði sær eina við at fáa uppgerðina um støðuna so nærkvæmsliga sum til barhe took pains to make the statement (of the account) as accurate as possible
