e	(eis. tónl.)E, e
eygnabruni	(lækn.)inflammation of the eyes; conjunctivitis;egyptiskur eygnabrunitrachoma
eygnabrúgv	(á fólki) brow, eyebrow; (yrkisheiti) supercilium(flt-cilia);rísnar eygnabrýrbushy(el.tuftedel.shaggy) eyebrows;samanvaksnar eygnabrýreyebrows that meet in the middle;tjúkkar eygnabrýrthick(el.heavy) eyebrows
eygnabrún	(gl.) síeygnabrúgv
eygnabrúnsvøddi	superciliary muscle, corrugator
eygnadropar	(lækn.)eye lotion, eyewash; eye drops(flt.)
eygnafjarur	with a far-away(el.distant) look
eygnaglas	eye-bath, eyeglass
eygnagløs	glasses, spectacles
eygnagras	(plfr.)eyebright(Euphrasia)© Wikimedia Commons
eygnahagur	hann er so eygnahagur he has a good eye for details
eygnahár	eyelashes; (yrkisheiti) cilium(fltcilia);sum viðvíkur eygnahárumciliary
eygnahol	(sj.)síeygnahola
eygnahola	hollow of the eye, orbit; (í skøltinum) eye socket;sum viðvíkur eygnaholuorbital
eygnahvarmur	(jaðari á eygnaloki) orbital ring
eygnahvíti	(lívfr.)the white of the eye
eygnahædd	í eygnahædd at eye level(GG:an eye-level grill)
eygnakanning	examination of the eyes
eygnakast	síeygnabrá
eygnaklaffi	(hjá fólki) (eye) patch; blinker
eygnaklinikk	1eye specialist's nursing home2eye specialist's consulting rooms3(á sjúkrahúsi) eye(el.optical) clinic
eygnaknøttur	(lívfr.)eyeball
eygnakoppur	1the white of the eye2big eyes
eygnakrókur	(likam.)corner of the eye;(yrkism.)canthus(fltcanthi), palpebral commissure;innari eygnakrókurinner(el.greater) canthus;ytri eygnakrókurlesser canthus;hann eygleiddi hana út millum eygnakrókarnarhe watched her out of the tail(el.corner) of his eye
eygnakúpa	contact lens(t.d.hard (, permanent, soft) contact lenses)
eygnalag	air, look, glance
eygnalappi	face cloth, face flannel
eygnalepi	(stb.)síeygnalappi
eygnaleysur	blind
eygnalitur	1colour of the eyes, eye colour2mascara
eygnalok	(lívfr.)eyelid;viðv. eygnalokunum(yrkisheiti.) palpebral, blepharal;bruni í eygnalokunum (lækn.)inflammation of the eyelids; (í rondini) blepharitis;krampi í eygnalokunumblepharism, blepharospasm;lamni í eygnalokunum (lækn.)blepharoplegia;niðara eygnalok (lívfr.)lower eyelid;ovara eygnalok (lívfr.)upper eyelidtung eygnalokheavy eyelids
eygnalækni	(lækn.)eye specialist, ophthalmologist, oculist;(tlm.)eye doctor; (skurðlækni) eye surgeon,(forml.)opthalmic surgeon
eygnamið	purpose, end, object, aim;við tí eygnamiði atwith the purpose of -ing; with the intention(el.object) of -ing, with a view(el.an eye) to -ing; in order to;við hesum eygnamiðiwith this end in view, for this purpose
eygnariv	1eye catcher, eye-catching device;sum virkar sum eygnariveye-catching2display, show3(sj.)treasure, jewel
eygnarívandi	(very) interesting, beguiling, (sterkari) exciting(t.d.book), thrilling(t.d.thrilling news, a thrilling story)
eygnasalva	(mong ymisk sløg) eye ointment
eygnasjúka	eye disease;sjúkrahús fyri eygnasjúkurophthalmic hospital, eye hospital
eygnaskeyti	síeygnalappi
eygnaskol	eye(el.ophthalmic) bath
eygnaskot	síeygnabrá
eygnaskuggi	eye-shadow
eygnaskurðviðgerð	eye operation
eygnasteinur	1(gl.)eyeball2pupil3(fl.m. serl.um fólk) apple of one's eye(t.d.she is the apple of his eye; he cherishes her like the apple of his eye)4very small potato
eygnatonn	eyetooth
eygnatænari	time-server(GG:he pays lip service to his master)
eygnatænasta	time-serving, lip service;(bíbl.)eyeservice
eygnavarmi	(stb.)síeygnavarmur
eygnavarmur	brow ridge
eygnaverja	protection of the eyes; (ofta) gogglesflt
eygnaverkur	pain in the eye(s), sore eyes
eygnavernd	safety spectacles; safety goggles; eye protection
eygnavitni	eye-witness(tilof)(GG:an eyewitness account of the battle)
eygnavørr	(stb.)síeygnavarmur
eygreyður	eygreyður grágeykur black-billed cuckoo
eygsjón	í osb: í eygsjón in sight;úr eygsjónfrom sight;missa úr eygsjónlose sight of;báturin hvarv úr eygsjónthe boat disappeared from sight (, view)
eygsjónligur	evident, visible, obvious;hj-liga
eygsmál	(el. í)í osb: tað er ikki eygsmál á it is faster than the eye can see
eygsmæli	(Nóls.)í osb: tað er ikki eygsmæli á there is no interval between
eygsvartur	(seyðal.)[black around the eyes]
eygsveipin	(óregl.)->eyðsveipin
eygsýni	síeygsjón
eygsýniligur	síeygsjónligur;hj-liga(Ev)
eygsýnur	síeyðsýndur
eygutur	loosly knitted
eygvaldur	(óregl.)->eyðvaldur
eygvermi	(sa.) síhvarmur
eygvermutur	(Sa., seyðal.)sívørmutur
eyk	slow (, tardy, dilatory) person
eyka-	1(sum ískoyti til tað vanliga) extra(t.d.extra work demands extra pay); additional(t.d.expenses); supplementary2(til at taka) spare(t.d.I always carry a spare handkerchief)3(av óvanligum slag) special, exceptional; (óføra fínur) superfine; superior, tiptop
eyka1	increase, add to, augment;eyka (e-t) tiladd;eyka umadd to, augment(t.d. one'sincome; the army), increases
eyka2	í osb: eyka út tire, fatigue;(serl.andliga) weary(t.d.sby with one's stories; I must not weary my readers); (ógvisliga) tire out, exhaust;eyka seg útoverwork, work too hard, over-exert(el.overstrain) oneself, overtax one's strength;(tlm.)overdo it(t.d.I have been overdoing it lately);eykasttoil, toil and moil, work (hard), grind, drudge, slave, slog;eykast við e-thave great trouble (, difficulty) with something
eyka3	in addition to, on top of, to top it all
eykaaðalfundur	extraordinary general meeting
eykaarbeiði	extra work, overtime(t.d. he has done three hours' overtime today)
eykaavgjald	surcharge, supplementary fee; supplementary tariff
eykaavsláttur	special discount, special rebate
eykaágóði	extra profit, extra gain
eykaárin	(lækn.)side-effect; (íkomið við ketuviðbragdi) knock-on effect;(lækn.) óynskt eykaárinadverse effect
eykabind	supplementary volume
eykafall	(málfr.)oblique forms
eykafíggjarætlan	supplementary budget;(eis.ES) amending budget;uppskot til eykafíggjarætlan(ES) draft supplementary budget;útkast til eykafíggjarætlan(ES) supplementary preliminary draft budget
eykafundur	extraordinary meeting
eykagjald	(tað ið fæst) extra pay, bonus; (tað ið verður goldið) extra charge, extra fee, additional payment;fyri 10 pund í eykagjaldion payment of an additional ten pounds
eykahjálp	extra help, additional assistance
eykahjól	spare wheel
eykainntøka	extra income; extra money;fáa eykainntøkumake a little extra; make a little on the side;óvæntað eykainntøka (eis.)a windfall
eykaískoyti	(til løn) bonus
eykajáttan	(bú.)supplementary(el.additional) grant;(tingm. eis.)supplementary appropriation; (ES) deficiency bill;upp á væntaða eykajáttanin anticipation of a grant
eykajáttanarlóg	(uppskotið) supplementary estimatesflt; (góðkend lóg) [Act which embodies Supplementary Estimates]; (samsvarar við) Appropriations No. 2 (, No. 3o.s.fr.)Act
eykakostnaður	extras
eykaleikari	(ítr.)reserve, substitute;seta eykaleikara innplay a reserve
eykalið	(ítr.)reserve team, second team (t.s.s.annað lið)
eykaligur	tiring, fatiguing, exhausting
eykalóg	(svarar til)amending Act
eykalutur	spare part
eykalykil	spare key
eykaløn1	additional pay, bonus
eykaløn2	additional pay, bonus
eykamaður	1(ítr.)reserve2(stjm.)[supplementary seat]
eykamanning	extra hands
eykan	supplement
eykanavn	síeyknevni
eykanummar	(í framførslu) encore(t.d.do an encore)
eykapersónur	(bókm.)subordinate(el.subsidiary) character
eykaprógv	supplementary examination
eykasetningur	(málfr.)(subordinate) clause, dependent clause
eykaskattur	(bú.)supplementary tax, additional tax, surtax
eykaskrá	(ES) additional programme
eykaskatting	supplementary taxation
eykast1	be increased, be augmented, be added to; increase, grow,orð ókst av orðione word led to another
eykast2	síeyka 2
eykastarv	extra (, secondary, subsidiary) job(el.secondaryel.subsidiary) job
eykasøla	additional(el.increased) sale
eykatingseta	(stjm.)extraordinary meeting of Parliament; extraordinary meeting of Representative Council
eykatími	(í skúla) additional lesson, extra period
eykatollur	additional duty, surcharge
eykaútgáva	(blað) special (edition)
eykaútgerð	(optional) accessories;fltextras
eykaútreiðsla	additional expenditure;flt eykaútreiðsluradditional expenses, extras
eykavaldur	(stjm.)[supplementary seat];síeykamaður 2
eykaveiting	spare supply
eykavinna	extra (, secondary, subsidiary) job(el.secondaryel.subsidiary) job
eykavinningur	1extra prize; (sum troyst) consolation prize2(handilsm.) spin-off
eykavirði	added value
eykavognur	(jarnbr.)duplicate coach
eykdovin	bone idle
eyki	supplement
eyknevna	give a nickname, call by nickname
eyknevni	nickname
eyks	í osb:vera el. sita til eyksbe de trop, be odd man out; (grov máliska) be like a spare prick at a wedding; (saman við ástfongdum pari) play gooseberry
eyksár	(bát.)spareoar
eyksmaður	extra man
eyksum	besides, in addition to
eykutur	(um arbeiði)tiring, boring
eymd	wretchedness, misery
eymingi	(gl.)armingi
eymk	groan, groaning
eymka	1commiserate with, pity; be sorry for,eymka segcomplain, lament, wail (um)2eymka seggroan
eymkan	1pity, compassion, commiseration2complaint, lament, wailing
eymkiligur	pitiful, pitiable, miserable;hj-liga
eymking	síeymkan
eymleiki	tenderness(t.d.a look full of tenderness); affection, love, fondness, tender affection
eymligur	1tender(t.d.tender looks(el.glances)), affectionate, loving, fond2sore, painful3pitiful, pitiable, miserable4hj-liga(t.d.love sby dearly(el.tenderly))
eymur	1tender(t.d.a tender farewell; tender feelings), affectionate, loving, fond(t.d.his loving(el.fond) mother)2sensitive, touchy, thin-skinned3sore,hava eymar føturhave tender(el.sore) feet; be footsore; painful, aching; tender(t.d.a tender spot);eg eri eymur um allan kroppinI am sore(el.aching) all over;(fl.m.) raka eitt eymt punkttouch a tender(el.sore) spot; touch sby on the raw4miserable, wretched, poor
eyra	(stb.)í osb: har eyrar og seyrar it leaks all over
eyrborin	gravelled
eyrbotnur	gravel bottom
eyrgrýti	(jarðfr.)conglomerate
eyrhakkari	pick
eyrhol	gravel pit
eyrhøggari	síeyrhakkari
eyrlerkur	short-toed lark
eyrlind	vein of gravel
eyrmold	topsoil containing gravel
eyrpikka	síeyrhakkari
eyrpikkari	síeyrhakkari
eyrriða	síeyrriði
eyrriðanet	síeyrriðunet
eyrriðasild	síkombikk
eyrriði	(fisk.)sea trout(Salmo trutta)
eyrriðunet	trout net
eyrsáld	coffin ship
eyrskriða	gravelly slope
eyrskruv	gritty surface
eyrslætti	fell field
eyrtúvusteinbrot	(plfr.)Irish Saxifrage(Saxifraga rosacea)
eyrur	coarse sand, gravel
eyrutur	sandy, gravelly
eyrveka	síeyrvika
eyrvika	marshy ground
eyrvikujørð	marshy ground
eyrvøka	síeyrvika
eyrvøkujørð	síeyrvikujørð
eyskar	(bát.)baler, scoop
eysrúm	(bát.)well room
eystan1	east wind, easterly wind direction;í ein eystanto(wards) the east;(sigl.) sigla í ein eystansteer east
eystan2	from the east,hann er eystan (í ættini)the wind is easterly, the wind is in the east;eystan fyri(to the) east of,(t.d.it lies east of the Rhine)), eastward of;fyri eystanin the east;í eystanin an easterly direction, east, eastwards, to the eastward, towards the east;lotið er eystanthe wind is easterly, the wind is in the east;høgur eystaneast by north;lágur eystaneast by south
eystanat	síeystaneftir
eystanduni	(kvæð.)easterly gale
eystaneftir	from the east(t.d.the wind is easterly)
eystanfyri	(to the) east of(t.d.it lies east of the Rhine); towards the east; in the eastern parts
eystanífrá	from the east
eystanlond	Eastern(el.East) European countries
eystanmús	eastern house mouse(Mus musculus)
eystansevspurvur	(fugl.)pallas's red bunting(Emberiza pallasi)(Cabanis, 1851)
eystanstormur	easterly gale
eystantil	on the eastern side, to(wards) the east
eystanturtildúgva	(fugl.)oriental rufous turtle dove(Streptopelia orientalis)(Latham, 1790)©www.jonathanhornbuckle.webs.com
eystantømingur	persistent east(erly) wind
eystanveður	east(erly) wind
eystanvert	on the eastern side
eystanvindur	east(erly) wind
eystanærgislerkur	bimaculated lark
Eystarasalt	(stn.)the Baltic
eystari	1eastern(t.d.coast, entrance; the eastern part; the eastern side of a house; the Eastern Mediterranean); east(t.d.the east end of the house); more easterly2hjfarther east
eystarlaga	eastwards, far towards the east
eystastur	easternmost(t.d.the easternmost point); most eastern;hjfarthest east;tað er eystastit is farthest (to the) east
eystfall	easterly flow
eystleiki	easterly position
eystligur	1in the east, to the east, easterly(t.d.gales; steer an easterly course);eystlig longdeast longitude(GG:fk. 9° 47' E.)2hjeystligaeast(t.d.steer east); eastwards, to the eastward, towards the east, in an easterly direction
eystmaður	(sø.)Norwegian
eystur1	1bailing2well room3soga4kjalarvatn at oysa
eystur2	1east;tað lotar á eystrithe wind is easterly; in the east,sólin rísur í eystrithe sun rises in the East;vindurin er hækkaður upp í eystanthe wind has shifted to the east;úr eystrifrom the east;mong skulu koma úr eystri og úr vestri (bíbl.)many shall come from the east and west;(fl.m.) hann hevur ferðast bæði í eystur og vesturhe has travelled widely;tá ið eg spyrji í eystur svarar hon í vesturshe and I are talking at cross-purposes2the Orient(GG:the Orient verður í USA tikið framum the East)3(gl.)[at six o'clock in the morning]frá eystri til vestursfrom six o'clock in the morning till six o'clock at night;tað er eysturit is six o'clock;hálvga eysturhalf past four in the morning
eystur3	east(wards), to(wards) the east;fara eystur um oynnago east of the island;eystur yvirto the east, eastwards;vit fóru eystur til Noregswe went eastwards to Norway;húsini standa eystur og vesturthe house stretches from east to west
Eysturafrika	(sern.) (landafr.)East Africa
eysturafrikanskur	East African
Eysturasia	(sern.) (landafr.)the Far East, Eastern Asia
eysturasiatiskur	far eastern, East Asian
eysturá	(farther) in an easterly direction
Eysturberlin	(sern.) (landafr.)East Berlin
eysturbygd	[village on the eastern side of an island]
eysturbýur	eastern quarter (í Tórshavn)
eystureftir	(leiðin ið hildin verður) east(t.d.go east, steer east); to(el.towards) the east, eastward(s), in an easterly direction; (sum horvir eystureftir) facing east(t.d.a house facing east); Tok, skipo.s.fr.) sum fer eystureftireastbound
eysturfyri	framvið eystureftir
eysturgerð	easterly tide (, current)
eysturgjørdur	easterly
eysturhallur	(veðurfr.)eastern;eysturhallur landnyrðingurnorth-east to east;eysturhallur landsynningursouth-east to east;eysturhallur norðannorth to east;eysturhallur sunnansouth to east
eysturheimur	the eastern world
eysturi	eastward(s), (to the) east, in an easterly direction;har eysturithere to the east of us
eysturlega	(um neyt ið liggja úti) the first rest of the day
eysturleiki	síeystleiki
eysturlendingur	Oriental
eysturlendskur	oriental, Eastern
Eysturlond	the East, the Orient;vísmenninir úr Eysturlondumthe wise men from the East, the three wise men;(bíbl.)the (three) magi
eysturlongd	(landafr.)east longitude
eysturmark	eastern frontier (, boundary)
eysturríkari	Austrian
Eysturríki	Austria
eysturríkskur	Austrian;eysturríkska arvafylgjukríggiðthe War of the Austrian Succession;eysturríksk furaAustrian pine (Pinus nigra arnold);eysturríkski skúlin(búskapo. a.)the Austrian school
