ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
óvanligur	1uncommon, unusual, exceptional; (framúrskarandi) eminent; outstanding; out of the ordinary;ein óvanlig sjónan unusual sight2unusual(t.d.an unusual honour; it is unusual to hear that; it's not unusual for a one-year-old to be able to walk); uncommon(t.d.event; word); rare(t.d.a rare occurrence); (løgin) extraordinary, peculiar(t.d.conduct);einki óvanligtnothing unusual, nothing out of the common;óvanligar umstøðurextraordinary/unforseen circumstances;óvanligur gestur um okkara leiðira rare visitor in the Faroes(t.d.of bird); óvanliguratburðurpeculiar conduct3untraditional, unorthodox, non-traditional;óvanlig byggingunconventional building methods;óvanligt tilfarunorthodox materials4untypical, not typical5[sumhj]óvanliga;óvanliga stórur//lítil//góður//ringurexceptionally tall/high//small//good//badetc; fara óvanliga av døgumdie in an accident;óvanliga klókt fólka person of exceptional intelligence/of exceptional talent;óvanliga bíligtextraordinarily cheap
óvanur	1unaccustomed; óvanurvið (e-t)unaccustomed to (sth);hann er so óvanur við at gera eitthe is unaccustomed to doing sth2strange, unfamiliar;frá barnsbeini var tað nakað óvant við honumthere was something strange about him from childhood;tað var ikki óvant hjá teimumthey were not unfamiliar with (doing such things)
óvarandi	unsuspicious, unsuspecting; suspecting nothing;í skundi og næstan óvarandiin a hurry and almost without suspecting anything
óvardur	1unguarded, unprotected; (ikki í lívd) unsheltered; openel.unfortified(t.d.town);óvard fílaunprotected file;lendingin liggur óvard fyri brimithe landing place is unsheltered from the surf;(fótb. eis.)unmarked (t.s.s.fríur)2unexpected, unforeseen, unanticipated, unguessed, unlooked-for; óvardurvandiunforseen danger
óvarin	incautious, imprudent, unwary, unguarded
óvarisliga	imprudently, unguardedly; rashly; indescreetly
óvarliga	incautiously, imprudently, unguardedly; in an unguarded way, rashly; óvarligatalaði hans muðurhis remark was rash
óvarni	incautiousness, imprudence, unwariness, unguardedness, rashness, injudiciousness
óvart	unawares; by chance; suddenly, unexpectedly;koma óvart á (e-n)catch sby on the wrong foot(eis. t.d.it took him by surprise);hann kom óvart á teirhe came upon them by chance;av óvartby chance, by accident, accidentally)(eis.)unintentionally;óvart kom tað áit took them by surprise;óvart áberandiby chance, by accident, accidentally, as it happened, as chance would have it
óvaskaður	1unwashed;ógreiddur og óvaskaðuruncombed and unwashed2íosb.sumkoma sær so óvaskaður uppíel.koma sær uppí sum ein óvaskað tvøgapoke one's nose into sth which is not one's concern/business
óvápnaður	unarmed;óvápnað varðliðunarmed guard
óváttaður	unconfirmed(t.d.rumour);(løgfr.)uncorroborated(t.d.evidence); unverified; (ikki staðfestur) unauthenticated(t.d.an unauthenticated copy);óváttað tíðindiunconfirmed news
óveður	storm; óveðurkom á teirthey were exposed to heavy gales,(sigl. eis.)they ran into heavy gales;í veðri og óveðriin all weathers;óveður og góðveðurin bad weather and in good weather(fl.m.) hann kom inn sum eitt óveðurhe tore/stormed through the rooms
óveðursbakki	[fog bank (on the horizon) which betokens a storm/bad weather]
óveðursbrestur	sudden stormel.outbreak of bad weather;tað verður ein óveðursbrestur aftan á henda lúrinafter this lull, a storm will break (like a crash)
óveðursdagur	stormy day, day with bad weather
óveðursfuglur	[bird which betokens a stormel.bad weather];drunnhvíti er óveðursfuglurthe stormy petrel heralds bad weather
óveðursgóri	[darkel.black stripe in the sky which betokens stormy weather]
óveðurshani	(fugl., stb.)síóðinshani
óveðurskráka	1[crow which betokens bad weatherel.bad news]2[person who is believed to bring bad weather];tú hevur altíð verið ein óveðurskrákayou have always brought bad weather
óveðursligur	which promises a stormel.bad weather;tað er so óveðursligtit looks as if the weather is breaking
óveðursnátt	stormy night, night with bad weather
óveðursódn	violent stormel.terrible weather
óveðursskýggj	storm cloud, (rekandi) scud; clouds betoken bad weather;móti skýming vóru øll óveðursskýggj horvintowards dusk all the storm clouds had disappeared
óveðursvetur	stormy winter, winter with bad weather
óvegligur	1(um lutir, of things) difficult to make anything of, difficult to work upel.prepare;eg havi einki vegligt, eg má taka óvegligtI do not have anything usable so I must use what comes to hand2(t.d.um farleið) difficult to walk over;har er so óvegligt at koma uppáthe ascension is difficult;óvegligt at gangadifficult to pass throughel.to walk over
óveiðiligt	[which does not bode well for successful fishing];varð fyrsti fiskur mistur, ið kendur varð, varð hildið at vera óveiðiligt tann daginif the first hooked fish was lost, it was considered a bad omen for that day's fishing
óveltur	uncultivated, untilled(t.d.land)
óveningur	ill-bredel.rude person;ein sannur óveningurhe's a scoundrel
óvenjingur	síóveningur
óverdigur	undeserving, unworthy(t.d.I feel that I am quite unworthy of this honour; a humble but not unworthy pupil of X)
óverdugur	sínóverdigur
óverðigur	síóverdigur
óverðugur	síóverdigur
óveruligur	unreal, dreamlike;alt er so óveruligteverything seems so unreal
óviðeiriligur	unsociable, difficult to associate withel.to handle, troublesome(t.d.a troublesome guest), who is a nuisance(t.d.he always makes a nuisance of himself);vit eiga ikki at vera so óviðeiriligirwe should not make a nuisance of ourselves
óviðførligur	clumsy, awkward to handle, ungainly, unwieldly(t.d.long unwieldly poles);tungur og óviðførligur at dragaheavy and unwieldly to draw/pull
óviðgjørdur	(um ráevni) raw(t.d.hide; skins; metal; unprocessed; untreated; unmanufactured); (um timbur, húðiro.tíl.)undressed; (um við) untreated, in the white; síótilevnaðurogótilgjørdur
óviðkomandi	irrelevant(t.d.question; remark);hatta er mær óviðkomandiit is no business/concern of mine;hatta er málinum óviðkomandi(kemur ikki málinum við) that is irrelevant, that is beside/not to the point, that has no bearing on the subject;óviðkomandi fólkunauthorized person(t.d.he did not notice any unauthorized person moving about)
óvikaligur	inflexible(t.d.determination);(tlm.)unbudging, rigid(t.d.principles); intransigent, unbending(t.d.character); unyielding(t.d.unyielding in one's principles; unyielding will); unflinching, uncompromising(t.d.his uncompromising rectitude); adamant(t.d.I implored him to change his mind, but he was adamant); obdurate(t.d.his obdurate refusal to cooperate);(tlm.)glassy(t.d.determination);andlitið spøkilsiskent, bleikt og óvikaligthis face ghostly, pale and set/expressionless
óvikandi	unshak(e)able(t.d.conviction; devotion to sby; loyalty); immovable(t.d.resolution); unyielding(t.d.determination; person); unswerving(t.d.loyalty); unwavering(t.d.fortitude); inflexible(t.d.resolution; code of morals); unfailing(t.d.faith; optimism); firm(t.d.as a rock); (sum letur seg ikki órógva) imperturbable; unbudgeable;kletturin er óvikandithe stone doesn't budge an inch;óvikandi støðainflexible/unyielding determination;óvikandi trúgvunshak(e)able faith, blind faith;óvikandi trúgv áunshakable/unwavering/firm/unquestioning faith in
óvikiligur	óvikiligurí strangleikainflexible/firm in strictness; síóvikandi,óbendiligur,stívur3
óvild	1(fíggindaskapuro.tíl.)ill-will(t.d.show ill-will towards sby); ill-feeling(t.d.I did it to show there was no ill-feeling); displeasure(t.d.incur sby's displeasure); resentment (against); animosity (against); resentment (of); animus (against); hard feeling (towards); (ógvisligari) aversion (to);hann hevði ikki víst skúlanum óvildhe had not shown ill-will towards the scool2(illvilji) dislike, disapproval(t.d.his disapproval of violent measures); disinclination (towards); (ógvisligari) aversion3(handilsm.)bad-will
óvildarligur	(løgfr.)impartial, unprejudiced, unbiassed, disinterested, detached(t.d.a detached observer)
óviljaður	1unintentional, involuntary;óviljað manndráp[negligent homicide]2unwilling, reluctant(at gera eittto do sth); averse(at gera eittto doing sthel.from doing sth); involuntary, enforced;tey lótu seg bara óviljað flyta burturthey only reluctantly accepted to be moved
óvilji	1(fíggindaskapuro.tíl.)ill-will(t.d.show ill-will towards sby); ill-feeling(t.d.I did it to show there was no ill-feeling); displeasure(t.d.incur sby's displeasure); resentment (against); animosity (against); resentment (of); animus (against); hard feeling (towards); (ógvisligari) aversion (to)¸ enmity, hostility (to; between); animosity (towards);hann hevði ikki víst skúlanum óviljihe had not shown ill-will towards the scool2(illvilji) dislike, disapproval(t.d.his disapproval of violent measures); disinclination (towards); (ógvisligari) aversion3(hatur) hatred (of)(t.d.his hatred of Gladstone; of cruelty); animosity; (ógvisligari) detestation, loathing, abhorrence;teir sýndu ongan óvilja ímóti útlendska harraveldinumthey showed no hostility to the foreign supremacy;við/av óviljaunintentionally/by accident/accidentally
óviljugur	(sj.)síóvilligur
óvilligur	1(trekur) unwilling, reluctant(at gera eittto do sth); averse(at gera eittto doing sth, from doing sth)2(óbeinasamur) disobliging, unhelpful, uncooperative
óvinaligur	unfriendly (towards)(t.d.an unfriendly tone); unkind(t.d.it is very unkind of you);(viðto); ungracious(t.d.it was ungracious of him to refuse; an ungracious reception); brusque(t.d.tone), ill-disposed; hostile; óvinaligurmaðuran unkind man;hjóvinaliga
óvinarligur	síóvinaligur;hjóvinarliga
óvinnandi	invincible(.t.d.army; opposition); unconquerable; unbeatable; unscaleable;nú vóru teir sterkir og óvinnandithey were now strong and unbeatable;pólísurin var óvinnandithe polar ice was unconquerable;ein høgur, óvinnandi múrura high, unscaleable wall
óvinniligur	1(um mat, of food) unchewable2(um arbeiði, of job, task) difficult and hard to do, laborious;at høgga hart leir er óvinniligt arbeiðicutting hard clay is a laborious job
óvinsamur	óvinsom verð a cruel world; síóvinaligur
óvinskapur	1(fíggindaskapur) enmity, hostility, antagonism2(kaldlig viðurskifti) estrangement; óvinskapurmillum prestin og bóndanan estrangement between the clergyman and the farmer
óvinur	enemy; ill-wisher(t.d.he has no ill-wishers);teir eru óvinirthey have fallen out, they are on bad terms; they cannot agree, (el. tlm.)they have a war on;(kvæð.) hann hevur so mangan óvininhe has many enemies;gera seg til óvins við e-nquarrel/fall out with sby;eru tit ikki til óvins báðir?you two are on bad terms, aren't you?
óvirðiligur	(um útsjónd, atburð, gerðo.tíl.,of appearance, conductetc)unworthy of(t.d.conduct unworthy of a gentleman); below the dignity of; unseemly(t.d.behaviour; remark); improper, indecorous;hjóvirðiliga
óvirðing	contempt, disdain, scorn, disregard;fyri menniskjunum hevði hann bara óvirðinghe had nothing but contempt for mankind
óvirkaður	unmade, unmanufactured, unprocessed;óvirkað ullunmanufactured wool;óvirkaður fiskur(fresh) unprocessed fish (product); síeis.ótilgjørdur,óviðgjørdur,ótilevnaður
óvirkiligur	(um amboðo.tíl.,of toolsetc)difficultel.awkward to handle, unwieldly, not handy;línan er óvirkiligthe long line is difficult to handle;óvirkiligt tilfarunwieldly material
óvirkin	1idle(t.d.they stood idle; idle hands); unoccupied, unemployed;sjálvtøkan er óvirkinthe slot machine doesn't work;óvirkin limurinactive member;teir limir, sum sjúka hevur gjørt óvirknarthe members who ill-health have disabled2(ikki ágrýtin) inactive, inert, impassive3(sum ongan mun ger) inefficacious(t.d.remedy); ineffective4(evnafr.)neutral, inert(t.d.carbon is inert at ordinary temperatures), inactive; indifferent(t.d.indifferent salt; indifferent chemical compounds);óvirkin luftsløginactive(eis.inert) gases5dormant;óvirkið eldgosdormant volcano
óvirkja	(teld.)disable
óvirkni	(løgfr.)omission, failure(t.d.his failure to keep his promise); síeis.undanlát
óvirknisbrotsverk	(løgfr.)[offence consisting in an omission]
óvirknisdómur	(løgfr.)(prohibitory) injunction
óvissa	uncertainty(t.d.the uncertainty of the result); doubtfulness, dubiousness; state of uncertainty(t.d.he remained in a state of uncertainty);stór óvissagreat uncertainty
óvissubragd	(alisfr.)uncertain factor; element of uncertainty
óvissur	doubtful(t.d.the result is doubtful; it is doubtful whether he will win); uncertain(t.d.it is uncertain who will win); questionable, problematic, dubious(t.d.the result is dubious); unsettled(t.d.prospects);vera óvissur um e-tbe doubtful about sth;upp á óvistas a spare hand;biðja seg við upp á óvistput oneself down for (a job)
óvist	uncertainly, doubtfully; insecurely; óvisteg verði her, tá ið hann kemurI can't say for certain that I'll be here when he comes;óvist er tað so ringt, sum tíðindi ganga umit is hardly so bad as depicted by rumour
óvit	1unconscious stateel.condition, swoon, faint, fainting fit;falla (niður) í óvitfaint, swoon, fall into a faint/swoon,(tlm.)pass out;liggja í óvitilie unconscious;tungt óvitcoma2ignorance, folly, stupidity
óvitaár	(stb.)childhood;í/á óvitaárumduring one's childhood (years), when one was a child
óvitabarn	(stb.)small child
óvitadagar	(stb.)childhood days, childhood;har sum mínir óvitadagar vóruthe place of my childhood;sum í óvitadøgunumlike in the days of my childhood
