V1	1rómverskt taltekn fyri 52(st.)volt
vísa3	1show(t.d.show one's ticket; show sby sth; show sth to sby; show sby hospitality); indicate(t.d.a cross on the map indicates the ruin); (um bákn) show(t.d.when the signal shows green); (avdúkaeis.)betray(t.d.his reply betrayed his ignorance); be indicative of(t.d.this is taken to be indicative of a power struggle within the Government); (sýnat.d.góðar eginleikar) show, betray, evince(t.d.curiosity; a noble spirit); give proof of, give evidence of (possessing); exercise(t.d.great care); exhibit(t.d.great courageel. t.d.patience); reveal(t.d.the poem reveals great sensibility); manifest(t.d.he manifested no desire to do so); demonstrate(t.d.in order to demonstrate one's satisfaction//superiority//toleranceo.tíl.)(beina á, vísa) show(t.d.show me where he stood; show me which car it was); point out(t.d.the way to the town); indicate; (vísa seg í) display, exhibit(t.d.one's new clothes; one's strength); (prógvao.tíl. eis.)prove(t.d.the letter proves that he is guilty; that sort of thing proves nothing at all); bear witness to, attest(t.d.his writings bear witness to/attest his wide reading); (vísa á) demonstrate(t.d.the truth; the justice of sth); vísae-m e-tshow sby sth2(vísa vego.tíl.)show(t.d.show him his seat//his room); conduct(t.d.her to her apartments); guide, take(t.d.take him upstairs); direct, send in a certain direction; (greiða frá,eis.)explain, show(t.d.show me the best way to learn it); demonstrate(t.d.to him how to steer the boat); (um málitól) show, register(t.d.the thermometer showed/registered three degrees of frost); indicate(t.d.the pressure); (um ur) tell(t.d.clocks tell the time); stand at, point to(t.d.the clock stood at/pointed to noon)(GG:my watch said the same as the tower clock; it is ten by my watch);(kvæð.) nálin vísti teim leiðthe compass needle showed them the direction (the right course);rossasporini vístu líka at Gjógvarágarðithe tracks of hoofs ran directly to Gjógvarágarður;vitar eru til at vísa skipum leiðlighthouses guide ships the right way;vísa e-m heimshow sby the way home3(greiða frá,eis.)explain, show(t.d.show me the best way to learn it); demonstrate(t.d.to him how to steer the boat); instruct, throwel.shed light on, elucidate(t.d.a matter, a question);eg vísti honum, hvussu hann skuldi geraI showed him how to do it4prove(t.d.this fact proves his guilt); show, go to prove, go to show(t.d.this fact goes to show that the theory is correct);hesi tølini vísa, hvussu støðan erthese figures show what things are like;roknskapurin vísir hall/undirskotthe balance sheet shows a shortfall/is in the red5vísa lit (kortsp.)follow suit6[íyms.samb.]vísaaftur:vísa e-m afturrepudiate(t.d.an accusation; a gift; a claim);teir vístu skuldsetingunum afturthey repudiated the accusation;vísaav sær:tað vísir meira av sær, enn tað erit seems larger than it actually is;vísaáshow, point out, indicate;hann kom út í hagan at vísa mær áhe went with me out into the outfield to show me;bóndin vísti teimum á, hvar teir skuldu leitathe farmer pointed out where to look;hann vísti á, hvar tað stóðhe showed me where it was in the book;vísaburturexpel(t.d.sby from a society); vísae-m burturexpell sby;hann varð burturvístur frá skúlanumhe was expelled from the school;vísaframexhibit, display; be on show;teir vístu skipið framthe ship was on show;vísafrá særrefuse(t.d.an offer of marriage; a request; a suitor); (fólkaligari) decline(t.d.an offer);(t.d.bønarbræv til løgtingið) dismiss;teir vístu bønarbrævinum frá særthey dismissed the petition;vísafyri sær(um mannfólk, of men) expose oneself indecently, flash;vísaútsend out(t.d.send sby out of the room); order out; expel(t.d.an alien); order to leave the country;(ítr.)order/send off; vísae-m út úr landinumexpel an alien;ávirkað fólk verða útvístpeople who are intoxicated will be ordered to leave// vísasegit seems; apparently;at vísa segapparently;tað vísir seg soit seems to be the case;hann er frægari, enn hann vísir seg at verahe is better than he makes himself out to be;at vísa seg var hann ikki petti bilsinhe didn't seem surprised at all
vísari	1exhibitionist2(teld) cursor; eis.vísi1
vísdómsjakslur	(likam.)wisdom tooth
vísdómssteinur	(fólktr.)magic stone, stone of wisdom
vísdómur	wisdom; (lærdómur) learning
vísi1	1(teld)cursor2(stb.)sívísa2
-vísi1	sít.d.rætt-, smakk-, ætt-
vísi2	íosb.sumá manna vísiin a human manner
-vísi2	síbredda-,leið-,veg-
vísiliga	prudently, judiciously, wisely;hetta var so vísiliga gjørtit was done prudently
vísindaástøði	theory of science
vísindadepil	science centre, (am.) science center
vísindafelag	learned society, scientific society
vísindafíggindaskapur	anti-scientism
vísindafólk	1(í náttúruvísundum) scientist2(í hugvísindum) scholar
vísindagrein	1(í náttúruvísundum) branch of science;læknavísindini eru ein vísindagreinmedicine is a branch of science2(í hugvísindum) branch of scholarship; branch of knowledge
vísindakona	1(í náttúruvísundum) woman scientist2(í hugvísindum) female scholar
vísindaligur	1(serst.náttúruvísindaligur) scientific(t.d.circles; facts; instruments; methods; principles; proof; questions; study);vísindalig granskingresearch (work);vísindaligt arbeiðiscientific work,(eis.)research (work)2(serst.hugvísindaligur) scholarly(t.d.edition; work);vísindaligt arbeiðischolarly work3[sumhj]vísindaliga;tað er vísindaliga prógvaðit is an established scientific fact; it is a scientifically established fact
vísindamaður	1(í náttúruvísindum) scientist;vísindamenn kanna veðurlagsbroytingarscientists are investigating the climatic change;Newton var tiltikin vísindamaðurNewton was a renowned scientist2(í hugvísindum) scholar
vísindamiðdepil	science cetre, (am.) science center
vísindarit	scientific paper
vísindaskaldsøga	science fiction
vísindasøga	history of knowledgeel.of science
vísindasøguligur	of the history of knowledgeel.of science
vísindaverk	scientific studyorwork
vísindi	1(náttúruvísindi) science2(hugvísindi) scholarship
vísing	1showing2(evnafr.)reaction
vísiorð	(teld)index word
vísital	(bú.)index
vísitalva	(ravm.)indicator, signal board
vísmaður	wise man, sage;(bíbl.) teir tríggir vísmenninir úr Eysturlondumthe wise men from the East, the three wisemen; (bibl.)the (three) magi
vísningur	reading;vísningurin er skeivurthe reading is wrong
vísormur	sívitormur
vísubók	book of heroic ballads
vísulag	tuneel.air for a heroic ballad
vísur	1wise, understanding, perceptive; vísurmaðura wise man;hann leiddi meg við vísari hondhe guided me wisely2what is right before one's eyes, easy to findordiscover, obvious;tú leitar eftir knívinum, og nú liggur hann vísuryou are looking for the knife and it's lying right before your eyes;(kvæð.) vísir lógu teirra vegir til himnakongsins útclearly their way led straight up to the heavenly Father3unavoidable, inevitable, inescapable;deyðin var teimum vísurthey could not escape death;tá ið teir komu í garðin, var steypið víst við tí góða drekkanumwhen they reached the farmhouse, they knew for sure that they would be offered a cup of good drink4certain, sure, unquestionable;vera vísur í e-mbe sure/certain of sth;eg eri vísur í tí, eg sigiwhat I tell you is the truth5[sumhj]víst; certainly, surely, definitely;víst so, nógv kundi sigast um hettasurely, much could be said about it
-víta	sífor-
vítt	sívíður
vív	(kvæð., orðt., skaldsk.)wife; spouse;(orðt.) sum maður røkir knívin, so røkir hann víviðthe way a man takes care of his knife the way does he take care of his wife
Vjetnam	(sern., landafr.)Vietnam
vjetnamesi el.vjetnamesari	Vietnamese
vjetnamesiskur	Vietnamese
VN	(st., sigl.)registration letters for vessels from North Streymoy (Vestmannahavn)
vodka	vodka
voff	(tá ið hundar goyggja eftir hvør øðrum) bow-wow!, (um goyggj hjá lítlum hundi) yap-yap; (hjá stórum hundi) woof-woof
voffur	(barnam.)bow-wow, doggy
vogn-	-aksil, -hjól, -smiður
vognaksil	axle of a carriage
vognarmur	(annar av tveimum) pole; (til eintoymisvogn) shaft
vognborg	corral;(sø.)ring of chariots; (í Suðurafrika) laager
vognhjól	carriage, cart wheel
vognsmiður	coachbuilder; wheelwright
vognur	carriage, (lættur tvíhjóla-) trap
vokk	(køkstól) wok
voks	wax
voksdúkur	oilcloth;tey hava voksdúk á køksborðinum
voksljós	wax candle; (lítið) wax taper
vol	(kortsp.)grand slam;nú var volthey won a grand slam;seta upp á vol1try to win a grand slam2(fl.m.)stake everything on one throw;(tlm.)go for broke; put all one's eggs in one basket
vola	(kortsp.)win all the tricks; volaupp á aðru/eina hondwin all the tricks single-handed;verða volaðurnot winorget one single trick;enn eru vit ikki volaðir (skaldsk.)we haven't lost yet
volda	give rise to(t.d.his speech gave rise to some alarm); bring about, occasion, be the occasion of; provoke(t.d.his remarks provoked a good deal of mirth; this legislation provoked riots all over the country);hesir menn volda miklan ófriðthese men give rise to much consternation;eg ætlaði ikki at volda honum meinI didn't intend to cause him harm
-voldin	síat-
volt	(ravm.)volt
voltampere	(ravm.)volt-ampere
voltmetur	(alisfr.)voltmeter
volumen	rúm-,rúmd-,rúmd,royvi,royvis-
vomb	(dýr.)rumen, paunch; (um fólk) belly, tummy; (stór) paunch, potbelly, corporation; (tíðum) beer belly;sita hendur í vembur,sívambur;vaska vombclean a paunch from a slaughtered sheep,(tilt.) hann ríður ikki á vombini av tí, hann fær harhe won't be stout of the food they give there
vomm	sívamm
von	sívanur;vænur
vond	1(handarb.)weave of cloth, method of weaving, texture;vovið plagg leyst í vondinicloth with loose texture2pattern, structure;ein vond gongur gjøgnum plaggiðthe cloth has a pattern3(kvæð.)mast,settu segl á vondset sail, make sail4structure,(jarðfr.) vondin í jarðarskorpunithe structure of the earth's crust5[patch, thin piece of woodorzincortarred canvasorhomespun for sealing a split in a boat plank];leggja vond á bát, sum lekurpatch a boat which has sprung leak
vondul	bundleorarmful of hay (as much as a cow can eat at a timeorin one day);ein vondul av hoyggjan armful of hay
vondur	(óregl.)sívándur
vongbakkur	(fótb.)wing back
vongblá ont	(fugl.)Blue-winged Teal(Anas discors)(Linnaeus, 1766)© Jerry Kirkhart
vongborin	on wings, winged
vongbrigða	(dýr.)the breast of a bird (flesh or muscles on both sides of the breastbone)
vongbrigðubein	(dýr.)bird's breastbone
vongbrigðureyður trøstur	(fugl.)eye-browed thrush(Turdus obscurus)(Gmelin, 1789)Turdus obscurus ©Wikimedia Commons
vongbrotin	with a broken wing; vongbrotinfuglura bird with a broken wing
vongbrúgv	(stb., fugl.)sívongbrigða
vongfjøður	wing feather
vonggráur	with grey wings
vonghvítur	with white wings
vongknúgvi	(dýr.)wing joint
vongliður	(dýr.)wing joint
vongmorreyður	with dark-brown wings, with brownish wings
vongskerja	sískerja2
vongsknúgvi	(stb.)sívongknúgvi
vongstórur	(dýr.)with large wings
vongsvartur	with black wings
vongur	(hvmf veingi el. vongi)veingir1wing;dunnurnar lógu við nev undir vongthe ducks were lying with their bills (covered) under their wings;flúgva/fara upp í vong1work oneself into a temper, become very excited, be angry2be keenoreager, be enthusiastic, be fired with enthusiasm;stíga/traðka upp í veingincourt, make up to;hann gongur og traðkar upp í veinginhe is courting (a girl);tað leikti bæði vel og veingir/vongurbe overjoyed, be beside oneself with joy2wing;veingir á flogfariwings of an aeroplane3(of an building) wing;byggja ein vong afturatthrow out a wing4(fótb.)wing, winger, (ytri) outside wing;spæla vongurplay wing;ytri høgri//vinstri vonguroutside right//left5a small, weak and thin man, a wizened little man, a wisp of a man6(sigl.,fornet á troli) wing
vontrast	feel disgust, be disgusted; loathe, abhor, feel sick, make one want to puke;(am.)feel nauseous,(tlm.)get nauseous; feel disinclined to do sth;eg vontraðist við matinthe food made me want to puke;slagið er so ilt í sær, at eg havi vontrast við at komið í takholt við taðpeople of that family have such a difficult temperament that I have disliked the idea of having any contact with them
vor	síver
vorði	(tær)!í osb. tví vorði shame on you!
vorðin	1constituted, of a certain natureorcharacter;nøkur dýr eru so vorðin, at tenn teirra vaksa í heilumin some animals the teeth grow all their lives;eg skilji ikki, hvussu alt er vorðiðI can't understand how things hang together;hvussu er nú vorðið?how are things now?;nú er illa/verri vorðiðthings are bad/worse now;hvussu er vorðið við pengum?do we have any money?;hvussu er vorðið við tær?how are you?;vorðið sumextremely, very, really;tú kanst vorðið sum nógvyou are good at that;tað er vorðið sumit is excellentorsplendid;tað er vorðið sum gáva at fáa(ikki eiti á) what a present to get;vorðið sum henturreally comfortableoruseful;vorðið sum blíðurextremely kindorhospitable;tað var vorðið sum tapwhat a loss;tað er vorðið sum prísurwhat a high price;tað er vorðin maður, ið øll tala gott umonly a man of outstanding qualities is exclusively spoken of in high terms;hatta er vorðið (speis.)rather bad2of a certain colour;hvussu vorðin er báturin?what colour is the boat?
vorpin	síverpa2
vorti	(sj., gl.)tví vorti(tær)! shame on you!; sívorði
vovin	síveva
vovvur	(barnam.)bow-wow, doggy
vóð	sívaða
vóks	sívaksa
vón	1hope;hava vón um e-thave a reasonable hope of sth;vit høvdu mist alla vón/allar vónirwe'd lost hope, we'd abandoned hope, we were in a mood of complete/utter despair2hope, prospect, chance, possibility, liklihood (of), grounds (for), expectation(s), anticipation;tað er ikki meira enn vónthat is as much as can be expected;tað er ikki meira enn vón at honumone could not expect more of him;eftir vónumas was expected;tað fór eftir vónit went according to expectations;"Hvussu liva tygum"? "Tað er eftir vónum""How are you?" "As well as can be expected considering the circumstances";(kvæð.) tað, ið tú hevur í vón hjá tærthe child that you are expecting;Sjúrður sá ikki svikara vónSjúrður did not expect betrayal;í vón/vónumin store, to be expected;gott er at hava gott í vón/vónumit is comforting to have something good in store3(íosb.sum)ikki látast um vónbehave as if nothing has happened; go on as usual; ignore it; put a bold face on it; (ikki verða kløkkur) not turn a hair; (látast sum ein einki veit) look innocent;burtur úr vón og viti,sívit1;í vón(um ýti, of landmark when fishing) which just appears above the surface;Koltur í vónthe island of Koltur heaves into view
vóna	1hope, have expectationorhope;vit vóna tað bestawe hope for the best2(sj.)expect;teir væntaðu allir, at teir fóru at ganga burtur, annað var ikki at vóna í slíkum ódnarveðri3feel seasick;tær vónaðu ikki sjóverkthey did not feel seasick;hann vónaði einkihe did not notice anything;ikki vóna til brennivínnot be under the influence of liquor/alcohol/drink;ikki vóna til sjóverknot feel seasick4taste;eg havi ikki vónað brennivínI have not tasted aquavit5do sby harm, harm sby; do harm to sby; injure sby;tað vónaði meg ongantíð nakaðit was nothing, it was of no consequence
vónaligur	acceptable, passable, tolerable, coming up to expectations
vónandi	we hope, I hope(t.d.I hope he has arrived); let us hope(t.d.let us hope that the war will not last long); vónandikemur hannI hope he'll come
vónargóður	hopeful, promising;vónargóðir unglingarhopeful/promising young people
vónarkjóli	maternity gown, maternity dress
vónarklæði	maternity clothes (t.donly maternity clothes fit her now)maternity wear (t.d.I really need some maternity wear by now)
vónarleysur	(sj.)careless, indifferent; neglectful
vónarljós	confident hope, a trust;eitt vónarljós var tendrað í honumhe had suddenly every hope of(t.d.succeeding...)
vónarsjón	illusion;hann hevði ikki nógvar vónarsjónirhe was under no illusion as to; he had no illusions about
vónarveitsla	baby shower
vónbjartur	promising
vónboðandi	promising, hopeful
vónbrestur	disappointment,(tlm.)letdown
vónbrot	disappointment,(tlm.)letdown
vónbrotin	disappointed;hvørja ferð væntaði hann, at tað fór at eydnast, men hvørja ferð varð hann vónbrotinevery time he expected to succeed but his ambition was dashed again and again
vóndreymur	dream of promises
vóngóður	hopeful, promising, trusting(t.d.a trusting nature), full of hope;hetta vóngóða lítla barn bardist við sjúkunathis trusting little child was struggling with the disease;vóngóðir og bjartskygdir føroyingarhopeful and optimistic Faroemen
vóning	be tipsy, have had a drop too much, be half-seas over;hava eina vóning
