r	h (málfr.)consonant,/ær:/
rúka	1smoke(t.d.the chimney//the volcano is smoking);tað rýkur úr skorsteinia chimney is smoking;tað var farið at rúka uppi í bygdinismoke rose from the houses of the village (people were up);sjáldan rýkur av ongum brandithere is no smoke without fire, where there is smoke, there is fire;rúka avsíavrokin2steam;tað rýkur upp úr pottinumthe pot is steaming;tað rýkur úr sandinumthe sand is steaming3smell, give an odour;tað rýkur væl//illait smells good//bad;rósurnar rúka so vælthe roses smell good;tað reyk ikki væl slíkar várdagar, tá allir køstar vóru ásettirit was not a nice smell when all the manure/muck heaps were dug up on such spring days;hann reyk av sótihe smelt/smelled of soot;andin reyk av brennivínihis breath smelt/reeked of schnapps;hann reyk sum ein tunnahis breath smelt horrible4smell (sth), smell at sth, sniff(t.d.sniff the sea air); rúkaat (e-m)smell at sth;hon rýkur at mosanumshe smells at the moss5fly (off)(t.d.the hammer flew off the handle), sweep (over)(t.d.the wind sweeps (over) the heath), drift (the snow//the sand is drifting);tað bæði rýkur og fýkurit is stormy weather;tað reyk illa inn í bátinmuch sea water was sprayed into the boat;fossarnir rúka uppumthe waterfalls are blowing upwards (in stormy weather);tað rýkur fyri brúdleypi/brúðarpari(stormy weather prior to a wedding - which is a good sign)6rushel.dash (quicklyel.violently);hann reyk av durunumhe rushed out;bóndin rýkur niðan á Ryggthe farmer runs hurriedly up to Ryggur (place name);árin reyk avthe oar broke in two;høvdið rýkur av knóranumthe head flies off the shoulders(knóri= atlasel.first cervical vertebra);rúka á (e-n)rush at (sby), attack (sby) (suddenly and violently);rúka samanhave a fight/a brawl;prísirnir vóru roknir upp ígjøgnumprices had gone up, prices had jumped/soared/rocketed/raced upwards, prices had gone up by leaps and bounds7[l]rúkandifurious, tremendous, violent;við rúkandi ferðat a tremendous pace,(eis.)at a furious/dizzy/tearing speed/pace;rúkandi stormura howling gale;rúkandi illveðura howling gale;rúkandi ótolbe burning with impatience;rúkandi óður í høvdinumstark staring mad;rúkandi ósamdirthey totally disagree, they are at complete odds;kumpassin var so rúkandi skeivthe compass was completely wild
rúm	1room, space; volume;ikki var rúm fyri teimumthere wasn't room for them2(avmarkaður partur) compartment(t.d.of a purse); partition(t.d.of a box); division; (í hill) pigeonhole;gera rúm fyrimake room for3(verilsi) room4(bát.)space in a boat between the thwarts
rúma	1(sum rúmar) hold, contain2(rúmast) hold; (verður tíðum skrivað viðwill, t.d.the box will hold 100 tins); (hava pláss fyri) hold, accommodate, have accommodation for(t.d.this bus accommodates forty people); seat(t.d.a hall which will seat 500 people); take(t.d.how many people can the hall take?); admit(t.d.the theatre admits 2, 000)3[íyms.samb.]húsið rúmar teimum ikkithe house is too small for them;tað, sum rúmar øllum teimum kenslum, sum føroyingar bóru í hjartathat which could hold all the heartfelt sentiments that Faroepeople nourished;himlarnir rúma tær ikkithe heavens cannot hold you;teir veiddu so nógv, at fiskastykkini í Havn rúmdu ikki rúgvunumthe fishing had been so good that thefiskastykkini[stone-paved ground for drying fish] would not hold the piles of fish;í skríninum rúmaðist allur posturinthe chest would hold all the post;alt fólkið rúmtist ikki innithe room could not accommodate all the people
rúman	(sigl.)run free;sigla rúmanrun free;tvær strikur rúmttwo points large
Rúmaríki	(kvæð.)síRómaríki
rúmasigling	(sigl.)running free, sailing large
rúmbúgvi	[student living in a hall of residence]
rúmd	1space, room;húsini vóru smá, so har var eingin rúmd til avlopsthe house was small so there was no dispensable room;her er bæði rúmd og líkindi fyri nógv meiri fólkithis area is spacious and the conditions for many more people are good2capacity, cubic content, volume3(stjfr.)space;úti í rúmdiniin space;rúmdar kalda tøgn (skaldsk.)the cold silence of space;rúmdin endaleysa andar so kaltinfinite space breathes coldly
rúmdarbúni	space suit
rúmdarfar	spacecraft, space vehicle
rúmdarfari	(am.)astronaut, (russiskur) cosmonaut; spaceman, space traveller
rúmdarfatan	concept(ion) of space
rúmdarferð	space journey
rúmdarferðafyrisiting	space administration
rúmdarferðarheilivágur	space medicine
rúmdarferðing	space travel(ling)
rúmdarferja	space shuttle
rúmdarflogferð	space journey
rúmdarflúgving	space flight
rúmdargonga	space walk
rúmdargransking	space research
rúmdarhylki	capsule
rúmdarkanningfar	space probe
rúmdarkapping	space race
rúmdarklivi	space cabine
rúmdarmaður	(am.)astronaut, (russiskur) cosmonaut; spaceman, space traveller
rúmdarpallur	space platform, space station
rúmdarskip	spacecraft, space vehicle, spaceship
rúmdarskot	space shot
rúmdarstarvsstova	space laboratory
rúmdarstjørnukikari	space telescope
rúmdarstovnur	space travel centre/center
rúmdarstøð	space station
rúmdar-tíðarviðurskifti	spatiotemporal relations
rúmdartøkni	astronautics
rúmdarvápn	space weapon
rúmdarvera	extraterrestrial, alien
rúmdarvirknaður	space effect
rúmdarøld	space age
rúmdur	(bát.)concerning the space between the thwarts;báturin er ikki væl rúmdurthere is not enough room between the thwarts
rúmfótur	(máleind,oljuv.)cubic foot (= 0, 0283 rúmmetur)
rúmføri	capacity; sí eis.føriogorkuføri
rúmgeometri	solid geometry
rúmgóður	with good space, spacious, roomy(t.d.apartments); commodious(t.d.a commodious house);ein rúmgóð, vøkur og bjørt kirkjaa spacious, beautiful and light church; síeis.rúmligur
rúmhyrntur	(um veðr, of a ram) with protruding horns
rúmi	(stb.)íosb. á rúmanumoutside, out of doors, in the open (air);tann minni maðurin kundi standa seg móti tí sterka manninum, tá ið teir bardust á rúmanumthe weaker (smaller) man could hold his own against the stronger man when wrestling out of doors
rúmka	make large, enlarge, extend;so hvørt hann át, rúmkaði hann reimina eini tvey holhe let out his belt little by little while eating;hann roynir altíð at rúmka viðurskiftini hjá teimum fátækuhe always tries to improve poor people's conditions;(skaldsk.) hann ræsurnar rúmkaðihe broadened people's perspective;vindurin rúmkar(verður rúmari, minni neyvur) the wind is becoming fair;vindurin var rúmkaður so mikið, at tað var mest sum undangongathe wind had become so large/fair/leading that it was almost sailing before the wind;rúmka umenlarge sth, make sth bigger;so hvørt sum Ísland og Grønland vóru bygd, rúmkaði umas Iceland and Greenland were gradually colonized the countries were made larger;vit løgdu upp (fisk) at rúmka um skipiðwe landed (fish) to make room for more fish;hønan rúmkastthe hen is about to lay eggs
rúmkan	expansion, enlargement, extension; widening; rúmkanfyri andanumbreathe more freely
rúmlendi	open terrain;teir komu út á rúmlendi og á fagran vøllthey came out into open terrain and on to a beautiful grass-covered field
rúmliga	rather over(t.d.they were rather over a hundred); rather more than; upwards of(t.d.upwards of twenty tons); well over(t.d.well over five pounds); a good(t.d.a good mile, a good two years); quite(t.d.quite as much; it is quite five days ago);(skaldsk.)fully(t.d.fully eight inches);báturin var rúmliga hálvsetturthe boat was well over half full;rúmliga hundrað metrarrather more than one hundred metres
rúmligur	1spacious, roomy(t.d.flats); commodious(t.d.a commodious house); capacious(t.d.pockets), with plenty of room, extensive, bulky, voluminous; (um klæðir) ample, loose, loose-fitting, easy-fitting, capacious, full(t.d.full skirts; the coat is too full across the chest);hann hevur rúmligan kjallarahis basement is spacious2abundant(t.d.resources; quantities; harvest), plentiful(t.d.harvest; supply), copious(t.d.harvest; information; notes), ample(t.d.supply);...um vetrarfóðrið var knípið ella rúmligtwhether the winter fodder was scanty or ample3well-to-do(t.d.appearance; person; families); prosperous, well-provided, well-off, affluent, opulent;eg fari ikki so rúmlig av bygdiniI am not leaving the village rich4(fl.m.)broad, elastic(t.d.definition)
rúmloysi	lack of roomel.space; (í blaði) pressure of space;fyri rúmloysi (eis.)owing to overcrowding
rúmmaður	(bát.)[man whose position is in the well room]
rúmmál	1cubic measure, measure of capacity2(rúmtak) capacity, cubic content
rúmmetur	(stfr.)cubic metre
rúmmikil	spacious, with plenty of room, roomy(t.d.flats); commodious(t.d.a commodious house), extensive, bulky, voluminous;skúlin er bæði rúmmikil og sterkurthe school is both spacious and solid; síeis.rúmligur
rúmminkast	(jarðfr.)decrease in volume; síhvøkka
rúmrót	(stfr.)cube root;3 er rúmrótin av 273 is the cube root of 27
rúmsáttur	spacious, with plenty of room, roomy(t.d.flats); commodious(t.d.a commodious house);har er rúmsátt innitheir house is commodious;landið er nóg rúmsátt til teirrathe country is spacious enough for them;koyggjan var bæði stór og rúmsáttthe berth/the bunk was large and spacious;(fl.m.) hon mundi ikki hava tað so rúmsáttI don't think she had much money at disposal
rúmsentimetur	cubic centimetre(st. cc)
rúmskinnaður	(serst.um dýr,espof animals) with loos skinorhide;summi seyðasløg eru merkiliga rúmskinnaðthe skins of some breeds of sheep are unusually loose;konan er tjúkk og rúmskinnaðthe woman is thick and flabby
rúmskygdur	liberal-minded, tolerant, unprejudiced, well educated, far-seeing(t.d.statesman), far-sighted, of vision(t.d.a woman of vision)
rúmtak	capacity, cubic content
rúmtal	(stfr.)cube, cube of a number;tey n fyrstu rúmtølinithe cubes of the n first numbers
rúmtíð	(al.)space time
rúmtøk tekning	three-dimensional drawing
rúmtøkur	(umt.d.mynd) three-dimensional(st.3-D);høggmyndir eru rúmtøkarsculptures are three-dimensional
rúmur	1spacious, roomy; (of skin, hide) loose;eitt gott og rúmt landa good and spacious country;hann sær eftir rúmum havi stórar knørrir skríða (kvæð.)he sees large ships sail on the open sea;húðin er rúmthe hideel.skin is loose;sigla fjørðin rúmansail in such a way that the fiord is open,í rúmari merkingin a wide sense2(um tíð, of time) full(t.d.a full hour by the clock); solid(t.d.a solid hour);í rúmari tíðin good time, early;rúmt hálvt ára good six months;(gl.) rúmt hálvga nóntwo o'clock in the afternoon3be well off, be in comfortable circumstances; have a sound economic basis;hann var ikki rúmur við pengumhe did not have much money;hon situr ikki eftir í rúmum sessi við gomlu mammuni og sjey faðirleysum børnumshe is not in comfortable circumstances considering the fact that she supports her mother and five fatherless children;vit høvdu tað ikki so rúmt tá á døgumwe did not have much money to squander in those days4rúm siglingrunning free, sailing large;sigla rúmt/rúmanrun free5(um hønu, of a hen)rúmabout to lay eggs6who breathes freely;hann hevur verið trongur, men nú er hann rúmari/tað er rúmari nú hjá honumhe has been asthmatic, but he breathes more freely now
rúmøking	increase in volume, volumetric gain
rúmøkjast	increase in volume;sjógvurin rúmøkistsea water increases in volume
rún	1rune, runic letter;rista rúnircarve runes;ráða rúnirread runes2(gl., kvæð.) rúnirwitchcraft, sorcery, wizardry, magic;kasta rúnir á e-nbewitch sby, cast a spell over sby, put a spell on sby
rúna	bewitch, cast a spell over, put a spell on;hann rann og rann, men ikki leið um fliðuna, hann var sum rúnaður fasturhe ran and ran but made no headway, it was as if he had been bewitched
rúna-	runic(t.d.alphabet; calendar; coin; manuscript; monument; poem; tombstone)
rúnabelti	(kvæð.)belt with magic power;tak tú hetta rúnabelti, bint um tínar lendaryou take this magic belt and buckle it on you
rúnabinda	1bewitch, cast a spell over, put a spell on;hon rúnabant bøin, so at eingin steinur kemur niður á hannshe cast a spell over the infield which resulted in no stone rolling down on it (from the mountain slopes)2ensorcell (t.d.J.F.K. had the sort of magnetism that could ensorcell big crowds)
rúnabjálvi	(kvæð.)fur coat with magic power;Hermundur tekur tann rúnabjálva, sipar um sínar lendarHermundur throws the magic fur coat around his loins
rúnabók	book of magic
rúnabundin	spellbound, under a spell, bewitched
rúnafrøði	(málfr.)runology
rúnafrøðiligur	runological
rúnafrøðingur	(málfr.)runologist
rúnagandur	(stb.)(powerful) witchcraft, sorcery, wizardry, magic
rúnakelvi	rune stick, rune staff (small staff engraved with runes), magic wand
rúnakønur	skilledel.experienced in reading runes
rúnalist	(kvæð.)witchcraft, sorcery;rúnalistir (eis.)spells and charms;hon kann allar rúnalistirshe knows all spells and charms
rúnamaður	(kvæð.)man skilled in reading runes, sorcerer, wizard;talið varliga við teir rúnamennspeak softly to men who know (the power of) the runes
rúnamál	(kvæð.)pithy, terseel.emphatic speech;hvørt eitt orð, hon talaði, tað fell sum rúnamálevery single word she uttered had a tremendous weight
rúnaminni	runic relic
rúnar-	sírúna-
rúnarað	(málfr.)runic alphabet;eldra rúnaraðiðthe older primary Germanic futhark;yngra rúnaraðiðlater runes
rúnarista	runic inscription
rúnaristur	carved in runes;hendingin stóð sum rúnarist í tonkunumthe incident had burnt (itself) into my memory
rúnarlogi	(kvæð.)gold
rúnarmálmur	(kvæð.)gold;skín so hennara gula hár, sum glógvar av rúnarmálmiher yellow hair shines the way gold glitters
rúnarøð	sírúnarað
rúnastavur	(kvæð.)sírúnakelvi
rúnasteinur	runic stone
rúnaverk	(kvæð.)witchcraft, sorcery, wizardry, magic;fóru so fram við rúnaverki, hvør sum mest kann gyklathey then began practising witchcraft according to their magic power
rús	(sj.)bustle, turmoil, din, violent fuss, excitementel.agitation; row, rumpus, hullabaloo; rummaging about;kneppa/knappa upp á rúsbutton up sth wrongly
rúsa1	(sigl.)(fish) trap
rúsa2	intoxicate, inebriate; rúsasegget drunk;rúsandiintoxicant, intoxicating;rúsandi drykkurintoxicating liquor, alcohol,(am. eis.)hard liquor;rúsaðurintoxicated, drunk, inebriated, tipsy,(tlm.)tight;Shalf seas over, pissed, sloshed,sozzled
rúsa3	dash off, charge forward, run at top speed; rúsaframcharge forward;hann rúsaði fram við slíkari øði, at ...he charged forward like a madman which had the result that...;í næsta bragdi rúsar hann á føturthe next moment he jumped up
rúsast	(stb.)be noisy, make a noiseel.a dino.tíl.; hann rúsast ikki viðhe doesn't moveel.stir, he doesn't wake up; sírumsast
rúsdrekka	spirits(flt),alcoholic liquorsel.beverages, drink;(tlm.)booze;(am.)liquor;(am.S)juice
rúsdrekkaávirkaður	under the influence of liquorel.alcoholel.drink,(tlm.)under the influence
rúsdrekkabann	prohibition
rúsdrekkabannfólk	prohibitionist
rúsdrekkabannrørsla	Prohibition movement, Prohibitionism;ein sum tekur undir við rúsdrekkabannrørsluniProhibitionist
rúsdrekkaeinsøla	alcohol monopoly
rúsdrekkahandil	spirit trade;(niðr.)liquor traffic;(am.ólógligur rúsdrekkahandil) bootlegging
rúsdrekkahavin	spirituous, alcoholic
