М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
мстить	мщу, мстишь, мстятipf(pfотомсти́тьотомщу́, отомсти́шь, отомстя́тoggml.отмсти́тьотмщу́, отмсти́шь, отмстя́т) hevnair(d)seg; мститькому-л.hevnao-m o-t aftur[aʰtː-]; мститьза что-л.hevnao-t, hevna segfyri o-t; мститьчем-л.hevna segvið o-m, hevna seg við at gerao-t
МСУ	[эм-эс-у́]n indeclме́стное самоуправле́ние
мсьё	m indecl síмосье́
МТБЮ	[эм-тэ-бэ-ю́]m indeclМеждунаро́дный уголо́вный трибуна́л по бы́вшей Югосла́вии Altjóða krígsbrotsmannadómstólurin [kʰɹʊi̯ʰks-] fyri fyrrverandi Jugoslavia [juːkoꞋslaː-]
МТС	[эм-тэ-э́с]f indeclsøg.маши́нно-тра́кторная ста́нция maskin-og traktorstøð [-ꞋʃiːnoꞋtʰra-] (statsstovnur við landbúnaðmaskinum; avtikið í 1958)
муа́р	mmoiré [mwaꞋreː]с0{дат.0}
муа́ровый	adjmoiré- [mwaꞋreː-]
муда́к	Gen, Accмудак|а́;plur~и́, ~о́в, ~а́м móf.,óv.dylhøvd [-hœtː]с0опренебр., neytс0опренебр.(býtt fólk), toskurмсогл-arпренебр.(býtt fólk), býtt apparat [-raːt]с0опренебр., mogghøvd [-hœtː]с0овульг.,табу
мудбо́рд	mmoodboard [mu:tbɔɹt]с0о
муди́ла	móf., óv.síмуда́к
мудозво́н	móf., óv.sussс0о, surrс0о(fólk); møsnс0о, tvætlс0о(fólk) (говорящий чепуху)
мудо́хать	ipf(pfотмудо́хать)кого-л. jarg., óvkm.bukaaðio-nav, smyrjaнепрo-nav
мудрено́	Iadv avмудрёныйIIpred óp(+ inf) tað er ringt, tað er trupult; ему́ мудрено́ угоди́ть tað er ringt at gera honum til vildar@не мудрено́, что ...ei dáni í, at ...; ei undur í, at...; tað er ikki løgið, at...; skamm fyri [skam̊f-], at ... (неудивительно;б.ч. при отрицательных действиях и т.п.);мудрено́ ли... ei dáni í, ei undur í, ikki undarligt í, tað er ikki løgið; skamm fyri [skam̊f-], at ... (неудивительно;б.ч. при отрицательных действиях и т.п.)
мудрёно	adv síмудрено́I
мудрёный	stfмудрён,мудрена́ogмудрёна, мудрено́ogмудрёно, мудрены́ogмудрёны;compмудрёнееogмудрене́е(í ym. føstum sambondumмудрене́е)adjtlm.1.(трудный для понимания) fløkturсогл, torskildurсогл2.(трудный для выполнения) torførurсогл; fløkjasligurглigur(сложный)3.(странный) løginсоглоснg, undarligurглigur; eginсоглоснg, serurсогл(чудаковатый); óskiljandiглandi(непонятный)@в э́том нет ничего́ мудрёногоa) (ничего странного нет) tað er einki løgið í tí; ei dáni í ...; b) (это просто сделать) hetta er Ꞌ einki fyri;у́тра ве́чера мудрене́еorðt.best er at sleppa at umráða seg; sovaслнa-ó-ouppá o-tннк
мудре́ц	Gen, Accмудрец|а́;plur~ы́, ~о́в, ~а́мmvísur maðurмнепр, vísmaðurмнепр@на вся́кого мудреца́ дово́льно простоты́orðt.≈ eingin er lýtaleysurсоглпог.; eitil er í øllum [œtl-] feitumпосл.
мудри́ть	мудр|ю́, ~и́шь, ~я́тipf(pfнамудри́тьнамудр|ю́, ~и́шь, ~я́т, смудри́тьсмудр|ю́, ~и́шь, ~я́т)tlm.1.(над чем-л.) (обдумывать решение) spekulera [-Ꞌleː-]ннкaðiyvir o-t, grundaaðiyvir o-t(loysn av uppgávu o.tíl.)2.(с чем-л.) (излишне осложнять) komplicera [-Ꞌseː-]ннкo-t, geraнепрo-tinnvikklaðннк, fløkjair(t)o-t; не мудри́! ger tað ikki so innvikklað!ннк3.(с Ins) (прибегать к хитростям) brúkaar(t)snildir, kritlaaðiред.
му́дрость	f1.(ум) vísdómurмсогл-ar2.tlm.(премудрость) kynsturс0осн, kunsturмсогл-s,-ir(hegni)@зуб му́дростиvísdómsjakslurмсогл-ar;согл-s,-ir, vísdómstonn;не велика́ му́дростьtað er eingin kunstur; tað er Ꞌ lítið fyri; tað hevur Ꞌ einki upp á seg [ʊꞋpʰɔasɪ]
му́дрствование	n tlm., ofta atf.filsofering [-Ꞌfeː-]энкж0-arнеодобр.(tómar spekulatiónir), spekulatión [-Ꞌʃɔun-]энкж0-irнеодобр.(tómar spekulatiónir)
му́дрствовать	му́дрству|ю, ~ешь, ~ютipftlm.fløkjair(t), vevjaur(d){e/a}{+}upp í ellubitaидиом.@не му́дрствуя лука́воuttan meira hóvasták
му́дрый	stfмудр, мудра́, му́дро, мудры́ogму́дры;compмудре́еadj1.(обладающий большим умом) vísurсогл; viturсоглоснвыс.,балл.2.(основанный на знаниях,опыте) klókurсогл; му́дрое реше́ние ein klók avgerð
муж	m1.plurмужья́, муже́й, мужья́м(супруг) maðurмнепр(hjúnafelagi)2.plurмуж|и́, ~е́й, ~а́мhátíð.(взрослый мужчина) (tilkomin) maðurмнепр, mannfólkс0о3.plurмуж|и́, ~е́й, ~а́мoftastspott.(деятель) госуда́рственные мужи́ statsmenn [-aː-]; мужи́ нау́ки teir lærduмприлмн
мужа́ть	ipf(pfвозмужа́ть) gerastнепрꞋ vaksin, komaслнo-o-otil Ꞌ mans (о юношах)
мужа́ться	ipf mest brúkt í imperhátíð.herðair(d)seg (upp), herðair(d)hugan, erraaðiseg upp
мужело́жство	nbókl.homoseksualitetur [-aːliꞋtʰeː-]интмсогл-ar(um mannfólk), samkyndнпж0-ir(um mannfólk)
муженёк	Gen, Accмуженьк|а́;plur~и́, ~о́в, ~амm dim avмуж 1
мужеподо́бный	stfмужеподо́б|ен, ~на, ~но, ~ныadjmansligurглigur(um konufólk), kallmansligur [kʰalm-]глigur(um konufólk), mannfólkaligurглigur(um konufólk)
му́жественность	fmanslætiсгл-iкн., dirviсгл-i
му́жественный	stfму́жествен, ~на, ~но, ~ныadjdjarvurсогл{a/ø}, menskurсоглкн., поэт., reysturсоглnskкн., поэт.
му́жество	nmótс0о, dirviсгл-i=>всели́ть2,име́ть,собра́ть12
мужи́к	Gen, Accмужик|а́;plur~и́, ~о́в, ~а́мm1.gml.(крестьянин) bóndiмгл-ur2.óvkm.(мужчина) maðurмнепр, mannfólkс0о3.óvkm.(муж) maðurмнепр(hjúnafelagi)4.óvkm.,gml.(грубый,невоспитанный человек) ófólkaligur [-Ꞌfœ-] maðurмнепр, grovur og óforskammaður [-Ꞌska-] maðurмнепр; ótrivavættiсгл-i(о неопрятном человеке)
мужикова́тый	stfмужикова́т, ~а, ~о, ~ыadjtlm.ófólkaligur [-Ꞌfœ-]глigur, óhølvaðurглaður
мужи́цкий	adj1.gml.(кмужи́к 1) bónda-2.óvkm.(кмужи́к 1) mannfólka-
мужичо́к	Gen, Accмужичк|а́;plur~и́, ~о́в, ~а́мm dim avмужи́к 1 =>ногото́к
мужичо́нка	plurмужичо́н|ки, ~ок, ~камmniðr.dim avмужи́к 1, 2
му́жний	adjhjá [tʃʰ-] manninum@му́жняя жена́tlm.gift kona
му́жнин	adj síму́жний
мужско́й	adjmannfólka-, mans-;мужско́й го́лос mannfólkamál; mansrøddтжмуз.; мужско́е и́мя mansnavn, mannfólkanavn, dreingjanavn; мужска́я оде́жда mannfólkaklæðir; harraklæðir; мужска́я рабо́та mannfólkaarbeiði; мужско́й разгово́р skilatos; seriøst [-Ꞌøː-]ннкtos, álvarsorðс0омн@мужско́й родmáll.kallkyn; мужско́го ро́да kallkyns-;мужско́й полa)biol.(генетический признак) kallkyn; b)kolltlm.(мужчины) mannfólkiðсгл-iопр.;мужска́я ли́ния: по мужско́й ли́нии í kalllegg, í faðirætt =>ри́фма,член4
мужчи́на	[-щи́-]mmaðurмнепр, mannfólkс0о; бег на сто ме́тров для мужчи́н hundrað metra renning fyri menn; в кла́ссе мужчи́нítr.fyri menn; оде́жда для мужчи́н mannfólkaklæðir, harraklæðir; будь мужчи́ной! vís teg sum eitt mannfólk!
му́за	f1.myt.(богиня) musaжгл-a2.fl.(олицетворение вдохновения) musaжгл-a, dísж0-arкн., поэт.
музееве́д	m serfrøðigur í søvnum (søgu, skipan, umsiting o..a-)
музееве́дение	n vísindi um søvn
музе́й	msavnс0о{a/ø}(av. ymsum slag,t.d. myndasavn,fornminnissavn o.a.), museum [-Ꞌseː-]ннкс0-um
музе́йный	adjsavns-, museums- [-Ꞌseː-]ннк; музе́йный экспона́т savngripur; музе́йная ре́дкость sjáldsamur [ʃɔl̥s-] gripurмсогл-s,-ir
музици́ровать	музици́ру|ю, ~ешь, ~ютipfspælair(d)musikk [-Ꞌsɪʰkː]
музо́н	m jarg.tónleikurмсогл-s,-ir, musikkur [-ˈsɪ-]мсогл-ar
музо́нчик	m jarg.tónleikurмсогл-s.-ir, musikkur [-ˈsɪ-]мсогл-ar
музце́нтр	m tlm.stereoanlegg [steːɹɪo-]с0o
му́зыка	f1.(искусство) tónleikurмсогл-s,-ir,musikkur [-Ꞌsɪ-]мсогл-ar, ; положи́тьчто-л.на му́зыку setaur(t);ir(t)musikk tilo-t; под му́зыку til musikk; под му́зыку Гли́нки við musikki eftir [εʰtː-] Glinka2.tlm.(дело,занятие): вся э́та му́зыка alt hetta roksið; надое́ла мне э́та му́зыка eg eri leiddur og keddur av øllum [œtl-] hesum fjasinum3.argot síблатна́яму́зыка@до́лгая му́зыкаtlm, atf.ein lang søgaжгл-a;друга́я му́зыка {му́зыка не та}skemt.hetta vóru onnur ráðini, hetta er annað mál;испо́ртить всю му́зыкуtlm.spilla [-tla] spælið;кто пла́тит, тот зака́зывает му́зыкуorðt.tey valda, ið gjalda =>блатно́й@,помере́ть@,спосо́бность
музыка́льность	f1.(способности к музыке) musikalitetur [-kʰaːliꞋtʰeː-]мсогл-ar, musikalskar [-Ꞌkʰaː-] gávurжгл-aмн2.(мелодичность) vælljóðс0о{0<>i}
музыка́льный	stfмузыка́лен, музыка́льн|а, ~о, ~ыadj1.bert lf(относящийся к музыке) musikk- [-Ꞌsɪʰkː-], tónleika-; музыка́льный автома́т jukebox {jukeboks} [tʃʉukpɔʰks]; музыка́льный инструме́нт musikkinstrument [-Ꞌsɪʰkː-], ljóðføriнпсгл-i; музыка́льная коме́дия operetta [-Ꞌrε-]жглл-a;музыка́льная шко́ла musikkskúli [-Ꞌsɪʰkː-]2.(способный к музыке) musikalskur [-Ꞌkʰaː-]соглsk3.(мелодичный) vælljóðandiглandi, melodiøsur [-Ꞌøː-]ннксогл, ljómfagurсоглосн{a/ø}кн., выс.=>шкату́лка
музыка́нт	mmusikari [muːsɪʰk-]мгл-ari, tónleikariмгл-ari
музыка́нтша	f tlm.musikari [muːsɪʰk-]мгл-ari(konufólk), tónleikariмгл-ari(konufólk)
музыкове́д	mmusikkfrøðingur [-Ꞌsɪʰk-]мсогл-ar, tónleikafrøðingurмсогл-ar
музыкове́дение	nmusikkvísindi [-Ꞌsɪʰk-]сгл-iмн, tónleikafrøðiжгл-i
му́ка	fpínaжгл-a, kvølж0-ir{ø/a}кн.; предсме́ртные му́ки andaleypsbrotс0омн, deyðabrotс0омн; не жизнь, а му́каtlm.tað er ikki lív, men tað bera stríð; му́ка мне с нимtlm.tað stríð, eg havi av honum =>мучени́ческий,танта́лов,хожде́ние
мука́	fmjølс0о=>кормово́й,костяно́й,перемоло́ться,ры́бный
Мукде́н	[-дэ́н-]mMukdenм0{дат.0},síШэнья́н
муковисцидо́з	mcystisk [sʏst-] fibrosa [fiˈpɹoː-]жгл-a
мукомо́л	mmyllariмгл-ari, mylnariмгл-ariкн.
мукомо́льный	adjmyllu-; мукомо́льный заво́д mjølvirki
муксу́н	Gen, Accмуксун|а́;plur~ы́, ~о́в, ~а́мm(Coregonus muksun)slag av laksafiski(en.muksun)
мул	mmúldjórс0о
мула́т	mmulattur [-Ꞌla-]мсогл-ar
мула́тка	plurмула́т|ки, ~ок, ~камfmulattur [-Ꞌla-]мсогл-ar(konufólk)
мулине́	[-нэ́]n indecl slag av broderigarni
мулла́	mmullaмгл-гл
мульт	m tlm.teknifilmur [tʰεkn-]мсогл-ar;согл-s,-ir
мультива́рка	plurмультива́р|ки,~ок, ~камfmultikókari [mʊl̥ti-]мгл-ari
мультиви́за	fmultivisum [-ti-]с0о({0<>i})неформ.
му́льтик	mtlm.síмультфи́льм
мультико́птер	[-тэр]m síveingjaleyst flogfar við meira enn tveimum rotorum
мультиме́диа	f indeclmultimedium [-ti-]ннкс0-umпроф., margmiðilнпм0осн-s,-ar
мультимедиа-	multimedium- [-ti-]ннкпроф., margmiðla-нп
мультимеди́йный	stfмультиме|ди́ен, ~ди́йна, ~ди́йно, ~ди́йныadjmultimedium- [-ti-]ннкпроф., margmiðla-лп
мультимиллионе́р	mmultimillionerur [-ti-]ннкмсогл-ar, fleirmillióningurнпмсогл-ar
мультипле́кс	m biografur við fleiri salum
мультипле́ксный	adjvið fleiri salum (um biograf)
мультиплика́тор	m1.(художник) teknari [-kn-]мгл-ariav teknifilmum [-kn-]мгл-ari, animator [-Ꞌmaː-]м0-torспец.2.(камера) multikamera [-[-tikʰaː-]с0гл-a
мультипликацио́нный	adj: мультипликацио́нный фильм teknifilmur [tʰεkn-] (рисованный); dukkufilmur (кукольный)
мультиплика́ция	fgerðж0-irav teknifilmi [tʰεkn-] (рисованный); gerðж0-irav dukkufilmi (кукольный)
мультифиламе́нтный	adj: мультифиламе́нтная нить multifilamenttráður [-[-tifiːlaꞋmε-]
мультсериа́л	mteknifilmur [tʰεkn-]мсогл-ar;-s.-irí fleiri pørtum
мультфи́льм	m síмультипликацио́нныйфильм
мультя́шка	plurмультя́ш|ки, ~ек, ~камfóvkm., kel.síмультфи́льм
мультя́шный	adj tlm.teknifilms- [tʰεknɪ-], sum er í teknifilmi [tʰεknɪ-]
муля́ж	Genмуляж|а́;plur~и́, ~е́й, ~а́мogмуля́жаo.s.fr.mmodell [-Ꞌtεlː]с0о(í fullari stødd úr gipsi el. øðrum tilfari)
Мумба́й	mMumbai [-Ꞌpai]м нескл.(síeis.Бомбе́й)
мумиё	n indecl(tlm.n)harpikslíknandi evni, finst í fjøllum í Miðasia; verður brúkt í heimaráðum
мумифика́ция	fmumificering {mumifisering} [-Ꞌseː-]ж0-ar
мумифици́ровать	мумифици́ру|ю, ~ешь, ~ютipf/pf AccgeraнепрВинtil mumiu, mumificera {mumifisera} [muːmifiꞋseː-]aðiВин
мумифици́роваться	мумифици́ру|юсь, ~ешься, ~ютсяipf/pfverðaслнa-ó-otil mumiu
му́мия1	If(труп) mumiaжгл-a; худо́й как му́мия skrámuturсогл, skarpvaksinсоглосн
му́мия2	IIf(красящее вещество)slag av reydligum litevni
