Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
репети́тор	m1.(учитель)o-r, sum hjálpir [j-] at gera skúlating; húslærariмгл-ari(домашний учитель); manuduktørur [maːnutʊʰkꞋtʰøː-]мсогл-ar(б.ч. в высших учебных заведениях)2.(специалист по репетиции с актёрами и т.п.) repetitørur [-Ꞌtʰøː-]мсогл-arпроф.(музыкальных произведений и т.п.)
репети́ция	fprøviннкмгл-i, royndнпж0-ir(av sjónleiki o.ø.); генера́льная репети́ция generalprøvi [-Ꞌraː-]ннкпроф., aðalroyndнп
репи́тер	m síкомпа́с-репи́тер
ре́пица	fdrunnurс0о
ре́пка	plurре́п|ки, ~ок, ~камf dim avре́па
репланта́ция	freplantatión [-Ꞌʃɔun]интж0-irред.
ре́плика1	I m1.(замечание) viðmerkingж0-ar; aftursvar [aʰtː-]с0o(ответ)2.sjónl.(актёра) stikkorðс0o3.jur.(на судебном процессе) replikk [-Ꞌpʰlɪʰkː]ж0-irспец., юр.,replikkur [-Ꞌpʰlɪʰkː]мсогл-arспец., юр.
ре́плика2	IIf1.list(рпоизведения искусства)kopi [-ʰпиː-]с0о, eftirgerð [εʰtː-]лпж0-ir, replikaжo-ir(neyvt, gjørt av listarmarfólkinum sjálvum)2.teld. (базы данных) kopiс0о(av databasa)
реполо́в	m síконопля́нка
репорта́ж	freportasja [-Ꞌtʰaː-]жгл-a; (beinleiðis) frásøgnж0-ir{ø/a}
репортёр	mfrásøgufólkс0о, reportari [-Ꞌpʰɔ-]ннкмгл-ariпроф.
репо́ст	mteld.repostс нескл интерн.
репо́стить	репо́щу, репо́ст|ишь, ~ятpf что-л. teld.repostaaðio-t интерн.
репрезентати́вный	stfрепрезентати́в|ен, ~на, ~но, ~ныadjrepresentativur [-Ꞌsε-]согл
репресса́лии	f plurbókl.revsiatgerðirж0-ir, revsitiltøkс0о{a/ø}(hjá einum landi móti øðrum landi)
репресси́вный	adjrevsi-, straffi-; репресси́вные ме́ры revsiatgerðir
репресси́ровать	репресси́ру|ю, ~ешь, ~ютipf/pf Accfremjaur(d){e/a}{+}revsiatgerðirmóti Дат
репре́ссия	frevsiatgerðж0-ir; подвергну́ться репре́ссии vera fyri revsiatgerðum
реприватиза́ция	freprivatisering [-vaː-]ж0-ar, endurprivatisering [-vaː-]ж0-ar
репри́з	m síрепри́за
репри́за	f1.mus.(в музыкальном произведении) reprisa [-Ꞌpʰɹiː-]жгл-a2.(в цирке,на эстраде) millumspæl [-tl-]с0о{æ/ø}(í sirkus o.a.)
репри́нт	m1.(воспроизведение издания) endurprentс0о2.(отдельный оттиск) serprentс0о
репри́нтный	adj: репри́нтное изда́ние endurprentað útgáva
репроду́ктор	mhátalariмгл-ari
репроду́кция1	Iflist.1.(действие) reproduktión [-Ꞌʃɔun]ннкж0-irпроф., endurprentingнпж0-ar2.(картина) reproduktión [-Ꞌʃɔun]ннкж0-irпроф., endurprentнпс0о
репроду́кция2	IIffakm.(размножение) nøringж0-ar
репродуци́ровать	репродуци́ру|ю, ~ешь, ~ютipf/pf что-л.1.prent.(делать репродукцию) geraнепрendurprent2.psyk.(восстанавливать в памяти) endurskapaaði:ar(t)o-t(í minninum o.a.)
репс	Genре́пса, ре́псуm slag av riflutum bummuls-ella silkistoffi
репти́лия	f(класс Reptilia) skriðdýrс0о
репута́ция	fumdømiсгл-i(ámæli), orðс0о(ámæli); он по́льзуется хоро́шей репута́цией hann hevur gott orð á sær =>приобрести́4
ре́пчатый	adj: ре́пчатый лук leykurмсогл-a,-ir(vanligur bøllutur leykur)
рера́йтер	[-тэр]mo-r, sum fæst við umskriving (av teksti)
рера́йтинг	mumskrivingж0-ar(av teksti)
реса́йклинг	mendurnýtsla [-nʊi̯sla]жгл-a (av ruski, burturkasti)
ресе́йлер	[-сэ́-]m síресе́ллер
ресе́ллер	[-сэ́-]mmillumhandlari [-tlʊnhanl-]мгл-ari (ið selur vøru víðari)
ресе́ллерский	[-сэ́-]adjmillumhandlara [mɪtlʊnhanl-]- (síресе́ллер)
ресе́ллинг	[-сэ́-]m hand.víðarisølaжгл-a(eftir avtalu við framleiðara)
ресе́пшен	[-сэ́-]m jarg.receptión {reseptión} [resεʰpˈʃɔun]ж0-ir(á hotelli o.tíl.)
реси́вер	m1.tekn.(сборник,резервуар) (samli)tangi [-tʰaɲtʃɪ]мгл-i2.(для DVD) receiver [-Ꞌsiː-]м нескл.
рескри́пт	mgml.reskript [-Ꞌskɹɪ-]с0оист.
ресни́ца	feygnahárс0o
ресни́чка	plurресни́ч|ки, ~ек, ~камf1.dim avресни́ца2.biol.(тонкий нитевидный отросток) bivhárс0о
респе́кт	Imgml.(уважение, почтение) virðing ж0-ar, hávirðing ж0-arIIinter,jarg. (восклицание)hygg hin gaml!, tú ert ein knassi!, tú ert óførur!, tað skal eg halda við!
респекта́бельный	stfреспекта́белен, респекта́бельн|а, ~о, ~ыadjbókl.respektabul [-Ꞌtʰaː-]ннксоглосн
респира́тор	m(от пыли и т.п.) verjumaskaжгл-a(móti støvi o.tíl.), gassmaskaжгл-a(от газа и т.п.)
респира́торный	adjandingar-; о́строе респира́торное заболева́ние akutt [-Ꞌkʰʊʰtː] sjúka í andaleiðum
респонде́нт	m o-r, ið svarar upp á spurnarblað
респу́блика	flýðveldiнпсгл-i, tjóðveldiсгл-i(ос. о фарерских отношениях, иначенп), republikk [-Ꞌplɪʰkː]ннкж0-ir; сове́тская респу́блика sovjettlýðveldi [-Ꞌjε-], sovjettrepublik [-Ꞌjε-]нкк=>автоно́мный1,наро́дный@,сою́зный2
республика́нец	Gen, Accреспублика́нц|а; plur~ы, ~ев, ~амm1.(сторонник республиканского строя) republikanari [-Ꞌkʰaː-]ннк;o-r, ið tekur undir við hugsjón um lýðveldi, lýðveldismaðurмнепркн.2.(приверженец пол. партии) republikanari [-Ꞌkʰaː-]мгл-ari(приверженец ам. пол. партии); tjóðveldismaðurмнепр(приверженец фар. пол. партии)
республика́нка	plur~республика́н|ки, ~ок, ~камf1.(сторонница республиканского строя) republikanari [-Ꞌkʰaː-]ннк;o-r, ið tekur undir við hugsjón um lýðveldi, lýðveldisfólkс0о(konufólk)2.(приверженка пол. партии) republikanari [-Ꞌkʰaː-]мгл-ari(приверженец ам. пол. партии); tjóðveldisfólkс0о(приверженка фар. пол. партии) (konufólk)
республика́нский	adj1.(креспу́блика, республика́нец 1) republikanskur [-Ꞌkʰaː-]ннксоглnsk, lýðveldis-, lýðveldissinnaðurглaðurкн.2.sovjet.(относящийся к союзной республике) lýðveldis-нп, í lýðveldiнп(í mótsetning til alt samveldið)3.(относящийся к пол. партии) republikanskur [-Ꞌkʰaː-]соглnsk; tjóðveldis- (относящийся к фар. пол. партии)
рессо́ра	ffjøðurж0осн{ø/a}(í vogni, bili o.tíl.)
рессо́рный	adjfjaðra- (síрессо́ра)
реставра́тор1	Im(специалист по реставрации предметов искусства) restaurator [rεstauꞋraː-]м0-torпроф.; konservator [-Ꞌvaː-]м0-tor(av málningum o.ø.) (картин)
реставра́тор2	IIm(сторонник пол. реставрации)o-r, ið tekur undir við endurreisn (av politiskari skipan o.tíl.),síреставра́цияII
реставра́ция1	Ifrestaurering [rεstauꞋreː-]ж0-ar
реставра́ция2	IIfendurreisnж0-ir(av gamlari pol. skipan o.tíl.), restauratión [rεstauɹaꞋʃɔun]ж0-irпроф.
реставри́ровать1	Iреставри́ру|ю, ~ешь, ~ютчто-л. ipf/pf(pf eis.отреставри́роватьотреставри́ру|ю, ~ешь, ~ют) (восстановить предметы старины и др.) restaurera [rεstauꞋreː-]aðio-t
реставри́ровать2	IIреставри́ру|ю, ~ешь, ~ютчто-л. ipf/pf(восстановить прежний строй) endurreisair(t)o-t(pol. skipan o.a.)
рестора́н	mrestauratión [rεstɹaꞋʃɔun]ж0-ir, matstovaнпжгл-a=>ваго́н,пита́ние@
рестора́нный	adjrestauratións- [rεstɹaꞋʃɔu-]
рестора́тор	m restauratørur [rεstoɹaˈtʰøː-]мсогл-ar, matstovueigariмгл-ari
рестора́ция	fgml.síрестора́н
реструктуриза́ция	f1. bókl. umskipan2..реструктуриза́ция задо́лженностиfíggj.umleggingж0-arav skulda
ресу́рс	m1.bert plur(запасы,источники) tilfeingiсгл-i, resursur [-Ꞌsʊ-]ннкжгл-aмн2.bókl.(средство) útvegurмсогл-ir{+}, ráðс0о{0<>i}мн; испро́бовать после́дний ресу́рс royna tann síðsta útvegin3.tekn.(продолжительность эксплуатации) brúkstíðж0-ir, livitíðж0-ir(hjá maskinu o.ø.)
рете́йл	[-тэ́-]msmásølaжгл-a, detailsøla [-ˈtʰai-]жгл-aпроф.
рете́йлер	[-тэ́-]msmásøluhandlari [-hanl-]мгл-ari, detailhandlari [-ˈtʰai-]мгл-ariпроф.
рете́йловый	[-тэ́- ]adjsmásølu-, detailsølu- [-tʰai-]проф.
рети́во	advíðið, ágrýtið, við íðinskapi, við ágrýtni
ретиво́е	nmunn.hjarta [ja-]сгл-a{a/ø}
рети́вое	n síретиво́е
рети́вость	fágrýtniсгл-i;жгл-i, ídniсгл-i;жгл-i
рети́вый	stfрети́в, ~а, ~о, ~ыadjágrýtinсоглосн, íðinсоглоснð/d
рети́на	fnethindннкж0-ir, nethinnaнпжгл-a
ретирова́ться	ретиру́|юсь, ~ешься, ~ютсяipf/pf1.gml.(отступать) hopaaðiꞋ undan, takaслнó-ó-iseg Ꞌ aftur [aʰtː-] (í bardaga o.tíl.)2.tlm.,skemt.(уйти)sleppaслнa-u-osær avstað [-Ꞌstεa]неформ.,stingaслнa-u-uꞋ avнеформ.
реторома́нский	adjretoromanskur [-aː-]соглnsk; реторома́нские языки́ retoromansk mál
рето́рта	fkem.destillatiónskolba [-Ꞌʃɔu-]жгл-aспец., хим.
ретрансли́ровать	трансли́ру|ю, ~ешь, ~ютipf/pf что-л.endurvarpaaðio-t(signal o.a.)
ретрансля́ция	fendurvarpingж0-ar(um aðra støð)
ретри́вер	mretrievari [-tʰɹiːː-]мгл-ari
ре́тро	In indeclretroс нескл.IIadj indeclretro, retro-нескл.; ме́бель в сти́ле ре́тро møblar í retrostíli
ретроавтомоби́ль	[рэ-]mretrobilurмсогл-ar
ретрови́рус	mretrovirusс0o
ретрогра́д	mbókl.afturhaldsmaður [aʰtːʊɹhal̥s-]мнепр, afturhaldskroppur [aʰtːʊɹhal̥s-]мсогл-arнеодобр.
ретрогра́дный	stfретрогра́д|ен, ~на, ~но, ~ныadjafturhaldssamur [aʰtːʊɹhal̥s-]согл{a/o}, afturhaldssinnaður [aʰtːʊɹhal̥s-]глaður, afturhalds- [aʰtːʊɹhal̥s-]
ретрома́н	(eis.[рэ-])m o-r, sum hevur sinni til tað gamla; ≈ húðarskógvamaðurмнепр.шутл.(тк о Фар. островах)
ретрома́ния	(eis.[рэ-])f sinni til tað gamla;; ≈húðarskógvamentanж0-irшутл.(тк о Фар. островах)
ретроро́к	mretrorokkurмсогл-ar
ретроспекти́ва	fbókl.afturlit [aʰtː-]с0окн.
ретроспекти́вный	stfретроспекти́в|ен, ~на, ~но, ~ныadjbókl.afturlítandi [aʰtː-]глandi, retrospektivurинтсоглред.
ретушёвка	plurретушёв|ки, ~ок, ~камfretouchering [-tʰuꞋʃeː-]ж0-ar
ретушёр	mretouchørur [-tʰuꞋʃøː-]мсогл-arпроф.
ретуши́ровать	ретуши́ру|ю, ~ешь, ~ютipf/pf(pf eis.отретуши́роватьотретуши́ру|ю, ~ешь, ~ют)что-л.retouchera [-tʰuꞋʃeː-]aðio-t
ре́тушь	fretouchering [-tʰuꞋʃeː-]ж0-ar
рефера́т	m1.(краткое изложение) samandrátturм0осн-ar,-ir;согл-ir(av bók o.ø.), referat [-Ꞌraːt]ннкс0опроф.(av bók, grein o.tíl.)2.(доклад) fyrilesturм0осн-ar,-ar;-sa-ar(við samandrátti av o-m)
рефере́ндум	mfólkaatkvøða [-kʰvøːva]жгл-a; провести́ рефере́ндум halda fólkaatkvøðu
рефере́ндумный	adjfólkaatkvøðu- [-kʰvøːvʊ-]
рефере́нт	m1.(составляющий рефераты)o-r,ið ger samandráttrir, referentur [-Ꞌrε-]мсогл-arпроф., ред.(síрефера́т1)2.(консультант) ráðgevariмгл-ari3.(отвечаюший на вопросы)o-r,ið svarar upp á spurningar í kanningum o.tíl.4.mál.(предмет мысли) referentur [-Ꞌrε-]мсогл-arспец., лингв.
ре́фери	m indecldómariмгл-ari(í summum ítróttagreinum)
рефери́	m indecl síре́фери
рефери́ровать	рефери́ру|ю, ~ешь, ~ютipf/pf что-л.geraнепрsamandráttav o-m(síрефера́т1)
рефинанси́рование	nendurfíggingж0-ar
рефле́кс	mrefleks [-Ꞌflεʰks]интс0о(;0-ir)проф., afturbragd [aʰtː-]лпс0о{a/ø}; безусло́вный рефле́кс óbetingað refleksннк, ótreytað afturbragdлп; усло́вный рефле́кс betingað [-Ꞌtʰɪ-] refleksннк, treytað afturbragdлп
рефлекси́ровать	рефлекси́ру|ю, ~ешь, ~ютipf1.fysiol.(отвечать рефлексом) reagera [-ˈkeː-]aði2.bókl.(размышлять) reflektera [-ˈtʰeː-]интaði(grunda)
рефле́ксия	fbókl.refleksión [-Ꞌʃɔun]интж0-ir; sjálvrannsakanж0-ir(самоанализ)
рефлексотерапи́я	f síакупункту́ра
рефлекти́вный	adjrefleks- [-Ꞌflεʰks-]
рефле́ктор	m1.(отражатель лучей) reflektor [-Ꞌflε-]м0-tor2.(обогревательный прибор) elektriskur [-Ꞌlεʰtɹ-] ovnurмсогл-arvið reflektori [-Ꞌflε-]3.(телескоп) speglteleskopс0о
рефлекто́рный	adjreflektoriskur [-Ꞌtʰoː-]соглsk, refleks- [-Ꞌflε-]; afturbragds-лп
рефле́кторный	adjreflektor- [-Ꞌflε-]
рефо́рма	freformur [-Ꞌfɔ-]интмсогл-ar; umbótж0-ur{ó/ø}, broytingж0-ar(изменение); провести́ рефо́рму (чего-л.) gera umbøtur, gera ein reformинт; шко́льная рефо́рма umbøtur í skúlaskipanini, skúlareformurинт=>земе́льный
реформа́тор	mreformator [-Ꞌmaː-]ннкм0-torпубл., reformatorur [-Ꞌmaː-]ннкмсогл-arпубл.
реформа́ция	ftrúbótinнпж0-ur{ó/ø}опр., siðaskiftiðнпсгл-iопр., reformatiónin [-Ꞌʃɔu-]ннкж0-irопр.проф.
