Л	talvладья́ R, rókur
лу́чше	Icomp avхоро́ший betri; лу́чше всех (allar)bestur; лу́чше всего́ (allar)best; стать лу́чше batna; оди́н лу́чше друго́го hvør betri enn annarIIcomp avхорошо́ betur; лу́чше всего́ (allar)best; лу́чше всех (allar)best; как мо́жно лу́чше so væl sum møguligt; э́то ко́нчилось лу́чше, чем мо́жно бы́ло ожида́ть hetta endaði betur, enn væntast kundi; я лу́чше всего́ рабо́таю ве́чером eg arbeiði (allar)best um kvøldarnarIIIpredtað er betur, tað er betri; больно́му тепе́рь лу́чше tann sjúki hevur tað betur núIVpartheldur; лу́чше остава́ться tað er best at verða verandi; verð heldur verandi; тебе́ лу́чше пойти́ .... tað er betri, at tú fert ...; tú mást heldur fara ...; ей (бы) лу́чше уйти́ hon skuldi heldur farið; тебе́ лу́чше сказа́ть ему́ об э́том tú mást heldur siga tað við hann; я лу́чше пойду́ погуля́ю eg fari heldur at ganga mær ein túr; пойдём лу́чше домо́й kom heldur til hús, lat okkum heldur fara til hús; лу́чше не спра́шивай! lat heldur vera við at spyrja!Vparentrættari sagt (точнее); det er betur (предпочтительнее)@тем лу́чшеtess betur; ongantíð betur;чем ра́ньше, тем лу́чшеjú fyrr, jú betur =>да́льше@,по́здно@
лу́чшее	ntað bestasuperl; са́мое лу́чшее, что вы мо́жете ... tað besta, tit kunnu ...; к лу́чшему til tað betra; всё идёт к лу́чшему alt broytist til tað betra; наде́яться на лу́чшее vóna tað besta, hopa upp á tað besta; лу́чшего нет tað besta, sum er; э́то - лу́чшее для тебя́ hetta er tað besta fyri teg =>всего́@,неиме́ние,оста́вить@
лу́чший	1.comp avхоро́ший betri; лу́чшего поэ́та не найдёшь betri skald finst ikki; кто лу́чший? hvør er betri?2.superl avхоро́ший best(ur); кто (са́мый) лу́чший? hvør er bestur?; мой лу́чший друг besti vinmaður mín; лу́чшего ка́чества av besta slag; прими́те мои́ лу́чшие пожела́ния eg ynski alt tað besta =>слу́чай2
лущёный	adjflusturсогл(ertur,nøtur o.tíl.); лущёный горо́х ertur við ongum bjølgi; лущёные оре́хи knekkaðar nøtur
лущи́ть	лущу́, лущ|и́шь, ~а́тipf что-л.1.pfоблущи́тьоблущ|у́, ~и́шь, ~а́т(горох и т.п.) flysaur(t){y/u}o-t, takaслнó-ó-ibjølgin uttan avo-m(ertur o.tíl.); knekkaннкaðio-t(nøtur) (орех)2.pfвзлущи́тьвзлущ|у́, ~и́шь, ~а́тlandb.(разрыхлять) saksaaðio-t
Лха́са	fLhasa [laːsa]м нескл.
лы́жа	fskíðж0-ir, ski [skiː]ннкж0-ir; ходи́ть {ката́ться} на лы́жах standaслнó-ó-aá skíðum, skia [skiːja]ннкaði; прыжки́ на лы́жах skíðlop; во́дные лы́жи vatnskíðir [vans-], vatnskiir [vans-]ннк=>полёт1
лы́жник	mskíðrennariмгл-ari, skirennari [skiː-]ннкмгл-ari
лы́жный	adjskíð-, ski- [skiː-]ннк; лы́жные го́нки skíðrenningж0-ar, skiing [skiː-]ннкж0-ar
лыжня́	plurлыжн|и́, ~е́й, ~я́мf(на-í) loypaж0-ar, skíðbreytлпж0-ir
лы́ко	n1.bert sing (луб) bastс0о2.plur лы́к|и, ~, ~амbastkloddi мгл-i@не вся́кое лы́ко в стро́куorðt.≈ eingin er lýtaleysurсоглпог.; ≈ vamm er í hvørjum góðgripi [kœk-]пог.; ≈ tað er eisini eitil í válgaraпог.; онне лы́ком шитhann er ikki fyri ongum; hann er ikki skolaðurглaðurút av látriпог.; онлы́ка не вя́жетhann er so dýrandi fullur [-tl-]согл, hann er so drabbandi skítнескл. грубо=>драть2
лы́ковый	adjbast-
лысе́ть	ipf(pfоблысе́ть, полысе́ть) blívaслнei-i-iskallutur [-tl-]согл; missair(t)hárið (терять волосы)
лы́сина	f1.(голое место на голове) skallutur [-tl-] pletturмсогл-s,-ir; mániмгл-iнеформ.(skallutur plettur)2.(прогалина) bert staðс0о{a/ø}{0<>i}, beriмгл-i(í vøkstri)3.(белое пятно на лбу) hvítur pletturмсогл-s,-ir(á enni á kríatúri)
лысу́ха	f(Fulica atra) sjógvhønaжгл-a
лы́сый	stfлыс, лыса́, лы́с|о, ~ыadj1.(имеющий лысину) skallutur [-tl-]согл; berskøllutur [pεʂkœtl-]согл(совершенно лысый)2.(лишённый растительности) berurсогл(við ongum gróðri)@чёрта лы́согоóvkm.(nei,) faninбран.heldur; ikki ein lortбран., вульг.
ль	part síли́
ль...	льюo.s.fr. pres avлить
льв...	льваo.s.fr. síлев
львёнок	Gen, Accльвёнка; plurльвя́т|а, ~, ~амmløvuungiннкмгл-i, leyvuungiнпмгл-i, ljónsungiмгл-iкн.
льви́ный	adjløvu-ннк, leyvu-нп, ljóns-кн.@льви́ная до́ляbróðurpartur
льви́ца	fhonløvaннкжгл-a, kvennleyvaнпжгл-a, kvennljónс0окн.
Львов	mLviv [lvɪvː] (тж[εlˈvɪvː] )м0{дат0}; Lvov [lvɔu] (реже[lvɔfː])м0{дат0}; Lembergм0{дат0}уст.
львя...	львя́таo.s.fr. plur avльвёнок
львят...	львя́таo.s.fr. plur avльвёнок
льго́та	ffyrimunurмсогл-ir(преимущество); sersømdirж0-irмн(облегчение;особые условия); framíhjárættindir [-Ꞌtʃɔa-]сгл-iмн(примущественное право); avslátturм0осн-ar,-ir;согл-ir(скидка) =>монетиза́ция
льго́тник	mfólk, ið fær serligar sømdir
льго́тный	stfльго́тен, льго́тн|а, ~о, ~ыadjfyrimunarligurглigur(дающий льготы); við avsláttri (со скидкой); niðursetturсогл(о ценах); на льго́тных усло́виях upp á lagaligar treytir; til niðursettan prís (по сниженной цене); við avsláttri (со скидкой); льго́тный (проездно́й) биле́т ferðaseðilнпvið avsláttri; по льго́тной цене́ til niðursettan prís; льго́тная по́шлина preferansutollur [-Ꞌran̊sɪtʰɔtl-]проф., [-Ꞌraŋ̊ksɪtʰɔtl-], fyrimunartollur [-tl-]нп
льд...	льдаo.s.fr. síлёд
льди́на	físflakiмгл-i
льди́нка	plurльди́н|ки, ~ок, ~камfíspettiсгл-i
льди́стый	stfльдист, льди́ста, ~о, ~ыadjavísaðurглaður, ístakturсогл
льдогенера́тор	mísmaskinaжгл-a
льдозаво́д	mísvirkiсгл-i
льдохрани́лище	níshúsс0о
льды	síлёд2
Льеж	mLiège [ʎjeːʃ]м нескл.
льн...	льнаo.s.fr. síлён
льново́д	m o-r, ið dyrkar hør
льново́дство	nhørdyrkingж0-ar
льново́дческий	adjhørdyrkingar-
льноволокно́	plurльноволо́кна, льноволо́кон, льноволо́кнамnhørtægrж0-ar;0-ir
льномя́лка	plurльномя́л|ки, ~ок, ~камfhørbrótingarmaskinaжгл-a
льнопряде́ние	nhørspinningж0-ar
льнуть	льн|у, ~ёшь, ~утipf1.pfприльну́тьприльн|у́, ~ёшь, ~у́т к Dat(прижиматься) krøkjair(t)segupp í Вин; hangaнепрuppi í Дат2.к кому-л.fl.(испытать влечение) amastaðiupp á o-n, nálgastaðiuppi í o-n, nálgastaðiuppi á o-m; fjeppastir(t);aðiuppi í o-m(увиваться,ухаживать)
льняно́й	adj1.(клён) hør-, linnuturсоглнеформ.; льняно́е ма́сло linolja [lɪnː-]ннкпроф., línoljaнп2.: льняны́е во́лосы ljóst hár
льстец	Gen, Accльстец|а́; plur~ы́, ~о́в, ~а́мmsmikrariмгл-ari
льсти́вый	stfльсти́в, ~а, ~о, ~ыadjsmikrandiглandi, sleiskurсоглsk; льсти́вые слова́ smikurс0осн
льстить	льщу, льстишь, лстятipf(pfполсти́тьпольщу́, польст|и́шь, ~я́т)1.кому-л.(хвалить) smikraaðio-n2.Dat(быть приятным): э́то льстит его́ тщесла́вию tað kitlar hansara forfeingiligheit [-Ꞌfɔ-]ннк; ему́ льстит их внима́ние hann følir seg smikraðan av teirra áhuga@льстить себя́ наде́ждойна ...bókl.geraнепрsær vónir um ...
льсти́ться	льщусь, льст|и́шься, ~я́тсяipf(pfпольсти́тьпольщу́сь, полст|и́шься, ~я́тся)на что-л.tlm.freistastaðiav o-m, vera freistaðurглaðurav o-m
льщу	1. pers pres avльстить
лью...	síль...
лья́ло	nlensibrunnurмсогл-ar; soga [soːva]жгл-a(в лодке)
лья́льный	adj: лья́льная вода́ lensivatn
лэйбл	m1.(этикетка) navnaseðilм0krn-s,-ar, etiketta [-Ꞌkʰε-]ннкжгл-a2.(диска) plátumerkiсгл-i, fløgumerkiсгл-i
ЛЭП	[лэп]f indeclли́ния электропереда́чи háspenningslinja
лэпто́п	m síлапто́п
люб	люба́, лю́б|о, ~ыpredgml.,munn.kærurсогл; он ей люб hon er góð við hann
любвеоби́льный	stfлюбвеоби́лен, любвеоби́льн|а, ~о, ~ыadjbókl.kærleiksfullur [-tl-]согл, alskmikilсоглоснкн.
любе́зничать	ipf с кем-л.tlm.gevaслнa-ó-io-mkompliment [-Ꞌmaŋk]ннк; geraнепрseg Ꞌ tilfyri o-m
любе́зно	advbeinasamt, fyrikomandi; любе́зно помо́чьтжvera so fittur at hjálpa [jɔ-]; он любе́зно разреши́л нам по́льзоваться его́ квартиройтжhann gjørdi so væl at lata okkum brúka leiligheitinaннкhjá [tʃ-] sær
любе́зность	f1.(свойство) beinasemiсгл-i;жгл-i, tað at vera fyrikomandi; из любе́зности av beinasemi2.plur(комплименты) komplimentar [-Ꞌmaŋk-]ннкмсогл-arмн; говори́ть любе́зности geva komplimentarннк3.(одолжение) beiniмгл-i; оказа́тькому-л.любе́зность geraнепрo-mein beina =>отказа́тьI @
любе́зный	stfлюбе́зен, любе́зн|а, ~о, ~ыadj1.(обходительный) fyrikomandiглandi; týdligurглigur(приятный, благожелательный); beinasamurсогл{a/o}(отзывчивый, готовый помочь); э́то о́чень любе́зно с ва́шей стороны́тжtað er sera beinasam t av tygum2.bert lfgml.,tlm.(милый) góðurгл{+}, kærurсогл3.bert lftlm.(обращение) hin gamli@бу́дьте любе́зныgerið so væl (at...)
люби́мец	Gen, Accлюби́мц|а; plur~ы, ~ев, ~амmonkabarn [-tn]с0o{a/ø}, yndisbarn [-tn]с0o{a/ø}(особ. о детях), elskulingurмсогл-ar, eygnasteinurмсогл-arтж перен.; люби́мец пу́блики eygnasteinurin hjá [tʃʰ-] áskoðarunum; он о́бщий люби́мецтжhann er avhildin av øllum [œtl-]
люби́мица	fonkabarn [-tn]с0o{a/ø}, yndisbarn [-tn]с0o{a/ø}(особ. о детях), elskulingurмсогл-ar, eygnasteinurмсогл-arтж перен.(konufólk); люби́мица пу́блики eygnasteinurin hjá [tʃʰ-] áskoðarunum (konufólk); она́ о́бщая люби́мицатжhon er avhildin av øllum [œtl-]
люби́мчик	mtlm.,atf.yndisbarn [-tn]с0о{a/ø}(о ребёнке); eygnasteinurмсогл-ar; favorittur [faːvoꞋrɪ-]мсогл-ar
люби́мый	Imelskaðiмприл, unnustiмгл-iкн.,поэт.IIpartic avлюби́ть; люби́мыйкем-л.elskaðurav o-m; все́ми люби́мыйтжavhildin av øllum [œtl-]IIIadj1.(дорогой) elskaðurглaður; sumo-relskar; sumo-rer góður við; люби́мая же́нщина kvinnan, ein er góður við; люби́мый (в обращении) góðasti (í tiltalu)2.(такой,кто(что)больше всего нравится) yndis-, sumo-rer bestur við; sumo-mdámar best; люби́мая сестра́ onkasystir; люби́мые кни́ги tær bøkur,o-mdámar best; tær bøkur,o-rer bestur við; люби́мая пе́сня sangurin [-aŋk-],o-rer bestur við; sangurin [-aŋk-],o-mdámar best; yndissangur [-aŋk-]нп; люби́мое ку́шаньетжlívrætturннк; его́ люби́мое заня́тие tað besta, hann fær; tað besta, hann veit =>мозо́ль
люби́тель	m1.(тот,кто имеет склонность к чему-л.) -elskariмгл-ari, -vinurмсогл-ir; люби́тель му́зыки musikkelskari [-Ꞌsɪʰkː-]; люби́тель живо́тных djóravinur; люби́тель пое́стьo-r, sum er matligur; он люби́тель поговори́ть honum dámar væl at práta; hann er (so) prátingarsamurсогл{a/o}; он люби́тель вы́пить hann er heldur vátligurглigur; honum dámar (heldur) væl tað váta slagið2.(непрофессионал) amatørur [aːmaꞋtʰøː-]мсогл-ar; арти́ст-люби́тель áhugaleikariмгл-ari
люби́тельский	adjamatør- [aːmaꞋtʰøːɹ-]ннк, áhuga-; люби́тельский спекта́кль áhugaleikur
люби́тельство	ndilettantarí [-Ꞌrʊi]ннкс0о
люби́ть	люблю́, лю́б|ишь, ~ятipf1.Acc(испытывать любовь) elskaaðiВин, vera góðurгл{+}viðВин; люби́ть ро́дину elska føðilandið; люби́ть жену́ vera góður við konu sína, elska konu sína2.что-л.{inf} (иметь склонность) dámaar(d)o-t(væl) {at +инф.} (агенс Дат);+ neg тжikki leggjaнепрí o-t, einki} leggjaнепрí o-t; люби́ть футбо́л dáma fótbólt; каку́ю му́зыку вы лю́бите? hvør musikkur [-Ꞌsɪʰkː-] dámar tykkum?; я не люблю́ футбо́л eg leggi einki í fótbólt; mær dámar ikki fótbólt; я бо́льше люблю́ чай mær dámar betur te; он лю́бит петь honum dámar væl at syngja; люби́ть встава́ть ра́но dáma (best) at fara tíðliga [tʰʊʎja] upp3.bert 3. pers brúktur(нуждаться) viljaнепрhavao-t; цветы́ лю́бят со́лнце blomstrini vilja hava sól4.+ чтобы(испытывать удовольствие от какого-л. ощущния) viljaнепрhava, at; (агенс Дат) dámaar(d), at; люби́ть, что́бы в до́ме был поря́док vilja hava tað ruddiligt inni; он не лю́бит, что́бы ему́ возража́ли honum dámar ikki, at mannннкsigur honum ímóti [-Ꞌmɔu-] =>безу́мие@,вы́пить2,ката́ться@
Любля́на	fLjubljana [-Ꞌʎjaː-]м нескл.
лю́бо	pred + inftlm.tað er ein frøi at+ инф.; tað er ein fragd at+ инф.; лю́бо посмотре́ть tað er ein fragd at síggja, tað er eitt fornoyilsi [-Ꞌnœi-]ннкat síggja@лю́бо-до́рогоóført, frálíkt;не лю́бо - не слу́шайtilt.dámar tað tær ikki, so lat vera við at lurta
любова́ться	любу́|юсь, ~ешься, ~ютсяipf(pfполюбова́тьсяполюбу́|юсь, ~ешься, ~ются)Ins, на Accbeundra [-Ꞌu-]ннкaðiВин, vera hugtikinсоглоснav Дат
любо́вник	melskariмгл-ari, fríggjariмгл-ari(ухажёр)
любо́вница	felskarinna [-Ꞌɪnta]жгл-a, frilla [-tla]жгл-aкн.,балл.
любо́вно-кримина́льный	adjkærleikskriminal- [-naːl-] (serl. um filmar)
любо́вный	adj1.(связанный с любовью) kærleiks-, ástar-кн.,поэт.;любо́вное письмо́ kærleiksbræv; любо́вное стихотворе́ние kærleiksyrking, ástaryrking; находи́ться в любо́вной свя́зис кем-л.fríggjaaðivið o-m2.(нежный) eymurсогл(alskin); любо́вный взгляд eymt eygnakast3.(заботливый) eymurсогл, kerligurглigur; любо́вное отноше́ние kerlig umsorgan@любо́вный напи́токástardrykkur =>приключе́ние
любо́вь	Genлюбви́, Insлюбо́вьюf1.(чувство) kærleikiмгл-i, kerligheitннкж0-ir; ástж0-irкн.,поэт.(б.ч. о половом влечении), alskurмсогл-s,-irкн.(эмоция);любо́вь к ро́дине føðilandskærleiki, føðilandsalskur; бра́тская любо́вь bróðurkærleiki; жени́ться по любви́ giftast av kærleika; сде́латьчто-л.из любви́к чему-л.gerao-tav kærleikatil o-t2.(предмет любви) kærleikiмгл-i, kerligheitннкж0-ir(o-r ella o-t,ein elskar); tokkiмгл-iкн.(o-r ella o-t,ein elskar); кни́ги - его́ любо́вь bøkur eru hansara kærleiki; он - её пе́рвая любо́вь hann er hennara fyrsta [fɪsta] kerligheitннк, hann er hennara fyrsti [fɪstɪ] kærleikiнп; э́то его́ ста́рая любо́вьтжhetta er ein gomul flammaнеформ.hjá [tʃʰ-] honum; любо́вь моя́! (обращение) góðasti (góðastaf)!3.: занима́ться любо́вьюóvkm.fríggjaaði(vera saman kynsliga)@ста́рая любо́вь не ржаве́етorðt.gomul kerligheitннкrustar ikkiпосл.;любо́вь слепа́ást fjalir lýtiпосл.;любо́вь зла(полю́бишь и козла́)orðt.kærleikin fjalir mongd av syndumпосл.=>горя́чий2,заже́чься2,запре́тный@,иску́сство@,крути́ть8,объясне́ние@,пита́ть5,призна́ться1,свобо́дный1
