З	за́пад V, vestur
звать	зов|у́, ~ёшь, ~у́т;pretзвал, звала́, зва́л|о, ~иipf кого-л.1.pfпозва́тьпозов|у́, ~ёшь, ~у́т; позвал, позвала́, позва́л|о, ~и(просить приблизиться) rópaar(t);aðiá o-n, biðjaслнa-ó-io-nkoma; sendair(d)boðeftir[εʰtː-]o-m, kalla [-tla]aðio-n(til) (вызвать); ты меня́ звал? rópti tú á meg?; звать на по́мощь rópa um hjálp [j-]; зватького-л.на по́мощь biðjao-nkoma at hjálpa [j-] sær, rópa áo-num at koma at hjálpa [j-] sær; тебя́ зову́т к телефо́ну tað er telefon [-Ꞌfoːn] til tín; позва́ть врача́ senda boð eftir lækna, kalla lækna til2.pfпозва́тьпозов|у́, ~ёшь, ~у́т; позвал, позвала́, позва́л|о, ~и(приглашать) bjóðaaði{+};(слнey-u-o)o-m, invitera [-Ꞌtʰeː-]ннкaðio-n; нас зову́т на сва́дьбу vit eru bjóðaðглaðurí brúdleyp [pɹɪtlʊʰp], vit eru boðinсоглоснð/dí brúdleyp [pɹɪtlʊʰp]3.(называть): как тебя́ зову́т? hvussu eiturслнæ-i-itú?; меня́ зову́т Ю́рий {Ю́рием} eg eitiслнæ-i-iJurij; зватького-л. по и́мени kalla [-tla]o-nvið fornavni ; зватького-л. по фами́лии kalla [-tla]o-nvið eftirnavni [εʰtː-] =>гость1,и́мя1,помина́ть@
зва́ться	зов|у́сь, ~ёшься, ~у́тся;pretзва́лся, звала́сь, зва́лосьogзвало́сь, зва́лисьipftlm.1.(именоваться) kallast [-tl-]aði, eitaслнæ-i-i2.tlm.Nom, Ins, как(носить имя) eitaслнæ-i-io-t; она́ звала́сь Ни́на {Ни́ной} hon æt Nina
звезда́	plurзвёзд|ы, ~, амf1.(небесное тело) stjørna [stjœtna] (реже[ʃœtna])жгл-a(himmallikam); двойна́я звезда́ tvístjørna, dupultstjørna; но́вая звезда́ (stella) novaастр., nýstjørnaлп; Поля́рная звезда́ Norðstjørnan, Polarstjørnan [-Ꞌlaː-]ннк2.(деятель искусства) stjørna [stjœtna] (реже[ʃœtna])жгл-a(filmsleikari o.a.); звезда́ экра́на {кино́} filmstjørna3.(фигура, предмет) stjørna [stjœtna] (реже[ʃœtna])жгл-a(o-t stjørnuskapað); ма́ршальская звезда́ marsjalstjørna; с бе́лой звездо́й на лбу pannuhvíturсогл, ennihvíturсогл(б.ч. о лошадях)@морска́я звезда́(Asterias) krossfiskurмсогл-ar;он звёзд с не́ба не хвата́етhann hevur ikki nógv til;роди́ться под счастли́вой звездо́йvera eydnuborin, vera føddur undir einari lukkuligari stjørnu [stjœtnʊ] (реже[ʃœtnʊ]);ве́рить в свою́ звезду́trúgva upp á sína lukku, líta á sína lagnu =>величина́3,восходя́щий@,Дави́д@,па́дающий@,покры́ться2,сверхно́вый
звезда́-гига́нт	f-mrisastjørna [-stjœtna] (реже[-ʃœtna])жгл-a
звезда́-ка́рлик	f-mdvørgstjørna [-stjœtna] (реже[-ʃœtna])жгл-a
звездану́ть	звездан|у́, ~ёшь, ~у́тpf кого-л.óvkm.lammaaðitil o-n
звезди́нка	plurзвезди́н|ки, ~ок, ~камf tlm.stjørna [stjœtna] (реже[ʃœtna])жгл-a(ein einstøk av mongum)
звёздно	[-зн-]IIadvglampandi (sum stjørna), skyggjandi (sum stjørna)IIpredtað er sett við stjørnum [stjœtn-], tað er sett við stjørnufjøld [stjœtn-]
звёздный	[-зн-]adjstjørnu- [stjœtnʊ-] (реже[ʃœtnʊ-]); звёздная ка́рта stjørnukort; звёздное не́бо himmal settur við stjørnum [-tn-], stjørnuloft; звёздная ночь stjørnuklár nátt@звёздный годastr.stjørnuár [stjœtnʊ-] (реже[ʃœtnʊ-]);звёздная боле́зньtlm.erpniсгл-i, stórlæti [stœɹl-]сгл-i(serl. hjá ítróttastjørnu);звёздный часgævustundкн., выс., stór løta; э́то был его́ звёздный час hetta var størsta [stœsta] løtan í lívinum hjá [tʃʰ-] honum;звёздные во́йныstjørnukríggj [stjœtnʊ-] (реже[ʃœtnʊ-])мн
звездолёт	mrúmdarfarс0o{a/ø}, rúmdarskipс0o(ofta í science-fiction o.tíl.)
звездолётчик	mrúmdarfariмгл-i(ofta í science-fiction o.tíl.)
звездообра́зный	adjstjørnuskapaður [stjœtnʊ-] (реже[ʃœtnʊ-])глaður
звездопа́д	mmongdж0-irav stjørnuskotum [stjœtnʊ-] (реже[ʃœtnʊ-])
звездочёт	mgml.stjørnuspámaður [stjœtnʊ-] (реже[ʃœtnʊ-])мнепр, stjørnuskoðari [stjœtnʊ-] (реже[ʃœtnʊ-])мгл-ariред., библ., stjørnuspekingur [stjœtnʊ-] (реже[ʃœtnʊ-])мсогл-arред., библ., astrologur [-Ꞌloːk-]интмсогл-ar
звёздочка	plurзвёздоч|ки, ~ек, ~камf1.dim avзвезда́í ym. týdn.2.(знак) stjørna [stjœtna] (реже[ʃœtna])жгл-a(tekn); asteriskur [-Ꞌrɪ-]мсогл-ar(полиграфический знак); конья́к «три звёздочки» konjak við trimum stjørnum, trístjørnað [-stjœtna] (реже[-ʃœtna]) konjak; фо́рма под звёздочкойmál.stjørnuformur [stjœtnʊ-]3.(отвёртка) stjørnuskrúvublað [stjœtnʊ-] (реже[ʃœtnʊ-])с0о{a/ø}; stjørnuskrúva [stjœtnʊ-] (реже[ʃœtnʊ-])жгл-a(шуруп)4.sovjet.(группа окрябрят)flokkur av smáum skúlabørnum ella oktoberbørnum(síоктября́та)
звездча́тка	plurзвездча́т|ки, ~ок, ~камf(Stellaria) arviмгл-i; звездча́тка сре́дняя (Stellaria media) opinekruarvi
звёздчатый	[-щат-]stf звёздчат, ~а, о, ~ыadj1.(имеющий форму звезды) stjørnuskapaður [stjœtn-]глaður2.(сверкающий,искристый) skyggjandiглandi, glógvandiглandi=>скатIV
звездча́тый	[-ща́т-] adjsíзвёздчатый
звене́ть	звен|ю́, ~и́шь, ~я́тipf(pfпрозвене́тьпрозвен|ю́, ~и́шь, ~я́т) klingaaði, ljómaaði(мелодично); ringjair(d)(о колоколе,звонке); kimaaði(о колоколе - короткими,быстрыми ударами;o звонке,телефоне - громко и долго); ringlaaði(о цепях и др.); klirraaði, glintaaði(дребезжать); gella [-tla]ir(t)(раздаваться);что-л.звени́тo-tringlar,o-tklirrar; звене́тьчем-л.ringlavið o-m, klirravið o-m; звени́т звоно́к klokkan ringir; он звене́л ключа́ми hann ringlaði við lyklunum@у меня́в уша́х {голове́} звени́тtað ringir fyri oyrunum á mær
звено́	plurзве́нь|я, ~ев, ~ямn1.(однотипная составная часть) liðс0о; звено́ це́пи ketulið; liðс0о, led [leːt]с0опроф.(á hjólbelti) (гусеницы)2.fl.(связующее) liðurмсогл-a,-ir; parturмсогл-ar{а/ю}, tátturмсогл-i{á/æ}; согл-ar(составная часть); основны́е зве́нья произво́дства høvuðstættirnir í framleiðsluni; зве́нья пла́на liðirnir í ætlanini3.tekn.(секция) sektión [sεʰkꞋʃɔun]ж0-irтехн.4.(группа) bólkurмсогл-ar(í ym. týdn.); (her)deildж0-ir(подразделение); liðс0о(рабочее); пионе́рское звено́sovjet.deild av pionerum [-Ꞌneː-] (síпионе́р); звено́ бомбардиро́вщиков deild av bumbuflogførum
звеньево́й	mleiðariмгл-ariav bólki, liði,síзвено́
зверёк	Gen, Accзверьк|а́;plur~и́, ~о́в, ~а́мmlítið djórс0о,dim,kel.avзверь
зверёнок	Gen, Accзверёнка; plurзверя́т|а, ~, ~амmtlm.(djóra)ungiмгл-i
зверёныш	mtlm.síзверёнок
звере́ть	ipf(pfозвере́ть) blíva (púra) sansaleysurсогл, blíva ovursinturсогл
звери́нец	plurзвери́нц|ы, ~ев, ~амmgml.djóragarðurмсогл-ar{a/ø}
звери́ный	adj1.(кзверь) djóra-, dýra-, hjá [tʃʰ-] djóri; звери́ный вой ýl hjá djóri; звери́ные следы́ djóraspor; звери́ная шку́ра djóraskinn2.(жестокий) villur [-tl-], (ið er) sum eitt dýr; звери́ная не́нависть vilt hatur
зверобо́й1	Im1.plant.(Hypericum) pirikumс0о2.(водка) pirikumsbrennivínс0о
зверобо́й2	IIm(охотник) veiðimaðurмнепр(ið veiðir sjódjór); hvalaveiðimaðurмнепр(охотящийся на больших китов); kópaveiðimaðurмнепр(охотящийся на тюленей)
зверобо́йный	adj: зверобо́йный про́мысел hvalaveiðaжгл-a(на больших китов); kópaveiðaжгл-a(на тюленей); зверобо́йное су́дно hvalabáturмсогл-ar, hvalastingariмгл-ari(охотящийся на больших китов); kópaskipс0о(охотящийся на тюленей)
зверово́д	mpelsdjóraalariннкмгл-ari, loðdjóraalariнпмгл-ari, felddýraalariлпмгл-ari
зверово́дство	npelsdjóraalingннкж0-ar, loðdjóraalingнпж0-ar, felddjóraalingлпж0-ar
зверово́дческий	adj: зверово́дческая фе́рма pelsdjóragarðurннкмсогл-ar{a/ø}, loðdjóragarðurнпмсогл-ar{a/ø}, felddjóragarðurлпмсогл-ar{a/ø}
звероло́в	mpelsjekariннкмгл-i, loðdýraveiðimaðurнпмнепр, felddýraveiðmaðurлпмнепр
звероло́вный	adj pelsdjóraveiðu-ннк, loðdjóraveiðu-ннк; звероло́вный про́мысел pelsdjóraveiðaннк, lpelsdjórajagtннк, loðdjóraveiðaнп
звероло́вство	npelsjaktннкж0-ir, loðdjóraveiðaнпжгл-a, felddjóraveiðaлпжгл-a
звероподо́бный	stfзвероподо́б|ен, ~на, ~но, ~ныadjlíkurсоглdjóri, sum líkist djóri
зверосовхо́з	mpelsdjórasovkhosur [-sɔuˌkʰoː-]ннкмсогл-ar, loðdjórasovkhosur [-sɔuˌkʰoː-]нпмсогл-ar, felddjórasovkhosur [-sɔuˌkʰoː-]лпмсогл-ar,síсовхо́з
зверофе́рма	fpelsdjóragarðurннкмсогл-ar~a/ø}, loðdjóragarðurнпмсогл-ar~a/ø}, felddjóragarðurлпмсогл-ar~a/ø}
зве́рски	adv1.(жестоко) grimdarmikið, grummliga, harðliga2.tlm.(очень сильно) ræðuliga; я зве́рски голо́ден eg eri gorhungraður; я зве́рски уста́л eg eri deyðagivin; ей зве́рски везёт hon er ræðuliga heldigннк
зве́рский	adj1.(жестокий) dýriskurсоглsk, ræðuligurглigur; зве́рское уби́йство eitt ræðuligt dráp2.tlm.(очень сильный) ræðuligurглigur, øgiligurглigur(sera nógvur); зве́рская жара́ ræðuligur hiti; зве́рский аппети́т óføra góður matarlystur
зве́рство	n1.(жестокость) harðskapur [haʂ-]мсогл-ir, brutalitetur [-tʰaːliꞋtʰeː-]ннкмсогл-ar2.fl.(о поступках) illgerðirж0-irмн, ógerðirж0-irмн
зве́рствовать	зве́рству|ю, ~ешь, ~ютipffremjaur(d){e/a}{+}illgerðir, fremjaur(d){e/a}{+}ógerðir, fremjaur(d){e/a}{+}yvirgang (насилие); herjaaði(свирепстовать)
зверь	plurзве́ри, звер|е́й, ~я́мm1.(животное) (vill)djórс0о, (vill)dýrс0о; пушно́й зверь pelsdýrннк, loðskinsdjórнп, felddýrлп2.fl.(о человеке) ódjórс0о, ódýrс0о(illmenni), beistс0о3.tlm.зверьна что-л. o-r, ið algoystur [ɔl-], [al-] gero-t; зверь на рабо́ту grevс0о, gammurмсогл-ar(grev)4.slang(сбытчик наркотиков) pushari [pʰʊʃː-]мглari(ein,ið selur narkotika)@смотре́ть зве́ремна кого-л.hyggja ilsligaat o-m, rennair(d)eygunieftir[εʰtː-]o-m, skjótaслнey-u-oeygunieftir[εʰtː-]o-m;буди́ть зве́ряв ком-л.vekja villdjóriðí o-m
зверьё	nkollvilldjórс0омн
зверю́га	m/fóvkm.síзверь
звезди́нка	plurзвезди́н|ки, ~ок, ~камf tlm.stjørna  (ein einstøk av mongum)
звон	m1.(звук) ljómurмсогл-ar, klangur [-aŋk-]мсогл-s,-ir(мелодичный); klirranж0-ir, glintanж0-ir(дребезжание); ringlanж0-ir(о цепях и т.п.); ringingж0-ar(о колокольчиках,звонках); kimanж0-ir(о колокольчиках - быстрые, громкие удары;о звонках, телефонах - громкие,долгие звонки); металли́ческий звон metalliskur [-Ꞌtʰalː-] klangur; звон ключе́й ringlan av lyklum; звон стака́нов klirran av gløsum2.óvkm.(шумные толки) orðabraskс0о, gabbс0о; møsnс0о, svassс0о(чепуха); sleygс0о, slaturс0осн(слухи,сплетни)@звон в уша́хringingж0-arfyri oyrunum;слы́шал звон, да не зна́ет, где онtilt.hann veit ikki, hvat hann tosar um; ≈ mangur sigur frá Ólavi kongi og hevur ikki sæð hannпог.
звона́рь	Gen, Accзвонар|я́; plur~и́, ~е́й, ~я́мmklokkariмгл-ari
звони́ть	звон|ю́, ~и́шь, ~я́тipf1.(о звонке,будильнике и т.п.) ringjair(d); kimaaði(долго и громко); vekkaннкaði(о будильнике); звони́т телефо́н telefonin ringir2.pfпозвони́тьпозвон|ю́, ~и́шь, ~я́т(в звонок) ringjair(d); звоня́т (у две́ри) tað ringir uppá [ʊꞋpʰɔa], tað ringir upp á hurðina; звоня́т на уро́к tað ringir Ꞌ inn; звони́ть в ко́локол ringja við einari klokku3.pfпозвони́тьпозвон|ю́, ~и́шь, ~я́т(по телефону) ringjair(d)(Dat, к Dat - til Вин(til Род с личн. мест.,иначекн.,уст.)); звони́тькому-л.(о Prp) ringjatil o-n(til Род с личн. мест.,иначекн.,уст.) (um Вин) (telefonera); я бу́ду тебе́ звони́ть eg skal ringja til tín; вы не туда́ звони́те tygum hava fingið skeivt nummar; по како́му но́меру вы звони́те? hvat nummar ringja tygum til?; никто́ не звони́л? hevur eingin ringt?; hevur nakar ringt?4.óvkm.(поднимать шум вокруг чего-л.) geraнепрnógvan háva avo-m, geraнепрrumbul burtur úro-m; sleygaaði(сплетничать); tvætlaaði, møsnaaði(говорить чепуху); не звони́! einki tvætl!@звони́тьо чём-л.во все колокола́rópaar(t)o-tút um allar [atl-] geilarпог.
звони́ться	звон|ю́сь, ~и́шься, ~я́тсяipf (pfпозвони́тьсяповзон|ю́сь, ~и́шься, ~я́тся)tlm. ringjair(d)uppa´[ʊˈpɔa] (við klokku á hurð o.tíl.); звони́ыься к сосе́ду ringja uppá hjá [tʃʰɔa] grannanum
