о.	Iо́бластьIIо́стров
отте́чь	оттечёт, оттеку́т;pretоттёк, оттекл|а́, ~о́, ~и́pf(ipfоттека́ть) rennaслнa-u-uꞋ burtur (um vatn o.tíl.)
оттира́ть	ipf síоттере́ть
оттира́ться	ipf síоттере́ться
о́ттиск	m1.(отпечаток) merkiсгл-i, avtrykkннкс0о; о́ттиск подко́вы spor av einum hestaskógvi, merki av einum hestaskógvi2.(отпечаток текста,рисунка) prentс0о, avtrykkннкс0о; корректу́рный о́ттиск rættlestrararkс0о{a/ø}, korrekturur [-Ꞌtʰuː-]мсогл-arпроф., korrekturark [-Ꞌtʰuː-]с0о{a/ø}проф.3.(отдельная брошюра) serprentс0о
отти́скивать	ipf síотти́снуть
отти́снуть1	Iотти́сн|у, ~ешь, ~утpf(ipfотти́скивать)Accóvkm.(оттеснить) trokaaðiВинaftur [aʰtː-], trokaaðiВинburtur
отти́снуть2	IIотти́сн|у, ~ешь, ~утpf(ipfотти́скивать)что-л.(сделать оттиск) geraнепрprent, geraнепрavtrykk
оттого́	advtí@оттого́ чтоconj(av) tí at
отто́к	m1.(действие) frárenningж0-ar2.(убыль,убывание) minkingж0-ar; fækkingж0-ar(исчисляемого)3.(место стока) avløp [au-]с0о, frárenslнпс0о
отто́ле	adv gml.haðani
оттолкну́ть	оттолкн|у́, ~ёшь, ~ётpf(ipfотта́лкивать)1.Acc(толчком отодвинуть) skumpaaðiВинfrá sær; skúgvaaðiВинfrá sær; оттолкну́ть ло́дку от бе́рега skjótaслнedy-u-obátin Ꞌ frá; оттолкну́ть от себя́ мысль skúgva tankan frá sær2.Acc(внушить неприязнь к себе) stoytair(t)Винfrá sær, styggjair(d)Винfrá sær
оттолкну́ться	оттолкн|у́сь, ~ёшься, ~ётсяpf(ipfотта́лкиваться)1.от Gen(толчком отодвинуться) skumpaaðisegfrá Дат, spennair(t)føturnarmóti Дат; оттолкну́ться весло́м skjótaслнey-u-oꞋ frá (við ár), stingaслнa-u-uꞋ frá; оттолкну́ться от бе́рега skjótaслнey-u-obátin frá2.от чего-л.fl.(взять за исходную точку) gangaнепрútfrá o-m
отто́ль	síотто́ле
оттома́нка	plurоттома́н|ки, ~ок, ~камfottoman [-Ꞌmaːn]ж0-ir
оттопта́ть	оттопчу́, отто́пч|ешь, ~утpf(ipfотта́птывать)tlm.1.(наступая,повредить,попортить) stígaслнei-i-iáo-t(og oyðileggja tað), traðka [tʰɹaʰkːa]aðiáo-t(og oyðileggja tað)2.(утомить) møðair(d), troyttaaði(við gongd); skaðaar(d)(повредить); ходи́ли-ходи́ли, все но́ги оттопта́ли ≈ vit gingu og gingu og sprongdu okkum
оттопы́ренный	adjútstandandiглandi, sum stingur út; оттопы́ренные у́ши útstandandi oyrur; оттопы́ренные карма́ны lummar, sum standa á tambi
оттопы́ривать	ipf síоттопы́рить
оттопы́риваться	ipf síоттопы́риться
оттопы́рить	оттопы́р|ю, ~ишь, ~ятpf(ipfоттопы́ривать)tlm.setaur(t);ir(t)o-tfram (Ꞌ úr sær); оттопы́рить гу́бы rennair(d)munnin fram, setaur(t);ir(t)strútкн.,ред.; оттопы́рить ло́кти stingaнепрalbogarnar [ɔl-], [al-] frám úr sær; оттопы́рить карма́н tambaaðilummarnar
оттопы́риться	оттопы́р|ится, ~ятсяpf(ipfоттопы́риваться)tlm.standaслнó-ó-aframúr [-Ꞌʉuɹ]; standaслнó-ó-aá tambi (о карманах и т.п.)
отторга́ть	ipf síотто́ргнуть
отто́ргнуть	отто́ргн|у, ~ешь, ~ут;pretотто́ргogотто́ргнул, отто́ргл|а, ~о, ~иpf(ipfотторга́ть)1.что-л.(отделить,отнять) takaслнó-ó-io-t, leggjaнепрo-tinn undir seg2.кого-л.(разлучить,разъединить) útstoytair(t)o-n3.что-л.(пересаженный орган и т.п.) havnaaðio-m(organi)
отторже́ние	n1.(аннексия) innlimanж0-ir, hertøkaжгл-a2.(разлучение, разъединение) útstoytingж0-ar3.(пересаженного органа) havnanж0-ir(av organi)
отто́ченный	Ipartic pass pret avотточи́тьIIstfотто́чен, ~на, ~но, ~ныadj1.(оноже и т.п.) brýndurсогл, hvassurсогл{a/ø}; spiskurсоглsk(о карандаше и др.)2. (о стиле) hvassurсогл{a/ø}
отто́чие	nprikkarмсогл-arмн(sum tekn)
отточи́ть	отточу́, отто́ч|ишь, ~атpf(ipfотта́чивать)что-л.1.(нож и т.п.) brýnair(d)o-t, hvessair(t)o-t; spískaaðio-t, geraнепрo-tspískt (заострить)2.fl.(стиль и т.п.) snøggaaðio-t, geraнепрo-tbeinraknari
оттрепа́ть	отреплю́, отре́пл|ешь, ~ютpf(ipfоттрёпывать, трепа́тьтреплю́, тре́п|ешь, ~ят3)кого-л.tlm.roytair(t)o-n(за волосы), toga [tʰuːwa]aðií oyruniá o-m(за уши)
оттрёпывать	ipf síоттрепа́ть
оттруби́ть	оттрублю́, оттруб|и́шь, ~я́тpf1.что-л.(кончить трубить) blásaur(t){á/æ}o-tliðugt (signal o.tíl.)2.óvkm.(проработать) stríðastir(d), strevastaði
отту́да	advhaðani, har frá
оттузи́ть	pf síтузи́ть
оття́г	mjarg. hvíldж0-ir, friðurмсогл-ar; avslappingж0-ar
оттяга́ть	pf что-л.óvkm.fáaслнe-i-ihendurá o-t, krøkjair(t)o-ttil sín (við lokabrøgdum,rættarmálum o.tíl.)
оття́гивать	ipf síоттяну́ть
оття́гиваться	ipf síоттяну́ться
оття́жка	plurоття́ж|ки, ~ек, ~камf1.tlm.(отсрочка) útsetingж0-ar; drálс0о; forháling [-Ꞌhɔa-]ннкж0-ar(промедление)2.(движение нагайки и т.п.) sveiggjс0оaftureftir [aʰtːʊɹεʰtː-], reiggjс0оaftureftir [aʰtːʊɹεʰtː-]3.(снасть) bardun [-Ꞌtuːn]ж0-ar; gerda [kε-]жгл-a(на грузовой стреле и т.п.)4.jarg.(небольшой отдых) lítil feriaжгл-a; avslappingж0-ar
оттяну́ть	оттяну́, оття́н|ешь, ~утpf(ipfоття́гивать)1.что-л.(потянув,отодвинуть) dragaслнó-ó-io-t(frá), toga [tʰuːwa]aðio-t(frá), hálaaðio-t(frá); оттяну́ть плот к бе́регу toga flakan inn móti landi; оттяну́ть су́дно от прича́ла hála eitt skip frá kaiini [kʰaijɪ-]2.Acc(отвести) flytair(t);ur(t){y/u}Вин(burtur)3.что-л.(отсрочить) útsetaur(t);ir(t)o-t; dragaслнó-ó-io-tút, forhála [-Ꞌhɔa-]ннкaðio-t(затянуть); оттяну́ть вре́мя draga tíðina út, forhála tíðina4.что-л.(сделать отвислым) fáaслнe-i-io-tat hanga, fáaслнe-i-io-tat lava; оттяну́ть карма́н fáa lumman at hanga5.tlm.(тяжестью причинить боль) valdaслнo-o-opínu (av tyngd); рюкза́к оттяну́л ему́ пле́чи hann hevði [hεijɪ] ilt í akslunum av ryggsekkinum; hann fekk ilt í aklsarnar av ryggsekkinum
оттяну́ться	оття́н|ется, ~утсяpf(ipfоття́гиваться)1.(отойти назад,в сторону) takaслнó-ó-iseg aftur [aʰtː-]2. (стать отвислым) hangaслнe-i-i3.jarg.(приятно провести время,отдохнуть) slappaaðiꞋ avннк, havaнепрgóðar dagar
оття́пать	pf(momentоття́пнутьоття́пн|у, ~ешь, ~ут,ipfоття́пывать)что-л.óvkm.1.(отрубить) høggaur(d)o-tav2.(отнять,отобрать) fáaслнe-i-ihendur áo-tkrøkjair(t)(sær)o-t, grabbaaði(sær)o-tнеформ.,пренебр., goggaaði(sær)o-tнеформ.,пренебр.(við rættarmáli o.tíl.)
оття́пнуть	moment síоття́пать
оття́пывать	ipf síоття́пать
оту́жинать	pf1.(кончить ужинать) verða liðugurглugurat eta nátturða (тж[nɔʰtɹa]), verða liðugurглugurvið nátturðan (тж[nɔʰtɹan])2.gml.(съесть ужин,поужинать) etaслнá-ó-enátturða (тж[nɔʰtɹa]), fáaслнe-i-især nátturða (тж[nɔʰtɹa]); пригласи́ть оту́жинать bjóða til nátturða (тж[nɔʰtɹa])
отума́невать	ipf síотума́нить
отума́неваться	ipf síотума́ниться
отума́нить	отума́н|ю, ~ишь, ~ятpf(ipfотума́нивать)что-л.1.(застлать туманом) sveipaaði;ir(t)o-tí mjørka2.(сознание и др.) kámaaðio-t; глаза́ отума́нило слеза́миópeyguni kámaðust av tárum
отума́ниться	отума́н|ится, ~ятсяpf(ipfотума́ниваться)1.(застлаться туманом) leggjastнепр, sígaслнei-i-iniður (um mjørka)2.(сознание и др.) kámastaði
отупе́лый	stfотупе́л, ~а, ~о, ~ыadjtlm.dølskurсоглsk, sløvurннксогл
отупе́ние	ndølskniжгл-i;сгл-i, sløvheitннкж0-ir
отупе́ть	pf síтупе́ть
отутю́живать	ipf síотутю́жить
отутю́жить	pf síотутю́живать, утю́жить (sí)
отуча́ть	ipf síотучи́ть
отуча́ться	ipf síотучи́ться
оту́чивать	ipf síотучи́ть1
оту́чиваться	ipf síотучи́ться1
отучи́ть	отучу́, оту́ч|ишь, ~атpf1.ipfотуча́ть, оту́чиватького-л. от чего-л., + inf(заставить отвыкнуть) venjaur(d){e/a}o-nꞋ av viðo-t{at+ инф.}2.кого-л.tlm.(кончить обучать) verða liðugurглugurat lærao-n o-t3.что-л.(кончить учить) verða liðugurглugurat lærao-t
отучи́ться	отучу́сь, оту́ч|ишься, ~атсяpf1.ipfотуча́ться, оту́чиватьсяот чего-л., + inf(отвыкнуть) venjaur(d){e/a}seg Ꞌ av viðo-t{at+ инф.}2.(кончить учиться,заниматься) verða liðugurглugurat læra
отфильтрова́ть	pfотфильтро́вывать, фильтрова́ть (sí)
отфильтро́вывть	ipf síотфильтрова́ть
отформова́ть	pf síотформо́вывать, формова́ть (sí)
отформо́вывать	ipf síотформова́ть
отфрезерова́ть	pf síфрезерова́ть
отфутбо́ливать	ipf síотфутбо́лить
отфутбо́лить	отфутбо́л|ю, ~ишь, ~ятpf(ipfотфутбо́ливать)Accóvkm.,atf.sleppaслнa-u-osær Ꞌ avvið Вин(við at senda øðrum); sendair(d)Винfrá Peri til Pólпог., sendair(d)Винfrá Heródes [-Ꞌrɔu-] til Pilatus [-Ꞌlaː-]пог.
отха́живать	ipf síотходи́тьII, III 3, 4
отха́ркать	pf(momentотха́ркнутьотрха́ркн|у, ~ешь, ~ут,ipfотха́ркивать)что-л.harkaaðio-tupp, hostaaðio-tupp
отха́ркивание	nharkanж0-ir, hostanж0-ir
отха́ркивать	ipf síотха́ркать
отха́ркивающий	adjslímloysandiглandi
отха́ркнуть	moment síотха́ркать
отхвати́ть	отхвачу́, отхва́т|ишь, ~ятpf(ipfотхва́тывать)1.что-л.tlm. (отрезать,отрубить) kappaaðio-tav, kutaaðio-tav2.Accóvkm.(достать,приобрести) fáaслнe-i-ifaturá Вин{Дат}, fáaслнe-i-ihendurá Вин, skaffaннкaðisærВин3.что-л.óvkm.(бойко,умело исполнить) kvikliga [kʰvɪkl-] geraнепрo-t(framføra o.a.)
отхва́тывать	ipf síотхвати́ть
отхлебну́ть	отхлебн|у́, ~ёшь, ~у́тpf(ipfотхлёбывать)что-л.,чего-л.tlm.fáaслнe-i-især ein munnav o-m, fáaслнe-i-især ein sopaav o-m, fáaслнe-i-især ein slurkav o-m
отхлёбывать	ipf síотхлебну́ть
отхлеста́ть	отхлещу́, отхле́щ|ешь, ~утpf(ipfотхлёстывать)кого-л.tlm.berjair(d){e/a}o-nav (við reim o.ø.); отхлеста́тького-л.по щека́м gevaслнa-ó-io-mein undir vangan
