п.1	I паде́ж
пропита́ние	ngml.maturмсогл-ir, føðiжгл-i; uppihaldс0о(средства); зараба́тывать себе́ на пропита́ние tjena til lívsins uppihald
пропита́ть1	Ipf(ipfпропи́тывать)что-л.1.(чем-л.) (промочить) bloytair(t)o-t(í o-m) (промочить); dýggjaaðio-t(í o-m) (погрузить,окунуть); mettaaðio-t(við o-m) (насытить); пропита́ть бискви́т сиро́пом bloyta eina keks [kʰε-] í fruktsiropi; пропита́ть ва́тку йо́дом dýggja vattið í jodi; дождь пропита́л зе́млю regnið gjøgnumbloytti jørðina; руба́шка пропи́тана по́том skjúrtan er rennvát av sveitta; skjúrtan er tann beri sveitti(, øll [œtl] sum hon er)2.(чем-л.) (о запахе,дыме и др.) fylla [-tla]ir(t)o-t(við o-m); mettaaðio-t(við o-m) (насытить); во́здух пропи́тан арома́том цвето́в luftin er fylt við anganum av blomstrum; костю́м пропи́тан за́пахом нафтали́на klædningurin luktar av naftalin [-Ꞌliːn], allur [atl-] sum hann er3.oftast partic pass pret(чем-л.)fl.(пронизать,преисполнить) fylla [-tla]ir(t)o-t(við o-m); по́весть пропи́тана натурали́змом søgan er gjøgnumseyrað av naturalismu [-Ꞌlɪ-]
пропита́ть2	IIpf кого-л.gml.føðair(d)o-n, uppihaldaслнe-i-io-m, forsyrgja [-Ꞌsɪ-]ir(d){+}o-m
пропита́ться	pf(ipfпропи́тываться)1.(чем-л.) (стать насыщенным,пропитанным) verða gjøgnumbloytturсогл; по́чва пропита́лась вла́гой jørðin var gjøgnumbloytt av vætu; сте́ны пропита́лись вла́гой ≈ veggirnir eru drívvátir; торт хорошо́ пропита́лся lagkakan [lau-] er væl bloytt; ку́ртка пропита́лась за́пахом бензи́на vindjakkin [vɪnj-] luktaði av bensini, allur [atl-] sum hann var2.(чем-л.) (о запахе,дыме и др.) verða fylturсогл(við o-m); verða mettaðurглaður(við o-m) (насытиться)3.чем-л.fl.(проникнуться) verða fullur [-tl-]глaðurav o-m, verða gjøgnumseyraðurглaðurav o-m; пропита́ться чужи́ми взгля́дами vera gjøgnumseyraður av fremmandum áskoðanum
пропи́тка	plurпропи́т|ки, ~ок, ~камf1.(действие) gjøgnumbloytingж0-ar; mettingж0-ar(насыщение)2.(состав)væta at stenka lagkaku o.a. við; impregnering [-Ꞌneː-]ж0-ar(evni) (водонепроницаемая и др.)3.tlm.(дублёнка) ruskinsfrakkiмгл-i(úr ávísum impregneraðum skinni)
пропито́й	adjtlm.: пропито́й го́лос fullamannarødd [-tl-]; пропито́е лицо́ fullamannaandlit [-tlamanːaanl-]
пропи́тывать	ipf síпропита́ть
пропи́тываться	ipf síпропита́ться
пропи́ть	пропь|ю́, ~ёшь, ~ю́т;pretпро́пилogпропи́л, пропила́, про́пилоogпропи́ло, пропи́лиpf(ipfпропива́ть)1.Acc(истратить на выпивку) brúkaar(t)Винupp á drekkarí [-Ꞌrʊi], drekkaслнa-u-uВинupp; пропи́ть мно́го де́нег brúka nógvar pengar upp á drekkarí, drekka nógvar pengar upp; всё с себя́ про́пил hann drakk hvønn trevil upp2.что-л.tlm.(утратить,испортить) drekkaслнa-u-uo-tburtur; пропи́ть го́лос missair(t)málið (av drykkjuskapi), drekka málið burtur; пропи́ть тала́нт drekka talentið [-Ꞌlε-]интburtur
пропи́ться	пропь|ю́сь, ~ёшься, ~ю́т;pretпропи́лся, пропила́сь, пропило́сьogпропи́лось, пропи́лисьpf(ipfпропива́ться)óvkm.drekkaслнa-u-useg av knóranum, drekkaслнa-u-ualt upp
пропи́хивать	ipf síпропихну́ть
пропи́хиваться	ipf síпропихну́ться
пропихну́ть	пропихн|у́, ~ёшь, ~у́тpf(ipfпропи́хивать)Acctlm.skumpaaðiВинígjøgnum [-Ꞌtʃœ-]
пропихну́ться	пропихн|у́сь, ~ёшься, ~у́тсяpf(ipfпропи́хиваться)tlm.trokaaðiseg gjøgnum
пропища́ть	пропищ|у́, ~и́шь, ~а́тpf1.(издать непродолжительный писк) skeraслнa-ó-oí eitt níst, skeraслнa-ó-oí eitt hvin2.что-л.(проговорить тонким голосом) nístair(t)o-t(siga o-t hvínandi á málinum)3.(пищать в течение какого-л. времени) nístair(t), hvínaслнei-i-i, rínaслнei-i-i(ávísa tíð)
пропла́вать	pf(вплавь) svimjaслнa-u-o(ávísa tíð); siglair(d)(на судне) (ávísa tíð); пропла́вать час в бассе́йне svimja í ein tíma í einum svimjihyli; два́дцать лет пропла́вал капита́ном hann sigldi [sɪltɪ] í tjúgu ár sum skipari
пропла́кать	пропла́ч|у, ~ешь, ~утpfgrátaслнæ-ó-á(ávísa tíð); всю ночь пропла́кала hon græt alla [atla] náttina@все глаза́ пропла́катьtlm.stórgráta [stœɹ-]слнæ-ó-á
проплати́ть	проплачу́, пропла́т|ишь, ~ятpf(ipfпропла́чивать)что-л.(кому-л.) flytaur(y/u};ir(t)(o-m) pengarfyri o-t, gjaldaнепр(o-m)fyri o-t(við pengaflyting)
пропла́чивать	ipf síпроплати́ть
проплута́ть	pftlm.fjakkaaði, reikaaði; válaaði, gangaслнe-i-iog malaслнó-ó-a(без цели) (ávísa tíð)
проплы́в	msvimjikappingж0-ar(yvir langan tein)
проплыва́ть	ipf síпроплы́ть
проплы́ть	проплыв|у́, ~ёшь, ~у́т;pretпроплы́л, проплыла́, проплы́л|о, ~иpf(ipfпроплыва́ть)1.(плывя,преодолеть какое-л. расстояние,приблизиться к чему-л.;продвинуться) svimjaслнa-u-oвплавь); siglair(d){+}(на судах и т.п.) ; rógvaнепр(грести); flótaслнey-u-o(держаться на поверхности); rekaслнa-ó-i(перемещаться течением); проплы́ть пятьсо́т ме́тров svimja fimm hundrað metrar; су́дно проплы́ло сто миль skipið sigldi hundrað sjómíl; гребцы́ проплы́ли киломе́тр róðrarmenninir róðu ein kilometur [kʰiː-]; проплы́ть к при́стани sigla móti kaiini [kʰai-]; у́тки проплы́ли к бе́регу dunnurnar svumu móti landi; проплы́ли до А́страхaни teir sigldu [sɪltʊ] til Astrakhan [-kʰan]; проплы́ть на ло́дке всё о́зеро sigla eftir [εʰtː-] øllum [œtl-] vatninum í einum báti; по реке́ проплыва́ли льди́ны ísflakar komu rekandi oman eftir [εʰtː-] ánni2.что-л.(плывя,миновать) svimjaслнa-u-oframꞋvið o-m(вплавь); siglair(d){+}framꞋvið o-m(на судах и т.п.); rógvaнепрframꞋvið o-m(грести); flótaслнey-u-oframꞋvið o-m(держаться на поверхности); rekaслнa-ó-iframꞋvið o-m(перемещаться течением); проплы́ли о́стров vit sigldu [sɪltʊ] fram við einari oyggj3.bert 3. pers brúktur(плавно,медленно пролететь) sveimaaði, svívaслнei-i-iкн.; rekaслнa-ó-i(в зависимимости от ветра,течения-об облаках и т.п.); высоко́ под облака́ми проплы́л орёл høgt uppi undir skýggjunum sveimaði ein ørn; над голово́й проплы́ли тяжёлые ту́чи tung skýggj róku yvir høvdinum [hœtː-]4.tlm.oftastspott.(плавно пройти) komaслнo-o-osiglandiшутл.,неодобр.(в сторону к говорящему), faraслнó-ó-asiglandiшутл.,неодобр.(в сторону от говорящего) (um svint,ansaligt gongulag)5.bert 3. pers brúkturfl.(пройти,пронестись в воображении и др.) rennaслнa-u-ufram (fyri o-n); проплы́ли воспомина́ния minnini runnu fram (fyri meg)6.(плыть в течение какого-л. времени) svimjaслнa-u-o(вплавь) (ávísa tíð); siglair(d){+}(на судах и т.п.) (ávísa tíð); rógvaнепр(грести) (ávísa tíð); flótaслнey-u-o(держаться на поверхности) (ávísa tíð); rekaслнa-ó-i(перемещаться течением) (ávísa tíð)
пропове́дник	m1.(служитель культа и т.п.) prædikariмгл-ari, prædikumaðurмнепр; predikantur [-Ꞌkʰa-]{prædikantur [-Ꞌkʰa-]}мсогл-ar(мирянин,священник;тж презр.)2.чего-л.fl.(учения,теории) talsmaðurмнепрfyri o-t, forsprákariмгл-arifyri o-m=>Екклезиа́ст
пропове́довать	пропове́ду|ю, ~ешь, ~ютipf1.(что-л.) (произносить проповедь) prædikaаði(o-t), haldaслнe-i-iprædiku2.bókl.(теорию,учение) boðaаðio-t, prædikaаðio-t(тжирон.,пренебр.)
про́поведь	ж1.(речь) prædikaжгл-a; произнести́ про́поведь haldaслнe-i-ieina prædiku2.чего-л.bókl.(распространение какого-л. учения,теории) boðanж0-irav o-m(læru,religión o.ø.)3.tlm.(нравоучение) moralprædika [-Ꞌraːl-]жгл-a, formaning [-Ꞌmεa-]ж0-ar=>наго́рный@
пропо́й	m:на пропо́й {на пропо́й души́}óvkm.til at drekka fyri
пропо́йца	m/fóvkm.drankari [-aŋ̊k-]мгл-ari, fyllibytta [-tl-]жгл-aнеодобр., brennivínshítж0-irнеодобр.
пропола́скивать	ipf síпрополоска́ть
прополза́ть	ipf síпроползти́
проползти́	прополз|у́, ~ёшь, ~у́т;pret пропо́лз, проползл|а́, ~о́, ~и́pf(ipfпрополза́ть)1.(ползя,преодолеть какое-л. расстояние) krúpaслнey-u-o; grulvaaði(на четвереньках); skríðaслнei-i-i(о червях, змеях,насекомых и др.) (forbí o-t, til o-t o.a.); проползти́ де́сять ме́тров krúpa tíggju metrar; проползти́ ми́мо сторожево́го поста́ krúpa forbí [-Ꞌpʊi-]ннкvaktirnar; по листу́ проползла́ ули́тка ein snigil kom skríðandi eftir [εʰtː-] blaðnum2.(проникнуть) krúpaслнey-u-oinn í o-t; проползти́ в щель krúpa inn í rivuna; котёнок пропо́лз под крова́ть kettlingurin kreyp inn undir seingina; проползти́ че́рез отве́рстие krúpa gjøgnum eitt hol3.tlm.(медленно,с трудом пройти,проехать,проплыть) darlaaði, raggaaði(о людях); akaслнó-ó-i; соста́в пропо́лз полуста́нок {ми́мо полуста́нка} tokið kom togandi [tʰuːwa-] forbí [-Ꞌpʊi-]ннкsteðgistaðið [stεtʃɪ-], tokið kom akandi forbí [-Ꞌpʊi-]ннкsteðgistaðið [stεtʃːɪ-]; по у́лицам проползли́ пе́рвые пешехо́ды teir fyrstu [fɪstʊ] fótgangararnir komu tvassandi eftir [εʰtː-] gøtunum; ту́ча проползла́ на се́вер eitt skýggj kom (spakuliga) rekandi norðureftir [-εʰtː-]4.(распространиться) breiðair(d)seg (um slatur o.a.); по го́роду пропо́лз слу́шок leysasøgur gingu um býin5.: по спине́ пропо́лз холодо́к стра́ха tað fór honum kalt niður eftir [εʰtː-] bakinum av ræðslu
пропо́лка	flúkingж0-ar
прополоска́ть	прополощу́, прополо́щ|ешь, ~утogtlm.прополоска́юo.s.fr.;imperполощи́, полощи́теogtlm.полоска́й, полоска́йтеpf1.ipfпропола́скиватьчто-л.(промыть полосканием) skolaaðio-t; прополоска́ть го́рло gurglaaðiháls2.(что-л.) (полоскать в течение какого-л. времени) skolaaði(o-t) (ávísа tíð); прополоска́ла бельё весь день hon skolaði klæðir allan [atl-] dagin
прополо́ть	прополю́, пропо́л|ешь, ~ютpf1.ipfпропа́лыватьчто-л.(очистить от сорняков) lúkaaðio-t2.(что-л.) (полоть в течение какого-л. времени) lúkaaði(o-t) (ávísa tíð)
пропоро́ть	пропорю́, пропо́р|ешь, ~ютpf1.ipfпропа́рыватьчто-л.tlm.(прорезать,прорвать чем-л. острым) skræðair(d)o-t(av o-m spískum,hvøssum o.a.)2.ipfпропа́рыватьчто-л. Acc(нанести рану) rennair(d)o-tígjøgnum [-Ꞌtʃœ-]Вин(og særa); пропоро́ть но́гу fáaслнe-i-io-tupp í fótin; пропоро́тького-л.ви́лами renna eina kvísl gjøgnumВин3.что-л.(пороть в течение какого-л. времeни) sprettair(t)o-tupp (klæðir o.a.;ávísa tíð); весь ве́чер поро́ть пла́тье sita alt kvøldið og spretta kjólan upp4.что-л.tlm.(говорить глупости в течение кого-л. времени): пропоро́ть ерунду́ {вздор, чепуху́} tvætlaaði, møsnaaði, vrøvlaэнкaði(ávísa tíð); весь ве́чер пропоро́ть чушь sita og tvætla alt kvøldið
