Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
ночну́шка	plurночну́ш|ки, ~ек, ~камfóvkm.náttkjóliмгл-i
ночь	plurно́чи, ноч|е́й, ~а́мfnáttжнепр; всю ночь alla [atla] náttina; í alla [atla] nátt (сегодня); в середи́не но́чи mitt um náttina, á miðjari nátt; по ноча́м um næturnar; сле́дующей но́чью náttina eftir [εʰtː-], næstu nátt; до по́здней но́чи til seint um náttina; в ночь на пя́тницу fríggjanáttina; в ночь с 5-го на 6-ое ма́я náttina millum [-tl-] 5. og 6. mai [mai]; в ночь на 6-ого ма́я 6. mai [mai] um náttina; в ту ночь ta náttina; в но́чь пе́ред ава́рией náttina fyri vanlukkuna, náttina framman undan vanlukkuni; в два часа́ но́чи klokkan tvey um náttina@до́брой {споко́йной} но́чиgóða nátt;на́ ночьáðrenno-rlegst, áðrenno-rsovnar; чита́ть на́ ночь lesa, áðrenno-rsovnar =>варфоломе́евский,бе́лый@,глубо́кий5,гляде́ть@,иI 2,споко́йный@,среди́2,су́тки@
но́чью	adjum náttina; сего́дня но́чью í nátt; вчера́ но́чью í gjáranáttina =>днём@,ко́шка@
но́ша	fbyrðaжгл-a, byrðiжгл-iкн.
ноше́ние	ntað at bera, beringж0-ar, burðurмсогл-ir
но́шеный	adjslitinсоглосн, brúkturсогл(um klæðir o.tíl.)
ношу́	1. pers avноси́ть
но́щно	adv=>де́нно
нощь	f=>тать@
но́ющий	Ipart avнытьIIadj: но́ющая боль nívandi pína
ноя́брь	Genноября́mnovember [-Ꞌvεmpʊɹ]м нескл.; в ноябре́ í november (mánaði)
ноя́брьский	adjnovember- [-Ꞌvεmpʊɹ], í november [-Ꞌvεmpʊɹ]
НП	[эн-пэ́]f indeclни́жняя па́луба
НПУ	[эн-пэ-у́]n indeclносово́е подру́ливающее устро́йство
НПФ	[эн-пэ-э́ф]m indeclнегосуда́рственный пенсио́нный фонд
н/р	неразде́ланный (о рыбе)rundurсогл(um fisk);н/р моро́женый rundfrystur [rʊnf-]согл
нрав	m1.(характер) lyndiсгл-i; у него́ весёлый нрав hann er glaður av lyndi2.plur(обычаи) siðirмсогл-irмн; siðvenjaжгл-aкн.@э́то ему́ по нра́вуhetta dámar honum, hetta fellur [-tl-] honum væl =>жесто́кий1,круто́й3,паде́ние4,ти́хий4,упа́док
нра́виться	нра́влюсь, нра́в|ишься, ~ятсяipf(pfпонра́витьсяпонра́влюсь, понра́в|ишься, ~ятся)1.кому-л. Nom,+ inf(быть по вкусу) dámaar(d){+}; мне нра́вится+ infmær dámarat + инф.(конструкция с прямым подлежащимeg dámiat + инф. распространена в речи,но считается ненормативной);Datнра́витсяNom ДатdámarВин;Datнра́вятсяNom ДатdámarВин,ИмdámaДат(конструкция с прямым подлежащим ИмdámarВин распространена в речи,но считается ненормативной); э́то мне не нра́вится mær dámar hetta ikki, hetta dámar mær ikki; eg dámi hetta ikki (см выше); она́ ему́ не нра́вится hon dámar honum ikki, honum dámar hana ikki; hann dámar hana ikki (см выше); э́ти автомоби́ли нам не нра́вятся okkum dámar ikki hesar bilarnar; vit dáma ikki hesar bilarnar (см выше); э́ти автомоби́ли нам понра́вились okkum dámdi væl hesar bilarnar; vit dámdu hesar bilarnar væl (см выше); го́род на́чал ей нра́виться hon var farin at dáma býin, henni var farið at dáma býin; как тебе́ понра́вился фильм? hvussu dámdi tær filmin?; hvussu dámdi tú filmin? (см выше); мне фильм понра́вился mær dámdi væl filmin; eg dámdi filmin væl (см выше); как он тебе́ нра́вится?тжhvat heldur tú um hann?; мне бо́льше нра́вится э́тот цвет mær dámar betur henda litin2.кому-л. Nom(вызывать интерес,влечение) verða dámdurсогл(av hinum kyninum), vekjaur(t){e/a}{+}hug (hjá hinum kyninum); все де́вушки хотя́т нра́виться allar [atlar] gentur vilja verða dámdar
нра́вный	stfнра́в|ен, ~на, ~но, ~ныadjóvkm.ólagaligur [-Ꞌleː-]глigur, óviðeiriligur [-Ꞌai-]глigur; ráðaríkurсогл, sjálvráðin [ʃɔlr-]соглоснð/d(своевольный)
нравоуче́ние	nmoralprædika [-Ꞌraː-]жгл-a, formaning [-Ꞌmεa-]ж0-ar; чита́тькому-л.нравоуче́ние prædikaaðimoral [-Ꞌraːl]fyri o-m, haldaслнe-i-ieina moralprædikufyri o-m
нравоучи́тельный	stfнравоучи́телен, нравоучи́тельн|а, ~о, ~ыadjbelærandi [-Ꞌlεa-]ннкглandi(назидательный,наставительный), moraliserandi [-raːliꞋseː-]глandi
нра́вственность	f1.(совокупность норм) moralur [-Ꞌraː-]мсогл-ar2.(моральные качества) siðalagс0о{a/ø}{0<>i}
нра́вственный	stfнра́вствен|ен, ~на, ~но, ~ныadjmoralskur [-Ꞌraː-]соглsk
нра́вы	plur síнрав2
НРБ	[эн-эр-бэ́]f indecl síНаро́днаяРеспу́блика Болга́рия
НСРА	[эн-эс-эр-а́]f indecl síНаро́днаяСоциалисти́ческая Респу́блика Алба́ния
НТР	[эн-тэ-э́р]f ndeclнау́чно-техни́ческая револю́ция tann vísindaliga og tekniska kollveltingin
ну	Iinter1.(выражает нетерпение и т.п./vísir ótolni o.tíl.): ну, расска́зывай! fortel [-Ꞌtʰeːl] so!; ну, пошли́ kom [kʰɔmː] (so); lat okkum fara; ну, и да́льше? og hvat so?; ну скоре́й! (nú,) skunda tær!2.(выражает досаду/vísir forargilsi o.tíl.):(а) ну тебя́! far at [ɔa] hundinum til við tær!; reis og renn við tær!; far tú niður og norður!; ну тебя́! a) (перестань) halt nú uppat [-Ꞌpʰεat] við tær!; b) (не приставай) gakk ikki og plága [pʰlɔava] meg!; c) (иди к чёрту) far at [ɔa] fjandanum til við tær!3.(выражает удивление,гнев и др./ vísir bilsni,vreiði o.a.): ну и пого́да! á, dett veður; tað er ikki lukkuligt, sum veðrið [vεkɹɪ] er!; eg havi ikki vitað sovorðið veður!;ну и маши́н здесь! tað eru einir bilar her!; á [ɔː], teir bilar, ið her eru!; eg havi ikki vitað so nógvar bilar!; ну и молоде́ц! hygga síggj, hin rádni!; ну и вку́сно же! sum hetta smakkar væl!; Ꞌ hetta Ꞌ smakkar!IIpart1.(sum svar upp á boð ella tá o-r vendir sær til o-n) ja?; ná [nɔː]ннк?; за́втра пя́тница - ну? í morgin er fríggjadagur - ná [nɔː]ннк?2.interrogná [nɔː]ннк, nú; да ну? hvat sigur tú?; passar tað?; ну и что же? ná, og hvat um tað?; ну как? nú, hvussu gongst?; ну, что ска́жешь? ná, hvat sigur tú so?3.intens: ну да? so?; nei, álvara?; sigur tú tað?; ну коне́чно! jú, sjálvandi!; jú, vist!; ну да, э́то он jú, vist er tað hann; ну, э́то не так nei, tað er ikki rætt4.tlm.(saman viðкак) (что если) hvat um nú; ну как мы опозда́ем? hvat um vit nú koma ov [ɔ] seint?5.í týdn conjíðan; ну, ка́жется, мо́жно сесть íðan, meðni, vit kunnu seta okkum; ну, поезжа́й за́втра íðan, far so í morgin; ну, ничего́ tað man ikki bila6.tlm.(+ inf): он ну крича́ть og hann at rópa7.tlm.(допустим) man; ты э́то говори́л? - ну, говори́л segði tú tað? - jú, tað man eg eg hava gjørt8.óvkm.(да) ja@ну да!parta)tlm.(конечно) sjálvandi, eyðvitað; вы его́ зна́ете? - ну да, зна́ем kenna tit hann? - ja, sjálvandi kenna vit hann; ja, vituliga kenna vit hann; b)tlm.(разве) álvara?; я уже́ сде́лал уро́ки. - ну да? eg havi longu gjørt skúlatingini. - ávara?; ha?; c)óvkm.(нет,вот ещё) nei; сходи́ за хле́бом - ну да, так я и пошёл far og keyp breyð. - nei, veitst [vai̯st] tú hvat; illanstíð [itl-];ну и ну́ !{ай да ну́!}tað skal eg halda við!;ну уж нет!á, nei!; slettннкikki!
Нуакшо́т	mNouakchott [nuːwaʰkꞋʃɔʰtː]м0{дат.0}
нуа́р	m1.bókm.(жанр литературы)genra í amerikanskum kriminalbókmentum o.ø.2.film.(стиль фильма) film noir [fɪlmˈnwːaɹ]м нескл, спец.
нубу́к	mnubuck [nuːpʊʰk]с0{дат0}, nubuckleður [nuːpʊʰk-]с0осн{+}
ну́бук	mnubuk [nuːpʊʰkː]с0о{0<>i}(slag av ruskinni)
нувори́ш	mnýríkurмприл, uppkomlingurннкмсогл-ar(выскочка)
нуга́	fnougat [nʊkːa] {nugga}с0гл
нуда́	m/fóvkm.keðiligt fólkс0о, møðsamt [mœs-] fólkс0о
нудёж	Genнудежа́móvkm.knarrс0о, grenjс0о
нуди́зм	mnudisma [-Ꞌtɪ-]жгл-a
нуди́ст	mnudistur [-Ꞌtɪ-]мсогл-ar
нуди́ть	нужу́, нуд|и́шь, ~я́тipfóvkm.knarraaði, grenjaaði
ну́дить	ну́жу, ну́д|ишь, ~ятipfóvkm.síнуди́ть
нуди́ться	нужу́сь, нуд|и́шься, ~я́тсяipfóvkm.keðastir(d)
ну́диться	ну́жусь, ну́д|ишься, ~ятсяipfóvkm.síнуди́ться
ну́дный	stfну́ден, ну́днаogнудна́, ну́дно, нудны́ogну́дныadjkeðiligurглigur; køvisligurглigurнеформ., møðisligurглigur(утомительный)
нудь	fóvkm.o-tkøvisligtнеформ.; meylanж0-ir(повторные жалобы)
нудя́тина	fóvkm.o-tkøvisligtнеформ.; meylanж0-ir(повторные жалобы)
нужда́	f1.bert sing(бедность) neyðж0-ir(fátækdømi), fátækdømiсгл-i; терпе́ть нужду́ líða Ꞌ neyð2.plurну́жд|ы, ~амtørvurмсогл-s,-ir, behov [-Ꞌhɔu]ннкс0о({0<>i}); у него́ нужда́ в деньга́х hann hevur brúk fyri pengum; испы́тывать нужду́в чём-л.treingjair(d)til o-t, havaнепрo-tfyri neyðini; ему́ нет нужды́ беспоко́иться hann hevur ikki fyri neyðini at órógvast; без нужды́ uttan áneyðir, uttan at tað er neyðugt; в э́том нет нужды́ tað er ikki tørvur á hesum, hetta behøvist [-Ꞌhøː-] (тж[pʰjøːv-])ннкikki3.óvkm.: справля́ть нужду́ hjálpa [jɔ-]ir(t)sær sjálvum; вы́йти по нужде́ fara at hjálpa [jɔ-] sær sjálvum; спра́вил ма́лую нужду́ hann kastaði sær av vatninum@нужды́ нетgml.tað ger einki; ему́нужды́ ма́лоhetta kemur ikki honum við
нужда́емость	f в чём-л.tørvurмсогл-s,-ira o-m
нужда́ться	ipf1.в чём-л.(испытывать потребность) treingjair(d)til o-t, havaнепрbrúkfyri o-m; havaнепрo-tfyri neyðini; руба́шка нужда́ется в сти́рке skjúrtan treingir til at vaskast; он о́чень нужда́ется в деньга́х hann treingir nógv til pengar; нужда́ться в по́мощи hava hjálpt fyri neyðini, treingja til hjálp [j-]2.(терпеть нужду) líðaслнei-i-iꞋ neyð, livair(d)(að)í fátækdømi
нужда́ющийся	adjsum líður neyð
ну́жник	mgml.(в Prp - á Дат) nátthúsс0оуст., шутл.
ну́жно	pred síна́до@о́чень ну́жно!tlm.,niðr.hví tað?; lort heldur!грубо
ну́жный	stfну́жен, нужна́, ну́жно, нужны́ogну́жныadj1.(необходимый) neyðugurглugur; я счита́ю ну́жным ... eg haldi tað vera neyðugt, at ...2.bert lf(полезный) nyttigurглigur3.bert stf: мне ну́женNomeg havi brúkfyri Дат, eg treingitil Вин; мне нужны́ ту́фли eg má hava einar skógvar, eg treingi til einar skógvar; э́тот уче́бник мне не ну́жен eg havi ikki brúk fyri hesi skúlabókini; ей нужна́ по́мощь hon hevur hjálp [j-] fyri neyðini, hon hevur brúk fyri hjálp [j-]; он ну́жен здесь vit hava brúk fyri honum her; что вам ну́жно? a) hvat vilja tygum?; b) (в магазине) hvat skulu tygum hava?; мне нужны́ часы́ eg skal hava eitt ur
ну́-ка	inter síнуI 1
ну́-кась	interóvkm.síну́-ка
ну́-кася	interóvkm.síну́-ка
ну́кать	ipf Acctlm.koyrair(d)undir Вин, hurtaaðiundir Вин(við at sigaну)
нуклеа́рный	adj: нуклеа́рная семья́ kjarnufamilja [-tn-]
нуклеи́новый	adj: нуклеи́новая кислота́ nukleinsyra [-ʰkleꞋiːnsyː-]ннк, nukleinsýra [-ʰkleꞋiːn-]нп
Нуку́с	mNukus [-Ꞌkʰʊsː]м0-ar{дат.0}
нулеви́к	Gen, Accнулевик|а́;plur~и́, ~о́в, ~а́мmtlm.nýbyrjariмгл-ari, nýbegynnariннкс0о
нулёвка	plurнулёв|ки, ~ок, ~камfóvkm.barnagarðsflokkur [-tn-]мсогл-ar@под нулёвку остри́чького-л.klippao-msnøgt, snøggklippao-m
нулево́й	adj1.(кноль) null-; нулево́й меридиа́н nullmeridian [-aːn]2.(почти никакой) (næstan) eingin; нулево́й результа́т einki úrslit [ʏʂl-]@нулево́й классtlm.barnagarðsflokkur [-tn-];нулева́я стри́жкаsnøggklipping;внулевы́е го́дыí nullárunum
нуль	Genнуля́m síноль
нумера́тор	mnummereringsmaskina [-Ꞌreː-]жгл-a
нумера́ция	fnummerering [-Ꞌreː-]ннкж0-arпроф.; talmerkingнпж0-ar
нумеро́ванный	adjnummereraður [-Ꞌreː-]ннкглaðurпроф., talmerkturнпсогл
нумерова́ть	нумеру́|ю, ~ешь, ~ютipf(pfзанумерова́тьзанумеру́|ю, ~ешь, ~ют, пронумерова́тьпронумеру́|ю, ~ешь, ~ют)Accnummerera [-Ꞌreː-]ннкaðiВинпроф., talmerkjaнпir(t)Вин; setaur(t);ir(t)nummar áВин(ставить номер)
