к1	I коньtalvriddari
ку́бок	Genку́бк|а; plur~и, ~ов, ~амm1.(сосуд) steypс0о, bikarс0о({a/ø})2.(приз) steypс0о(sum virðisløn); состяза́ться на ку́бок kappast um eitt steyp; облада́тель ку́бка Евро́пы Evropacupvinnari [εuꞋroːpakʰʊʰp-] =>переходя́щийII 1
кубоме́тр	mkubikkmetur [-Ꞌpɪʰk-]мсогл-s,-ar, rúmmeturлпмсогл-s,-ar
ку́брик	mskip.lugar [-Ꞌkaːɹ]с0о
кубы́шка	plurкубы́ш|ки, ~ек, ~камf1.(копилка) pengaskrínс0о; име́ть {держа́ть} де́ньги в кубы́шкеfl.eiga pengar á kistubotninumпог.2.tlm.(толстушка) bolliмгл-i, proppurмсогл-ar(hyldlig kona,genta)3.plant.(растение) (Nymphae) nykurtж0-ir4.djór.: морска́я кубы́шка (Holothuria) trælsrassur [tʰral̥s-]мсогл-ar, sjóreyvжгл-ar(при нек. обстоятельствахвульг.)
кува́лда	fsleggjaжгл-a
куве́з	mkuvøsa [-Ꞌvøː-]жгл-a
Куве́йт	mKuwait [-Ꞌvait]с0о, Kuveit [-Ꞌvait]лпс0о(land)
куве́йтский	adjkuwaitiskur [-Ꞌvai-]соглsk, kuveitiskur [-Ꞌvai-]лпсоглsk
куве́рт	m gml.(набор столовых приборов) kuvertur [ˈvε-]мсогл-arспец.(borðreiðing)
кувши́н	mkannaжгл-a
кувши́нка	plurкувши́н|ки, ~ок, ~камf(Nymphaea) nykurtж0-ir
кувырка́нье	ntað at bólta ˈrút
кувырка́ться	ipf(momentкувыркну́тьсякувыркн|у́сь, ~ёшься, ~у́тся) bóltaaðirút
кувыркну́ться	moment síкувырка́ться
кувырко́м	advtlm.1.(через голову) bóltandi2.:fl.всё идёт {лети́т} кувырко́м alt er hurl um burl
кувыро́к	Genкурвырк|а́;plur~и́, ~о́в, ~а́мm: сде́лать кувыро́к bóltaaðirút
КУГИ́	m indeclКомите́т по управле́нию госуда́рственным иму́ществом Nevndin fyri umsiting av ríkisogn
кугуа́р	m síпу́ма
куда́	Iadv1.interroghvar (hvagar), hvagar; куда́ вы е́дете? hvar fara tit?; ты зна́ешь, куда́ он пошёл? veitst [vai̯st] tú, hvar hann fór?2.relathar sum; я иду́ (туда́), куда́ хочу́ eg fari har, sum eg vil; везде́, куда́ он приходи́л allastaðni [atl-], har hann kom; иду́, куда́ ну́жно far har, sum neyðugt er; far hagar, sum neyðugt er3.relatsum; дом, куда́ он пересели́лся húsini, sum hann flytti í; го́род, куда́ он уе́хал býurin, sum hann er farin til4.indef tlm.(куда-нибудь) onkustaðni; он е́дет в Москву́, а мо́жет, ещё куда́ hann fer til Moskva og kanska onkra aðrastaðni eisini5.tlm.(зачем) hví; куда́ ему́ сто́лько книг? hvat skal hann við so nógvum bókum?6.: куда́ (бы) ни hvar ... so...; куда́ бы ни бы́лоIIpart1.(гораздо) +compnógv +сравн.; куда́ лу́чше nógv betri; э́то куда́ важне́е hetta hevur nógv meira at siga; куда́ бо́лее практи́чна, чем я nakað væl meira praktisk enn eg; nokk so nógv meira praktisk enn eg2.(разве): куда́ (уж) тебе́ равня́ться с ним! tú stendur teg ikki ímóti [-ˈmɔu-] honum!; tú stendur honum ikki kurl!; куда́ (уж) тебе́! hvussu skalt tú klára tað!@куда́ какspott.sera, grúiligaнеформ.; куда́ как мил! ómetaliga [-Ꞌmeː-] fittur!; sera fittur!;куда́ (уж) там!so langt frá!; tað kemur ikki upp á tal!;куда́ бы он пошёлhvar hann so fer; hvagar hann so fer;куда́ (бы) ro ни шло!óvkm.hvussu so verður ella [εtla] ikki; sama hvussu verðurкуда́ он ни идётhvar hann so fer, hvagar hann so fer =>годи́ться@,хотьII 4,@
куда́-либо	adv síкуда́-нибудь
куда́-нибудь	advonkustaðni (á okkurt stað)
куда́-то	advonkustaðni; он куда́-то ушёл hann er farin onkustaðni
куда́хтанье	nkákanж0-ir
куда́хтать	ipf1.(о курице) kákaaði(um høsn)2.fl.tlm.,atf.(суетливо говорить) kákaaði, goggaaði, gorraaði
куде́ль	fstrýggjс0о{+}
куде́сник	m munn.gandakallur [-tl-]мсогл-ar{a/ø/, trøllmaðurмнепр,
кудла́тый	stfкудла́т, ~а, ~о, ~ыadjývinсоглосн(ершистый), loðinсоглосн{ð/d}(косматый), frísuturогл(взъерошенный)
ку́дри	кудр|е́й, ~я́мf plurkrúllurжгл-aмн, purlurжгл-aмн
кудря́виться	кудря́в|ится, ~ятсяipfkrúllaaði, purlaaði
кудря́вый	stfкудря́в, ~а, ~о, ~ыadj1.(вьющийся;с кудрями) krúlluturсогл, purluturсогл(о волосах,людях); við krúllum, við purlum2.(о дереве) leyvríkurсогл, leyvmikilсоглосн(um trø o.tíl.)3.fl.(манерный,вычурный) krøngluturсогл, fløkturсогл(um stíl o.a.)
кудря́шки	кудря́ш|ек, ~камf plur dim avку́дри
Кузба́сс	m(Кузне́цкий у́гольный бассе́йн) Kuzbass [kʰʊsꞋpasː]с0о(stórt kolanámsøki í Sibiria)
кузе́н	[-зэ́н]mbókl.systkinabarn [sɪʃtʃɪnapatn], [sɪsnapatn]с0о{a/ø}(mannfólk)
кузи́на	fbókl.systkinabarn [sɪʃtʃɪnapatn], [sɪsnapatn]с0о{a/ø}(konufólk)
кузне́ц	Gen, Accкузнец|а́; plur~ы́, ~о́в, ~а́мm(jarn)smiður [jans-]мсогл-s,-ir=>сча́стье@
кузне́чик	m(надсем.Tettigonioidea) grashoppaжгл-a, eingisprettaлпжгл-a, ongsprettaлпжгл-a
кузне́чный	adjsmiðju-
ку́зница	fsmiðjaжгл-a; verkstað (тж[vεʂtεa-])с0о{a/ø}{0<>i}, verkstaður (тж[vεʂtεa-]) (цех)мсогл-ir@ку́зница ка́дровhátíð.útbúgvingarstøðж0-irfyri leiðarar
ку́зов	m1.(короб) kurvж0-ar2.(автомобиля и др.) karossarí [-Ꞌrʊi]с0о3.(грузовика) lastж0-ir(á lastbili) =>груздь@
ку́зькин	adj: показа́тькому-л.ку́зькину матьóvkm.vísair(t)o-m, hvar Dávur keypti øliðпог.
ку́й	...ку́й, ку́йтеimper avкова́ть
Ку́йбышев	msovjet.Kujbysjev [kʰʊipyʃεf]м0{дат.0},síСама́ра
Кук	síОстрова́Ку́ка
кукаре́канье	nhanagalс0о
кукаре́кать	ipf(pfпрокукаре́кать) galaслнó-ó-a(um hana)
кукареку́	interkokkulárakó [-Ꞌkʰɔu]
ку́ки	plur indeclcookie [kʰʊʰkːi] жнепр{+}, kennifilaжгл-a, , farsporлпс0о
ку́киш	mtlm.:tummilfingurin stungin út millum fremstafingur og longutong sum tekn um vanvirðing, sýting o.a.показа́тькому-л.ку́кишeis.a) (отказать) siga kortaneivið o-n, siga tvørt neivið o-n; b) (послать к чёрту) biðjao-nfara at [ɔa] fananum tilбран.@ку́киш с ма́слом получи́тьvera so nakkalangurсоглng({a/o})идиом.; komaслнo-o-oaftur [aʰtː-] sum av torvheiðumидиом.; sita við sviðusoðидиом.;ку́киш в карма́неkávalætiсгл-i, lótirж0-irмн(tá onkur finst at o-m o.tíl.)
ку́кла	plurку́клы, ку́кол, ку́кламf1.(игрушка и др.) dukkaжгл-a(leikutoy, í dukkusjónleiki o.a.); теа́тр ку́кол dukkusjónleikur, dukkuteatur [-aː-]ннк2.tlm.(бездушный, пустой человек) tápugásжнепр(serl. um konufólk)3.fl.(марионетка) marionett [maːɹioꞋnεʰtː]ж0-irпрезр., nikkudukkaжгл-aпрезр.4.jarg. (имитирующая деньги пачка)pakki, ið líkist pengum@чёртова ку́кла!óvkm.,illb.á, skít!бран.=>игра́тьA 1
куклово́д	m1.(артист, руководящий куклами)dukkuførariмгл-ari(í dukkusjónleiki)2.fl. (тот, кто руководит чьими -л. действиями) o-r, sum togar í træðrirnar (í duldum), o-r, sum stýrir o-m
ку-клукс-кла́н	mku-klux-klan [kʰuːkʰlʊʰksꞋkʰlaːn]м нескл.
кукова́ть	куку́|ю, ~ешь, ~ютipf(pfпрокукова́тьпрокуку́|ю, ~ешь, ~ют)1.(о кукушке) látaслнæ-ó-ákukk-kukk [ꞋkʰʊꞋkʰʊʰkː] (um geyk)2.óvkm.(терпеть лишения) líðaслнei-i-ineyð
куко́житься	куко́ж|усь, ~ишься, ~атсяipf(pfскуко́житьсяскуко́ж|усь, ~ишься, ~атся)tlm.skutraaðisær
ку́колка	plurку́кол|ки, ~ок, ~камf1.dim avку́кла2.(насекомого) reivveraжгл-aзоол.
ку́коль1	Im(растение) (Agrostemma githago)planta av neliksættini(en.common corncockle; da.klinte)
ку́коль2	IIm(головной убор)høvuðbúni hja høgum klerkum, munkum o.tíl.(í ortodoksum kirkjum)
ку́кольник	m1.(артист) dukkuførariмгл-ari(í dukkusjónleiki)2.(мастер,делающий кукол) dukkumakariмгл-ari
ку́кольный	adjdukku-; ку́кольный теа́тр dukkuleikhúsнп, dukkuteatur [-aː-]ннк; ку́кольный до́мик dukkuhús
ку́кситься	ку́кшусь, ку́кс|ишься, ~ятсяipf(pfску́кситьсяску́кшусь, ску́кс|ишься, ~ятся)tlm.1.(хмуриться) havaнепрgron; vera illa [ɪtla] hýrdurсогл, kúrair(d)(хандрить)2.(испытывать недомогание) vera ússaligurглigur, vera illa [itla] til passar
ку-ку́1	Iinterkukk-kukk [ꞋkʰʊꞋkʰʊʰkː] (látið hjá geyki)
ку-ку́2	IIpred1.(исчез) horvin sum døgg fyri sól2.(сломался, испортился) kaputt [-Ꞌpʰʊʰtː-]энк3.(со странностями) gaggagg [-Ꞌkakː]шутл.
кукуру́за	m(Zea mays) mais [mais]с0о;ж0-ir; возду́шная кукуру́за poppkorn [-tn]с0о
кукуру́зный	adjmais- [mais-];кукуру́зная мука́ maismjøl
куку́шка	plurкуку́ш|ки, ~ек, ~камf1.(Cuculus canorus) geykurмсогл-ar; часы́ с куку́шкой kukkkukkur [kʰuꞋkʰʊʰkː-]2.óvkm.(паровоз) lítið damplokomotivс0o@куку́шка хва́лит петуха́spott.skammrós av hvørjum Ꞌ øðrum;променя́ть куку́шку на я́стребаtilt.≈ geraнепрspógvabýtiпог.; ≈ havaнепрvalið og taka skaliðпог.
кулaчки́	síкула́чки
кула́к1	IGenкулак|а́; plur~и́, ~о́в, ~а́мm1.(руки) neviмгл-i; де́ло дошло́ до кулако́вtlm.tað endaði við slagsmáli [slaʰks-]ннк, tað endaði við bardaga; дра́ться {би́ться} на кулака́х berjast við nevunum2.herm.(войскa) (serligt) álopsliðс0о{0<>i}3.tekn.(деталь) knasturмсогл-arспец.@держа́тького-л.в кулаке́havaнепрbuktina og báðar endarnarпог.;посме́иваться в кула́кgrína burtur øðrumegin, smírast burturvið [-Ꞌviː];зажа́тького-л.в кула́кhavaнепрfastatøkurá o-m;собра́ть свою́ во́лю в кула́кherðair(d)seg í huga =>дра́ка@,сжатьI 2,сжа́тыйI II 2
кула́к2	IIGen, Accкулак|а́; plur~и́, ~о́в, ~а́мmsøg.(крестьянин) stórbóndi [stœɹ-]мгл-ur; kulakkur [-Ꞌla-]мсогл-ar(um stórbøndur undir kollektiviseringini í 1930-unum) (о крупных крестьянах во время коллективизации в 1930-х годах)
кула́цкий	adjstórbónda- [stœɹ-], kulakka- [-Ꞌla-],síкула́кII
кула́чество	nstórbøndur [stœɹ-]мгл-urмн; kulakkar [-Ꞌla-]мсогл-arмн,síкула́кII
кула́чки	tlm.: би́ться на кула́чки {биться на кула́чках} sláast við nevunum; пойти́ на кула́чки vera handfastir [hanf-]
кулачко́вый	adj: kamm-, knast-; кулачко́вый вал knastaksil, kammaksil
кула́чный	advneva-; кула́чный бой nevabardagi@кула́чное пра́воrætturin hjá tí sterkara
кулачо́к	Genкулачк|а́;plur~и́, ~о́в, ~а́мm1.dim avкула́к 12.tekn.(деталь) knasturмсогл-arспец.
кулебя́ка	f slag av pie, avlong í skapi við fyllu av kjøti, fiski, káli el.ø.
кулёк	Genкульк|а́; plur~и́, ~о́в, ~а́мmkramarhúsс0о(в виде конуса); (lítil) pappírsposiмгл-i(в виде мешочка)@из кулька́ в рого́жкуfrá einum ringum til annað verriпог.; frá øskuni í eldinпог.; tað er sum úr noða [nuːwa] aftur [aʰtː-] í ellubitaпог., ред.
кулёмать	ipf(pfскулёмать)óvkm.funsaaði
ку́лер	1.teld., jarg.(система охлаждения) køliplátaжгл-a2. (аппарат для раздачи воды)vatnautomat [-automaːt]жo-ir
куле́ш	Genкулеша́móvkm.tjúkk suppa úr ym. grýnum
ку́ли	m indeclkuli [kʰuːli]м0-ar{дат.0}
кули́к	Gen, Accкулик|а́; plur~и́, ~о́в, ~а́мm felagsheiti fyri ym. fuglar av spógva -og grælingaslektum: кули́к-воробе́й (Calidris minuta) dvørggrælingurмсогл-ar; кули́к-соро́ка (Haematopus ostralegus) tjaldurс0осн{a/ø}; боло́тный кули́кsíверете́нник, большо́й@всяк кули́к своё боло́то хва́литorðt.≈ kráku líkst best á unga sínпосл.
Кулико́во по́ле	Kulikovslættin [kʰuːliꞋkʰɔf-]мгл-iопр.(har sum Dmitrij Donskoj í 1380 vann á tí tatariska herinum)
Кулико́вская би́тва	bardagin á Kulikovslættanum [kʰuːliꞋkʰɔf-],síКулико́вопо́ле
кулина́р	m1.(специалист по кулинарии) serfrøðingurмсогл-arí matgerð2.(повар) góður kokkurмсогл-ar
кулина́рия	f1.(приготовление пищи) matgerð [matʃ-], [mεat-]ж0-ir2.koll(кушанья) maturмсогл-ir3.(магазин) matvøruhandilм0осн-s,-ar(við lidnum vørum)
кулинари́я	ftlm.síкулина́рия
кулина́рный	adjmatgerðar- [matʃ-], [mεat-] , kulinariskur- [-Ꞌnaː-]интсоглsk; кулина́рное иску́сство matgerð [matʃ-], [mεat-]ж0-ir
