w.	(st.)1weight2with
word1	1orð (t.da word of three syllables; he likes to use long words; he said a few words about the film)2lyfti, orð (t.dI have given him my word; keep//break one’s word)3boð (t.d.send him word that; word came thatboð komu um at);there was word from the ministryboð komu úr ráðharrastovuni(eis. t.d.;boð komu úr mentamálaráðnumel. t.d.fíggjarmálaráðið gav boð umo.tíl.)4(serst. herm)boð (t.d.give word to attack)5herróp, atlát6[íyms. samb.]-sflt (eis.)tekstur (t.d.the -s of a song);(sí eis. nðf.:have words); a word to the wise!lat meg geva tær eini góð ráð;a word with youlat meg sleppa at tosa við teg; bíða/bíðið eina løtu;my word!sínðf.: upon my word; be as good as one’s wordstanda við tað, ein hevur sagt; halda orð; vera orðhaldin;the Word (átr.)Guds orð, orðið;fair -sføgur/vøkur orð, fagurlæti;the f-word/s-(tað) orðið, sum byrjar við f//so.tíl. ; the last wordsílast27[ísamb. viðs]breakone’s wordikki halda orð;eatone’s -seta/taka orðini í seg aftur;geta word inleggja upp í prátið;givethe wordsínðf.: say the word; give word togeva boð um;give sby one’s word thatgeva einum lyfti um at; lova einum at;youhavemy word thateg lovi tær, at;(the) word has it thattað sigst at, fólk vilja vera við at, fólk halda at;he never has a good word for mehann rósar mær ongantíð, tað kemur ikki fyri, at hann rósar mær;have a word withtosa við (ein), skifta orð við (ein);have-sdeilast,(tlm.)skeldast(with); (the) word is thattað sigst at, graml hoyrist um, at;keepone’s wordhalda orð, vera orðhaldin;leaveword withleggja boð um;markmy -s! (gl.)legg tær tað í geyma, tað eg sigi; lurta væl eftir tí, eg sigi; gev væl gætur eftir tí, eg sigi;passthe wordsig øðrum frá tí;put ina good word for sbyleggja gott fyri ein, geva einum gott viðmæli;saythe word1geva boð2geva boðini;nobody has a bad word to say about himeingin ber honum ilt;say a good word for himleggja gott fyri ein;sendword thatsenda boð um at;spreadthe word1fáa boðskapin út2lata rætta avvarðandi fáa boðini;word of the accident spread quicklytíðindini um vanlukkutilburðin fóru sum eldur um…;takehis word for ittrúgv tí, hann sigur;Iwanta word with youeg vil fegin sleppa at tosa við teg8[ísamb. viðfs]take himathis wordtaka hann upp á orðið;byword of mouthmunnliga;wordforwordorð fyri orð; orðarætt; orðaraðið;hungry is just the word for itsvongd er júst orðið;too bad for -stað kann ikki sigast/lýsast við orðum;fromthe word gofrá fyrstu løtu, frá byrjanini;ina wordí stuttum, stutt og greitt;in other -svið øðrum orðum;say in so many -sstutt og greitt; bart út;in one’s own wordsvið egnum orðum;a manofhis word, a woman of her wordein//maður//kona, ið ein kann líta á;war of wordsorðadráttur, orðastríð;uponmy word (gl.)Gud skal vera mítt vitni, sanniliga, vissuliga; eg havi ikki hoyrt so skapt;a play upon -sorðaleikur;a wordwithyou!tú, bíða mær eitt sindur!;can I have a word with you?hoyrið meg eitt orð?, kann eg sleppa at tala (tosa) eini tvey orð við tygum?;have -s withdeilast, munnhøggast
word2	orða(t.d.skriv), seta saman
wordage	1orð2orðanøgd3orðalag
word-blind	orðblindur
wordbook	1lítil orðabók, orðalisti(serst.um ávíst/serstakt evni); sídictionary2(tónl.)libretto, operutekstur3(tónl.)bók við operutekstum
word borrowing	lánorð, orðtøka
word class	(málfr.)orðaflokkur
word count	1orðateljing2orðanøgd
word-deaf	(lækn.) orðadeyvur, orðdeyvur (heilabrek ger, at fólkið skilur ikki talað orð)
word-for-word	orðrætt, orð fyri orð
word frequency	(hvussu títt orð verður nýtt) orðatíttleiki
word game	orðaspæl (“tjúgu spurningar til...”)
word-hoard	orðfeingi, orðatilfar
wordie	orðafjeppari
wording	orðaljóð, orðing, orðalag;the exact/precise/specific wordingtann nágreina orðingin
wordless	1tigandi2málleysur
word method	orðmyndaháttur
word order	(málfr.)orðarað
word-painting	síwordpicture
word-perfect	he is word-perfecthann dugir tað uttanat;be word-perfect in (one’s part)duga leiklutin raðið/uttanat
word picture	málandi lýsing
wordplay	spæl við orðum, orðaleikur, orðaspæl
word processing	(teld.)tekstviðgerð
word processor	(teld.)tekstviðgerðargeril
wordrap	automatiskt reglubrot
word splitting	hártogan
Wordsworth	
wordy	orðamikil, orðaríkur, roksutur; langrøkjutur
wore	tát avwear
work1	1arbeiði2(tað ið er gjørt/framleitt) arbeiði, verk (t.d.a new work by the famous master; an early work of Rembrandt; the -s of Byron; that chair is my work; a work of literature)3binding, stokkar, eitt ið ein tekst við, at sita og binda, at sita við stokkunum; seymiklæði(r)4[íyms. samb.]a work of artlistaverk;a work of literaturebókmentaverk, skaldaverk5[ísamb. viðfs]atwork1í arbeiði, í vinnu2til arbeiðis3(fl.m.)á vási, vera áfatt, vera í gerð, vera í umbúna (t.d.sinister forces are at work here);that’s allinthe day’s worktað má ein lata sær lynda; tað eru vit (so) von við;be in the -s (am.,S)vera í umbúna;a pieceofworkeitt arbeiði;he is a nasty piece of workhann er ein lortendi;beout ofworkvera arbeiðsleysur;fall/get/settoworkfara til verka, fara undir, fara í holt við
work2	1[A](óáv.)1arbeiða (t.d.work hard; work in a factory)2bróta sær slóð, rudda sær slóð (t.d.work through the forest3(um tól) virka, vera í lagi, rigga (t.d.the bell//my brain is not -ing; the monarchy -ed well for centuries)4(um mannagongd, heilivágo.tíl.)virka (t.d.the plan//the tablets seemed to be -ing)5(um andlitsbrá) snerkja, (um vødda) overva6(um vín) gera2[B](áv.)1(um fólk) lata arbeiða, halda einum til, fáa at arbeiða (t.d.work one’s servants; he works them too hard)2(virkio.tíl.)reka (t.d.a farm; a mine)3(um øki) arbeiða í (t.d.she -s the provinces)4(um maskinu) passa, røkja, fáa at rigga (t.d.I don’t know how to work this thing)5nýta, duga at nýta (t.d.work an invention; the system; the tides)6(um úrslit) elva til, fáa í lag (t.d.work changes);avrika, gera (t.d.work wonders);sí eis.miracle7valda, gera (t.d.the destruction wrought by the fire)8seyma (uppí), brodera (t.d.work one’s initials on sth)9(um eitt ið skal evnast tilo.tíl.)gera til, evna til, smíða, virka10(um deiggj, leir) knoða, elta11eydnast væl, hepnast (t.d.work the plan)3[íyms. samb.]work it so that (tlm.)laga tað soleiðis til, at; bera tað so í bandi, at;it doesn’t work (tlm.)hatta gongur ikki, hatta fer ikki at bera til;I’ll work it if I can (tlm.)eg skal vita, hvat eg kann gera;work like a dogarbeiða/sleipa sum eitt ross;work one’s men too hardleggja ov nógv á/fyri arbeiðsfólkið;work the tidesnýta flóð og fjøru sum best;work loosegera (arbeiði) burtur av sær;work a tooth looseloysa tonn;work a typewriterskriva á maskinu;work one’s way forward/uparbeiða seg fram/up;work one’s way througharbeiða seg ígjøgnum, fáa frá hondini (t.d.a huge amount of work); work one’s way through college//universityarbeiða fyri at hava ráð at lesa4[ísamb. viðfs//hj]workagainstarbeiða ímóti, vera ímóti;they -ed against timetey arbeiddu av øllum alvi fyri at verða liðug til (ásettu) tíðina, tey kýttu seg fyri at verða liðug tíl tíðina;workaroundskáka sær undan (t.d.import restrictions); workaround toumsíðir fekk hann sagt tað, hann ætlaði at siga (t.d.she finally -ed around to what she wanted to say); workatarbeiða við/uppá (t.d.a problem; an invention); workaway atarbeiða ágrýtin við;that -s for me (tlm.)hasum taki eg undir við;workin 1fáa sett í, stinga í (t.d.a key)2(í teksto.tíl.)seta inn, seta uppí, skoyta uppí; fáa plássel.tíð (til okkurt); laga til3(á húðina) gníggja á;workinto 1gera seg kunnigan í (einum), kunna seg um (eitt), fáa skil á (einum)2(við ávirki) fáa lirkað, fáa trýst (t.d.the screwsdriver into the crack)3(í deiggjo.tíl.)vevjael.røra uppí (t.d.work the butter into the mixture)4(í teksto.tíl.)seta inn, skoyta uppí;work oneself into a ragevinda seg upp;workoff 1arbeiða seg burtur úr (t.d.work off debt)2sleppa av við (t.d.work off superfluous energy//a few kilos; one’s anger); work off one’s annoyance//irritation(o.tíl.)onsby lata(t.d.ónøgdina) ganga út yvir ein annan;work one’s butt//arse off (óvand.)stríða seg út av lívinum;workon 1arbeiða viðel.upp á (t.d.a novel)2fáast við, arbeiða við (t.d.British imperialism)3(um fólk) royna at yvirtala;workout 1losna,(tlm.)loysna (t.d.the nail -ed out)2rokna út, ætla um (t.d.the cost)3loysa (t.d.the problem);gita, loysa (t.d.the riddle)4fáa skil á, fáa uppspurt (t.d.what caused the accident; a date for the meeting)5evna til, gera, mynda, virka, gera ætlan um, seta saman, greiða úr hondum, orða, skriva, gera (t.d.a programme; the details);menna, seta fram nýggja hugsan um (t.d.a theory)6(um starvsfólk) arbeiða til skeiðið er úti (t.d.one’s notice period)7(við ongum ávirki) taka seg (væl//illa) upp (t.d.it -ed out rather badly)8(heppið) eydnast, hepnast, spyrjast burturúr9(í ítrótt) venja,(tlm.)trena;it -s out at £100tað verða 100 pund;I have -ed it out at £200eg havi mett tað til £200;work out in detail(fl.m.) lýsa gjølliga, lýsa nágreiniliga, lýsa út í æsir, til fulnar, til lítarel.út í odd og egg;workover(tlm.)hølva/smyrja/buka av;workroundsíomf.: work around; workthrough 1arbeiða uttan at steðga á (t.d.we -ed through to midnight)2(um virknað) fara at virka, muna (t.d.the price rises will take two months to work through)3(við ávirki) arbeiða seg ígjøgnum (t.d.a huge amount of work)4(fl.m.)vinna á, fáa bilbugt við (t.d.one’s guilt); worktorulearbeiða eftir (t.d.a budget, a timetable);arbeiða sambært ásetingunum, halda seg neyvt til reglurnar í arbeiðinum(t.e.til tess at seinka arbeiði);workup 1arbeiða upp (t.d.a market; the retail side of the business)2vinna sær, fáa (t.d.work up a reputation)3fáa sær (t.d.an appetite;útvega sær (t.d.support for sth);skapa, fáa til vegar, útvega (t.d.an interest/enthusiasm for sth)4(skrivliga) evna til, gera, mynda, virka, gera ætlan um, seta saman, greiða úr hondum, orða, skriva (t.d.plan; proposals)5(um fólk) øsa upp smátt um smátt/so liðandi (t.d.he -ed the crowd up into a fury); work up one’s note into an articleskriva viðmerkingarnar saman til eina grein;work oneself up1arbeiða seg upp (t.d.he started from the ranks and -ed himself up)2(sálarliga) spenna seg út, spíla seg út, menna seg upp, herða hugin til, taka sær um reiggja til at (t.d.to the interview)3(kensluliga) øsa seg upp (t.d.into a terrible state); I can’t work up much enthusiasm for this schememær dámar lítið hesa ætlanina
workable	1(um ætlan, loysn) nýtiligur, sum ber til, sum kann gerast, gjørligur, haldgóður, sum virkar, sum kann fáast at virka, sum kann fáast í lag2(um tilfar) nýtiligur, virkiligur, hagreiðiligur, sum kann verða virkaður, viðgjørdur, smíðaðurel.evnaður til3(um jørð) sum kann veltastel.dyrkast (t.d.workable ground)
workaday	1gerandisligur, hvønndagsligur, vanligur; gerandis- (t.d.clothes)2(fl.m.)keðiligur;in this workaday worldí hesum turrisliga heimi;this workaday lifehenda fábroytta tilvera
work addict	síworkaholic
workaholic	arbeiðsond, arbeiðsgrev, arbeiðsrót, arbeiðskroppur, arbeiðsjarn, verkhestur, koyrari, rívandi ond,(óvand.)arbeiðsgreðingur
workbag	handarbeiðsposi, stokkaposi
workbasket	seymikurv
workbench	arbeiðsbonkur; snikkarabonkur, plógbonkur, plógryssa
workbook	1leiðbeiningarbók2arbeiðsbók (skrá yvir ætlað og gjørt arbeiði), handbók; venjingarhefti
workbox	1amboðskassi2seymiskrín
workday1	(serst. am.)gerandisdagur, yrkadagur
workday2	gerandis-, yrka-
worked up	get worked up verða uppøstur, verða frá sær sjálvum, vera á gosi, hjarnaður
worker	arbeiðsmaður, verkamaður,(eis.um býflugu/bi) arbeiðari;he is a hard//slow workerhann er skjótførur//seinførur
worker ant	(dý.)arbeiðari (um meyru)
worker bee	(dý.)arbeiðari (um býfluguel.bi)
work ethic	(siðalæra sum telur arbeiðssemi sum høvuðsdygd) arbeiðsmoralur
work experience	1starvsroynd2(skúlam.)starvsvenjing;eis.job experience, vocational experience
workflow	(teld)verkgongd
workforce	1(íbreið. merk.)arbeiðsmegi2(á virki) starvsfólk
workhorse	1dráttarross2(fl.m.)verkhestur, arbeiðsgrev
workhouse	1fátækraheim2(am.)betranarhús (fyri smábrotsmenn)
working1	1arbeiði2rakstur3gongd4gering, at eitt gongur(t.d.breyð)5rørsla6tilevning, virking, tilgerð, gerð, smíð7-s flt1útgrevstur, námsgongir2(stfr.)millumrokningar3(fl.m.)hugsanarháttur (t.d.the -s of his mind);sí eis.workings
working2	1arbeiðs-, verka- (t.d.clothes; conditions; drawing; hypothesis; lunch)2(um fólk) arbeiðandi, sum arbeiðir (t.d.the working population);sum er í arbeiðiel.vinnu (t.d.women); (am.um húsmóðir) sum arbeiðir úti (t.d.mother; wife)3(um virksemi) sum er í rakstri, sum er í gongd (t.d.a working watermill)4(um maskinlut) flytiligur, flytandi (t.d.the working components)5(um kunnleika) sum dugir nóg væl, sum hevur hilling á (t.d.have a working knowledge of English//of finance)
working area	(teld.)verkøki
working breakfast	arbeiðsmiðmáli (har handilsmál/vinnumál verða umrødd)
working capital	rakstrarpeningur
working class	verkamannastætt, arbeiðsmannastætt, verkamannafjøld
working-class	av arbeiðsmannastætt, sprottin úr verkamannastættini, arbeiðsmanna-, verkamanna- (t.d.area; culture, movement, song)
working coat	(arbeiðs)kittil (ki-)
working day	1gerandisdagur2(um longd) arbeiðsdagur (t.d.an eight-hour working day)
working deficit	rakstrarhall
working dinner	arbeiðsdøgurði (har handilsmál verða umrødd)
working directory	(teld.)verkskrá
working drawing	arbeiðstekning, verktekning (tekning í røttum lutfalli)
working expenses	rakstrarútreiðslur
working girl	1ung genta, ið er í vinnu2hora
working group	síworkingparty
working hours	arbeiðstíð
working hypothesis	arbeiðsætlan
working instructions	nýtsluleiðbeining
working life	1(hjá fólki) arbeiðslív2(hjá amboðsmaskinu) livitíð
working load	(tøkn.)átyngd, loyvd tyngdel.tyngsla, loyvd arbeiðsbyrði/arbeiðsbyrða
working lunch	arbeiðsmiðmáli (har handilsmál verða umrødd)
working majority	arbeiðsførur meiriluti(t.d.í tingiel.parlamenti)
workingman	arbeiðsmaður, verkamaður, (tlm.) arbeiðari
working memory	(sálfr.)arbeiðsminni
working model	arbeiðsmyndil
working order	in working order order í nýtiligum standi
working-out	1útinning, fremjan, gerð, avrikan, greiðsla, tilevning (t.d.of a plan)2útrokning, loysn (t.d.of a problem)3(ítr.)venjing
working paper	ávegisrit
working papers	1(hjá grannskoðara)arbeiðspappír2(am.)[alment loyvi at seta fólk í arbeiði, ið eru undir 16 ár]
working party	1arbeiðslið, arbeiðsbólkur2arbeiðsnevnd; kanningarnevnd; arbeiðsbólkur
working plant	arbeiðstól
working pressure	1arbeiðstrýst2ketiltrýst
working process	arbeiðsgongd
working profits	(handilsm.) rakstraravlop
working relationship	samstarv, samvinna
workings	1(stfr.)útrokningar, millumrokningar2(um maskinuo.tíl.)hvussu hon virkar/arbeiðir, virkisháttur (t.d.explain the workings of the computer//of the stock market; I don’t understand the workings of his mind)3(í námi) námsgong; útgrevstrar
working set	(teld.)verkfeingi
working store	(teld) arbeiðsgoymsla
working title	arbeiðsheiti (á filmio.tíl.)
working top	borðpláta á arbeiðsborði (, køksborði)
workingweek	arbeiðsvika
workingwives	húsmøður, konur ið arbeiða úti
workingwoman	arbeiðskvinna, verkakvinna
working year	1arbeiðsár2rakstrarár
workless	arbeiðsleysur
workload	1arbeiðsbyrða, arbeiðsbyrði2arbeiðsorka3(teld.)verkbyrði
workman	arbeiðsmaður, verkamaður, (tlm.) arbeiðari (t.d.he is a quick//careful workman)
workmanlike	sum gjørdur av handverkara, vandin, vælgjørdur, handiliga gjørdur; væl úr hondum greiddur (uttan at vera framúrskarandi)
workmanship	1yrkisligurel.fakligur dugnaskapur, dugileiki2arbeiði gjørt av fakmanni (t.d.good//bad workmanshiparbeiði sum er væl//illa úr hondum greitt)
workmate	arbeiðsfelagi, (tlm.) makkari
workmen's compensation insurance	løgboðið/lógarásett skaðatrygging/vanlukkutrygging (teknað av arbeiðsgeva fyri verkafólkið)
work order	framleiðslubílegging
workout	venjing,(tlm.)trening
workover	(oljuv.)brunnrøkt
workpeople	arbeiðsfólk, verkafólk
work permit	arbeiðsloyvi, arbeiðsváttan
workpiece	arbeiðsstykki, arbeiðslutur
workplace	arbeiðsstaður;the workplace; (eis.íbreið. merk.)stað har fólk arbeiða; arbeiðsmarknaður
work placement	starvsvenjingarpláss
workroom	1arbeiðsrúm; verkstaður2seymistova
works	1arbeiði (t.d.building works; repair works)2gerningar (t.d.good works; the devil and all his works)3(hjá listafólki) verk (t.d.the works of Byron//Mozart)4(í klokku) verk, gonguverk5(herm.)víggirðingar, verjuvirki(r)6(ísmst.)-verk, -virki (t.d.ironworks);sí eis.public works7[íyms. samb.]the-s (tlm.)alt sum er, við øllum, alt sum hoyrir viðel.uppí,(óvand.)heila dragslið;get the -s1verða illa viðfarin2verða myrdur;give him the -s1siga honum alt2buka/hølva/lemja hann av, fara ógvuliga illa við honum3beina fyri honum; skjóta hann;shoot the works (am. tlm.)brúka alt tað, ein eigurel.hevur; vága alt;be in the worksvera í umbúna;have sth in the works (am. tlm.)leggja ætlan um (sí eis.spanner); Ministry of Worksaðalstýri fyri almenn arbeiði
works access	(á skelti) arbeiðskoyring
works committee	virkisnevnd; samstarvsnevnd
works council	virkisráð (sum umboðar verkafólkið)
works engineer	rakstrarverkfrøðingur
work sheet,worksheet	1(skúlam.) uppgávuark2pappír nýtt til fyribils útrokningar, viðmerkingv.m.3arbeiðsleiðbeining4(teld.)verkark, rokniark
workshop	1(fl.m.)námsskeið, málstova, bólkakjak, kjakbólkur; sí eis.theatre workshop2(til umvælingar, framleiðslu)verkstova,verkstaður, smiðja
workshop drawing	arbeiðstekning
work-shy	sum ikki tímir at arbeiða, sum skýggjar arbeiði, latur
works management	rakstrarleiðsla; virkisleiðsla
works manager	rakstrarleiðari, rakstrarstjóri, virkisstjóri
work spreading	útluting av arbeiðsuppgávum (til tess at arbeiðsloysi slepst undan)
workstation	1arbeiðspláss á framleiðslubandi2(teld) verkstøð
work studies	arbeiðslagskanningar
work surface	síworktop
worktable	seymiborð; arbeiðsborð
worktop	køksborð; borðpláta
work-to-rule	at arbeiða sambært arbeiðsásetingunum (slag av verkfalli)
work voucher	arbeiðsloyvi (hjá útlendskum verkafólki)
workweek	arbeiðsvika
workwoman	arbeiðskvinna
world	1jørðin, heimurin, verðin, verøld2[íyms.samb.]what will the world say?hvat fara fólk at siga?3[ísamb. viðfs]they are -s aparttey eru sum nátt og dagur; teir eru ógvuliga ymiskir, tað er ein dekans munur á teimum;there is a world of differencetað er ein øgiligur munur;it did him a world of goodhann hevði ógvuliga gott av tí4[ísamb. viðthe]theworldheimurin, verðin (t.d.he wanted to see the world); what is the world coming to?hvat er tað, sum er hent?;the world is his oysterheimurin stendur honum opin; alt stendur honum í boði;she is/means the world to himhann sær ikki sólina fyri henni; hann er ógvuliga góður við hana;she thinks the world of himhenni dámar hann ógvuliga væl5[ísamb. viðfs]notforthe worldendiliga ikki;for all the worldpúra, akkurát sum, eins og, fullkomiliga (t.d.he sounded for all the world as if); he looked for all the world like (eis.)hann var mest átøkur;inthe worldí heiminum, á jørð, í verðini (t.d.the best wine in the world); how//what//where in the worldhvussu//hvar í allari víðu verð;all the richesinthe worldalt heimsins ríkidømi;bringintothe worldeiga, føða;come into the worldverða borin í heim;make the bestof both-s (fl.m.)sameina ósambærilig áhugamál; fáa sum best burtur úr báðum pørtum;a manof theworldmaður við lívsroyndum; royndur maður; verðinsmaður;liveout ofthe worldbúgva fyri seg sjálvan;it was out of this world (tlm.)tað var ófatiligt;he will never set the worldonfire (am.)hann ger ongar skreytir; hann hevur ikki uppfunnið krútið, hann ger ikki hol í sjógvin;it was out of this world (tlm.)tað var ótrúligt, tað var frálíka/óføra gott, tað var frálíkt/óført;deadtothe world (tlm.)deyðadrukkin; fyrilagstur;worldwithoutendí allar ævir
