E.	(st.)East India(n); East Indies
explode	1spreingja, bresta;they exploded the bombteir brestu bumbuna;spreingjast;the boiler explodedketilin/heitvatnstangin brast/sprongdist2(fl.m.)loysa av, leypa upp; froysa útúr, bresta útúr3(tlm.)vraka, avsanna, avdúka (t.d.a myth); an exploded ideahugsan ein hevur slept; brostið hugskot;an exploded theoryástøði ið farið er frá
exploit1	roysni, bragd, avreksverk
exploit2	nýta, brúka (t.d.the natural resources of the country; one’s talents);taka (t.d. kol úr námi); eyðræna, arma út, misnýta (t.d.one’s friends);ovnýta, troyta
exploitable	sum kann gagnnýtast
exploitation	nýtsla (t.d.of water power);eyðræning (t.d.of the soil),troyting
exploitative	1nýtslu-2troytingar-, sum er átøkt ránsnýtslu (i landbúnaði); (t.d.an exploitative type of agriculture)3eyðræningar-; sum mergsýgur, sum eyðrænir
exploiter	eyðrænari
exploration	1granskan, rannsakan, rannsókn, kanning2(lækn.)eksplorasjón, (oftast:) kanning við fingrum í natúrligt kropsop
explorative	
exploratory	1rannsóknar-, kanningar-, granskingar-; royndar (t.d.drilling; well)2fyrireikandi (t.d.course);kunnandi (t.d.meeting; talks)
explore	1rannsaka, granska, kanna (t.d.the possibilities; the problem)2fara rannsóknarferð3(lækn. eis.)kanna
explorer	rannsóknarfari, landkannari
explosion	1spreinging, brestur2(fl.m.)útbrot; avdúkan
explosion crater	(jarðfr.) spreingigoskoppur
explosionengine	eksplosjónsmotorur
explosion-proof	sprongtryggur
explosive	1nspreingievni2lsprongkvæmur; spreingi- ;explosive bombspreingibumba;explosive cartridgeperla;explosive chargespreingiløðing;explosive signalspreingitekin3(fl.m. eis.)eymur (t.d.issue);(um persón) bráðsintur, skjarrligur, snarsintur, bráðrisin
explosivevolcano	spreingigos
expo	(st.)exposition framsýning
exponent	1(fyri)dømi (t.d.he's the world's leading exponent of country rock guitar);umboð, talsmaður (t.d.an early exponent of the teachings of Thomas Aquinas)2(stfr.)stigvísi, veldistal
export1	útflutningur; útflutningsvøra (t.d.tobacco is the chief export)
export2	flyta út; taka, føra burur (t.d.exported by the wind)
exportable	sum kann flytast út;exportable surplusútflutningsyvirskot
exportation	útflutningur; útflutningsvøra
export bounty	útflutningsvirðisløn
export control	útflutningseftirlit
export drive	útflutningsátak
exporter	útflytari
export licence	útflutningsloyvi
export market	útflutningsmarknaður
export-promoting	útflutningsfremjandi;export-promoting measuresútflutningsfremjandi tiltøk
export surplus	útflutningsyvirskot
expose	1koma einum undir, koma einum í(to, t.d.danger);koma sær (sjálvum) undirexpose oneself to(t.d.danger)2vísa (t.d.the beggar exposed his sores); expose a cardvísa eitt kort; sýna fram (t.d.one’s wares);(til háð) avhylja, opinbera, avdúka (t.d.one’s ignorance);(um loyndarmál) avdúka (t.d.a plot)3(lmynd.)lýsa4expose a childseta barn út5expose oneselfnekta seg, fremja blúnisbrot; fremja blygdanarskemd
exposed	1óvardur, ábærur, í andgletti, opin (t.d.a flank); exposed (to the enemy’s fire)óvardur;exposed wireavbjálvaður leidningur;be in an exposed situationstanda í andglettinum; berur;they left only their eyes exposedeinans eyguni vóru ber2vera fyri; ganga í; fáa í seg (t.d.be exposed to smoke)3sjónligur;an exposed card must be played (uml.)borðið fangar4vera undir; vera undir illgrunabe exposed to(el.fall under) suspicion
exposé	1avdúking2lýsing, frágreiðing, greinargerð
exposition	1frágreiðing (t.d.the president gave an exposition of recent developments)2lýsing (t.d.a subtle exposition of an abnormal character);týðing, útlegging;power of expositiontolkingargávur3(sjónl.)leikfrásøgn4(tónl.)eksposisjón (fyrsti partur av satsi í sonatuformi har grundstevið verður spælt)5framsýning6menning (t.d.I could not follow his exposition)
expositive	sum lýsir, lýsandi, sum greiðir frá, frágreiðandi
expositor	tolkari
expository	greinandi, tolkandi
ex post facto	(løgfr.) ex post facto lawlóg við afturvirkandi gildi
expostulate	expostulate with sby about sthfinnast at einum, tala at einum, kasta einum okkurt fyri
expostulation	ábreiðsla, brigsl, mótmæli, átala
exposure	1tað at vera fyri (t.d.rain, sunlight; corrupting influences); die of(el.from) exposurefrysta til deyðis, doyggja úti (av kulda og møði); tað at koma einum íel.fyri(to)2andglettur3framsýning (t.d.of goods in a shop-window)4nektan;indecent exposureblúnisbrot; blygdanarskemd5avdúkan (t.d.of a crime; of a fraud; of an impostor)6(lmynd.)upptøka (t.d.I have taken three exposures of it)7the house has a southern exposurehúsið vendir suðureftir
exposurehazard	(trygg.)smittuvandi
exposuremeter	(lmynd.)ljósmáti
exposurestory	gølusøga
expound	útleggja, greiða frá (t.d.a theory);seta fram, bera fram, lýsa, gera greiði fyri (t.d.one’s views)
expounder	tulkari, tolkari
express1	1snartok; snarflutningur; snarboð2(serst. am.)flutningsfyritøka3avgreiðslufólk, vøruflutningsfólk
express2	1siga (t.d.one’s meaning)2siga frá, bera boð um (t.d.his face expressed sorrow; words cannot express what I felt)3express oneselfmálbera seg (t.d.he cannot express himself in English);orða, halda fyri, bera fram;he expressed himself strongly onhann málbar seg hvassliga4merkja (t.d.the sign + expresses addition)5snarsenda6pressa, kroysta úr, persa (t.d.juice expressed from grapes)
express3	1týðiligur (t.d.command, desire, order, purpose); he is the express image of his fatherhann er sum togaður úr tonnunum á pápanum; klárur2snar- (t.d.letter; train; deliveryútbering);hjskjótt (t.d.travel express)
expressage	(am.)snaravgjald
express bus	snarbussur
express forwarding	snarsending
expressible	sum kann sigast, sigandi
expression	1máliska, orðafelli; róp (t.d.an expression of joy)2frágreiðing, frágreiðsla, framsøgn3(yvir)bragd, yvirbrá, andlitsbragd (t.d.a delighted (, scared) expression)4beyond expressionsum ikki kann sigast frá (t.d.beautiful beyond(el.past) expression); expression of opinionhugsanartilskilan;with expressiontalandi, sigandi, livandi (t.d.read with expression)
expressionism	ekspressionisma (listarák)
expressionist	ekspressionistur (síexpressionism)
expressionless	tómur, deyður, yvirbragdsleysur, frost-, frostkendur (t.d.frostandlit, frostkent andlit)
expressive	talandi (t.d.look, smile, gesture),sigandi, livandi (t.d.face, language); be expressive ofsum sýnir, sum sigur frá
express lane	sífast lane
expressly	staðiliga, greidliga, nágreiniliga
expressman	flutningsmaður
expressway	(am.)motorvegur
expromission	(løgfr.) [tað at taka við skuldini hjá øðrum og soleiðis loysa hann úr skuldarbinding]
expropriate	ognartaka; ogna sær;expropriate him from his estatetaka fastognina frá honum
expropriation	ognartøka
expropriation law	(løgfr.) tøkulóg; (á enskumeis.law of expropriation)
expulsion	1(smb. expel)útblaking, útkoyring, burturvísing, útvísing; útblástur2úrskiljing, úrdriv (t.d.of poison from the body)
expulsive	1burturvísingar-, útblásturs-2(lækn.)úrrekandi, úrdrívandi
expulsivestage	(lækn.) úrskiljingartíð (tann tíð tað tekur at beina fyri óreinsku í kroppinum)
expunge	strika út (t.d.expunge a name from a list);beina fyri, strúka burtur (t.d.those bitter memories from his mind),koyra burtur (t.d.the passage was expunged)
expurgate	reinsa (bók fyri ónærisligar orðingar)
expurgation	útreinskan
EXQ	(st.)ex quay
exquisite	1lútvaldur, framúrskarandi (t.d.food, taste), an exquisite eareitt fínt oyra; frálíkur (t.d.workmanship)2sterkur, mikil (t.d.pain, joy)3nmótaprinsur, fínibeiggi
EXS	(st.)ex ship
exsanguine	blóðleysur
exscind	beina fyri; ikki taka við
exsect	skera burtur
exsert	standa fram, stinga fram, vera útrendur
exserted	(plfr.)útrendur
ex-serviceman	fyrrverandi hermaður
exsiccatae	savn av turkaðum plantum
exsiccate	turka
exsiccation	turking
ex-soldier	fyrrverandi hermaður, veteranur
exstipulate	(plfr.)við ongum akslarbløðum
exsuccous	sevjuleysur; turrur, turkaður, uppturkaður
exsuction	útsúgving
ext.	extension; external; extinct; extra; extract
extant	varðveittur, sum finst, sum er til;be extantvera til, vera varðveittur (t.d.some of these manuscripts are still extant)
extemporaneity	1[tað at eitt verður framboriðel. framført ófyrireikað]2[tað at eitt er fyrireikað frammanundan, men verður framborið við hvørki tekstiel. nótum]
extemporaneous	1[sum verður framboriðel. framført ófyrireikað]2[sum er fyrireikað frammanundan, men verður framborið hvørki við tekstiel. nótum]3(apotek) gjørt eftir bílegging
extemporary	síextemporaneous
extempore	ófyrireikaður (t.d.make an extempore speech; speak extempore);í stundini
extemporize	bera okkurt fram ófyrireikaður, improvisera
extend	1toyggja, rætta út (t.d.one’s arms);rætta fram (t.d.one’s hand)2víðka um (t.d.one’s business; the boundaries; our knowledge),økja, leingja (t.d.a visit, a railway);strekkja, toyggja; liggja (t.d.a vast plain extended before us); (fl.m.um sáttmála):extend togalda fyri;territories to which the convention extends …sum verða fevnd av altjóðasáttmálanum (millumtjóðasáttmálanum)3spenna út (t.d.a rope)4veita (t.d.help to refugees; loans to complete strangers),sýna (t.d.hospitality, sympathy to them),senda, geva,extend an invitation to sbysenda einum innbjóðing, bjóða einum5(óáv.)røkka, ganga (t.d.his garden extends as far as the road)6(herm.)spjaðast, gera skotketu7extend oneselfkýta seg; brúka alla sína megi; (síeisextended)8(løgfr.)meta; gera úttøku í;extend a protestlata inn mótmæli9skriva út, skriva í fullari longd (t.d.abbreviations);reinskriva (t.d.shorthand notes)10standa fram, stinga fram, raða fram11(um mat) vera drúgvur, vara
extended	1útrættur, víðkaður2longdur; langrøkjutur, langdrigin3framrættur (t.d.hand)4(am.)umfatandi, víðfevndur5the horse was fully extendedrossið rann við tann spentar ál6extended familystórhúski7with his little finger extendedvið peiggjandi lítlafingri
extended gallop	(um ross) tvíspor við fullari ferð
extended memory	(teld.)víðkað minni
extending ladder	síextension ladder
extending table	síextension table
extensible	toyggiligur, víðkiligur
extension	1víðkan (t.d.of one’s knowledge);rúmkan, leinging (t.d.of a visit; of a railway)2útbreiðsla (t.d.the present extension of Buddhism)3uppíbygging (t.d.to a hospital)4leingjari5(lækn.)toygging, tenjing, strekking6(í logikki) hugtaksvídd; (um orð) hugtakby extensioní fluttari merking (t.d.by extension ‘heart’ has come to mean(el.signify) ‘feelings’)7(bókhald) flyting, flutt upphædd; útrokning (t.d.check the extension of invoices)8eykatelefon, eykatól; høli;extension 12høli 129extension12 (tlf.)nummar 1210(teld.)fíluending11university extensionfólkauniversitet(sútbúgving)
extension bed	dragusong
extension cord	1(ravm.) leingingarleidningur2(teld.) leingjari
extension ladder	dragustigi
extension lead	(ravm.) leingingarleidningur
extension number	(tlf.)hølisnummar
extension phone	(t.d.høvuðstelefonin flytur telefonsambandið til aðra telefon á skrivstovuni) staðartelefon
extension table	draguborð, borð við plátu(m) at draga út
extension work	(bókas.) víðkað bókasavnstænasta
extensive	víður (t.d.view),rúmur, stórur; víðtøkin, víðtøkur, víðfevnandi (t.d.preparations, research); extensive farminglandbúnaður har lítið fæst úr stórari vídd;extensively damagedilla skaddur
extensometer	(tøkn.) víðkanarmálari, víðkanarmátari
extensor	(likam.)toyggivøddi, rættari (um vøddar)
extent	1vídd, stødd, ummál (t.d.the extent of the park)2stig, munur3øki4to a certain extentí ávísan mun;to a great extentí stóran mun;to the extent of £2000heilt upp til £2000
extenuate	1prýða; blíðka, linka, linna, umbera (t.d.nothing can extenuate his crime)2(bókm.) gerast diddarak, koma upp í rak (t.d.his whole frame was extenuated by hunger and fatigue)
extenuating	linnandi (t.d.... guilty of theft, but because of extenuating circumstances was not sent to prison)
extenuating circumstances	(løgfr.) linnandi umstøður
extenuation	linni, umbering;plead sth in extenuationføra eitthvørt fram sum linnandi umstøður
extenuative	umberandi; linnandi
extenuatory	síextenuative
exterior1	útsjónd (t.d.a kind man with a rough exterior);útsíða (t.d.the house has an old exterior)
exterior2	útvortis, sum er uttaná; uttandura-; uttanríkis-;exterior touttan fyri, fjart frá
exterior shot	(film.)uttanduraupptøka
exterminate	oyða, rudda út, ørdrepa, gera bart
extermination	oyðing, ørdráp
extermination camp	týningarlega; eis.death camp
exterminative	oyðandi
exterminator	skordýrapulvur
exterminatory	síexterminative
extern	1kostskúlanæmingur sum ikki býr á skúlanum2lækni (, læknalesandi) sum arbeiðir á sjúkrahúsi men býr ikki har)
external	1ytri, uttanduraður, útvortis,for external usetil nýtslu (t.d. at smyrja) uttaná; sum vendir út2(pol.)uttanríkis-, útlendskur-, fremmandur
external affairs	uttanríkismál;minister for external affairsuttanríkismálaráðharri
external angle	(stfr.) útvinkul, úthorn
external auditory meatus	(likam.) uttara/ytra oyralust
external degree	akademiskt heiti veitt lesandi av stovni sum lærdi háskúlin viðurkennir
externalevidence	ábendingar/próvtilfar uttanífrá
externalexaminer	(skúlam.) fremmandur próvdómari
external financing	(handilsm.) onnur fígging, fremmand fígging, fígging uttanífrá
externality	(handilsm.)uttanvirknaður
externally	1uttan, uttaná, uttanyvir; at síggja til (t.d.externally he pursued a policy of conciliation);uttanífrá (t.d.externally it reminds one of…)2uttanhýsis, uttanífrá;most exam papers are marked externallyflestu próvtøkuavrikini verða rættað uttanhýsis
externals	tað ið er útvortis, tað, ið er uttaná, útsjónd (t.d.we should not judge people by externals);siðir ið eru uttaná (t.d.the externals of religion)
external store	(teld.)útgoymsla
external student	studentur ið lesur á øðrum lærdum háskúla enn haðan hann ætlar at taka prógv
external thread	skrúvugangur uttaná
exterritorial	uttanlands, sum ikki er undir rættarskipan í tí landi ein býr í
extension lead	(ravm.) leingjaraleindingur, (tlm.) forleingjaraleidningur
extinct	1sloknaður (t.d.volcano),sløktur, (út)kólnaður (t.d.fire)2útdeyður (t.d.species)3aveldur, avoldaður (t.d.custom)
extinction	sløkking; eldsløkkingur; deyði; avtøka; oyðing; týning
extinguish	1sløkkja (t.d.a fire; a light)2oyða, týna (t.d.a town by bombing)3taka av (t.d.his office,certain rights)4kasta skugga á (t.d.her beauty extinguished all others)
extinguishant	sløkkievni, sløkkimiðal
extinguisher	ljóssløkkjari; eldsløkkjari, sløkkitól;powder extinguisherpulvursløkkjari;hand extinguisherhandspræna
extirpate	oyða, týna; beina fyri (t.d.a race; a social evil)
extirpation	oyðing, týning; burturbeining
extol	lovsyngja, hevja til skýggja (t.d.the health benefits of exercise are widely extolled)
extort	extort fromnoyðael.tvingael.kroysta (eitt av einum) (t.d.a confession); extort money from himkroysta pening úr honum
extortion	1peningakroyst (t.d.he was arrested and charged with extortion)2okur (t.d.six dollars for a cup of coffee is just plain extortion)
