d-	(st.)damn
downhill3	oman brekku, undanbrekku, undan;he’s going downhill fast (fl.m.)tað gongur skjótt aftur á hondina hjá/við honum
down-home	(am.) vanligur, ótilgjørdur, sum fólk flest
Downing	Downing Street(gøta í London har forsætisráðharrrin býr); ráðharrastovan, stjórnin
Downing Street	1[gøta í London har forsætisráðharrin býr]2[bretski forsætisráharrin]3[bretska stjórnin]
downland	heyggjalendi, heyggjut landslag
downlead	niðurførsla, niðurførslutráður
downlet	dúnteppi, dúndýna
download1	(teld) niðurtøka
download2	(teld) taka niður
down-market	sum vendir sær til vanlig fólk, væl lýddur, bíligur
down payment	útgjald;rinda 5000 kr í útgjaldipay Kr 5000 down
downpipe	niðurrenslrør
down platform	perrong til tok ið koyra út úr býnum
downplay	fara lættliga um
downpour	glopraregn, grimdarregn, stoytingur, oysregn, áarføri
down quilt	dúnteppi
downrate	skerja
downright	1lheilur, fullkomiligur, berur (t.d.nonsense);ordiligur (t.d.snob)2hjheilt, fullkomiliga, púra, beinleiðis (t.d.he was downright rude)
downside	1vansi, meinbogi, bági, trupulleiki (t.d.thedownsideof fame; the downsideof living in the country is the long commute to work2(t.d. um prís) afturgongd, niðurgongd, lækking
downsize	skerja, minka(t.d.starvsfólk í fyritøku); (t.d.the company is planning to downsize next year; they have downsized the car's engine in the new model)
downsizing	skerjing, minking, niðurskurður
downstage	frammarlaga á pallinum
downstairs1	1niðriundir (t.d.a downstairs room)2í stovuhæddini;the downstairsniðasta hædd, stovuhædd, niðaru hæddirnar
downstairs2	niður/oman ígjøgnum trappurnar; niður; niðriundir, í neðra
downstream	oman eftir ánni; við streyminum
downstroke	niðurstrika
down-the-line	í allar mátar; allan vegin, tvørtur ígjøgnum
downtime	1(teld., tól, flogf.)niðritíð, óvirknistíð (t.d.an injured athlete facing months ofdowntime)2frítíð (t.d.everyone needs downtime to unwind;napping during ourdowntime)
down-to-earth	1veruleikakendur, jarðbundin; vanligur, óhátíðarligur (t.d.a soldierly down-to-earth personality); at a down-to-earth pricefyri ein rímiligan prís2turrisliga gløggskygdur
downtown	inn í býin, inni í (mið)býnum, inni í handilsøkinum (t.d.go downtown)
downtrend	vána útlit, niðurgongd
downtrodden	kúgaður, hildin niðri
down under	(tlm.)(í) Avstralia, (í) Nýsælandi
downward	1llækkandi, hallandi; søkkandi2hjniðureftir, omaneftir, oman, niður
downwards	niðureftir, omaneftir, oman, niður
downwash	(flogm.)vindur ið ber omaneftir
downwind	1nundanvindur2hj (sigl.)undan vindinum
downy1	dúnutur, dún-; dúnmjúkur;Slistilærdur, snúin
downy2	heyggjutur, aldutur
dowry	heimanfylgja;(fl.m.)gávur, evni
dowse	1leita eftir vatni við spákvisti; (síeis.douse)2drepa niður í vatn; hella vatn yvir3sløkkja (t.d.a candle)4taka niður (t.d.a sail);lora; slakka (t.d.a rope)
dowser	vatnvísari
dowsing rod	spákvistur
doxology	lovprísan, lovsongur
doxy1	(gl.S)teys; flogsa, titta; elskarinna, frilla
doxy2	(gl. tlm.)meining, læra, doktrin; (átrúnaðarlig) sannføring
doyen	(sendimanna) elliforseti
doyenne	(elsta, mest roynda og mest virda kvinna ( ávísum bólki/starvi) aldursforseti (t.d.the party was held in honour of Vivienne Westwood, that doyenne of British fashion)
Doyle	
doyley	= doily
doz	(st.)dozen
doze1	rudda, javna (við bulldosara)
doze2	blundur, dúrur
doze3	1blunda, dúra, syvja2(skógfr.) fúna
dozen	tylft, tólv, einir tólv;by the dození tylftum;dozens of timesóteljandi ferðir; (síeis. nineteen, six); baker’s dozent.e. trettan
dozenth	tólvti;for the dozenth timefyri hundrað og seytjandu ferð
dozer	= bulldozer
dozy	dósin, tungur, sjappin;get a move on, you dozy bleedertak teg saman tín dølska hít
D. P.1	(st.) Director of Public Instruction
D. P.2	(st.)displaced person; documents against payment; data processing; double play; duly performed; durable pressD. Ph (il) .(st.) Doctor of Philosophy Dr. phil; D. Phil thesisdoktararitgerð
dpi	(st.) dots per inch
D. P. M.	(st.) Department ManagerDPPDirector of Public Prosecutions
dpt.	(st.) department; deponent
D. R.	(st.) dead reckoning; dispatch rider; downstage right; dressing room
dr.1	(st.)debtor; dram(s)
Dr.2	(st.) doctor[vanliga sum heiti á lækna(physician); surgeons(skurðlæknar) verða vanliga nevndir ‘Mr.’]
drab1	ótrivavætti, fesj, súgv;(gl.)skøkja
drab2	1nmorgrátt klæði; morgráur litur2lmorgráur;(fl.m.)gerandisgráur, keðiligur, fábroyttur
drabbet	grovt, morgrátt lørift
drabble	dálka(st), meiggja; drabblethroughvaða gjøgnum
drachm	(sø.)drakma (griksk mynteind); (síeis.dram)
Draconian	strangur, drakoniskur
draconinan	(lógviðv.) órímiliga hørð og eirindaleys (t.d.the Nazis destroyed the independence of the press by series of draconinan laws)
draff	grugg, drøgg, dregg, berskaki
draft1	1tekna, gera uppkast til, seta saman2(herm.)velja út3(am.)kalla inn
draft2	1(leyslig) tekning, uppkast, kladda (t.d.for a machine)2(handilsm.)veksil3peningaávísing4(sigl.)djúpgangur5(herm.)lítil herdeild6innkalling,(am.)hernaðarskylda,dodge the draftsleppa sær undan herskyldu; innkallað manning
draftable	(am.)herskyldugur
draft agreement	sáttmálauppskot
draft board	(am.)útskrivingarnevnd
draft card	(am.)innkallingarboð
draftdodger,draft resister	(am.)hernaðarnoktari, sýtari
draftee	(am.)innkallaður hermaður
drafting board	(am.)teknibretti
drafting room	(am.)teknistova
draft letter	kladda til bræv
draft net	(sigl.)snurriváð, nót
draft ordinance	fyribils kunngerð
draftsman	1teknari2(løgfr.)uppkastsskrivari
draftsmanship	
drag1	1stríð, strev, baks, knoss, sleip (t.d.working nine to five can be a drag)2forðing, hindur (t.d.Larry was turning out to be a drag onher career)3mótstøða (t.d.the coating reduces aerodynamic drag)4(landb.)tung harva5(sigl., t.d.tá ið leitað verður eftir sjólatnum) dreggj6(á veiðu) sleip (til at seta eftirgjørd spor)7(tøkn.)bremsukubbi;(fl.m.)kleppur (um beinið)(oná)8(flogm.)luftmótstøða9(tá stoypt verður) undirpartur, undirkassi10slag av rossavognum11(tlm.)guvur (av sigarett, pípu) (t.d.he took a long drag on his cigarette)12fólk klætt sum tað øvuta kynið;drag queenmaður í konufólkaklæðum13(am.) Sgøta;main draghøvuðsgøta (t.d.the main drag is wide but there are few vehicles)14that record is a dragShanda plátan er ræðuliga keðilig15have a dragShava eitt orð at siga(t.e.hava ávirkan) (t.d.they had the education but they didn't have the drag)
drag2	1toga, draga (t.d.the horse was dragging a heavy load; the little country was dragged into a useless war);hála (t.d.drag a net in fishing; I could hardly drag myself home);dragsa, koma tungliga fram, knógva, ganga striltið2(í leitingararbeiði) dreggja (t.d.they dragged the river for the body)3tráleita4(landb.)harva5Skeða (t.d.he drags me); the affair dragsmálið dregur út6the brakes dragbremsurnar kleppa; dragone’s feetdraga beinini eftir sær;(fl.m.)vera trekur(el.treyður, ófúsur)7royna at draga málið út (t.d.the time seemed to drag; the performance dragged);dragit in (fl.m.)hála tað inn eftir hárinum; dragontoyggja eitthvørt út (t.d.the war dragged on; the negotiations dragged on into the autumn);dragit outdraga tað út, toyggja tað8dragup a childgeva barni harðliga og tilvildarliga uppaling
drag anchor	(sigl.)drívakker, rekakker
drag anddrop	(teld.)toga og slepp
dragged-out	langdrigin, langrøkjutur, langrøkin, langur, langligur, drúgvur, roksutur
dragger	(sigl., am.) [togaraslag, trolaraslag]
draggle	dálka(st), káma(st); draga(st) afturúr
draggled	ruspaður, skrumblaður
draggletail	ótriski, ótrivavætti, súgv, fesj, kloddafyl, funs
draggletailed	ótrivaligur, óvandaligur, fesjutur, funsutur
dragnet	nót
dragoman	eysturlendskur tolkurel.leiðari
dragon	dreki, flogdreki, frænarormur; brita;chase the dragon S[anda í seg heroin hitað á silvurpappíri]
dragonfly	(dý.)gullsmiður, drekafluga(Anisoptera)
dragon tree	(plfr.)drekatræ(Dracaena)
dragoon1	1(herm.)reiðmaður2(herm.) reiðflokkur, reiðregiment
dragoon2	noyða, tvinga, kúga
drag queen	(ofta sum undirhald) mannfólk í konufólkaklæðum
dragrace	koyrikapping
drag rope	sleipitog (til ballón); dreggjtog
drag show	framførsla við monnum í konufólkaklæðum
drag wire	(flogm.)mótstøðuspenni
drain1	1frárensl; kloakk (leiðing),køstarenna; burturveitingarrør, renna, veit; niðurrenslrør2frárensl (í sári)3tøming4(tlm.)slurkur, munnur, dropi (t.d.don’t drink it all; leave me a drain)5(fl.m.) laugh like a drain (tlm.)vera í skellilátr.i;be a drain onminka um, tæra (t.d.his pursehansara pengar;his strengthhansara megi);go down the drainhvørva, fara til spillis, vera til fánýtis
drain2	1veita burtur, leiða burtur (t.d. drain off the water)2turka3(fl.m.)tøma4tappa(offyri)5(óáv.)renna burtur, streyma burtur6his life was draining awayhansara lív fjaraði burtur, hann fánaði burtur7drain the swampbeina fyri rotinskapi
drainage	1burturveiting2turking3tapping4rørlegging5kloakkverk, kloakkskipan6kloakkvatn7frárenslvatn
drainage area	burturveitingarøki
drainage tube	(lækn.)frárensl (í sári)
drainboard	uppvaskibakki
drainer	sídish drainer
drain fitting	botnventilur (í vaski)
draining board,drainingdish,draining tray	uppvaskibakki
drainpipe	1avveitingarrør, fráveitingarrør; niðurrenslrør2drainpipes Strongar buksur
drain plug	avlatingarproppur; botnproppur
drake	(dý.)dunnusteggi, antarsteggi
drakestone	[lítil flatur steinur góður at stikla/lappa við]
dram	1/16ounce; (am.)1/8ounce;drammur, snapsur
drama	harmleikur; sorgarleikur, spennandi hending; drama
drama critic	sjonleikaummælari
drama-documentary	heimildarleikur
dramatic(al)	1sjónleikar-, leik-, leiklistar-2spennandi, øgiligur; livandi3knappligur, dáttligur
dramatics	leiklist; áhugaleiklist;(tlm.)rumbul
dramatis personae	tey leikandi; leikaralisti
dramatist	leikritahøvundur
dramatization	leiktulkan, leikgerð
dramatize	leikbúgva, búgva til leik
drama training	sjónleikaraútbúgving, leiklistarútbúgving
dramaturgy	leiklistafrøði, sjónleikarafrøði, dramaturgi
drank	avdrink
drape	1fall (t.d.the drape of a gown)2drapes flt (lækn.)starv ábreiðsla (á sjúkling til skurð)3(sjónl.)tjald4(am.)gardinur5forhang6stjalda, klæða, heingja upp fyri, hylja
draper	klædnahandlari
draper’s shop	klædnahandil
drapery	1klædnahandil, klædnabúð2klædnavørur3draperies flttjald, umhang; gardinur
drape suit	(klædningur) síður jakki og trongar buksur
drastic	ógvisligur, øðisligur, ódligur, fýrisligur; sterkur (t.d.remedy)
drat	T:drat him!havi hann ein lort!, skít í hann! drat(it) !so for tramin!
Dration	(am. herm.) neyðskamtur
draught	1gos, gjóstur2dráttur3avtappan4spjell [-ll-] (í ovniosfr.)5slurkur, munnur, sopi, dropi;drink at a draughtdrekka í einum6beer on draughtfatøl7blandingur8veksil9uppkast, uppskot;a rough draughtkladda10(við nót) kast, (við troli) hál11(sigl.)flotdýpi, stunga12feel the draught (fl.m.)koma í (fíggjarligar) trupulleikar, kenna seg hóttan
draught beer	fatøl
draughtboard	dammbretti
draught excluder	tættingarlisti
draught horse	arbeiðsross
draughts	damm (spæl)
draughtsman	dammfólk; teknari; hugskotshøvundur
draughtsmanship	tekning, teknilist
draughty	a draughty roomeitt rúm har tað gýsur
draw1	1dráttur, happadráttur2agn, gjar, lokkudorg, lokkubiti, lokkufuglur;(sjónl.)inntøkuleikur3(í ítrótt, spæli) javnleikur, óavgjørdur leikur4(am.)sog, guvur (t.d.on a pipe)5beat him on the draw (am.)skjóta fyrst; vera undanel.fyri einum;quick on the drawskjótur at draga revolvaran
draw2	1draga (t.d.the horse drew the carriage);toga, hála; spenna,draw a bowspenna boga; drawthe long bowgera ov nógv av;draw the reinspenna rossið fyri2draga úr,draw a cork (eis.)draga propp úr fløsku; taka út (t.d.a tooth),draga fyri (t.d.the curtain),draga niður; (obligasjón, virðisløn, premia) draga3(fl.m.)draga til sín (t.d.the accident drew a large crowd),draga at (t.d.she felt drawn towards him)4lokka (t.d.draw him away from his work, draw him to say silly things)5elva (t.d.draw applause; it drew indignant protests from them); draw tearslokka tárini fram6draga burturúr (t.d.draw a moral from(úr)the story),koma til (t.d.a conclusion),meta um(the consequences),heinta, fáa (t.d.draw inspiration from his example)7súgva (t.d.draw water from a well; draw on a cigarette; the pump draws well)8(um vætu) tappa (t.d.draw wine from a cask, draw him a glass of beer); (fl.m.)fáa at úttala seg, „pumpa“ (t.d.they tried to draw him); he refused to be drawnhann læt seg ikki ávirka; hann vildi ikki avdúka nakað9(um pening) taka út (t.d.he draws £15 every week, draw one’s wages)10(um mynd) tekna (t.d.draw a picture of sth; she draws well);mynda, lýsa11(um skjal) seta saman, orða12(í matgerð) taka innvøl úr (t.d.draw a chicken)13(í ítrótt, spæli) spæla javnt (t.d.Arsenal and Chelsea drew 3-3)14(í veiðu) leita15(um klæði) tódna16toyggja, tamba17(sigl.)stinga, skipið stingur so og so djúpt18(handilsm.)ávísa, skuldskriva (t.d.a bill, a cheque)19(í fiskiskapi) kasta nót, trola20draw(a) blank,síblank21we must draw the line somewheretað má vera eitt mark;I draw the line therehar seti eg markið22[íyms.samb. ]drawapart(fl.m.)glíða frá hvør øðrum; drawawayflyta burtur, fara burtur; økja um sína leiðslu; drawbacktaka seg aftur; drawdowndraga niður; fáa; kalla fram, kveikja, elva til (t.d.it drew down a storm of protest); drawforpartnerskasta lut um hvørji skulu vera saman;drawforthdraga fram; drawfromnature tekna eftir náttúruni; drawinspiration fromfáa íblástur frá;draw water from a welldraga vatn úr brunni;drawstrengthfrom one anotherfáa áræði/dirvi frá hvør øðrum; drawindraga inní; fáael.lokka við; minka, skerja, leggja niður; avmarka;the days are drawing indagarnir styttast;drawlevelwithfáa aftur, verða javnbjóðis við; drawit mild,símild; drawnearnærkast; drawoffdraga burturúr; veita burtur; taka seg burtur, taka (seg) aftur; tappa av; drawonnærkast (t.d.winter is drawing on);brúka burtur av (t.d.you may draw on me for £200); (fl.m.)brúka; nýta sum keldu, nýta (t.d.he has drawn on old manuscripts),oysa úr (t.d.his extensive knowledge); draw sby onlokka, freista, tøla ein; eggja ein; drawouttoyggja, tamba; draga fram, taka fram, fáa fram; drawsby outfáa ein at úttala seg, fáa ein á glið;the days are drawing outdagarnir leingjast;draw overleggja eitt oman á (eitt)//niður yvir(eitt) fyri at fjala (t.d.I drew a blanket over my head during the scary part of the film/movie); drawroundsavna seg um; drawtoa conclusionnærkast endanum; fara at halla; drawupstilla upp (t.d.the troops drew up on the drill ground);steðga; seta upp, orða (t.d.a contract);drawoneself uprætta seg upp
drawback	1vansi, bági, ampi, brek, lýti; forðing2(handilsm.)tollendurgjald í sambandi við útflutning av innfluttum vørum3(am.)samsýningarmutur, returkommissjón
drawbridge	vindubrúgv
drawee	veksilútgevari
drawer1	skuffa;chest of drawerskommoda, dragukista; (síeis.bottomdrawer; top drawer)
drawer2	teknari;(handilsm.)útgevarit.d.drawerof a cheque
drawers	(heldurgl.)undirbuksur
drawing	1tekning;out of drawingrongdur, skeivteknaður2dráttur, happadráttur3(t.d.av kontu) úttøka4drawings flt (eis.)inntøkur
drawing board	tekniborð
drawing card	(am.)agn, gjar, lokkubiti, lokkufuglur(fl.m.)
drawing knife	gjarðaknívur, bandaknívur
drawing master	teknilærari
drawing office	teknistova
drawing paper	teknipappír
drawing pin	teknistift
drawing room	1dagligstova, stásstova, góðastova, setstova, salong2vertskapur, gildi
drawing room comedy	stovuleikur
drawknife	gjarðaknívur, bandaknívur
drawl1	tað at tosa seintel.draga upp á málið, drynj
drawl2	tosa seint, draga upp á málið; drynja
drawn	1drigin(osfr.)(t.d.sword)2stívur (t.d.features);spentur3stúrin, óróligur, bangin, óttafullur (t.d.he looked drawn and anxious)4fyridrigin,drawn curtainsfyridrignar gardinur5(um fugl) reinsaður
drawn butter	(am.)smeltað smør
drawnwork	(handarb.) holseyming, holufaldur (seymaður við holseyming)
drawpad	(teld.)teknibretti, teknifjøl
dray	flutningsvognur, ølvognur;(avstr.)tveyhjólaður vognur
dray horse	arbeiðsross, bryggjaraross
drayman	vognstýrari, aksveinur
dread	1nótti, ræðsla2nvirðing, ærufrykt(offyri)3sóttast, ræðast, vera bangin,I dread the thought(el.to think) of iteg ræðist bara eg hugsi um tað4lræðuligur; virðingarverdur
dreaded	ræðandi, (ein/eitt ið e-n) ræðistel.óttast
dreadful	ræðuligur; (síeis.pennydreadful)
dreadlocks	(flætturnar hjá rastafariarum)
dreadnought	tjúkt klæði, dobbi, tjúkkur frakki;(sigl.)slagskip,brynjuskip
dream1	dreymur;in a dream, in one’s dreamsí dreymi;pleasant dreams!droym so søtan!;not in my wildest dreamsikki í mínum villastu dreymum;the dream of my lifemín lívsdreymur
