O.	(st.)1Officer2Order
overplus	avlop
overpopulated	ovfólkaður, ovbýldur, ov nógvir íbúgvar;overpopulated areaovfólkað øki, ovbýlt øki
overpower	1taka av fótum, taka mann, vinna á (einum), avmanna (t.d.two policemen -ed him)2verða yvirtikin av (t.d.-ed by grief);(um lukt, smakk) køva
overpowering	1øtiligur, øgiligur, ómetaligur, framúrskarandi2(um fólk) ráðaríkur, framræðin,(tlm.)dominerandi
overpriced	ov høg prísáseting; ov dýrur
overprint1	1(á frímerki) yvirstempling, yvirprent; (um frímerki) við yvirprentiel.áprenti, yvirprentaðel.áprentað frímerki2(prent.)omanáafturprent
overprint2	1(um frímerki) stempla omanáel.yvir2(prent.)prenta omaná3prenta í ov mongum eintøkum4(lmynd.,um tvítak) ovlýsa
overqualified	sum er ov væl skikkaður, skúlaðurel.lærdur til ávíst starv
overrate	ovmeta, yvirmeta; meta ov høgtel.ov mikið
overreach	1røkka ov langt2(dýralfr.)sláa afturhógvarnar í framhógvarnar, tá ið tað tvísporar (um ross)3(um fólk) lumpa4[íyms. samb.]overreach oneselfleggja meira fyri seg, enn ein er mentur; ovtaka seg; gera ov nógv av, taka munnin ov fullan
overreact	gera ein viðskurð, gera ov nógv av, bera seg ógvisliga at, leika í, flúgva upp í vong,(tlm.)yvirreagera
overrent	krevja/taka ov høga leigu (fyri)
override1	kolldøming, ógilding
override2	1(um fólk við hægri myndugleika) kolldøma, kveistra burtur, skúgva til viks, ikki leggja lag í (t.d.override his wishes; override her decision)2hava størri týdning, ganga fram um (eitt) (t.d.considerations of safety override all other concerns3(viðv.sjálvvirkandi tóli) taka ræði á, sjálvur standa fyri (t.d.use this key if you need to override any of the programmed instructions)4(um ross) spreingja5(í toki, bussi) koyra longur enn ferðaseðilin hevur gildi6(tele.)leypa um, skúgva til viks
overriding	1sum hevur alstóran týdning, sum er nógv týdningarmeiri, sum gongur fram um alt, sum ber av øllum, sum liggur fremst av øllum, sum hevur størri týdning enn alt annað;overriding importancetýdningur ið skumpar alt annað til viks;overriding questionspurningur sum er nógv týdningarmeiri2høvuðs-, aðal-;the overriding objective of this agreementaðalendamálið við hesum sáttmála
overripe	ovbúgvin
overruff	(kortsp.)trumfa hægri
overrule	(løgfr.)kolldøma, ógilda
overrun1	1at fara út um, yvirel.upp um2(prent.)rundseting3(prent.)eyka eintøk ið eru prentað
overrun2	1(herm.)vinna á, renna um koll, taka2(um talutíð, tíðarætlan) fara útum (t.d.overrun by 20 minutes)3(um pengar) fara uppum, nýta meira enn fíggjarætlanin heimilar (t.d.by £24, 000)4(við ávirki) breiða seg út yvir5[íyms. samb.]be overrun with/by1ganga undir í (t.d.tourists; mice (eis.)tað yður í músum)2(um plantur) vera avvaksin við (t.d.weeds)
oversailing	(byggl.) sum stingur/sker seg/skjýtur útel.fram um (tað ið liggur niðanfyri);oversailing storey(húsa-)hædd sum stingur fram um (hæddina niðriundir)
overscrupulous	ov samvitskufullur;he is not overscrupulous in the choice of methods...synd hevði verið at sagt at hann er samvitskufullur í vali av arbeiðsháttum
overseas1	(uttan fyri Evropa) handanhavs-, útlendskur, fremmandur (t.d.overseas trade, overseas competitors, overseas markets; overseas students)
overseas2	uttanlands (t.d.go overseas, live overseas, travel overseas)
oversee	hava eftirlit við, hava umsjón við, hyggja eftir, ansa eftir
overseer	1arbeiðsformaður, eftirlitsmaður2verkstjóri3(prent.)faktorur, umsjónarfólk4(gl.)fátækrastjóri
oversell	1selja meira, enn ein kann latael.útvega2(fl.m.)gera ov nógv burturúr, lýsa ov nógv fyri (eini vøru)
overset	hvølva, koppa (t.d.overset a chair)
oversew	1kasta um (seym)2(bókb.)síðuhefta
oversexed	óvanliga kynsamur
overshade	skugga á
overshadow	1skugga, myrkja fyri (t.d.clouds overshadow the sky)2gera, at ein stendur í skugganum av einum; geva dapran dám (t.d.the victory was -ed by the terrible loss of life)
overshoe	1yvirskógvur, galossja, yvirstivli2(at verja gólv) yvirskógvur
overshoot1	at fara út um(t.d.heimildirnar)
overshoot2	1raka ikki2koyra ov langt (t.d.I overshot the corner)3ikki halda, fara út um (loyvda markið), nýta meira enn fíggjarætlanin heimilar (t.d.overshoot a spending target)4oyða, troyta (veiðiøki, tí ov nógv verður veitt)5(flogm.)fara av lendingarbreytini6overshoot oneself/the markgera ov nógv av; fara út um mark, leggja ov nógv til/fyri
overshot	(dýrlfr.) yvirbit
overshot wheel	(á áarmylnu) yvirfalshjól
overside	(sigl.) uttanborðaður; uttanborða;haul it oversidedrag tað uttanborða
oversight	1gáloysni, ósketni, vansketni2eftirlit, umsjón
oversign	oversign an articleseta navnið á greinarhøvundinum fremst
oversimplified	lýsa eitt alt ov einfalt (t.d.a false and oversimplified view of human personality)
oversimplify	gera (eitt) ov einfalt
oversize el.oversized	1í stórari stødd, ovurstórur, í ovurstødd; (um bók) í stórari stødd2(serst. am.)óvanliga stórur
overslaugh	leypa um (t.d.during the war officers were often overslaughed)
oversleep	oversleep (oneself)sova yvir seg, ovsova seg
overspend1	ovurnýtsla, at fara út um
overspend2	nýta ov nógvan pening; fara út um (játtan)
overspending	ovurnýtsla
overspent	1útlúgvaður, pøstur, avmaktaður2the council is badly overspent on its£9 m budgetráðið hevur brúkt munandi meira enn tær 9 mill. pund sum var fyrisetti fíggjarkarmurin
overspill	1fólkaavlop (t.d.build new houses for London’s overspill)2avlop,(tlm.)yvirskot
overspread	breiða seg útyvir, fevna um, røkka um
overstaffed	ovmannaður
overstate	gera ov nógv av
overstatement	at gera ov nógv av, at leggja ov stóran dent á (eitt) (t.d.a gross overstatement of the economic benefits)
overstay	overstay one’s visaverða verandi longri enn innferðarloyvið heimilar
oversteer1	yvirstýring
oversteer2	yvirstýra
overstep	fara út um (mark)
overstock1	avlopsgoymsla
overstock2	1ovfylla, troðfylla, fylla á tremur (t.d.the kitchen with food)2fáa sær ov nógvar vørur á goymslu3[íyms. samb.]overstock a farmhava ov stórt neytahald (svína-, seyða-,o.tíl.)á garði
overstrain1	overving, sprongd, yvirerving, ovsleip
overstrain2	overva seg, ovmøða seg, spreingja seg, ovbyrja seg, leggja ov nógv fyri
overstretch	leggja ov nógv fyri, binda seg fyri ov nógv (peningaliga)
overstretched	overvaður, sum stendur til at bresta, sum stendur á tambi;an overstretched prison servicefongsulsverkið stendur til at bresta;they had overstretched themselves to buy a £300, 000 dream housethey høvdu keypt eini dreymahús, sum kostaði 300.000 pund, og sum tey ikki orkaðu at gjalda
overstrung	1overvaður, útervaður, fjálturstungin, østur, frá sær sjálvum2(um klaver) krossstreingjaður
overstuffed	1ovfullur2(um møplar) yvirbólstraður, yvirpolstraður
oversubscribe	ovtekna (t.d.the share offer was hugely -d)
overt	fyri almanna eygum, óduldur; opinberur; opin
overtake	1fáael.taka aftur2fara fram um (bil),(tlm.)yvirhála3gera ovfarnanel.bilsnan, koma óvart á, taka á bóli; (um revsing, sjúkuo.tíl.)raka, koma undan, vinna á4(um kenslur) koma á(t.d.ræðsla), níva5fara uppum, vaksa uppaftur meira
overtask	ovfylla, troðfylla, overva; vera ov kravmikil
overtax	1overva (t.d.one’s heart; one’s voice);ovbyrja (t.d.overtaxed bridge)2troyta, ovnýtael.misnýta (ein), dúva upp á (eitt) (t.d.overtax his patience)3leggja ov høgan skatt á
over-the-counter	handkeyps-, sum kann fáast til keyps
over-the-counter drug	handkeypsheilivágur
over-the-hill	1(herm.) rýmdur, farin til stroks2sum tað gongur aftur á hond við, sum tað gongur afturá við, sum er farin um tað besta, sum er viknaður
over-the-top	ov nógv avgjørt, ov ríkiliga tikið til
overthrow1	1kollrenning, kollvelting; undirgangur, fall (t.d.the peaceful overthrow of communism)2týning, oyðilegging
overthrow2	1syfta ein, vinna á (einum)2kollvelta, skumpa av rókini; gera enda á, forkoma, fáa enda á, fella (t.d.overthrow a government)3(am., ítr.)kastael.tveita (bóltin) ov langt
overtime1	1yvirtíð2yvirtíðargjald3(ítr.)eykatíð, longd spælitíð
overtime2	work overtime arbeiða yvir
overtone	1(tónl.)yvirtóni2[íyms. samb.]-s (fl.m.)dámur, brá;a speech containing moral//racial//sexual/-/political -srøða sum hevur moralskan//rasistiskan//kynsligan//politiskan dám;an overtone of despairein vónloysiskensla
overtop1	(forml.)standa uppumel.uppúr, dagael.kneysa uppum
overtop2	(kan.)upp um, oman fyri
overt prestige	(málfr.)almenn virðing(sbr.covert prestige)
overtrain	ovvenja
overtrick	(kortsp.)yvirstikk,(tlm.)yvirtrekk
overtrump	stinga við hægri trumfi
overture	1(tónl.)forspæl, ouvertura2at royna at nærkast/nærka seg (einum),(fl.m.)at skatta dýpið//tilboð(ofum)3[íyms. samb.]make -s1royna at nærkast (einum)2fara undir samráðingarel.tingingar(tovið)3(skemt.)royna at koma í samband við (eina//ein);peace -sfriðarroyndir
overturn	1koyra um koll, koppa, hvølva, hálva (t.d.overturn a table);kollsigla;the car -ed and burst into flamesbilurin fór runt, og eldur kom í (hann)2(um stjórn) síoverthrow223(løgfr.)kolldøma;the court -ed the rulingrætturin kolldømdi úrskurðin4(við ongum ávirki) hvølvast, holvast, koppa
overuse1	ovurnýtsla;overuse injurysprongdarskaði
overuse2	nýta ov nógv, brúka í tíð og ótíð
overused	misnýttur, misbrúktur; tanlaður, tugdur; sum er fótatraðk, innantómur
overvalue	ovmeta, yvirmeta
overview	yvirlit, stuttur samandráttur, lýsing í høvuðsheitum; (handilsm.)overview of portfolioyvirlit yvir virðisbrævaognir
overwatched	vekraður, ovvekraður, illa svøvntur
overweening	1(ov) avgjørdur, ov mikil, óhóvligur, ovurhonds-, ov nógv gjørt burturúr, sum ikki kann/dugir sær hógv, sum ikki hevur hógv (t.d.ambition; pride)2erpin, innbilskur, dramblátur, stórlátin, stórlátaður; avgjørdur
overweight1	yvirvekt
overweight2	ovferma, ovlaða, ovfylla, ovbyrja
overweight3	1ov førur, ov prúður, ov tjúkkur, ov hyldligur, ov tungur2(um lut) ov tungur, sum vigar ov nógv (t.d.letter; luggage)
overwhelm	1fløða (oman)yvir, floyma yvir, skola yvir2vera yvirtikin(t.d.av sorg), gera ovfarnanel.kløkkan3avmanna4(herm.)sigra á, sorla sundur
overwhelming	øtiligur, øgiligur, ómetaligur
overwind	trekkja (ur) ov hart upp
overwinter	1(um flytifuglar) hava vetrartilhald (t.d.many birds overwinter in equatorial regions)2(um skordýr og urtir) koma undan vetri (t.d.the germinated seeds will overwinter)
overwork1	1eykaarbeiði2ov hartel.ov nógv arbeiði;stress caused by overworkstrongd av ov nógvum arbeiði
overwork2	1overva, overva seg, spreingja seg; arbeiða ov nógv, leggja ov nógv fyri seg2(við ávirki, um fólk) fáa at arbeiða ov hart, leggja ov nógv fyri ein3(um málisku) nýta ov nógv
overworked	1(um fólk) overvaður, ovmøddur, ovbyrjaður2(um málisku) tugdur, tanlaður, innantómur
overworn	lúgvaður, útmaktaður, pøstur
overwrite	1skriva ov langrøkjut um (t.d.a subject); lýsa alt ov sveimandi (teld) skriva oman á2(teld) skriva omaná
overwritten	(um bókmentaverk) skrivaður í ovurskrýddum/ov háfloygdum stíli
overwrought	1lúgvaður (av spenningi); østur, frá sær sjálvum, uppi á floti, óstiltur2(um skrivingarlag) ovurskrýddur; lýst út í æsir
overzealous	ov ágrýtin (t.d.he's been overzealous in handing out parking tickets)
Ovid	Ovid(us) (rómverskt skald í fornøld)
oviduct	(likam., dý.)egggørn
oviform	eggrundur, eggklingrutur, egglagaður, eggskapaður
ovine	seyðkendur, seyða(r)-, seyði viðvíkjandi
oviparous	verpingar-, sum verpur (og klekir)
ovipositor	(dý.)verpingarpípa (hjá skordýrum og øðrum dýrum)
ovoid1	eggrundur lutur
ovoid2	eggrundur, eggklingrutur;(plfr.)eggvaksin
ovulate	hava eggloysn
ovulation	eggloysn
ovule	(plfr.)frævísi
ovuliferous scale	(plfr.)fræblað
ovum	(lat.) egg; eggkykna
ow	áh!, á!, avv!
owe	1skylda (t.d.owe him £50; you owe me a beer//an explanation; you still owe me for the book; I owe a lot of money)2havael.kunna takka (einum) fyri (eitt);he -s his success more to his contacts than to his abilityframgongd hansara stavar meira frá góðum sambondum enn tí at hann er so dugnaligur3[íyms. samb.]he thinks the world -s him a livinghann heldur, at tingini koma av sær sjálvum (at honum nýtist ikki at arbeiða);owe sthtosby1skylda einum eitt (t.d.I owe £50 to her)2síomf.:2;owe a debt of gratitude tostanda í takksemisskuld til (ein);owe it to sbystanda í skuld til eins (t.d.I owe it to him to help his son)
owing	1sum (ein) skyldar, sum er ógoldið, sum stendur, sum skal gjaldast2[íyms. samb.]he paid all that was owinghann rindaði alt, hann skyldaði;I have £500 owing on the carskuldin í bilinum er 500 pund;owingtoorsakað av, av (t.d.owing to a mistake we were not informed); be owing to(einum) fyri at takka;it is owing to him thattað er honum fyri at takka at
owl	1(dý.)ugla(Tynodiae, strigidae)2(fl.m.)um fólk) ein, ið dámar at látast klókur; býttlingur;drunk as an owldýrandi fullur
owlet	(dý.)ugla (lítil)
owlet moth	(dý.)heygsmaður(Noctuidae)
owlish	1líkur uglu, eins og ugla2(fl.m.)sum letst klókari enn ein er; býttisliga hátíðarligur
own1	1eiga; (t.d.own a child)2viðganga, viðurkenna, ásanna, játta (t.d.one’s own faults; that it is not very good)3[íyms. samb.]he acted like he -ed the placehann tíggjaði sær, sum um hann átti húsini4[ísamb. viðfs//hj]own tojátta, viðganga, kennast við (t.d.a sense of relief); (tlm.) own up (tlm.)melda seg (t.d.the one who did it had better own up);játta seg sekan, ganga við, viðganga
own2	1egin, egið, egnu; sam- (t.d.own brothersambróðir (móts.half-brother)2(samsvarar tíðum við) sjálvur (t.d.he cooks his own meals, she sews her own clothes)3[íyms. samb.]one’s own1sín egin//sítt egna//síni egnu (t.d.his own problems are more serious; his has his own car//room//problems)2(s+ own +neis.)sjálvur (t.d.he cooks his own mealshann matgerð sjálvur);the town has a character all its ownbýurin hevur sín (egna) serstaka dám;it is my very owneg eigi tað sjálvur, tað er mítt;she has her very own TVhon hevur egið sjónvarp;she stands in her own lighthon ger lítlan háva burtur úr sær sjálvari; hon stendur sær sjálvari uppi í ljósinum4[ísamb. viðfs]I didn’t have a moment/minute/second tocallmy owneg hevði onga løtu fyri meg sjálvan, ongantíð slapp eg at sita í frið og náðum;getone’s ownbackløna (einum) aftur, fáa hevnd;holdone’s own1standa seg, standa stinnur, ikki slaka2standa seg, lofta sær, klára seg;makesth one’s ownleggjast á eitt, ogna sær eitt5[ísamb. viðfs]may I have itformy very own ?sleppi eg at hava tað einsamallur?;in/at your own (good) timetá ið tað hóvar tær; tá ið tú hevur stundir;comeintoone’s ownfáa sín rætt, fáa tað ið ein av røttum eigur at fáa;ofone’s ownsítt egið/sítt egna/síni egnu (t.d.she has a car//room of her own); I have reasons of my owneg havi mínar egnu grundir;she has a fortune of her ownhon eigur pengar sjálv;onone’s owngera eitt(el.royna eitt) sjálvur;he is on his own (eis.)hann er sjálvstøðugur (handilsmaðuro.tíl.)
owner	1eigari, ánari2(ísamb.við bygging) eigari, byggiharri3(sigl.)útgerðarmaður, reiðari;-s flt (eis.)útgerðarfelag, reiðaravirki, skipafelag, eigararnir/ánararnir
owner-driver	bileigari, ið sjálvur koyrir bilin
ownerless	1sum eingin eigur, eigaraleysur2(um húsdýr) burturvilstur, útiløgu-
owner-occupied	sum eigarin sjálvur býr í;owner-occupied flatognaríbúð
owner-occupier	sethúsaánari, húseigari, íbúðareigari
owner-occupier flat	eigaraíbúð
ownership	1ogn2ognarrættur
ownership model	ognarmyndil
own goal	(ítr.)sjálvmál
owning house	(sigl.) reiðaravirki, útgerðarvirki, útgerðarfelag
own risk	egin ábyrgd, sjálvsábyrgd
owt	(staðb.)=anything
ox	oksi, neyt
oxalic	(evnafr.)oxalic acid oksalsýra
oxbow	1(am.)ok (til oksatoymi)2(jarðfr.)lykkja;oxbow lakelykkjuvatn
Oxbridge	[felagsheiti fyriOxfordogCambridge]
oxen	fltavox
oxeye	(plfr.)hvítt oksaeyga(Leucanthemum vulgare)
ox-eyed	(hin) kvíguoygda (hjá Homerosi)
oxeye daisy	(plfr.)margaritt(Chrysanthemum leucanthemum)
Oxfam,OXFAM	Oxford Committee for Famine Relief(bretskur neyðhjálparfelagsskapur)
oxford1	(am.)síOxfordshoe
Oxford2	1Oxford bagssera víðar buksur2the Oxford Group Movementoxfordrørslan (stovnað í 1921. Hon bar við í Føroyum. Í
Oxford English Dictionary	
Oxford movement	(sø.) the Oxford movement Movement oxfordrørslan (hákirkjulig stevna í anglikansku kirkjuni í 19. øld)
Oxford shoe	sterkur lissuskógvur
oxhide	neytahúð, neytaleður
oxidation	(evnafr.)súrevning, ilting, oksidering
oxide	(evnafr.)súrevni, ilt, oksid
oxidize	1(evnafr.)súrna, ilta, oksidera2(við ongum ávirki) súrevnast, iltast, oksiderast; gerast áfallið(t.d.súrnisskón legst á silvur)
