a’	(skotskt.) =all(t.d.for a’ that)
astigmatic	(lækn.)skapbrekaður, astigmatiskur; (um eyga) við skapbreki
astigmatism	skapbrek (í eyga)
astir	í rørslu, á fótum (t.d.you are early astir this morning; the whole town was astir)
astonish	gera bilsnan, gera ovfarnan, koma óvart á
astonishment	bilsni, undran
astound	gera steinbilsnan, gera ovfarnan; lamsláa
astrachan	
astraddle	(gleiva) tvørturum(of)(t.d.sit astraddle on the horse)
astrakhan	astrakan (lambsskinn úr Astrakhan)
astral	stjørnulíkur; stjørnu-
astray	vilstur, á villini gøtu;go astrayvillast, koma skeivt(el.illa) fyri;lead astrayvilla; lokka, tøla
astride	1(svarar til:) sita og gleiva tvørturum; gleivandi (tvørturum) (t.d.sit astride a chair)2báðumegin (t.d.the Equator)
astringent1	snerkingarevni (til húðarrøkt)
astringent2	1samansnerkjandi (t.d.lotion; taste, wine)2(fl.m.)strangur, harður, ómildur
astrodome	kúpuhválv (á stjørnukanningarstøð)
astrologer	stjørnuspekingur, stjørnuspámaður, astrologur
astrological	stjørnuspekiligur, viðv stjørnuspáfrøði
astrology	stjørnuspeki
astronaut	rúmdarfari, rúmdarskipari, astronautur
astronautics	rúmdarvísindi
astronomer	stjørnufrøðingur
astronomical	stjørnufrøðiligur
astronomy	stjørnufrøði, astronomi
astrophysicist	stjørnualisfrøðingur
astrophysics	stjørnualisfrøði
astute	gløggur, snildur, snúiligur, snúin (t.d.lawyer, politician),sniðfundigur, listilærdur
asunder	í pettum (t.d.break asunder; rend asunder),sundur; sundurskildur, frá hvør øðrum (t.d.they are wide asunder; fall asunder; they were torn asunder; those whom God hath joined together let no man put asunder)
asylum	friðskjól (t.d.ask for political asylum);friðskjól, griðstaður;(gl.)sinnissjúkrahús;asylum for the deaf and dumbstovnur fyri deyv og dumb
asylum-seeker	ein ið søkir um politiskt friðskjól
asymmetric el.asymmetrical	1 óregluligur; (stfr.) ómakaður2(plfr.)óregluligur
asymmetry	ómakaskapur; (jarðfr.) ósamsvar
asymptote	(stfr.)atfelling
asynchronous	(teld.)óstevjavnaður
at	1(staður) í (t.d.the corner, the spot, the place, the top; St Helena; the consulate, the hotel, the office, the school, the university; Oxford, Winchester);nær við (t.d.his destination, the door, the edge of the cliff, my side);hjá (t.d.at my uncle’s; a shop assistant at Selfridge’s)2(leið, kós) (t.d.aim at; snatch at; throw a stone at the dog; shoot at him; the dog jumped at him; look at him; she looked at him; we rushed at them)3(tíð) (t.d.daybreak, sunset, midnight, noon; at his arrival (, death); at the outbreak (, end) of the war; at this time; he was present at the wedding; at the beginning of his journey; at Easter; he retired at 65… tá ið hann var 65; (ikki týtt):at five (, three etc.) o’clock)4(stig, mát) (t.d.at fifteen pounds pressure; at the rate of 20 miles an hour; fly at 5, 000 feet; the temperature was at 90 temperaturen;(í samb. við hástig):at its besttá ið tað er best;at its highesttá ið tað er hægst;here the island is at its narrowesther er oyggin smalast;at bestí besta føri;at worstí ringasta føri5(prísur) fyri (t.d.buy them at £5 a dozen and sell them at £10; at a low price; 5 bottles at £4 each)6[íyms.samb.] um (t.d.angry at, astonished at);við (t.d.at intervalsvið millumbilum); at (t.d.laugh at; look at),yvir ímóti (t.d.run at);whatare you at now?hvat takast tit við? hvat havast tit at? hvat gera tit?whereit’s at Shar tað hendir;that is where it is at Stað er tað, alt snýr seg um;at itagainfara í gongd aftur; herja á aftur, leggja í vaðið aftur;he is at it againnú er hann aftur farin í gongd;atthatsoleiðis, í hesum lagi, í hesum skili (t.d.let us leave it at that);harafturat;two at atimetveir í senn
at	(teld.)kurla (@)
atavism	atavisma (tað at ættarbregði hjá skyldfólki langt burtur í ætt kemur fram aftur í nýggjum ættarliði)
atavistic	atavistiskur (síatavism)
ATC	(st.)Air Training Corps; automatic train control; Air Transport Command; Actors Touring Company
ATCS	(st.)Advanced Train Control System
ate	aveat
atheism	gudloysi, gudsnoktan, ateisma
atheist	gudloysingur, gudsnoktari, ateistur
atheistic	gudsnoktandi, ateistiskur
Athena	(myt.)Atena
athenaeum	bókm.entaklubbur(el.vísinda-); lesisalur
Athenian1	atheningur, athenari, atheni
Athenian2	athenskur
Athens	Aten
athirst	tystur(foreftir)
athlete	(fræls)ítróttarmaður, fimleikari;-’s footfótasoppur
athletic	ítrótta-; prúður, sterkur
athletics	fræls ítrótt
at-home	opið hús, móttøkudagur, móttøka
athwart	tvørtur um; tvørs av, tvørskips
atilt	á skák, hallandi
atishoo,atichoo	atju [njós]
Atkins	(navn á bretska hermanninum)
Atlantic	atlantskur, Atlants-;the AtlanticAtlantshavið
Atlantic Charter	Atlantshavsyvirlýsingin
Atlantic Part	Atlantssáttmálin
Atlantic white-sided dolphin	(dý.)skjórutur springari(Lagenorhynchus acutus)
atlas	atlas (t.d.an anatomical atlas),landkort(abók) (t.d.an atlas of the world; an anatomical atlas)
Atlas Mountains	(landafr.)the Atlas Mountains Atlasfjøll
ATM	Automated teller machinesjálvtøka; eis.cash dispenser
atmosphere	1lofthav (t.d.the atmosphere of Mars, of the earth), atmosfera2andarúm (t.d.the close atmosphere in the room; a refreshing mountain atmospere)3lufttrýst (t.d.a pressure of five atmospheres)4(fl.m.) huglag, dámur, lag (t.d.the atmosphere was tense; the peaceful atmosphere of the village; the brooding atmosphere of Macbeth)
atmospheric(al)	lofthavs-, atmosferiskur (t.d.disturbances); atmospheric(al) pressurelufttrýst, lofttrýst, loftfarg (eind fyri trýst)
atmospherics	atmosferisk órógv, luftóljóð (óljóð í luftini, ið órógvar móttøku íútv.)
atoll	ringskapað koralloyggj, korallriv
atom	atom; vet, øgn;not an atom of sensepúrt einki skil;not an atom of truthikki farrin av sannleika;blow to atomsspreingja sundur í smábitar
atom bomb	kjarnorkubumba
atom-bomb	kjarnorkubumba
atomic	atom-, kjarnorku- (t.d.bomb, clock, energy, theory, war, weapon, weight); the Atomic Ageatomøldin;atomic nucleusatomkjarni;atomic numberatomnummar; atomtal;atomic power plantkjarnorkuverk;atomic researchkjarnorkugransking;atomic research plantkjarnorkuroyndarstøð;atomic submarinekjarnorkukavbátur
atomic bomb	kjarnorkubumba
Atomic EnergyAuthority	kjarnorkustýrið
atomism	(heimsp.)frumeindarstevna, atomisma
atomistic	atomistiskur; býttur í smáar eindir
atomization	tað at gera eitthvørt til sirmel.dust
atomize	1(um vætu) gera til sirm2gera til dust; knúsa, mjølva (t.d.the bridge was atomized)3býta sundur í smábitar (smáar eindir)4kjarnorkubumba
atomizer	sirmari
atom-powered	kjarnorkurikin
atomy	(gl.)pu, fon; atom; dvørgur; beinagrind
atonal	atonalur (tónleikur ið ikki hevur nakran ávísan lykil)
atonality	atonalitetur
atone	1atone forbøta fyri (t.d.one’s sins; a crime;he was being helpful, toatone forhis past mistakes)2fáa at samljóða3(gl.)semjast, halda frið
atonement	1(átr.)fyribøting, afturbøting (t.d.an annual ceremony of confession andatonement forsin)2semja, sátt, sáttargerð (t.d.she wanted tomake atonement forher husband's behaviour)
atonic	1(máll.)herðingarveikur, óherdur (t.d.syllable)2(lækn.)linur, slakur, slakk (t.d.bladder; muscle)
atop	1hjuppiá; (uppi) á toppinum2fs (serst. am.)uppi á (t.d.a flag flying atop the Embassy)
atrabilious	tunglyndur, hugsjúkur; ørur; illgrundaður
atrium	1atrium(glrómverskt); garður2forhøll3(likam.) forkamar (í hjartanum)
atrocious	níðingsligur, skarns-, grimmur, óndur (t.d.cruelty, treatment);uppskakandi, ræðuligur (t.d.sufferings; accident); (tlm.)ræðuligur (t.d.hat; weather)
atrocity	1níðingsgerð (t.d.atrocities committed against the civilian population),níðingsskapur, skarnsgerð, grimd, grimdargerð2(brúkt suml)ræðslu-;atrocity propagandaræðslupropaganda3that hat is an atrocityhasin hatturin er ein vanlukka
atrophy1	(lækn.)tæringur, trænan, hjadn, atrofi;progressive muscular atrophyvøddasvinn, vøddahjadn
atrophy2	avmergjast, hjána/træna burtur;he was atrophiedhann var hjánaður/trænaður burtur
atropine	(evnafr.)atropin
att.	(st.)attorney
attaboy	(am.)óført!; koyr á!; tað var rætt hatta raska!
attach	1festa(eis.íteld.)(t.d.the collar bone is attached to the shoulder blade at one end and to the breastbone at the other), binda, hefta (t.d.attach loose sheets with a clip);seta á (t.d.attach labels to the trunks; attach a price tag to each article)2knýta seg(toat), fylgja(tovið)) (t.d.a leader, a political party); be attached to sbyvera knýttur at einum3(um persóneis.)hugbinda, draga til sín4(løgfr.)handtaka; leggja hald á; gera úttøku í5knýta(toat), hanga uppií, loða uppi við (t.d.a suspicion attaches to him); no blame attaches to himeinki kann kastast honum fyri6attach importance to itleggja týdning í tað
attachable	1sum hald kann verða lagt á2sum kann verða fest3sum kann verða sett í samband við
attached	1festur; heftur uppí (t.d.the documents attached);fastur (t.d.cuffs; collar)2(fl.m.): be (strongly) attached to him (, the party, the firm)vera (nær) knýttur honum (, flokkinum, virkinum);be attached to one’s homevera góður við heimið
attaché	ein ið er knýttur afturat sendiharrastovu
attaché case	skjalamappa
attachment	1viðfesti; fylgiskjal2alskur, samkensla; samband, tilknýti, band;he formed no attachmentshann knýtti seg ikki at nøkrum3(løgfr.)handtøka; tað at leggja hald á; lóghald, fíggjartøka4attachments flteykaútgerð;a vacuum cleaner with a full set of attachmentsdustsúgvari við allari eykaútgerð
attachment theory	(sálfr.) tilknýtisástøði
attack1	1álop, atsókn, árás (t.d.an attack on the enemy positions)2ríð, herðindi (t.d.of fever, of melancholy),kast, slag (t.d.a heart attack)3(ítr.)álop
attack2	1leypa á, søkja at, herja á, leggja á, gera seg inn á (t.d.our soldiers attacked the enemy; he was attacked in the newspapers (, by a fever); white ants attacked the woodwork of the house)2(fl.m.)fara undir, fara í holt við (t.d.a new problem; how is the problem attacked in other countries)
attack3	(brúkt suml)álops-, álopskendur (t.d.plane, formation. eis.ítr.)
attain	1attain (to)náa (t.d.attain the age of twenty; attain one’s object); the grapes seldom attain to maturityvínberini náa sjáldan at búnast2koma upp á (t.d.attain a speed of 100 m. p. h.; this plant attains to a height of ten feet; attain the top of the hill; the second largest town only attains to 100, 000 inhabitants),koma tiluntil attaining the age of twentytil tjúgu ára aldur3vinna, fáa
attainable	sum kann náastel.fáast, komandi til, fáandi
attainder	(gl. løgfr.)missa ognir og borgaralig rættindi vegna deyða-el.útlegdardóm
attainment	1evni, gávur, snildargávur, talent (t.d.a man of many attainments); of great intellectual attainmentsvið góðum gávum(el.evnum);level of attainmentstøðumet;attainment target (uml.)mál fyri undirvísingini (t.d.attainment targets in spelling and handwriting)2úrslit (t.d.his scientific attainments; desire and attainment are two different matters)
attaint	(gl. løgfr.)attaint sby fella deyða-el.útlegdardóm; vanæra
attar	rósuolja
attempt1	roynd; (til próvtøku) uppgávusvar; attempthis lifeliggja honum eftir lívinum;attempted murdermorðroynd;attempt on his lifeein roynd at drepa hann
attempt2	royna (t.d.he attempted to escape; attempt suicide); attempt a paper (, a question)(royna at) loysa eitt [próvtøku]verkevni (t.d.only four of the questions need be attempted); attempt resistanceroyna at gera mótstøðu;attempt his liferoyna at taka lívið av honum
attempted	roynd at; -roynd (t.d.attempted suicide; attempted murder; attempted break-through)
attend	1vera (við, á, til, í) (t.d.a conference, a dinner, a public meeting, a church service, the funeral, a course),fylgja við, ganga til (t.d.a series of lectures);(stovnur) vitja, ganga í (t.d.school, church);møta (upp); vera til staðar, vera við á (t.d.everybody was ordered to attend)2tæna, ganga til handa; (sjúklingurosfr.)røkta, ansa3hava eftirlit við, hava umsjón við; (hendingosfr.)fylgja; lurta eftir, geva gætur;attendtogáa eftir, varnast; ansa eftir, taka sær av (t.d.one’s business, the correspondence, one’s duties); are you being attended to?fáa tygum?attendupontæna (t.d.the king); attended withfylgdur av, sambundin við
attendance	1nærvera, hjávera;with the President in attendancemeðan forsetin var hjástaddur;your attendance is urgently requestedtygum verða biðin um at koma beinanvegin;attendance at school is compulsoryskúlagongd er kravd2medical attendancelæknahjálp;we have free medical attendance and medicinevit hava ókeypis lækna og heilivág3tænasta (t.d.bedrooms from £8 including breakfast, light and attendance), be in attendance onvera í tænastu hjá (t.d.be in attendance on the King); dance attendance onleypa á leistum fyri4vitjan, áhoyraraskari (t.d.the attendance was 37, 000; the total attendance; the attendance at the exhibition); there was a good attendance at the meetingnógv fólk var komið á fund;(ítr.)áskoðaratal
attendance fee	fundarpeningur
attendance record	(í skúla) protokoll
attendant1	1tænari, sveinur2umsjónarmaður; eftirlitsfólk;lift attendantlyftudrongur3luttakari (t.d.the attendants at the meeting)4fylgisneyti, fylgdarmaður
attendant2	1hjáverandi, tænandi;the attendant nursesjúkrarøktarfrøðingurin ið passar henda sjúklingin2(eftir)fylgjandi, sum stendst av;famine and its attendant diseaseshungur og sjúkur ið standast av tí;the disadvantages attendant on itvansarnir standast av tí
attent	(gl.)síattentive
attention	1gætur, far (t.d.it engaged his attention; he did not get as much attention as he deservedfólk góvu honum ikki so nógv gætur sum hann hevði uppiborið)2umsorgan, sketni, eftiransni3tænasta (t.d.prompt and personal attention to one’s customers),ansing, røkt, (um sjúklingeis.)viðgerð4attentions fltgætur, áhugi (t.d.he showed her little attentions); (niðr.)stremban5attention ! (herm.)(deildosfr.)standið rætt!; (í flokkiosfr.)lurtið eftir! gevið ljóð!6[íyms.samb.]standatattention (herm.)standa rættir;attractattentiongera vart við seg (t.d.he shouted to attract attention);vekja ans (t.d.it has attracted much attention);callattention togera ein varugan við, gera vart við (t.d.call attention to an error);needattentiontørva viðgerð; tørva eftirlit;payattention togeva sær far um, sansa, varnast um, varna; lurta eftir (t.d.he pays no attention to what I say);(um persón) geva einum gætur;you should pay more attention to your worktú mást taka tær meira um reiggj við arbeiðinum;pay no attention toikki taka sær tykni av; ikki leggja í;pay one’s attentions tostíga upp í veingin; síggja til (t.d.pay attention to the prompt execution of this order); attentionplease!gerið so væl at lurta eftir! (í hátalara) halló, halló!;receiveattentionfáa uppmerksemi; verða kannaður; verða viðgjørdur (t.d.the injured received attention at the nearest hospital); verða avgreiddur(t.d.orders receive prompt attention)
attentive	1eftirskettin, ansin;he was very attentive to herhann gav henni nógvan ans2umhyggin, vandin, vandaligur, hugagóður, nærlagdur (t.d.be more attentive to your studies
attenuate1	1tynna; gera veikari, veikja (t.d.power, authority; bacteria)2linna;attenuating circumstanceslinnandi umstøður
attenuate2	(plfr.)ið smalkar javnt
